time,uname,comment,star,title,support,sentiment_score
"
                    2008-03-07 14:00:22
                ",zing,"每次看这些神作的时候想到这是动画片这是一群牛人一笔一笔画出来的,就觉得漏看掉一帧都实在是对不起他们啊",5,力荐,14913,0.3029020659226862
"
                    2006-10-12 16:19:42
                ",AEDJ Q3I*^$,不努力工作会变成猪,5,力荐,17653,0.8066248806486359
"
                    2009-11-25 16:42:47
                ",░▒▓██,曾发生过的事请不可能忘记 只不过是你想不起罢了,5,力荐,11999,0.7263271487451246
"
                    2007-01-22 00:13:32
                ",Yolanda,十年后重看只想大哭，其实我们都明白这个结局。,5,力荐,10204,0.9841673847816449
"
                    2008-12-22 22:28:54
                ",mon babe,有那么那么经典吗？还是我老了？,4,推荐,4946,0.7748060622287325
"
                    2006-12-04 18:07:23
                ",暖鱼,一个寻找自我或者自我复苏的过程,4,推荐,2913,0.9913706278366482
"
                    2018-01-27 22:34:59
                ",小晗要当锦鲤,宫崎骏没有迪斯尼那么花哨 甚至有些落伍 直到现在 他还坚持用手工绘画而不是电脑绘图来完成自己的卡通片 但他懂得一部卡通片 或者一部影片 应该用什么去打动别人 所以 宫崎骏笔下的形象是一个个人 而不是一个个没有知觉的卡通形象 ,4,推荐,1857,0.999995233031381
"
                    2006-03-27 15:13:36
                ",薇羅尼卡,自认为是宫崎骏最好的一部。| 2019.6.22 大银幕重温，感谢造梦者。,5,力荐,7584,0.9826998478195064
"
                    2019-06-21 23:32:07
                ",根,"隔那么多年再看，还是会二话不说就爱上温柔的白龙，还是会被无脸男捧出的一把木牌打动，还是想坐在阁楼上边吃豆包边看电车从海上驶过，但是……再也说不出“想留在那样的世界再也不出来”的话了！愿幻想的世界里没有工作！
话说千寻现在也28岁了啊，不知道有没有和白龙重逢，如果按好故事的标准，应该是没有吧？她大概已经变成了普通的上班族，每天搭末班电车回家，只是在路过每一条河流时，会想起少女时曾经爱过一条龙。",5,力荐,3947,0.9999975039564212
"
                    2006-02-04 06:21:11
                ",影志,“有些事情是不可能忘记的，只是一时想不起来。” 忘了怎么打动我的了…好像不是打动，而是震撼。,5,力荐,5126,0.9872647933682824
"
                    2009-12-19 22:57:35
                ",闲潭影,最好的宫崎骏，最好的久石让。,5,力荐,5803,0.9860142061154307
"
                    2018-03-09 11:15:17
                ",bekey,欲望无限，就会让你失去自己，进而痛失所爱；在残酷的环境下，只有努力去适应并寻求改变，才能有突破的可能；成功路人，伯乐很重要，一定要记得感恩；奋斗途中，会有妖魔鬼怪，也有可爱温暖的无脸男和小白。节制欲望、不断进阶、知世故而不世故、做个善良有温度的人。千寻，你是最棒的！,5,力荐,3122,0.9999999999999998
"
                    2007-09-18 17:22:12
                ",小波福娃,内个白龙好像塔矢亮！其实这是个爱丽丝漫游奇遇记的东方版呢！,3,还行,1756,0.8976568493003829
"
                    2007-04-08 14:39:09
                ",唐喜乐,"你忘了吗?
往下飞的时候眼泪是往上流的.",5,力荐,3966,0.886286873912324
