time,uname,comment,star,title,support,sentiment_score
"
                    2017-08-10 08:29:59
                ",※尹,身体欠佳妈妈让孩子给疲惫的爸爸倒茶，富人爷爷给认真工作的爸爸丰厚报酬，富人弟弟和哥哥一起开心玩耍，爸爸赚了钱想给妈妈买电熨斗，哥哥想跑步比赛给妹妹赢得一双鞋，老师为经常迟到的哥哥求情继续上学，妹妹把心爱的鞋子让给另一可怜人家的女儿，这另一可怜的女儿把捡到的漂亮铅笔还给妹妹……,4,推荐,2107,1.0
"
                    2010-11-28 01:02:46
                ",novich,没有一点刻意、展览、景观，老老实实地拍，可就是能抓人，令人反思——电影真的需要那些东西么？最后那个金鱼池的场景甚至带点禅意，又那么平凡朴实，让整个片子顿时通透明澈，怎么会这么好！,5,力荐,3358,0.9999846951356056
"
                    2011-09-09 20:58:47
                ",艾小柯,小演员表情无敌，故事朴素真挚，比赛一段过分煽情，结尾收得真漂亮。,4,推荐,1943,0.9999909648568203
"
                    2007-12-17 12:45:42
                ",赫克托尔,"当他知道他得了第一名却拿不到第三名的奖品时,他伤心的哭了.",5,力荐,3572,0.5214183030632712
"
                    2013-03-11 22:11:08
                ",DizzyWhale,妹妹给正在为寺院磨糖的爸爸倒了杯茶，“怎么不给爸爸准备糖呢？” “你手边不是有那么多糖么” ”那怎么行，这些是给清真寺的，我们只是代为保管，不可以拿的“。,5,力荐,2756,0.9999151047276535
"
                    2009-08-22 21:50:39
                ",mon babe,这些故事那么熟悉，就发生在我身上。,4,推荐,1333,0.9525561827348991
"
                    2012-02-04 21:39:49
                ",芦哲峰,孩子的眼神动人；朴素的煽情极富感染力。结尾好，戛然而止，干干净净。,4,推荐,691,0.9998344736268315
"
                    2009-11-15 00:17:35
                ",徐达多,这是不同于阿甘、洛奇、罗拉、安托万的奔跑，阿里的奔跑没有生死时速，只有动容的亲情。很喜欢导演最后的升格处理，将背景音效完全由阿里的呼吸代替，纯粹而质朴。片中一双球鞋的价钱竟然比不上一套文具，还好爸爸最后给善良的兄妹俩都买了双新鞋。还好，还好，是个还算“幸福”的结局。,4,推荐,425,0.9999999999999587
"
                    2020-02-09 02:12:15
                ",哪吒男,导演对阶级差异的表现非常有意思，阿里一家已经穷苦到极致了，富人们在做什么呢？可以随便开除学生的教导主任，也算通情理；住独栋洋房的留守家庭，孩子懂分享，老人特慈祥。只是，片头骂阿里妈妈洗衣服用水太多的房东，在院子中间修了一个大水池，只为养几条金鱼，金鱼靠近阿里疮痍满布的双脚，摇摇摆摆，悠闲自在，这是电影的最后一个镜头。,4,推荐,277,0.9991679583356579
"
                    2012-11-15 20:37:23
                ",亚比煞,去年从以色列乘车去巴勒斯坦，一过国界线简直是两个世界。犹太人的地方干净富裕，阿拉伯城市就垃圾满地，乌鸦乱飞。很多小孩子拿着矿泉水和粗糙的纪念品追着我们叫卖，都是长睫毛大眼睛很漂亮的孩子。晚上看新闻，巴勒斯坦又被战机轰炸死了70多个人，真他妈难受的什么也不想说了。,5,力荐,1807,0.9979602387783967
"
                    2010-12-18 16:29:07
                ",文泽尔,你说你像记录片，我选择相信。一切正如简介所言，一切也不超出这个故事，导演马基迪懂得，怎样将一个感人的故事讲好，并且也只将注意力集中在故事上。阿里的眼泪，以及获奖时无声的表情，最后的高潮部分相当感人，真是天堂的孩子才会有的演技，让人不得不去想像或许这真是一部真实记录片了，最美的奔跑,5,力荐,968,0.9999999999984379
"
                    2007-01-31 20:08:40
                ",暖鱼,看过电影中，表现得奔跑最好的。无声的奔跑。,5,力荐,1328,0.9995781745405072
"
                    2007-03-12 18:10:59
                ",Zuschauerin,美丽而清贫的童年,5,力荐,1469,0.9892018882578834
"
                    2018-09-20 22:22:09
                ",Mr. Infamous,贫困真是个可怕的宿敌，再小的波澜，都能掀成巨浪。刹车失灵那一刻，可以比看任何好莱坞大片都惊惶。总感觉，一旦贫苦被习以为常，生活中任何喜色都像是玩笑。镜头总在贫富间跳荡，即便用了温和的基调，依然现实得残忍。但很庆幸，艰难如许，兄妹俩还能存下那珍贵无比的善良与忍让。特别喜欢小女孩Zahra，尤其舍不得她因为懂事而受下半分委屈。结尾收得真好。四星半。@资料馆，再次放映故障。,4,推荐,233,0.999999999998306
"
                    2008-05-31 15:41:13
                ",眼角的花朵,　少年之爱，不染任何杂质，晶莹剔透。我认为这正是这部电影要表达的主题之一。当然，有尊严的活着，照样也能有如此安静而幸福的生活。影片给成人们许多看不到视角来观看这个世界,5,力荐,766,0.999999995866893
"
                    2009-09-11 14:45:32
                ",一一,我又想捐东西了。,5,力荐,982,0.8127153782489853
"
                    2009-11-27 19:07:42
                ",无心柳,电影里很多日用品看起来都像中国货：铅笔、笔记本、塑料拖鞋,5,力荐,572,0.6048079459018633
"
                    2006-01-08 05:03:09
                ",影志,最纯的电影,5,力荐,959,0.7854638362010813
