time,uname,comment,star,title,support,sentiment_score
"
                    2015-07-31 18:37:27
                ",影志,“有些事，非得问出来？不问就是压在他心头，压一辈子；一旦问出来了，这石头就是压在你心头了” 赞叙事结构，过去跟现在将来混合，多人视角交叉重叠连锁反应，最后完美衔接…没有一个多余情节，荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。2015《大象》《全民目击》，超过《烈日》《吾先生》年度最佳。,5,力荐,5755,0.999999983360359
"
                    2015-10-16 16:15:29
                ",阿茶,国产犯罪片越来越好。「烈日灼心」力道够了，然剧本硬伤太重。「心迷宫」的剧本真是惊喜。如此群戏能这样流畅地自圆，已实属不易；时间线打散却又让观众能轻易缕清而不显杂乱无章，确是匠心别具地精巧。开场即惊艳；结尾父子对峙戏太棒。当然，为过审加上的那行字幕让人出戏，不过相信以后会更好。,5,力荐,3767,0.9999999999907159
"
                    2015-10-28 23:42:51
                ",熊阿姨,放冰箱那个红色塑料袋到底是干啥的？,5,力荐,2270,0.08155765248836733
"
                    2015-10-17 00:52:54
                ",蛇弹吉他,不造有多少编剧爱好者心里都构思着一个昆汀/里奇/科恩式的犯罪故事，有些故事可能永远都构思不完。起码这部电影把每块拼图都对上了，而且非常中国。非常中国的电影里警察很多地方是缺位的，但关键时刻会在屏幕上用汉字提醒观众他们的高能存在,4,推荐,3699,0.999999891335684
"
                    2015-10-17 21:51:00
                ",桃桃林林,作为一部小成本处女作，这是一部值得鼓励和需要鼓励的好电影。主要好在剧本方面，多视角拼图叙事，缓缓揭开一个环环相扣的农村题材罪案故事。并以此去照出每个人心中的恶与自私。整个片子剧作结构与剧情设定都很巧。只可惜，因为制作成本过低，制作水平还是略粗糙。其实可以更好。,4,推荐,3484,0.9999999998821167
"
                    2014-08-05 18:43:54
                ",老晃,看了忻钰坤处女作《殡棺》，惊喜！从容缜密，会讲故事。看片名，容易误以为是闷蛋文艺片，其实是无巧不成书的三段式“乡村怪尸案”。成本太低，演员略逊，但也带来了陌生的乐趣。和拍《光棍儿》《美姐》的郝杰一样，忻钰坤，绝对有实力执导更大制作的类型片。这种会讲爱讲故事的年轻导演，是稀缺资源。,3,还行,800,0.9999999996711271
"
                    2014-07-25 11:53:26
                ",木卫二,剧本挺有趣的，没有让三段式沦为中国电影常见的山寨故事。电影化处理上有所欠缺（无论一眼可见的演员表现还是画面处理），不知是不是受限于制作成本，不过，作为第一部，确实不错了。中国电影的未来，依然是在乡村和县城啊。,4,推荐,2948,0.9999999368835966
"
                    2015-10-17 19:16:27
                ",朝阳区陆依萍,看完之后明白一个人生哲理：贱人自有天来收......,5,力荐,1605,0.7030494911215815
"
                    2015-10-25 21:24:41
                ",🌞娘卷卷🌙,大壮演得特别好！哈哈,4,推荐,714,0.7626869981014038
"
                    2015-10-22 20:00:53
                ",根,和《十二公民》一样，结尾必须要通过一行字幕把真凶缉拿归案的规定，实在是太影响犯罪片逼格了,4,推荐,2219,0.07866124190294632
"
                    2015-10-17 01:02:57
                ",亵渎电影,如果你认同电影就是好好讲故事，那这部电影在讲故事的层面上非常出色，故结构编排，细节铺垫，剪辑与主题都打磨的足够精致，这些方面甚至可以说没什么瑕疵，虽然它的结构也不新鲜，但这年头能遇到这种带着脑子的导演处女作简直就是一种幸运，但愿忻钰坤不会立马下海拍什么卖IP的商业大片。★★★☆,5,力荐,1809,0.9999993718075748
"
                    2015-10-22 13:43:18
                ",Indecent time,世上本无人，有了谎言，猴就成了人：不要用怀孕骗人，不要找小三，拉屎不要接手机，不要赌博，不要用“爱”干涉子女幸福，最重要的是，不要相信国产片尾的字幕——朱自清,3,还行,1484,0.9994503168278851
"
                    2016-02-28 17:46:14
                ",远子,画面糙，演技糙，有情节无人物……就一个打乱时间顺序的多线叙事就变成诺兰、科恩风格了？虽然剧本不错的国产片值得鼓励，但是也不要吹捧到天上去呀朋友们……,4,推荐,233,0.9998708372006754
"
                    2014-07-24 23:08:58
                ",一只麦麦,FIRST首部，威尼斯影评人周，锋芒毕露。类低俗小说结构常见，本片运用到本土化题材上，不止讲了个结构花哨的故事，还反映了农村现实问题（劳动力流失等）。导演混过片场，编剧、剪辑都过硬，毫无拖泥带水，细节精打细磨。全职业演员群像出彩，成本200万处女作，相当不错了。导演是诺兰科恩奉俊昊粉,5,力荐,1571,0.9999999902160929
"
                    2014-11-03 18:05:51
                ",翻滚吧！蛋堡,诺兰结构科恩风格本土叙事，五星鼓励,5,力荐,1353,0.9515351954787232
