time,uname,comment,star,title,support,sentiment_score
"
                    2013-09-27 04:49:56
                ",shininglove,小人物，大成功。低成本，高票房。热电影，冷导演。旧模式，新包装。雅追求，俗定位。内棚衬，外景托。熟表演，生情境。远特效，近手持。慢推入，快剪辑。有利益，无朋友。左警察，右悍匪。正势力，恶交锋。假道德，真和谐。恩未报，怨已结。问有主，答无解。单兵战，双人桥。哭邻国，笑天朝。,5,力荐,10204,0.9975896915060144
"
                    2013-10-07 12:09:04
                ",张小北,韩国电影中一直有一种东西，合适的时候叫『热血』，过量了就是『狗血』。但从来没见过不足的时候是什么样子。,4,推荐,3239,0.9655830263486769
"
                    2013-09-13 22:53:36
                ",乌鸦火堂,这种题材的电影有漏洞在所难免，但韩国电影能做到这一步值得称赞，几乎是一间房子中的故事，格局却相当大，节奏紧张，剧情张力太强，舆论、媒体与政治的黑洞令人反思，结尾比搏击俱乐部还激进，美国估计都不敢拍，但韩国敢拍能拍。河正宇的独角戏太强大，五星。,5,力荐,6018,0.9999999975033029
"
                    2013-09-06 12:08:10
                ",多多以南夫斯基,有紧张刺激的故事情节，有导演想传达出来的比恐怖炸弹还要严重的媒体、政治顽疾，还有河正宇超棒的表演（大势所趋，成影帝）。超喜欢最后一幕，河正宇摁下按钮，媒体大厦砸向国会议堂!!,5,力荐,4880,0.9999716899968806
"
                    2013-09-26 01:45:18
                ",柏林苍穹下,一部戾气如此深重的影片，注定能在我朝获取广泛共鸣。,4,推荐,2809,0.9834951587688062
"
                    2013-09-23 22:41:04
                ",黄青蕉,一想到有生之年都无法参与这样的电影，忍不住呜呜哭了起来,5,力荐,3383,0.9449200289830197
"
                    2013-09-19 22:22:07
                ",内陆飞鱼,今年最好的韩国电影出现了，《恐怖直播》恐怖直播，绝对五星。韩国人再次一人之力对抗政府，在几十平方的演播室内，闪展腾挪，河正宇一个人撑起一部戏，身临其境的现场感宛如911直播，悬念绷紧紧张到手心捏汗。韩国电影人用小成本好故事，再次告诉我们故事为王，其余是浮云，好莱坞快去买改编权吧！,5,力荐,2090,0.9999595584573788
"
                    2013-08-29 20:52:15
                ",Lyra Vega,爽，国内不可能有的剧情,5,力荐,1865,0.9156685990952957
"
                    2013-09-15 22:22:32
                ",LJ,一个演播室淋漓尽致的展现了人性的丑恶、传媒的势利、政治的可怕，美国都不敢这么拍。,5,力荐,1348,0.9920127109702099
"
                    2013-09-27 10:23:36
                ",风间隼,够狠哪！象征层面有国会旁的媒体大厦、桥梁、未完工的大楼、逐渐被剥去神性的演播间，情节层面，把恐怖袭击题材从美式中产阶级的虚伪道德绑架中解放了出来，失意主播不是官复原职夺回原配，而是被逼到了蓝领无产者一边，最后与官僚同归于尽。有种日本老电影的血气。,5,力荐,889,0.9999843380750302
"
                    2013-09-12 20:01:33
                ",陈大乘,"韩国人要逆天了,即使一听就知道那不是50岁男人的声音，即使任谁也安装不了如此犀利的炸弹",4,推荐,2784,0.03437008651928919
"
                    2013-10-01 15:10:00
                ",罗弘霉素,《狙击电话亭》的空间，《搏击俱乐部》的格局。天朝是改编电影的国家，韩棒却有改变国家的电影，甚愧！,5,力荐,595,0.9985890272963346
"
                    2013-09-19 18:45:53
                ",芦哲峰,天朝刀客杨之韩国炸药版——任何事情，你要给我一个说法，你不给我一个说法，我就给你一个说法。,3,还行,2800,0.018153017911330283
"
                    2022-06-10 10:18:20
                ",大天使加佰列,底层无法发声。全网下架的原因：“这个国家像对待狗一样对待我。”,5,力荐,351,0.9869355637837564
"
                    2014-03-15 20:17:01
                ",根,有点明白为什么全智贤说上午的理想型是河正宇了。尤其是脸上还烂，太有亲切感了。,5,力荐,432,0.7689922979139941
"
                    2021-03-02 14:55:25
                ",笑笑朗爱豆瓣,只有在所有人质被杀光，歹徒被击毙后，总统才会带着“为了这个国家的自由和正义”这句鬼话而出现，片中每一个人都在为自己的利益而行动，自始至终，政府对待民众特别是恐怖分子都是藐视的态度，会加剧社会矛盾而不是缓和，最终受害的还是无辜民众，顶层人并不会收到影响。,5,力荐,263,0.9919538215259691
"
                    2022-11-01 06:51:57
                ",500 miles,我看完只想说一句牛逼与卧槽！在最后我想着河正宇按下爆炸按钮就是他妈的神作了，果然这个烂透的社会就该被炸掉。想让韩国总统道歉，无异于按着高贵的资本家头颅给你裤裆下钻过，无异于按着我们国家***的头直播来回抡巴掌。果然到了最后，就一句简单的道歉你也等不到，国家总想着捏死你一个小蚂蚁算得了什么呢？殊不知我们何尝不是这卑微的无动于衷的打工人呢？羡慕韩国的文化与电影产业我已经说烦了，我想在我们国家永远不可能见到这样的场面吧。韩国电影牛逼，有这样的创作氛围与尺度环境想不拍出佳作都难啊！,5,力荐,179,0.9948463344717877
"
                    2021-08-12 16:22:31
                ",茈此䔮,政府被黑出翔来了，尹秀英按下炸弹那一刻浪漫至死,5,力荐,155,0.9564100730879072
"
                    2015-02-22 14:16:28
                ",冰红深蓝,"2013年韩国年度神作之一。摄影机大部分时间都聚焦在演播室主播身上，河正宇展现了令人拍案叫绝的演技。剪辑凌厉流畅，多角度景框、观众与主播视角的来回切换消灭了视觉疲劳。叙事节奏极为紧凑，情节一波三折，单作为悬疑惊悚片都是佳作，更何况片中充满了对政府,媒体和自私人性的嘲讽。结尾超神 8.8/10",5,力荐,220,0.9999999999999039
