time,uname,comment,star,title,support,sentiment_score
"
                    2011-09-13 18:49:26
                ",伊卡洛斯,那些没有开口的告白，最终还是让你听见了。,5,力荐,28868,0.33458033210743365
"
                    2007-07-12 10:04:13
                ",沉歌,"关于藤井树的种种回忆，是你拥有的，我把它寄还给你。
",5,力荐,9864,0.9996316135244561
"
                    2011-01-18 20:10:55
                ",丁一,经不住似水流年，逃不过此间少年，彩云易散琉璃脆，水仙已乘鲤鱼去,5,力荐,8492,0.9955877179670273
"
                    2010-05-26 23:51:38
                ",齊克斯尼力佐飛,如果知道女朋友爱上我是因为我像她曾经爱着的人，我会崩溃,4,推荐,13033,0.9850280253075218
"
                    2007-01-02 20:29:46
                ",果酱☮,无论如何都会流下热泪的电影，五星又怎么够！,5,力荐,8371,0.9934048277828883
"
                    2021-05-23 13:21:38
                ",减肥书法家,"一个英语考27分的人
哪会在意什么break的过去式",5,力荐,8134,0.5168331623514143
"
                    2008-05-24 11:13:53
                ",AllenGY,不好意思，这么多年了，我就靠这个活着了。,5,力荐,6942,0.5926853672114482
"
                    2007-07-14 09:05:26
                ",战国客,暗恋的极致,4,推荐,14147,0.6786290418116464
"
                    2015-01-20 19:24:40
                ",宅蘑菇Moku,「把名字一遍又一遍的写在借书卡上，反反复复看一张并不想知道答案的英文试卷，在告别之前偷偷的把你画在借书卡背面，希望你有一天会知道，我喜欢你」整部电影的配乐都好伤感，女主角一人分饰两个性格不同的角色演绎的非常好，青春和暗恋的心情满点，话说岩井俊二的每部电影里都有几个无厘头的奇怪角色,4,推荐,5539,0.9999999999992584
"
                    2008-02-14 08:57:16
                ",嘉沐難再續.K,总是点到为止的岩井俊二.,4,推荐,6263,0.5306688460147362
"
                    2006-05-02 11:10:50
                ",林愈静,2000年，本人看得第一部文艺片，当时不知道啥是文艺片，表面上洋洋得意，认为自己算个文艺青年了，内心里无比的可惜那一块钱，因为本来是租《唐伯虎点秋香》去的。被人租走了才不得以看《情书》,3,还行,3174,0.9983530418277465
"
                    2014-12-20 20:40:18
                ",荞麦,不知道为什么一直没看一直没看……四个主演竟然全部都是双鱼座……所以真是一部极其双鱼的电影……暗恋的极致……但导演却是水瓶座……,5,力荐,5411,0.9614736818444438
"
                    2007-02-26 01:07:49
                ",隆咚锵,翻过来的卡片，肖像，是初恋回忆的完美情书,5,力荐,7202,0.99990778695798
"
                    2006-11-21 20:15:54
                ",毛利,"不喜欢这部电影,看得我要睡着了",2,较差,2384,0.8231081482116374
"
                    2021-02-17 22:49:08
                ",海盐小圆饼干,真的救命啊看得我满脸问号，我无法理解电影的展开方式，暗恋的细腻美好要从发现自己是白月光替身的这种角度来切入吗🆘,3,还行,2642,0.999213317810797
"
                    2011-12-28 04:09:16
                ",陀螺凡达可,最后卡片翻过来后，我真的哭了。,5,力荐,6323,0.9615441606565215
"
                    2021-05-20 15:44:15
                ",刘嘉玲（e人版,十年都没有第二个人借过追忆似水年华只能说这本书真的很难读,5,力荐,4464,0.9970991213863283
