time,uname,comment,star,title,support,sentiment_score
"
                    2014-01-08 04:01:45
                ",朝暮雪,你能想象吗，彼得·杰克逊总共只花了2.8亿美元，就把《指环王》三部曲拍出来了，最后全球票房29亿美元，三部曲通通获得奥斯卡最佳视觉效果，还有一部拿了奥斯卡最佳影片。,4,推荐,1851,0.9999993277760524
"
                    2008-06-24 16:56:46
                ",眼角的花朵,LOTR都有意或无意地削弱魔法的存在。因为LOTR所要传达的是：即使是平凡人也能改变事情的发展趋势，即使是最微不足道的角色也能改变许多人的命运，而魔法对事物进程的影响，却在演员们本色的表演中渐渐被淡化，这也是为什么在三部曲中魔法仅仅以渲染人物心理变化作为某种基调存在，而非针对某样事物的实体了。FOTR的行云如水可称为“公路电影”，而TTT与其说是魔幻篇章还不如说是战争史诗。,5,力荐,1610,1.0
"
                    2005-09-04 18:47:54
                ",影志,“这个世上一定有某种善良，值得我们奋战到底。” 其实最喜欢这个第二部。第一部刚开始，很多故事还没展开，也没有大场面的决战；第三部大场面战斗又太过饱和，容易疲劳。所以第二部末尾的圣盔谷大战，承前启后，来的刚刚好，“各路神仙”先后登场对付萨撸曼军队，也看得最酣畅淋漓。,5,力荐,1589,0.9999999999870459
"
                    2013-03-30 18:08:18
                ",撒旦的表妹,树人开闸放水之后，有一个着了火了树人颠儿颠儿跑进水里灭火的那段戳中笑点，哈哈哈哈哈～～～莱戈拉斯无敌了，简直就是完美的化身！,5,力荐,1514,0.98630503059969
"
                    2012-11-04 10:00:01
                ",可爱猫猫头,比第一部有意思，树人开闸放水冲毁艾辛格的时候，其中一个着火的树人赶紧把头伸进水里笑死我了，好萌啊。假如一开始魔戒就被丢到末日火焰哪来这么多战争和死亡，和异形一样，都是人类的贪欲，自作孽。,4,推荐,1617,0.9999026045146032
"
                    2012-12-17 01:01:45
                ",颜小兽,第二部，树精很萌，甘道夫升级了，〔尊敬的用户甘道夫，恭喜你升级为vip1白袍巫师！〕→_→精灵王子吕秀才越来越帅了！,5,力荐,1485,0.9999838377117266
"
                    2010-03-05 00:17:11
                ",颜良辰,每次看魔戒都会被奥兰度惊艳到~,5,力荐,1589,0.9378186949770028
"
                    2006-10-12 13:11:32
                ",17950,"作为3步曲,比教父3部更完美!!",5,力荐,757,0.8923500391453113
"
                    2007-11-22 02:58:57
                ",束,一口气看完三部白金加长版，对于这样的片子，只有两个字形容：经典。相对于骇客帝国，这三部的连续性非常好，值得称赞。,5,力荐,536,0.9985909528105075
"
                    2015-02-07 21:52:28
                ",Ocap,4.5。蓝光加长版。其实根本找不到一点讨巧的地方，就像某些老派的歌手唱歌，不收只放，每个桥段都要倾心倾力去讲。高潮会持续到麻木，心灵被施以重压，放到任何时刻抑或时代都是空前绝后的观感；以够真挚的心态用挺笨拙的手段造最豪华的制作，这就是彼得·杰克逊。,4,推荐,490,0.9999999983606929
