time,uname,comment,star,title,support,sentiment_score
"
                    2010-10-27 12:13:16
                ",七七|烂柯人bot,最大的败笔是警长啊是警长，她们并不需要来自男性世界貌似大公无私的救赎啊,4,推荐,7269,0.9947328710540195
"
                    2021-06-17 17:25:42
                ",荒野狷鱼,看到评论里有人说这是女人被激怒了，还让她们冷静点，实在让人无语。现实中的女人还不够冷静吗？如果凡是女人被骚扰被调戏被羞辱都像电影一样拔枪相向，不知道多少男人横死街头。哪还有你轻飘飘说句“冷静”的机会。电影没有给两位女主活路，本身就是说这样行不通，编导是用这个故事告诉我们，那些不尊重女性的男人多么的可憎，多么该死！如果这都看不明白，不是蠢，便是坏。,5,力荐,3652,0.9876629033601092
"
                    2009-09-26 22:52:09
                ",我爱面子不爱你,说实在话，这真是难得一见的几个稍微看得过眼的外国影片的中文译名之一……,5,力荐,3744,0.9411674935997081
"
                    2010-12-08 16:35:57
                ",阿依达,你知道有多少女人在被别人欺负。你又要知道有多少女人在独立，在反击。,5,力荐,3253,0.643063342034939
"
                    2008-07-14 14:55:24
                ",战国客,“当一个女人说不要的时候，她是真的不愿意！”,4,推荐,6758,0.4438404486469876
"
                    2010-06-13 21:09:17
                ",A-sun*,Thelma开头差点没气死我，不知道吃一堑长一智，骚情满溢地再被Brad Pitt勾搭，全忘了曾被强暴。Louise则是我喜爱的型，不后悔不责备勇担当，但后来角色转变却有着微妙的互换，Thelma果断与明快了起来这里很巧妙。尽管设定两人走向一条不归路，但依然很喜欢安排了警官这角色,4,推荐,2249,0.9999999990607167
"
                    2017-02-07 19:20:35
                ",狂野急娃娃🌈,这次看突然get到，她们对那个救世主一样“怜爱”她们的男警察的漠视，比反抗前面的欺凌者，来得更有力。不忍欺辱，同样不用期待被拯救。,5,力荐,2722,0.9800200271083243
"
                    2008-05-14 12:26:09
                ",眠去,这个结尾让我看得特别悲伤，在长久的短期内，这个世界这个社会仍然是男权的。,4,推荐,3148,0.9999894547710839
"
                    2016-01-25 15:19:07
                ",薇羅尼卡,一个大写的女权。相较于Louise的角色，Thelma的觉醒更具代表性。一个只谈了一段恋爱，从学校无缝过渡到家庭的人，一个傻白甜轻易被男人骗，到后来抢劫商店、威胁警察、飞跃悬崖的人。“这个世界不相信我们啊”，时至今日，这个世界变得更好了吗？无解。OST全情推荐。,5,力荐,2105,0.9999998850281323
"
                    2022-01-14 20:27:40
                ",莫不谷,希望说出“一个女的如果答应跟一个男的单独吃饭单独看电影，就是答应跟这个男的上床了”这句话的韩寒和持有同样想法的男性可以看看这部电影，它里面的每一发子弹都是射向你们的。她们为什么要逃，以及为什么逃不脱，都是时至今日女性仍然面临的系统性的困境。末路狂花的飞车坠崖，和玉娇龙的纵身一跃，都是被压迫的生命最激烈的反抗和自由的抉择。,5,力荐,1368,0.9999998183736613
"
                    2021-08-18 23:15:24
                ",carmen,"枪是阳具的隐喻
只有女人有枪才能完成犯罪
说和女权女性觉醒无关的大概真的没看懂
安塞尔说i just cant live.时我就知道结局
结尾是那样的自由，注定鸟不属于父权的监牢
那个想保护女孩的警长特别像父权制下表现的爱护你但他无法冲破系统禁锢的男性。他认为这些女孩是善良的一切都是被逼的。如果我是导演，我会让她们射杀那个公路卡车司机，而不是惩戒他只是打爆他的车。刻板印象中男性是可能做出这样的事的。女性的善良难道不是一种规训？为什么少有连环变态女杀手的电影，以猎杀男性为乐？",5,力荐,1168,0.9999999999844327
"
                    2006-11-28 11:42:50
                ",Little Punk,heaven's drive.最后一刻，我是笑着的，却分明流下了眼泪,4,推荐,1256,0.9972465001618608
"
                    2010-04-20 02:40:42
                ",艾小柯,没有了退路，只好飞向自由。女性主义代表作。,4,推荐,2873,0.9812489686002505
"
                    2005-07-08 03:35:13
                ",路人X,这其实不是女权电影,3,还行,1448,0.6587971733334524
"
                    2009-04-07 18:40:15
                ",白羽,并不象传说中那么好，极端的反抗有点幼稚,5,力荐,331,0.29796368937017303
"
                    2010-04-05 04:20:19
                ",熊大柚小內內,请原谅我土鳖了现在才看过这片，但我觉得特别特别好看！！！！！！！！,5,力荐,1512,0.16499075515496453
"
                    2008-09-17 22:07:08
                ",momo,女权？有些人就是爱乱扣帽子！,4,推荐,1160,0.81201945616664
"
                    2016-07-04 17:44:09
                ",哪吒男,1992真是“女性奥斯卡”年。《沉默羔羊》朱迪福斯特只身犯险；《豪情四海》贝宁征服了有1.2万个前任的沃伦比蒂；史翠珊大神《浪潮王子》成为首个女导演提名最佳影片；《蔓生蔷薇》首对同时提名奥斯卡的母女；《美女与野兽》公主翻身成为拯救者；《末路狂花》里塞尔玛说，让我们继续前行。,5,力荐,752,0.999999969324181
"
                    2013-08-02 04:57:44
                ",米粒,真好看啊！飞向自由的路上，就是要这么洒脱（虽然结局让我悲伤）。塞尔玛的性格转变很有意思也非常令人感动。最后两个人掏枪太棒了！我的妈呀皮特二十几岁时候的样子真是令人百看不厌。,5,力荐,810,0.9999999944571465
"
                    2022-03-27 00:41:59
                ",方青,"一开始我觉得塞尔玛真牛比，丈夫内样就算了，坚持做纯纯直女结果差点被强奸，死性不改然后打炮被偷钱，毫无歉意死不长性。但在每一个厌女情绪往外蹦的下一刻，塞尔玛就会做出出乎意料的脱轨事件来一次次解决困境，打我的脸。路易斯是相对理性的，理性的人自认无计可施时会更容易彻底绝望，所以你会发现塞尔玛的眼泪流得很轻易，甚至眼泪没有性欲来的快，但路易斯的眼泪谨慎又沉重，带着德州不可说的重压。最后握紧的手让人流泪，向油罐车开枪潇洒坏了，抢劫商店不忘抢酒，枪指警察的对话令人发笑后又沉默。公路上的沙和光让人把口红和饰品这些玩意都踏马弃了，峡谷之上的自由谁又能说不是自由，反正女性命运在哪都指向死亡。男导演拍女性片子怎么着都得整个奔向女性的救赎神父是吧，挺好，帮助观众做同情理解状，然后吃汽车尾气去吧。",5,力荐,517,1.0
"
                    2011-09-18 05:10:21
                ",王神爱,最后警察包围她们的时候说“任何不服从指令的行为，将视为对我们的挑衅” 这其实也是很多男人对女人的潜意识,5,力荐,627,0.9933042784481385
"
                    2010-11-03 15:56:51
                ",novich,如果不是那么壮丽的峡谷，没有从头到尾轻飘飘的音乐，最后的一跃就不可信了。,4,推荐,961,0.9171262660495727
"
                    2011-02-04 11:38:26
                ",shu,我只在看公路片的时候喜欢车。,5,力荐,605,0.4779389156333069
"
                    2015-08-21 15:37:39
                ",冰红深蓝,"雷德利·斯科特代表作,划时代的女性主义公路片。1.剧本赞绝，塞尔玛和路易斯的性格与地位的互换，潜藏的冰山底质；2.由酷到怂的警察和油罐车猥琐男,妙笔；3.每首乐曲都是心境的注脚；4.夜色中的德州荒漠景致,难以忘怀；5.皮特的性感渣男,让人眼前一亮；6.完美的结尾,定格,想及[虎豹小霸王]。（9.5/10）",5,力荐,382,0.9999999996373565
"
                    2012-11-04 19:33:36
                ",鬼腳七,斯科特根本就不可能是一个女性主义者，在末路狂花这种片子中，绝望的女人还是需要男性来做出形式上的不成功的拯救，其实塞尔玛和路易斯只是在表达一种宣泄而非觉醒，重点是，任何宣泄都必然走向毁灭，所以结局可想而知。故事上的步步逼近绝对有大师风范，斯科特对类型的理解在如今好莱坞也是数一数二吧,4,推荐,287,0.9999999999999309
"
                    2016-02-07 13:50:59
                ",更深的白色,因为女性受压迫就要以自绝于人民的方式来反抗？动机和方式都难以理解。,2,较差,63,0.9684503768227778
"
                    2021-06-27 23:02:49
                ",这个假了,是否需要通过“激进”的方式去表达女性主义？答：非常有必要。尤其是影片最后一幕，在象征着男权的警察，武器们的包围下，两位女性选择了彻底的逃离。无比的激进，浪漫，且勇敢。,5,力荐,504,0.9999900746613463
"
                    2012-10-30 16:08:41
                ",张维托,要不是塞尔玛那么傻逼能有这事儿吗,3,还行,198,0.15724661177944732
"
                    2009-02-23 16:06:37
                ",果酱☮,女人有多少次被人欺凌,4,推荐,454,0.5433283975412861
"
                    2020-05-28 18:14:33
                ",嘎,今天，离婚冷静期通过了。世界总阻止不了两个女的去死吧。,5,力荐,472,0.9983090380667464
"
                    2006-06-29 02:02:37
                ",束,起飞的雷鸟是悬崖上光辉的流星 ,5,力荐,421,0.6722679111046052
"
                    2023-06-06 17:01:30
                ",Detachment.,女权主义电影，看到一条评论说“这不是女权这是疯了”，确实，他只看到了两位女性开枪打人和疯狂逃亡，这种男的是看不到她们之前被男人压迫、强暴、殴打的，这就是男权社会的现状，男人犯错全怪女人不乖，这电影还是保守了，男人坏起来比电影里拍的坏多了。,5,力荐,225,0.9992981180233712
"
                    2011-07-02 23:42:07
                ",有心打扰,最后1966年产的雷鸟从峡谷飞越而下，让人感动了，两个女人，她们都只能一直往前走下去，不能回头，回头后的生活令人畏惧，回头后的生活是由别人操纵的，她们渴望自由，她们享受着现在那种无拘无束的生活。于是，她们选择飞向死亡，在死亡里飞翔。,4,推荐,273,0.9999999907683549
"
                    2014-08-03 23:07:06
                ",欢乐分裂,三星半；比起虚伪，她们更愿意纵身跃进虚无；虽然悲剧结尾，稍嫌理想主义，警长的存在多余且刻意；女人间有真正友情的很少，我倒很惊讶她们没有相互推脱究竟谁该为凶杀负责；Thelma的无脑很令人讨厌，后来的转折才是真正所谓公路片——看到了角色的成长。,3,还行,124,0.9999994260709036
"
                    2019-07-19 22:20:35
                ",DS,1.美化自杀，他杀和犯罪已经够可怕了。比这个更可怕的是，现在还有如此多人对这种巨婴电影进行提倡。2.敢杀人，敢抢钱，却不敢受罚，你跟我说这是女权？提倡在男人的世界里呼吸都痛的女权实践家们，女子监狱这地方没有男人，到哪里住不香吗？3.冤有头债有主，该离婚的离婚，该阉割的阉割，就算把对方大腿打断，我都认。但把对方一枪崩了，也不打个急救电话抢救一下，这很对吗？怎么说都是一条人命。自己作死丢钱，立马就去打劫。警察来了，就自我了断。看其来悲壮，实则是对自己所作所为 毫无打算负责 的巨婴心态作祟。4.整个电影如是说:错的不是我，是男人。看起来掷地有声的指控，实则无凭无据。犯罪不分男女，女子监狱也并非空荡荡，凡是找男性背锅恰恰是女性最容易犯的罪孽。5意识到 男人主导了世界 的女性早干嘛去了？一直甩锅,1,很差,83,0.821271418749545
"
                    2021-11-06 00:39:56
                ",消亡之人,"最好的参照物可能是前程似锦的女孩和钛。
与前者相比，同为复仇者的塞尔玛和路易斯依然保有她们的温柔，即便在打劫和胁迫警察时都那么彬彬有礼，而不必模仿某种人们想象中的复仇女神姿态，浓妆艳抹又冷酷干练，样子不知是摆给谁看。
与后者相比，无需套上些莫名其妙的设定，也无需单纯是为了唬住观众而加入的大尺度画面，两人同时背离了伸出援手的男警察和密密麻麻的枪眼，也就彻底摆脱了男权社会一体两面的规训，俨然以一种更决绝的方式，完成了钛想完成的，对性别议题的超脱。
她们不必成为任何人，不必具有任何“男性化”或“女性化”的特质，她们成为了最好的自己，这才是真正的自由。

除了性别议题，其实还有对公权力的不屑吧，并非只是对男性，而是对整个系统的。所以才有那道黑人朝警察吐出的烟。",5,力荐,164,1.0
"
                    2017-03-07 18:46:40
                ",本位,不同于那些一昧丑化男性，夸张直男癌的所谓女权电影，我恰是认为警长是片中的亮点。女性的悲剧不只是社会长期以来受到的歧视，而是在于有人觉醒也无能为力，无愧是最经典的女性电影。,4,推荐,207,0.9999622220638791
"
                    2021-08-14 12:39:03
                ",同志亦凡人中文站,“不自由，毋宁死”的结尾，雷公拍出了90年代最壮烈的女性主义电影。可惜我十几年前看DVD的时候太低级趣味了，只顾着死盯布拉德·皮特的公狗腰...,4,推荐,144,0.9994466709504488
"
                    2020-06-18 22:40:57
                ",子文东🤪👻,十年前看的话我可能就是感慨下“好过瘾啊好酷”，现在再看，只想说“妈的我绝对干得出来”。,5,力荐,244,0.9909941520535669
"
                    2013-03-10 13:40:44
                ",阿巴厮,"我不愿意非要从女权的角度来看这部电影。最后Thelema对着Louis说Keep going的时候，不争气地哭了。Plain simple,but great movie.",5,力荐,216,0.7320330491644037
"
                    2021-02-06 23:00:53
                ",大花六道木,在未来，还会无数次打开这部电影。每一声枪响，都是鸣放给世界的男人听。,5,力荐,250,0.9880085748167073
"
                    2022-10-11 06:31:42
                ",小橘~木矞,"啊这，这一水的好评让我有点不敢说话了。。
的确一开始有女权的成分，向往自由，逃离原始家庭里的渣男之类的，所以其实最开始她们杀了那个骚男的时候甚至觉得还挺爽的……
但是后面就真的无语了，她们越来越疯---我不认为这是“解放天性”“向往自由”，我就觉得很难理解她们的行为，明明一开始是有证据的，后面非得把证据都弄掉然后逃跑，还一而再再而三地杀人、被人骗……真的无法理解剧中的脑回路。
而且那个骑自行车的黑人是什么情况，他发现那个警察被困，却还往里面吹气，我不理解。
至于后面飙车那一段就更无语了，还有她们射击傻子男的油罐车的事儿……合着就有了枪随便射着玩呗？里面的男的都不正常，骚男贱男挺多，但她俩就完全正常吗？
作为女生我当然支持女权，但我不认为宣传女权就是搞疯子女主横冲直撞，理智点符合逻辑点不好吗？",3,还行,33,0.9999999718596203
"
                    2022-11-24 02:29:38
                ",白爷爷,我不知道这部电影是不是女权，但是当看到“这种极端的反抗有点儿幼稚”这种“冷静、客观”的评语之后，真的是让人反胃。影片中反复提到路易斯在德州差不多的经历最后遇到了什么情况，想知道何谓“极端的反抗”。怕是吃着男性红利平安傻逼的活到今天才说得出这种话。实话实说，塞尔玛的老公只是傻逼，她都能感到如此压抑，想想其他处境更艰难的女性。说实在的，最后那个警长都让我觉得挺虚伪的。不仅是男性的丑恶还有司法的恶心。都一样。,4,推荐,125,0.9943147776099354
"
                    2021-10-06 23:44:44
                ",红酒与谋杀,因上课讨论需要而重看。基本看法没变，伪女权电影的代表作。奔向的是姐妹情谊，实际上等同于“哥们电影”。粗暴的引向“反男权”是不妥的，性别立场的优先决定了这种片面和直接，明摆着是一种“宣泄”，而欲望主体改变的同时还是原样复制了父权结构，雷德利斯科特只不过“顺拐”的使它看上去似乎具备合理性，但并没有从根本上实现结构性的批判。这次升至三星的唯一原因是我发现可以把它当作西部片/盗匪片去看，西部风貌(eg纪念碑山谷)最能唤起我们对此类型的记忆，这类视觉标志不断的提醒着我们看什么，即使这并不是女性首次成为西部片的绝对核心，但可能却是主流银幕之上、类型传统之下首度让两位女性作为双主角的西部片/盗匪片。,3,还行,25,0.9999999999999998
"
                    2006-12-04 17:03:56
                ",林愈静,2006-12-4 第一遍；2021-2-17 第二遍；真不错，佩服列尼史葛这样的导演，不停的突破自我，尝试新篇。,4,推荐,75,0.9998918658806087
"
                    2023-03-11 16:28:44
                ",甜水园子温,信男人还不如信敞篷车能飞,4,推荐,125,0.5536939512451788
"
                    2023-01-17 22:40:28
                ",迷蟲朋克,呜呼！光炸车子那一段就可以打爆五星，骑行小黑哥全片唯一真汉子hhhh太有意思了他走个过场直接把那些矫情做作警察男的脸都扇烂了哈哈哈哈哈嘎嘎嘎！还有，千万不要诧异女人开枪会这么熟练，你该惊讶为什么满大街把性骚扰当日常的男人里头只有那么一两个遭到天谴。,5,力荐,165,0.004579557987788863
"
                    2012-01-29 07:50:20
                ",琴酒,非常带种的片子，猥琐男面对枪口逞能地说kiss my cock，之后干净利落的枪击让我爱上了这个公路片。女性主义的毫不让人厌恶，两个女主一个拥有惨痛过去沉稳而在现实里仍怀有期待，一个又天真有激烈一种洒脱的绝望…怎么说呢，公路片嘛，公路是最佳的地点，从现实里抽离开了，人人生来自由平等,5,力荐,202,0.999880079167286
"
                    2020-02-10 00:29:56
                ",李玉米,当她们扔掉口红 眼影 放弃漂亮的小裙子 当赛尔玛不再补眼线 不再在意男人的目光 看到一多半我才想起来拿瓶酒陪她们喝一杯,5,力荐,225,0.8461276916731404
"
                    2023-03-08 16:12:08
                ",默存,穷途末路之时才发现人生是旷野。,5,力荐,204,0.7503894625360696
"
                    2018-06-08 18:15:17
                ",火娃,8/10。最精彩要算赛尔玛对男性强盗的模仿，小牛仔只表演一番抢劫，赛尔玛把它变为现实，从便利店奔向汽车快速靠近摄影机的动作，通过监控器的黑白画面令警察目瞪口呆，她褪去软弱的姿态比受伤后强迫自己坚强的路易斯更高昂；沉默对待油灌车司机的猥琐到打爆满是污秽标识的车子，象征困境中顺从到觉醒。,4,推荐,82,0.9999999997487541
"
                    2021-12-07 19:58:40
                ",迈杰小强,布拉德皮特握着她的手，摘掉戒指说，你手上的金属太多了，让我把负担减轻一点。那一刻我真的以为他是个好男人,5,力荐,146,0.9910090396629782
"
                    2008-05-29 00:16:07
                ",Miss Lucky,我们心中的激情其实一直都在，只看你们激发不激发。,5,力荐,202,0.8764845284829038
"
                    2010-05-12 13:58:04
                ",♺  d i d i,我也想那样死,5,力荐,306,0.3307827871894835
"
                    2023-01-23 01:01:18
                ",momo,前方是自由的平原还是深渊，握紧你的手就无所谓。狂风吹掉帽子，压迫拔地而起，没关系，还有一脚油门踩到底孤注一掷的勇气。超越爱情友情的情谊，有一个共同的名字叫女性。,5,力荐,118,0.9999967536586362
"
                    2015-10-03 03:52:26
                ",朝暮雪,这个世界不配拥有你。,4,推荐,96,0.9350093006859613
"
                    2023-10-07 13:22:21
                ",bluespaceship,结尾处车从大峡谷一跃而下差点让我老泪纵横，不是非要激进，只是没有退路,5,力荐,125,0.4679270755328755
"
                    2021-11-19 18:57:54
                ",荒也,一个感兴趣的细节：影片从头至尾都未交代，这两位闺蜜之间那种亲密无间，为了对方甚至可以付出一切的信赖的情感基础是什么？她们之前是同学？同乡？同事？还是什么等过去的交代都省略掉了。而影片中将两人设定为男权社会的受害者，也只是说明了两人境遇的相同性而已。但影片仍然做到了让观众相信两人之间的这种关系。其原因也许是在于赛尔玛与路易丝本身是一对未公开的情侣。两人之间性格与外貌的差异，以及开场和结尾的处理显然暗示这一点。在这个意义上，影片不仅是一部女性电影的代表之作，还是一部酷儿电影。（雷德利斯科特对结尾进行煽情处理是一种对好莱坞妥协的平庸体现）,5,力荐,24,0.9999999999999629
"
                    2022-11-28 13:40:55
                ",旺仔不加糖,"这次看突然get到，她们对那个救世主一样“怜爱”她们的男警察的漠视，比反抗前面的欺凌者，来得更有力。不忍欺辱，同样不用期待被拯救。
女性主义巅峰之作。",5,力荐,138,0.9936215316675705
"
                    2023-03-08 23:57:56
                ",yyljssz,敬女性杀不死的野性、自由和力量，干杯吧，末路狂花们。,5,力荐,119,0.9988415036943455
"
                    2017-10-15 21:07:59
                ",Futurismus,拍得太好了。赛尔玛总是傻傻的，被人骗，很实在的刻画，就是那种经常被丈夫关在家里不准出去没怎么见过社会的女性形象，而路易斯总是包容她。还有黑人骑手那一段“闲笔”，经典程度不亚于杜琪峰《枪火》里的踢纸团,5,力荐,107,0.9996255571274392
"
                    2011-07-22 01:35:00
                ",彌張,我赛这才够痛快！才不要唯唯诺诺的回去蹲监狱呢！唤醒野性的旅途。越到后面越爽类。4.5,4,推荐,79,0.9973524186137767
"
                    2013-03-20 22:19:18
                ",云中,死意盎然。,5,力荐,167,0.5
"
                    2023-01-02 01:47:27
                ",不如不遇倾城色,"没有皮特偷钱，她们应该是可以到墨西哥过上好生活的吧。看到好多人都在骂塞尔玛，我的认为她从14岁就跟现在的老公在一起了，一个无趣又控制欲强的老公，做家庭主妇的塞尔玛平时根本接触不到男人，被骗两次在我看来都是可以理解的，只不过后果都有点严重。路易斯没得说，除了开出那一枪有点收不了场，其他都很好，另外喝了酒，再加上德州的事情，她开枪我觉得也算合理。塞尔玛学习能力真的好强阿，给她一点时间成长，绝对是个迷人的女性角色阿。最后那一跃，画面定格，五星拿下。",5,力荐,55,0.9999998210513645
"
                    2023-07-29 21:52:42
                ",沸海鲸歌,观影途中我很不理解塞尔玛的行为，为什么在遭遇强暴未遂后还能那么轻易地信任男性。看了一些解析以后终于明白了，塞尔玛的身份是一个14岁恋爱18岁结婚，长期与社会脱节的家庭主妇，她为何在影片前半“蠢”得令人无法忍受，这正是值得我们深思的。,4,推荐,25,0.9999994433049576
"
                    2022-09-24 22:11:47
                ",露苑,Louise曾经被侵害过，所以对男人怀有警惕和愤怒，那一枪不仅送给那个侵犯Thelma还满口脏话的男人，也送给曾经伤害她恐怕也没有得到相应惩罚的男人。Thelma的位移是一条更加明晰的主线，从对待丈夫的小心翼翼到享受男人的示好，再到抢劫、袭警、教训口头骚扰她们的司机，她不再惧怕男人，不再渴望男人，血脉中的胆识和果断逐渐觉醒。最后凌空一跃，令人震撼之余也五味杂陈，能做的似乎都做了，还是功亏一篑，可她们实实在在地为自己活过，为自己抗争过。向死而生，再无畏惧。,5,力荐,69,0.9999999195674414
"
                    2012-06-09 22:33:32
                ",[己注销],久闻大名，终于看完。影片多少有点因为同情俩女主角，以致有些丑化了警方，但精彩动人的逃亡之旅，让我忘却了本片的“三观不正”。将本片视作女权主义是狭隘的，本片远不止这些，女主角最大的理解者恰是位男警察（导演亦为男性）。结局要是GOOD END就好了，但BAD更显悲壮。,5,力荐,53,0.999999607892213
"
                    2022-10-30 15:17:59
                ",清炒黎蒿,"最后的飞车一跃直接让我情绪拉满，对这部电影的喜爱达到了顶峰，唯一担心狙击手爆胎，让她们不能完成这场华丽的赴死。男人们拥有私产，拥有武器，拥有审判的权威，而女人们，仅仅是被钳制在道德秩序里苟且偷安，也会在放下防备的瞬间惹上不必要的麻烦。
—“我不晓得为何不报警。”
—“你知道原因，你已经说过了。没人会相信我们，我们仍会有麻烦，这生也完蛋了。你知道吗？那人弄痛了我，若不是你跑出来，他会严重伤害我。他会没事的，大众都看见我们跳舞，他们会说成是我自找的，我的一生会比现在来得不堪，起码我现在开心。我对于那浑小子死了绝不难过，我只是抱歉是你动手而不是我。”
喜欢路易斯的谨慎和塞尔玛的成长，喜欢她们一路的尘土飞扬。",5,力荐,56,0.9999999978412031
"
                    2015-11-22 00:14:51
                ",◆Hardcore,并没有看到女权主义 只看到了两个法盲,5,力荐,49,0.7929444957557795
"
                    2023-03-11 22:19:04
                ",Fi,感染性极强，有笑声有眼泪的一部片子，超级喜欢结尾让她们停留在空中的状态。男权社会对女性的不友好体现在日常生活的种种方面，女性被默认为物品，承受着各式各样的性骚扰、粗言秽语、法律的不公以及每天活在丈夫的管控之下。每当面对这些，两位女主的第一要求始终是收到对方的一句道歉，希望听到对女性尊重的声音，但是往往只能听到对方回击更加难听的话。对男性、社会、法律的失望，让她们深知回头不是岸而是万丈深渊。而在逃离的路上，她们感受到人生前所未有的自由、清醒、快乐，因为她们反抗了这一切！因为她们为自己的勇敢感到自豪！即使前方是一条末路，她们也是最艳丽的末路狂花。,5,力荐,50,0.9999999999999993
