time,uname,comment,star,title,support,sentiment_score
"
                    2020-02-28 00:58:11
                ",曼靑,电影是真的好看，布拉德•皮特也是真的帅。最后，兄弟俩在他们心爱的女人的墓前终于和解，哥哥失落却释然的说道：「我遵守所有的规矩，所有神和人的规矩。而你，一样规矩都没守。但是所有人却都爱你甚过爱我，Samuel、爸爸、甚至是我的妻子。」记得有一次男人们去狩猎，印第安长老说 当人和野兽互相使对方流血，他们便合为一体了——所以，那个内心有熊的声音的男人，最终死于熊掌之下，死得其所。Susanna 和三兄弟的关系，就像大多数女孩一生当中会遇到的三种男人。你可能先会在少女的情窦初开时期遇到一个给你最清澈的感情、想和你厮守一生的男生，像温文尔雅的三弟。然后你也可能会遇到像二哥那样给你最炙热、野马般爱情的男生，可惜你的家里没有草原。最后你可能嫁给了不是你最爱、但却最爱你的男生，像骑士一样守护你的大哥。,4,推荐,607,1.0
"
                    2006-10-31 15:02:49
                ",Lan~die,生命中的险恶没有什么恐怖，生命中的寂寥没有什么悲愤，生命中的放纵没有什么缺憾，生命中的痛苦与埋没无关，关键是：即使在始终无人注目的暗夜中，你可曾动情地燃烧，像那颗不肯安歇的灵魂一样，为了答谢这一段短暂的岁月？,5,力荐,2563,0.9999966409027404
"
                    2008-11-23 02:24:52
                ",光年‖影视歌三栖民工,我欣赏忠诚于内心，忠诚于野性的灵魂，因为他们坚持自我所付出的代价，我付不起,5,力荐,2187,0.9999965169127053
"
                    2006-06-15 18:51:11
                ",veronique,"因为他的英俊,我原谅这电影里的一切",5,力荐,1618,0.799741647638016
"
                    2011-02-24 10:03:28
                ",乐安蓝,苏珊娜真是个克父克母克夫克所有人的扫帚星~自作孽不可活~还搅的人家兄弟反目，父子生隙~幸好最后自杀了~该现实的时候不现实~不该矫情的时候矫得厉害~这不是作是神马！还美其名曰“听从自己内心的声音”，不过就是自私又糊涂罢了~,2,较差,552,0.999958042695836
"
                    2015-07-11 18:58:44
                ",SaturnianAir,这些人压根没把自己的命当人命来活，他们活的是莽莽草原茫茫大海，活的是如血秋日和从心所欲的野性，遵守的也是血浓于水、成王败寇的丛林法则。社会意义上的人伦法律道德对这种极端到危险的浪漫主义是失效的。我不喜欢这个片子的价值观，然而也无法否认心底对这种生存方式的无限神往。,5,力荐,975,0.9999999999946085
"
                    2010-07-29 04:02:40
                ",Q。,每个画面都是那么温情且壮阔，还有那刺痛到灵魂深处的音乐，众人到位的表演。故事虽然并不那么引人入胜，但要表达的思想却是很容易赢得共鸣的。燃情的岁月，一世的真情。★★★★★,5,力荐,853,0.9999999994371003
"
                    2016-06-04 21:41:08
                ",虾米,看第一遍时我才十几岁，如今一晃二十年过去了。音乐依然荡气回肠，但心境已不复当年。可能在今天的我看来，会觉得这么好的音乐、摄影和演员，竟用来拍了个稍显平庸的故事吧。,3,还行,279,0.9999997280698547
"
                    2008-04-28 15:11:31
                ",宇宙,波澜壮阔的西部美景 令人无法拒绝的自由之彼特 我心狂野 不是人人都能够懂得,5,力荐,1032,0.8798265672621532
"
                    2011-02-01 16:51:30
                ",LisaLeung,“有些人能清楚听见自己心灵的声音，并按这个声音生活，这样的人，不是疯了，就是成了传说。” ,5,力荐,955,0.9533943996251323
"
                    2008-05-29 17:15:55
                ",薄荷茶不凉,Tristan非常让人着迷，他是一位真正的自然之子。,5,力荐,880,0.8843544859600126
"
                    2007-07-02 23:09:42
                ",Lorenzo,又臭又长的电影,4,推荐,1070,0.36355452155275303
"
                    2012-02-22 20:13:52
                ",巴喆,无处不影射对当时南北战争的失望乃至痛恨，或多或少也表达出无政府主义的思想：宁愿无拘无束的与自然为生，自由如风般，即使在人生最孤寂悲哀的岁月里，也能够一如既往的燃烧壮丽的人生。这也是一部分人的向往。草原的画面辽阔壮美，音乐细腻优雅，非常美。8.4,4,推荐,368,0.9999999999999887
"
                    2010-07-27 23:08:15
                ",kyome,这颜色，这画面，这岁月，这情怀，这曾经，这男人，这爱情，好痛好痛,5,力荐,644,0.9997252763455609
"
                    2006-11-28 11:21:59
                ",funny_vee,皮特就是这部最帅了吧,5,力荐,425,0.7578141091088829
"
                    2011-03-26 21:25:45
                ",D I D A,离完美还有那么一步，就是它还不够简练与锋芒，导演企图把整个世家与时代糅合进一卷胶片，却也被纷繁的感情乱了本该澎湃坚固阵脚，得不偿失，但或许这种无可避免的粗糙与与生俱来的野心足够令人慢慢品味。,4,推荐,261,0.9999999883086003
"
                    2008-03-30 14:35:58
                ",眠去,传奇，不是每个人都可以拥有。,5,力荐,323,0.989676011483303
"
                    2008-08-31 11:00:22
                ",soleilvert,是深渊也是大海，谁能担当 ,5,力荐,178,0.850884222859208
"
                    2020-08-01 05:30:21
                ",影志,“当人和动物互相让彼此流血，他们就合为一体了” 天苍苍、野茫茫，皮特就是狮子王。来无影、去无踪，此生迷恋大灰熊。遭三兄弟轮爱的苏珊娜，又何必许下山无棱天地合才敢与君绝的诺言。“永远实在是太久了” 反而是自始至终的伊莎贝尔，忠于爱、死于爱。傻而天真的塞缪尔，也完成了自我轮回。规则全然遵守却处处可怜的阿尔弗雷德，一枪泯恩仇，为爱痴狂又何错之有？直到中风的父亲写下：AM HAPPY，暮然回首，这一切还值得。永恒的秋日传奇，重温如新看，愈久弥香。,5,力荐,76,0.9999999999996019
"
                    2013-02-11 00:01:08
                ",超cute侠,崔斯坦一直都在聆听自己心灵的声音，当这个声音变得野性时，他就会背起行囊远离亲人，为的只是让大家少受伤，可当他回家看见父亲苍老的模样时，他也会流出悔恨的泪水。或许他并不属于父亲一人，他就像个自然之子，汲取他人的营养，流露最真的本色。,4,推荐,224,0.9999998653988807
"
                    2020-04-17 20:15:32
                ",连城易脆,我也承认詹姆斯霍纳写的这首《The Ludlows》非常好听，要是没有这个配乐，电影直接掉一个档次，于是导演真的就全片铺满啊，听了怎么也得有几十遍了，真的太满了，电影一开始就直接来，过于刻意了。在神片扎堆的94年，坦率讲本片就显得有些逊色了。美国人似乎也特别喜欢拍这种在大时代背景下一整个家族几十年的荣辱兴衰史。有印第安屠杀、有一战还有禁酒令等等，这类不是冠以【往事】就是冠以【传奇】，确实能打动一批人，不过看多了以后也有点乏，而且总觉得这些人挺作的，你看二弟，好好的日子不过，居然出去当海贼王去了，啊哈哈。安东尼霍普金斯演技永远在线，看着就特别带劲儿，而26年前的皮特嫩得都掐的出水儿来，最后非要被安排死在熊的手里，强行传奇结尾啊...,3,还行,128,0.9999999999997464
"
                    2008-12-10 15:10:43
                ",孙智正,经典“乱伦片”？,1,很差,344,0.16441300749494614
"
                    2013-12-29 16:57:48
                ",carina,编剧或者导演很有可能是毛姆的书迷，最喜欢的可能是《月亮与六便士》和《刀锋》；DI(DC?) Gregson帅过Brad Pitt，最后出手干净利落，衣服一尘不染；女主角是被自己作死的，成功诠释“小作怡情，大作伤身，狂作致死”的精神；最幸福的是Isabel II，长大嫁给从小想嫁的人，并在年轻时候死去,3,还行,76,0.999999999983842
"
                    2007-12-22 14:58:25
                ",沉歌,艾尔弗莱德最后在与熊的搏斗中死去，飘渺的记忆重新回到印地安人的帐篷里，跳跃的火光里，那个十二岁的男孩安静的听老人讲述古老的传奇，秋日绝色，倒影在他湛蓝的眼睛里。,5,力荐,96,0.9999944659525423
"
                    2010-07-27 11:41:58
                ",Ripple,我果然不夠文藝,3,还行,143,0.6742485971280089
"
                    2012-04-29 12:56:56
                ",荒也,和老三订婚，把第一次献给老二，然后和老大结婚。最后开枪自杀了。PS：不会说英文的印第安人却担当整个英语旁白。。。,3,还行,43,0.9727503918176122
"
                    2015-10-07 23:53:29
                ",蜉蝣,结构和节奏烂得匪夷所思，情感没有得到精准处理，全篇都在被错位的拼命煽动。,3,还行,34,0.9892769715676184
"
                    2012-08-18 00:58:59
                ",方方土君,看到第一部皮特的片子，当时就想我操这种男人的存在让我们剩下的男人怎么活啊！,5,力荐,101,0.9462975338502683
"
                    2012-11-21 02:26:47
                ",心生,就这么几个人，连场景都能数过来，但是却奉献出一个感人十足的壮怀史诗。是那个时代的悲壮，赋予这群被命运捉弄的人们以至美的灵魂。那片美得让人窒息的草原，马群，回忆，与回忆！我真的发现，我最受不了的是电影里的音乐，一旦这片子的音乐一响，我整个人都在坠落，坠入无尽，坠入永久的回忆。,5,力荐,85,0.9999999999999838
"
                    2022-04-29 16:03:55
                ",下午4：50,塞缪尔应该带回来仨姑娘，一切就都解决了。,5,力荐,100,0.8739545089011744
"
                    2017-11-12 07:32:18
                ",王绛绿,一点都不煽情，我只是自己好哭。从三兄弟离家开始就一直哭啊哭的。相比万人迷彼特而言，我更爱那个骄傲的一直昂着头颅的上校老头儿。 ,4,推荐,150,0.9990954588148148
"
                    2022-12-19 22:45:59
                ",曼仔,整体感觉还是太“男”了，苏珊娜确实从头到尾都作为她者和猎物存在，女性角色都是功能化/工具化的，父子兄弟的爱恨纠缠才是故事与情感的核心🌚 不过安东尼霍普金斯演得真好。喜欢老大。,3,还行,27,0.9999999993682245
"
                    2008-04-26 05:55:38
                ",再来一块烤白薯,电影本身和ＨＣ的尖叫同样令人很不舒服。,1,很差,70,0.9010821558455231
