time,uname,comment,star,title,support,sentiment_score
"
                    2015-08-30 10:28:13
                ",Ocap,从他背对着走，到不自然的转身，观众和他一样，都在奢望些什么。最后整个记者会的段落，就像戏剧和现实的静谧对抗，现实赢了，却让戏剧的魅力更大。也许爱情就是，你不知道她会不会出现，但你却能肯定：她也想出现。这就够了。这样的结局不知可以完爆多少现代爱情片。,5,力荐,3664,0.9999999974018023
"
                    2005-07-17 14:13:25
                ",熊阿姨,没有看过这个的经历会显得自己太无知老土，看过了，觉得真是金童玉女啊，真是令人向往的爱情啊！真是......尽管看完了该无知还无知，老土的也没变洋气，毕竟主人公那长相那气质不是几个整容手术几部电影能成就的。,4,推荐,1829,0.999997863367323
"
                    2006-01-08 05:14:19
                ",影志,赫本，无与伦比的美丽。,5,力荐,5125,0.9883259530775002
"
                    2010-07-29 11:49:03
                ",Doublebitch,离开你 并不是因为不爱你,5,力荐,4786,0.3947431884748128
"
                    2015-07-11 08:26:34
                ",同志亦凡人中文站,因为罗马，所以经典。因为短暂，所以永恒。顶着锅盖说一句：其实赫本的气质大过演技～,4,推荐,1648,0.9996560789917956
"
                    2006-12-22 20:35:26
                ",Miss Lucky,谁不爱赫本啊,4,推荐,2026,0.34527875471283087
"
                    2005-07-12 16:57:32
                ",Cherry,完美的公主，天使的笑容，魅力的男人,5,力荐,1788,0.9961720974774824
"
                    2008-03-18 13:57:46
                ",战国客,没觉得奥黛丽·赫本特别好看，相比更喜欢费·雯丽~~,3,还行,2118,0.9962957729238148
"
                    2007-04-22 00:17:26
                ",安东尼,她说 我最爱罗马,4,推荐,1390,0.879826943354391
"
                    2006-01-08 17:38:20
                ",老阿飞—故园,公主与拍小照的穷光蛋，影史上不灭的永恒瞬间,5,力荐,1154,0.990362975328596
"
                    2012-03-31 01:11:45
                ",[己注销],（９／１０）大俗亦大雅。什么叫经典，看过本片后，你就知道有多少后世影片，模仿和抄袭过这部作品了……以前的影片没有特效轰炸之类，便需要加强演技来吸引观众，看过本片就会被赫本和派克的精湛演出打动。赫本的短发造型确实很酷，在那个崇尚古典优雅的年代，公主对头发的这一剪估计让很多人为之惊异吧。重看本片时，深感是不是一直以来，对男二欧文太过忽视了呢？欧文并没有像乔那样对Ann投入很强烈的感情，但当他选择把自己辛苦拍下的照片交给Ann时，他和男主就有了同样的高尚。,5,力荐,640,0.9999999999996672
"
                    2007-11-11 10:06:50
                ",littletwo,罗马，当然是罗马……,5,力荐,952,0.9581215435702033
"
                    2018-01-13 11:53:31
                ",W之芮,赫本一出场我真是被惊艳到了，身材高挑、五官精致、气质绝佳，无法超越的美，整个影片也拍的很好，不愧是经典，很喜欢,5,力荐,653,0.9999999986545332
"
                    2007-08-17 15:41:10
                ",能工巧匠沙门哥,"不错,但也不至于让人欲仙欲死吧?",4,推荐,841,0.9604693709384738
"
                    2006-03-08 09:58:01
                ",犀牛,永远的奥黛丽·赫本,5,力荐,551,0.9920401745498297
"
                    2015-01-02 17:42:40
                ",梦里诗书,是一生一世还是一日之爱能更足以诠释爱的真挚？很多人会毫不犹豫的选择前者，但电影《罗马假日》无疑呈现了那刹那芳华间爱最美的形态，再难有一部电影能将如此短暂的爱情给人以洞彻心灵的动容，光影留存住了那永远的绅士和公主。,5,力荐,245,0.9999999999996456
"
                    2008-03-19 00:33:29
                ",九尾黑猫,经典中的经典，感动中的感动~我的公主，我的罗马,5,力荐,256,0.9998157743147453
"
                    2012-09-04 20:33:34
                ",赫尔西,戏里戏外皆是戏梦一场,4,推荐,895,0.9949917329792647
"
                    2021-02-09 14:55:49
                ",嫣然若兮,那年公主为了和他握手，握了在场所有人的手,4,推荐,565,0.7717950427424258
"
                    2010-04-06 16:43:29
                ",张敦厚,"赫本简直是天下最好看的女人。
剧本一流，每句话都是潜台词。当年出来混的编剧真不是吃干饭的。",4,推荐,229,0.9751847070213646
"
                    2018-02-05 23:13:18
                ",陈圆润,赫本太美了，醉酒那又很娇憨，很流行的爱情故事，但是就是抑制不住的动容,4,推荐,170,0.9992295682708815
"
                    2021-11-24 19:27:04
                ",Friday,“为了跟你握手道别，我认识了所有的记者。”,4,推荐,97,0.9796591204979851
"
                    2012-01-26 23:46:36
                ",Hey Johnny,赫本精灵动人的美丽，派克迷人的微笑，浪漫而毫不做作的爱情，如今看来也不觉过时的幽默情节……实在想不出有什么理由去讨厌一部这么可爱的电影。,5,力荐,189,0.9999993834154304
"
                    2016-12-12 22:36:23
                ",雨果,赫本的气质太赞了，站在那里，周围的一切都变成了布景，故事现在看来老套，一般，但为了赫本，忍了！,4,推荐,105,0.9615774543301302
"
                    2012-09-24 00:47:18
                ",米粒,这种浪漫又不造作的爱情故事要上哪里寻啊~派克和赫本真是让人心旌荡漾啊。。看到最后真有点感动了呜呜虽然老早就被剧透了【混蛋现在才看完整的一遍。。,5,力荐,82,0.9999935623474571
"
                    2010-03-14 16:33:54
                ",Chimney, 奥黛丽·赫本是永远的公主,4,推荐,454,0.9885467760502078
"
                    2016-12-17 19:51:24
                ",Qing,男女主最后的对视让人心都碎了,4,推荐,119,0.5516883893443384
"
                    2015-04-05 21:04:53
                ",冰红深蓝,贵族女性与男记者的爱情故事，尽管很俗套，但拍得非常浪漫，非常喜感，非常符合电影“造梦”的一面。掉鞋子那段是亮点，石狮子咬手（真理之口）和大闹舞会（吉他砸头）的场景让人忍俊不禁。奥黛丽·赫本演技很出彩，可惜我就是对她无感。（8.0/10）,4,推荐,36,0.999999999997399
"
                    2016-12-05 00:03:04
                ",苏醒醒,因为赫本追的这部经典   感觉男主是个很有套路的人  赫本公主纯真  内心是渴望不受束缚管制的生活   有一颗青春懵懂叛逆心,5,力荐,72,0.9999998625840079
"
                    2006-01-16 18:16:08
                ",susu/苏酱,不看就太可惜了。,5,力荐,172,0.3057520590062527
"
                    2023-02-19 19:36:20
                ",momo,虽然是爱情电影，但是公主选择责任的结局，真的太好了。在电影里，公主的每一个选择都只从自身角度出发，去体验，去遇见，去感受更丰富的世界，记者joe是公主这段体验里的爱情，但是他就跟平底鞋，短发，路边吃雪糕一样，是短暂的体验而已，七十年前的爱情电影，每一处细节都是女性独立的影子。,4,推荐,53,0.999999999906205
"
                    2018-02-05 22:24:58
                ",乔治,赫本的金典之作，也是金典的黑白电影，讲述了一个纯粹自然的爱情故事，假日的每一个罗马场景，无不让人向往。,4,推荐,76,0.9999986986486846
"
                    2012-08-07 15:59:39
                ",朝暮雪,别低头，皇冠会掉。,5,力荐,54,0.3665726300985822
"
                    2007-12-02 13:30:21
                ",shu,赫本赫本 派克派克,5,力荐,103,0.94873051175203
"
                    2007-02-10 10:58:04
                ",眠去,假日短暂。,4,推荐,129,0.19299005930317992
"
                    2018-03-14 22:35:14
                ",护你周全,近乎完美的天使公主！奥黛丽·赫本永远的精灵女神！《罗马假日》里的公主殿下算是赫本女神的颜值高峰了！！,5,力荐,35,0.9998714316741281
"
                    2011-11-12 12:49:00
                ",把噗,《罗马假日》，之所以经典，是因为它的纯粹、自然。是电影的方方面面铸造了电影这种不可复制的特质，这包括故事本身、演员的表演，罗马的场景……而在罗马迷人的影像里，我看到一个最为纯粹、自然的爱情故事。,5,力荐,41,0.9999999998620428
"
                    2018-01-25 13:17:46
                ",遇见彩虹🌈,少女感满满的赫本，短暂而美好的爱情。经典。,4,推荐,125,0.9998765514443084
"
                    2016-04-03 23:02:05
                ",鬼腳七,赫本蠢傻呆萌宜室宜家。《一夜风流》是类型经典的话，《罗马假日》把这个故事演绎成了流行文化的符号。,5,力荐,16,0.9971795355526512
"
                    2023-08-05 12:14:58
                ",爱吃荔枝,第一次明白了什么叫，爱意随风起，风止意难平。,5,力荐,52,0.7505255429299722
"
                    2018-01-21 16:16:46
                ",露咪亚,看的第一部赫本的电影，清纯不谙世事的小公主让人怦然心动💗,5,力荐,108,0.9978462391658547
"
                    2009-09-09 10:40:34
                ",饭夫斯基,对，这才是现实，真公主哪能那么狗血地跟着一个小记者过日子。,4,推荐,27,0.9816949007051501
"
                    2016-12-02 13:14:24
                ",木槿莘莘,经典片啊，赫本真的很有气质，动作很有活力，优雅浪漫又干练的公主,5,力荐,47,0.9999963419954434
"
                    2016-11-01 01:06:55
                ",momo,"男女主演颜值高，剧情甜，虐狗
派克先生，风度翩翩",5,力荐,77,0.9999476964621441
"
                    2021-07-20 11:37:05
                ",Tacitus,年轻的时候看并无感，人到中年看反而觉得这个故事异常动人。大部分剧情确实是流于俗套，不过结尾一幕的升华确实把本片拉到了与银幕经典相称的水平。在我看来这不是(或者说主要不是)一个关于爱情或遗憾美、而是关于觅得自己更好一面的成长故事。公主开头只是视身兼的职责为桎梏，直到遇到男主‘无私’为达成自己的愿望而付出，渐为自己抛弃国民而内疚，最终回归既是个人选择，她便在深明其中的意义和代价下更笃定地承担起职责。男主开头只视公主为获取报酬的手段，相处中因公主的善意真诚而为自己骗取对方的信任而羞愧，也为了再次见面时自己能挺直腰杆面对公主而作出更正当的选择。因两人都想保存经历中的美好，最后都为成全对方的想象而尝试做到对方看到的那个更好的自己。哪怕始于虚幻的理想，你看到的是什么样的世界，就会成全一个什么样的世界,5,力荐,29,1.0
"
                    2022-10-20 16:30:48
                ",托尼·王大拿,一日即永恒，赫本与派克用超越表演本身的光晕绘制了这篇现代童话：如同一颗精心雕琢的景观水晶球被摔在地上后呈现出巨大的裂纹，或许不再完美，却更折射出无奈与深情的现实感。,4,推荐,7,0.9999999999487486
"
                    2014-06-10 18:49:43
                ",平凡的人,除了奥黛丽·赫本和经典电影的招牌，这部电影一无所有。不仅结尾无聊没劲，而且全剧索然无味，所谓的爱情也没有明确的体现。所以，我并不想人云亦云，毕竟这是一部50年代的电影，距今已有60年历史了，就算不能说是烂片，但从现在的审美来讲也并不好看。,2,较差,194,0.9998915743423814
"
                    2016-01-03 18:57:58
                ",Leon Winters W,她是个天使，出身名门，会讲5国语言，举止优雅得体，气度非凡。她高贵善良，与世无争，柔媚娇羞，她有着娇美的容颜和如花般的笑靥，两只会说话的大眼睛如一泓高原的碧潭，清澈静谧，楚楚动人，长长的睫毛像秋日里飞舞的蝴蝶，薄如纱翼的翅膀扇动着青春的快乐与轻盈，她的名字叫奥黛丽·赫本,5,力荐,31,0.9999999999999787
"
                    2021-07-03 22:18:53
                ",幻影吸血鬼,故事这么简单，速度这么缓慢，可是怎么就能这么浪漫？,5,力荐,50,0.9842580249527872
"
                    2010-03-10 22:31:55
                ",小猪合唱队队长,一个男花瓶和一个女花瓶演了一个别人演过的老故事，还没人家演得好。怎么就成“经典”了？,2,较差,44,0.7911753732446521
"
                    2021-04-18 22:32:45
                ",呵呵好吗,灰姑娘因为魔法变成公主，公主却只想暂时变成灰姑娘，美好的童话梦醒后，依然是各自天涯啊。,5,力荐,29,0.9999868530494975
"
                    2008-01-04 17:55:05
                ",沉歌,公主和王子，最后没有幸福的生活在一起。,5,力荐,36,0.9987329982868542
"
                    2013-09-27 20:12:43
                ",Uma Y,Audrey Hepburn只有第一晚显出可爱，她之后蒂凡尼的早餐里就照搬了这一系列的路数。我觉得任何正常的男人在半夜街头捡到一个五迷三道往自己身上靠的漂亮姑娘应该就会自觉地上了她吧，所以这整部片不符合人类意识啊。,2,较差,14,0.9969280703956904
"
                    2018-04-02 20:10:34
                ",青山绿水,赫本简直就是误入人间的美丽天使，遇到她，谁都会被深深迷恋，也只有赫本才能成就如此经典的罗马假日。,5,力荐,73,0.9999003359369936
"
                    2015-04-14 11:25:26
                ",圆首的秘书,其实远不如一夜风流，整个片子拍得异常拖沓，完全没有节奏感。不同的是一夜风流给出了一个喜剧结尾，罗马假日则有一种淡淡的哀伤……成功的改编，不成功的作品吧。,5,力荐,15,0.9999005840126789
"
                    2017-02-09 19:59:50
                ",晓月出升,"无可奈何的纯情之恋   这部浪漫的爱情喜剧堪称经典之中的经典！",5,力荐,28,0.9999910033836282
