time,uname,comment,star,title,support,sentiment_score
"
                    2009-02-21 13:03:14
                ",小易甫,一年多以后，我将它从四星改为了五星，期间未曾多看一遍。,5,力荐,7350,0.2953195391587863
"
                    2016-12-20 23:11:50
                ",根,两场强暴戏毕竟是吃不消，男性的传奇之路上似乎最少不得的就是美丽而无人格的女性牺牲品,4,推荐,5231,0.9999663681138542
"
                    2013-07-13 22:12:39
                ",维城乱马,有一种片子，伴随你走过热血沸腾的青春期，在成年后来看却又是另一番感受。在巴西，它叫《上帝之城》，在日本，它叫《大佬》，在韩国，它叫《朋友》，在香港，它叫《古惑仔》，在台湾，它叫《牯岭街少年杀人事件》，在大陆，它叫《阳光灿烂的日子》，最早的在美国，叫《 Once Upon a Time in America》。,5,力荐,3592,0.9999999999961333
"
                    2006-04-21 20:27:06
                ",林愈静,姜文的阳光灿烂的日子，杨德昌的牯岭街少年杀人事件，韩国的朋友都是模仿这部,5,力荐,4060,0.9991598009561599
"
                    2007-09-05 19:46:36
                ",击节,他的一生，是关于几个出生入死的兄弟，和一个美轮美奂的姑娘,5,力荐,4161,0.9540415570882673
"
                    2010-09-07 08:50:10
                ",Q。,以前看的时候并不能完全理解这部电影，电影里太多的内容让自己并不能一下子就可以消化得了。重看这部近四个小时的电影，没有觉得半点枯燥沉闷，好似在翻阅一本浑厚的小说，一生中所有最重要的东西都在里面，值得慢慢回味……★★★★★,5,力荐,2401,0.9999999748049542
"
                    2012-06-10 17:05:07
                ",罗弘霉素,少年子弟江湖老，红粉佳人两鬓斑,5,力荐,2578,0.5417819656007146
"
                    2017-04-15 11:52:26
                ",Rema,个人史诗式的黑帮电影，也正如所有黑帮电影一样，拥有着史诗级别的直男癌,4,推荐,2018,0.996143571146386
"
                    2007-01-15 21:03:41
                ",2013,太好看了。我喜欢它的叙事手法，少年、中年、老年穿插在一起，处理得很成熟干练。配乐非常棒。,5,力荐,1404,0.9999994226431197
"
                    2010-01-31 10:48:55
                ",丁一,兄弟如垫背黑一枪，女人如蛋糕揩一块，美国梦一场滑一跤，往事烟一口笑一笑,3,还行,3222,0.9998557139460903
"
                    2010-04-04 18:05:13
                ",小岩菽,史诗叙事大师笔法，黄昏已近青春已远。而今男人的理想已改变太多。配乐绝佳。,4,推荐,1267,0.9999997436149439
"
                    2011-03-11 15:59:27
                ",沈书君,时间真是一把无情的杀猪刀，想当初青葱的詹妮弗·康纳利一回头惊艳了多少人,5,力荐,1426,0.9800692085996329
"
                    2010-03-13 23:01:57
                ",恶魔的步调,面条的人生。这条人参很长，长达229分钟。,5,力荐,1446,0.7044422864246352
