time,uname,comment,star,title,support,sentiment_score
"
                    2007-07-18 14:19:41
                ",Lan~die,我们每个人，都会幻想能够改变过去使目前的状态更好些，或者希望过另一种生活成为另一个人，这部电影反映的就是这种想法以及假如我们真这样做的结果。埃文不停的改变过去的选择，希望能够找到一个完美的未来。可事与愿违，往往导致更加悲剧化的结尾。人类对自己的认识一度忘乎所以，以为自己就是上帝，而最终仍将认识到自然的种种限制，但正是这种限制，体现了生命的意义、抉择和努力的意义。当我们回首往事，自然会对以往的错误感到懊悔，然而也正是这些错误、这些道路，成就了我们的个性；正是这些痛苦使我们感受到生命中的刻骨铭心。,5,力荐,9364,1.0
"
                    2008-03-28 07:21:57
                ",岛,或许，我也应该用脐带勒死自己,5,力荐,11879,0.8858334456566438
"
                    2009-03-26 19:45:33
                ",爱吃面条,"十年后，再次跟姑娘一起看了这部电影，才真正看明白了。剧情中最关键的点其实是男主和他爸的关系。全片中，男主修改时间线是为了救身边的人，那么他爸修改时间线是为了什么？答案就在最后。因为男主的胎死腹中，一定会导致他妈的抑郁，抽烟，肺癌。所以他爸会为了救他妈，一遍遍回到他出生前，去修改这个结局。但是这就会导致一个结果：只要男主出生，他就一定会遭遇后来的所有，他也一定会像父亲一样修改时间线，而最后的结局，也一定是他再次扼死自己——而这个结局又会被他爸再次修改，如此循环往复。所以，终结这个循环的方法只有一个：他爸不再修改他胎死腹中的结局，接受这个事实。因为他明白了：这个儿子的死是必然的，任何努力都没用，都会让一切回到原点。这就是为什么男主爸爸会说：你做不了上帝，孩子。这句话，才是电影的题眼。",5,力荐,3375,1.0
"
                    2007-05-09 00:50:04
                ",米姐起飞,每一次的选择已经是最好的选择了。改变未必是优化。,5,力荐,5264,0.9776590045760019
"
                    2005-08-05 18:16:11
                ",小熊娃娃,"★★★★ (2004-12-17) 其实比起电影本身，还是更喜欢那段影评：“量子力学的平行多宇宙解释说，在交叉小径的花园里，总会有一条道路，让人们在生命中的每一个节点都得到幸福，在那条完全幸福的道路上，有且仅有一个你在行走。
这是多么令人宽慰啊，在每一次铭心刻骨的选择里，总有一个你选对了路，在茫茫的恒河沙数的宇宙里，总有一个你，终生幸福。”",4,推荐,7368,0.999999999999966
"
                    2012-10-20 22:51:48
                ",刘康康,剧情的细节设计过于完美，以至于反而是最基本的动机设计薄弱了些。我也很想像女主角最初质问男主角那样质问一下编剧：既然男主角真的这么爱女主角，爱到不惜勒死自己也要让她获得幸福的地步，那为什么他离开女主角七年，却甚至一个电话都没给她打过（而且似乎性生活也挺美满的）？,4,推荐,3870,0.9999999995019135
"
                    2008-10-13 12:52:10
                ",发条饺子,都是我们至尊宝玩剩下的……,4,推荐,5600,0.86944044785374
"
                    2006-02-11 13:20:00
                ",ⒹⓎ,"尽管有破绽,但是构思的巧妙和创新足以弥补,不能用科学的角度来分析艺术",5,力荐,2266,0.9999890224553083
"
                    2007-09-22 14:29:50
                ","""eMily""┆rehab",你本不屬于這個世界,5,力荐,1873,0.4624540392734874
"
                    2010-03-24 16:37:03
                ",Lucifer,绝对的经典之作，现在才发现男主角的了不起，他做了一个男人为他爱的女人能做的最了不起的事情——让她忘记自己,5,力荐,1123,0.9971755541938971
