time,uname,comment,star,title,support,sentiment_score
"
                    2023-01-07 14:35:54
                ",板蓝根,美术风格乱七八糟不统一看着很累 男女猫的设计看着怪难受 最从现实的身体比例搭配无脑移植的两足行走的拟人化和眼睛放大 太奇怪了 拜托都2022了 还有人会吃这种劣质3d的眼珠子全黑没啥高光的卖萌吗 我只觉得可怕 最好看的角色设计竟然是小狗狗 再来几步我估计要从猫奴转狗奴了 剧情就正常合家欢 也蛮喜欢加入融合很多童话角色的设计,2,较差,27,0.99999989348903
"
                    2022-12-12 12:36:05
                ",吃货F,意外，太意外了，上一部就是个单纯卖IP卖萌的作品，但是这一部花心思写故事了，虽然是个套路的故事，靴子猫对死亡恐惧，金发妹想要的家，这些都花心思写了，不仅仅是用于服务低幼观众的乱玩梗，可能也就反派大拇指写的潦草一些。死神的形象太帅了，几场戏排面MAX，Furry老公又多了一个，梦工厂现在转向Furry区制造厂了么？,4,推荐,1243,0.9999999984069621
"
                    2022-12-23 12:50:11
                ",HatcherZ,我一直认为真正优秀的全年龄动画总能满足每个年龄阶段。靴2小朋友可以看到自己熟悉的童话，可爱的人物和精彩的冒险故事。成人可以看到对人生的反思，名誉的追求，死亡的恐惧等等。四组人物，共同寻求许愿星的故事，路途通过变化地图展现了多种冒险，很多打斗场景用了抽帧，和漫画元素，风格很像《蜘蛛侠平行宇宙》，整体也呈现的是2.5D的感觉，比上一部强太多，毛发细节和可爱程度翻倍。用美轮美奂来说毫不夸张，是我今年看过的最好看的动画了。,4,推荐,959,1.0
"
                    2022-12-20 17:38:40
                ",凯文·史派东,中规中矩吧，可看可不看那种动画，内地也卖不动。,3,还行,444,0.9997074755991006
"
                    2022-12-24 18:45:57
                ",阿翔需要美少男解毒！,這部電影最絕就是條狗。你知道現實生活狗狗就是這樣子，他會不離不棄，所以他一睡在你的肚子上面，你就決定打5星。,5,力荐,1766,0.03572990405546295
"
                    2022-12-31 00:09:20
                ",十三楼的蛋黄派,真不知道这个世界没有小狗还怎么运转！,5,力荐,1753,0.9231783549669501
"
                    2022-12-11 18:47:24
                ",Chiwaha,"年度最佳动画。能把这一个直面死亡活在当下的故事讲得那么好，可见梦工厂的底蕴。更不要说绚烂的画面，2D的翻页效果都很加分。live your life, no magic required。",5,力荐,765,0.9999861782540321
"
                    2023-01-04 22:49:40
                ",朝阳区妻夫木聪,修勾就是坠吼的！（坚定不移高举狗党大旗！,3,还行,193,0.8853968755679563
"
                    2022-12-18 06:01:21
                ",衣锦与夜行,其实…靴猫….是我的furry启蒙来着…,5,力荐,126,0.7665265296129032
"
                    2022-12-23 15:09:34
                ",悠公子,"显然不是所有续集衍生都是为了圈钱，有些则有更好的故事要讲，《靴猫2》就是那种非常有必要拍，并轻松超越前作的续集。
潇洒无畏的靴猫开始珍惜最后一条命，开始安定，开始懂得家庭的意义，某种程度很像《无暇赴死》，但要更聪明，它不像后者舍本求末地花大量文戏描述没人想听的情感纠葛，而是在眼花缭乱的视觉效果中缓缓道来。
除此之外，它有更加丰富讨人喜欢的角色，更加引人入胜的冒险情节，歌舞的结合像首部一样恰到好处。插科卖萌，老少皆宜，甚至还有些泪点，所有角色都在最后完成了它的成长弧线，非常精彩，奥斯卡冲！",5,力荐,600,1.0
"
                    2022-12-25 10:34:45
                ",人类追错兔子,狗勾把狗生看得比我还透彻,5,力荐,407,0.9923604562097411
"
                    2022-12-11 07:11:43
                ",于哈哈,好看！我跟大儿子第一次去影院一起看电影，后面电影大尾巴狼猛爆西班牙语，我两乐疯了，哈哈哈哈。特效美术比功夫熊猫那个风格又上了一层楼，有突破，非常棒。,4,推荐,238,0.9999873070522974
"
                    2022-12-11 10:33:17
                ",同志亦凡人中文站,一看就是得了好莱坞续集综合症，但拍得还算有趣。不逃避死亡的命题也能戳中人心。果然猫猫还是要和狗狗搭配才能看出化学反应...,2,较差,576,0.9999980908799967
"
                    2023-01-10 11:00:47
                ",嘟嘟熊之父,算不上愉悦吧，只是不令人反感的流水线作业。好莱坞动画电影的想象力主要停留在用一切无关联无辨识度的色彩、形状、图案将画面填满，像是把一只狗两只猫三只熊几个人随意丢进一个个精美的PPT模板之中，让他们自由摔角。,5,力荐,12,0.999988823817794
"
                    2022-11-27 09:46:14
                ",Fornever,「九命猫只剩下一条命，它会如何度过？」光是看一句话简介就很想看，成片也确实没让我失望，度过了轻松愉快的 100 分钟。额外加一星给梦工厂的技术，和 Bad Guys 类似，给 3D 动画加了 2D 质感，动静皆宜，太美了。,4,推荐,227,0.9960733810735277
"
                    2023-01-13 16:43:09
                ",根,最后怎么没揉狗狗的肚子！,5,力荐,443,0.18384908197607475
"
                    2022-12-23 17:16:55
                ",谢谢你们的鱼,年度最佳动画之一，比想象中好看太多了，一级棒！,4,推荐,172,0.9907061540396634
"
                    2022-12-24 01:43:33
                ",白日妞,夢工廠出品都太會講故事了 如果沒有珍惜過任何一條命那我打算提前沒收你最後一條命 死神也太帥了吧 靴貓和死神的幾場對戰都很精彩 而且作為3D電影動作场景用了好多老電影里的抽幀效果 看上去有種經典2D動漫的質感真的很有意思。（狗狗這個新角色傻白甜得我心都要碎了。,4,推荐,519,0.9998651013069388
"
                    2022-12-23 20:31:01
                ",简,"老套又治愈
当狗狗说“放轻松，去感受它们”的时候，有被疗愈到，真的人很多时候也需要停一停去感受感受周边的世界，也许会有一些不一样的体验",4,推荐,467,0.9998592012925792
"
                    2023-01-15 22:14:36
                ",saigy`,单身狗还是不要和分手后的情侣一起冒险了,3,还行,72,0.770163552193457
"
                    2022-12-24 20:58:08
                ",啊柒,《阿凡达2》：家人是我的护盾，也是我的软肋；《靴猫2》：愿望不重要，重要的是直面死亡，珍爱身边的人。搁这互文呢，结尾倒竖的大拇指倒好像在疯狂的cue隔壁的卡神hhhhhh…行嘛，反正最后不管怎样总结we are family的对啦，三渲二+抽帧的打戏应该是本片从观感上相比其他3D动画而言较为不同的体验，至少没有死磕3D，还有些漫画般的干练。,4,推荐,272,0.9969851576687564
"
                    2022-12-24 04:22:52
                ",gerald,隔了十年的靴猫2居然比靴猫1好上不少，没有沉迷卖萌装傻讲笑话而是反过来吐槽卖萌装傻讲笑话，真是令人惊喜。油画漫画嫁接的画风有点意思，几场动作戏的镜头和空间感都好棒，死神真帅。最后航向史瑞克家的Far Far Away我一个大尖叫！,4,推荐,291,0.7257915920484492
"
                    2023-01-01 22:23:49
                ",梦,虽然故事很套路，以前可能就打四颗星了，可是今天观影体验太好了🥹这真的是我最近看过最舒心的电影了，熊家族的故事，狗狗的故事，puss和kitty的故事，每次我都要哭。熊妈妈一直对小金很温柔，最后小金说想要自己的家，熊妈妈虽然伤心但也为此拼命好好哭，明明小金要实现愿望了，却选择放弃，去救跟自己一直互损的熊弟弟🥹kitty打架的时候好帅，死神好帅，帅疯了，反而是自大的puss并没有最戳我。每一条线都做的很好，交织地也很合适，养猫了之后更注意猫咪相关的细节了，舔牛奶的动作，埋衣服的时候是猫猫埋💩的动作哈哈哈哈,5,力荐,93,1.0
"
                    2022-12-25 17:37:00
                ",泠风,看似很俗套，但有被狠狠启发到。每一个有愿望的人，或怀有“如果这个愿望实现我就会幸福”心态的人，实际上都不是快乐的人。即使这个愿望实现了，他们也还会有别的不满足，他们的问题在于把幸福快乐错误地寄托在外物上，满足了一件欲望，还会有无数个欲望，就像厨子的魔法包一样是个无底洞。真正不需要任何愿望的，是修勾，因为他的快乐源于自身，所以他的世界观，他的内心世界（电影中的魔法地图）底色就是快乐的。只有自身真正有满足感，这样的快乐才会持续永恒，所以这也是“爱总会流向不缺爱的人”的秘密。一个人自身有爱，那TA一定不会活在荒芜的世界里（TA的人生地图一定是彩虹色的）。如何找到幸福快乐？停止“if only”的想法，活在“当下”（这一世），对拥有的一切感恩，满足（药方看似很简单很老套，但聪明如两只猫反而做不到）,5,力荐,81,1.0
"
                    2023-01-15 14:53:25
                ",moonlightmile,还蛮认真的。养狗真的会改善家庭关系。,4,推荐,141,0.9468984492354388
"
                    2023-02-06 19:42:06
                ",津前甘栗,非常好！主要角色里所有的女孩子和动物都活下来了！哪怕蝗虫都活下来了！除了男人，甚至男人还死无全尸！引起强烈舒适！,5,力荐,55,0.9995112455011728
