time,uname,comment,star,title,support,sentiment_score
"
                    2012-04-30 01:54:15
                ",冰红深蓝,莱昂内最被低估的一部，匆匆赶工拍完反而使本片少却了不必要的精雕细琢，成就了最能体现导演个人风格的大师之作。大特写、闪回、长镜头、慢镜，莫里康内的配乐让人纯然陶醉其中。“完成革命的是对革命无知无觉的人，策划革命的却背叛了革命，而坚持革命的最终选择了死亡。”,5,力荐,287,0.999999999999797
"
                    2008-09-21 16:47:34
                ",车登巴咱尔,闪回时的配乐总是很销魂。,4,推荐,166,0.5558125771220093
"
                    2009-12-20 12:29:49
                ",大宸,你对一部电影期望的所有，都可以在莱昂内的电影里面找到...,5,力荐,286,0.8820572499518804
"
                    2020-05-05 02:20:39
                ",叫我spike,"一个冒险主义和一个机会主义，机缘巧合成功革命的故事。如何防范革命变质？人是否是钢铁意志？  
豆瓣小资永远只会过分看到革命的负面，忽略着革命的积极性，也看不到当权者的嗜血吃人，更想象不到一帮“蠢人”为何会被人给骗了闹着这荒唐剧目。永远在低看那些有着自发性的群众，他们就如胡适，胡兰成之流般，纸上念念有词，垮垮而谈，现世里享受着糜烂且先进的生活与思想境界，临到事（钱或死）头，定是那个投降最早的，哈哈，美其名曰：个人先行，自由至上。",3,还行,51,0.9999998002915925
"
                    2017-06-21 07:06:23
                ",巴豆虽好,革命不是请客吃饭，不是做文章，不是绘画绣花，不能那样雅致，那样从容不迫，文质彬彬，那样温良恭让。革命是暴动，是一个阶级推翻一个阶级的暴烈的行动。革命的残酷让那些强盗勾当如同孩子的游戏。,4,推荐,61,0.9999959961861175
"
                    2011-07-09 23:30:39
                ",小艺,第一场抢劫马车戏，我太喜欢了。莫里康内一反传统，没有给这部讲革命的电影配上气势恢宏的史诗配乐，而是延续前几部的口哨，再加上提琴和人声，在不经意的时候出现，怀旧又伤感。,4,推荐,44,0.9999999435451251
"
                    2022-09-03 16:20:56
                ",于成,"The people who read the books go to the people can't read the books, the poor people, says ""we have to have a change."" So the poor people make the change. And the people read the books they all sit around the big polished table and they talk and talk and talk and eat and eat and eat. Then what has happened to the poor people? They died.",4,推荐,5,0.006793548307585495
"
                    2013-12-08 09:28:41
                ",米粒,往事三部曲真是没话说，这部竟然是“莽夫潇洒劫车没想到被爱尔兰帅叔横摆一道卷入革命的腥风血雨更重要的是一段痛彻心扉的革命（？）（爱）情”！多么深刻的领悟！如果说昨天的西部往事是古龙即视感，今天这个就是吴宇森他亲姥爷。。。,5,力荐,147,0.9999999999999933
"
                    2011-01-10 01:54:10
                ",喷子,原来似乎总盯着莱昂内的NB风格了，现在才注意到老家伙的叙事能力也同样不俗。光靠几次无一丝对白的闪回就能把柯本以前的经历交代清楚，而且信息量一次比一次完整，情感代入一次比一次强烈。银行那段同样是高光段落，照例无对白，戏剧效果却无与伦比。,5,力荐,105,0.9998325104918288
"
                    2011-12-27 18:58:04
                ",ivorldn,猛然发现姜文的《让子弹飞》开头就是源自莱昂内的《革命往事》呀 一个是告别革命 一个是重温革命 就连取片名都这么遥相呼应：“让子弹飞会~~”“滚犊子~~”,4,推荐,10,0.9999999206830249
"
                    2009-01-23 21:56:45
                ",大奇特(Grinch),往事三部曲里面我独爱这部，有浪漫情怀、有兄弟情、有政治、有黑色幽默！莫里康的音乐也最爱这部！,5,力荐,139,0.9999979214435105
"
                    2012-10-09 01:45:02
                ",猪头妖怪,这已不仅仅是一支西部片，更是一出极具风格的幽默剧，一则意味深远的寓言，一部气势磅礴的史诗。依我个人之见，其水准之高，远超大名鼎鼎的镖客三部曲，甚至不在《美国往事》之下。,5,力荐,126,0.999993100259276
"
                    2015-03-21 23:23:48
                ",Ocap,至此，镖客与往事全六部正式铭刻心中。个人排序：三镖客＝双镖客>大镖客，美国>革命>西部。补片征途中每次看他的作品就像定时会面某个久违老友，熟悉与新意总在标志性的闪回、特写与洒脱配乐里涌动，重复之中不失重组，韵味统一意味颠覆。,5,力荐,80,0.999999999448919
"
                    2010-06-20 12:46:04
                ",内陆飞鱼,恢弘大气，如梦如幻。,5,力荐,146,0.9878569379046082
"
                    2014-09-21 05:56:17
                ",Peter Cat,借着北京和巴黎的电影资料馆，终于把莱昂内往事三部曲和镖客三部曲看完了。往事系列恐怕还得再慢慢消化，但镖客系列在美学真的有后无来者的气魄，永远是做类型电影和商业片的永恒教科书。,5,力荐,61,0.9999999998040929
"
                    2010-12-02 11:59:19
                ",。,"我终于明白为什么以前那些点点大的地方都会有个豪华建筑物叫做电影院,因为那是做梦的地方,只有它才配得上豪华,就像这电影,真是太浪漫了,呼告友谊的方式就是爆炸药水和子弹,即便是坐在四十年后的电视机前看完也能被那种梦幻般的热血溅得满身都是..",5,力荐,57,0.9998824815981443
"
                    2011-04-09 00:05:09
                ",stknight,莱昂内的电影节奏总是令人欲罢不能，何况再加上莫里康的配乐。片头引用老毛的话：“革命不是请客吃饭，不是做文章，不是绘画绣花，不能那样雅致，那样从容不迫，文质彬彬，那样温良恭俭让。革命是一场暴动，是一个阶级推翻另一个阶级的暴烈行动”。我觉得罗德·斯泰格尔在片中长的挺像埃里·瓦拉赫的。,4,推荐,49,0.9999990940945047
"
                    2011-05-01 15:46:13
                ",彦夕,特写闪回音乐，以及永远色彩鲜明油光发亮的脸。还是慢慢地讲了个好故事，不过最精髓的主旨都让角色自己说出来了，比起另外两部往事来可以琢磨的东西要少了很多,4,推荐,1,0.9999523518944743
