time,uname,comment,star,title,support,sentiment_score
"
                    2010-01-10 16:19:12
                ",彌張,最后那个吻看上去很好吃，很喜欢把细微的声音放大的感觉,5,力荐,128,0.9994270329949162
"
                    2010-06-10 07:02:11
                ",TORO VAN DARKO,gay movie中难得的佳作，对人物情感的细腻捕捉让这个平淡静谧的故事显得如此真实动人。满溢的情绪取代了肉欲，使得片中唯一的吻戏比同类影片暴露的床戏来得更性感。,4,推荐,90,0.9999999999967002
"
                    2012-07-07 14:06:39
                ",同志亦凡人中文站,第一次看Ciao的不眠夜——就像被全世界的细雨，打湿全世界的草坪。静谧如清风的东方诗意，缘分真是很奇妙的东西。,5,力荐,157,0.9999867811814128
"
                    2010-01-23 19:34:48
                ",米粒,太美了……爱情就应该是这样纯粹，吻戏就应该这样静到每一个毛孔都在聆听。CIAO。,4,推荐,40,0.9996425118409528
"
                    2010-10-12 00:37:40
                ",安锤,超虐心并且回味无穷！导演是华人 怪不得两人的进度如此慢热 套用某评论的话 在这个流行419的圈子 此类男人已经绝种了。那场很给力的亲吻戏长达三分钟有多 看得人屏气凝神 但我认为当中并不包含过多的肉欲吧 似安慰和被安慰比较多 仔细想想 所有的暧昧 源于爱上过同一个人。,5,力荐,127,0.9999963880906265
"
                    2009-05-09 11:00:57
                ",空城里的黑夜,"短暂的，唯美的
不舍的",4,推荐,40,0.7811080119479495
"
                    2014-03-13 01:05:48
                ",介意,那一吻哪。温柔的片子。,4,推荐,22,0.9894311103904505
"
                    2009-08-19 23:38:17
                ",D I D A,隐忍，绵延,5,力荐,42,0.9623096582614671
"
                    2010-06-06 06:08:53
                ",LORENZO 洛伦佐,安静,4,推荐,18,0.7142857142857141
"
                    2014-03-01 22:28:12
                ",胤祥,设定还不错，微妙的尴尬把握得比较好，但是拍得略有点笨。,3,还行,10,0.9860411503910735
"
                    2020-03-28 00:48:31
                ",生人回避,其实译作“再见，你好”也很贴切，两位男主先是告别了一段感情后相濡以沫互相治愈。不知道导演是不是受到了“爱在”系列的启发，连结构和气氛都营造的如次相像。,4,推荐,11,0.9999561181449016
"
                    2014-08-30 00:32:19
                ",里皮,好多遐想和遗憾。Mark生前也是个幸福的人。,4,推荐,5,0.9851886978408745
"
                    2012-03-27 21:30:02
                ",A_Huang,死去的都是幸福的,4,推荐,2,0.9755798800480024
"
                    2011-03-07 00:18:36
                ",doherty,情感过渡的好到位...喜欢里面的长镜头...治愈系佳作...,4,推荐,3,0.9963268755392051
"
                    2014-01-16 18:31:42
                ",瑴,多年後再看，故事簡單感人，那個綿長的吻，吻著心裡的人。,5,力荐,9,0.9988486297218608
"
                    2012-01-25 22:04:37
                ",长颈鹿小姐,The kiss ,5,力荐,1,0.31041609369117307
"
                    2014-02-09 18:54:32
                ",夺命老登,粗糙，学生作品？脸部特写这么多，要是坐在电影院里看会很压抑吧。不知道优点在哪儿,1,很差,1,0.9299677087622588
"
                    2011-08-02 08:58:16
                ",ehelvn,就像稍纵即逝般的轻吻一样，你好，再见。,4,推荐,0,0.9953652534324718
"
                    2010-10-06 11:54:02
                ",Soda,"不是你愛人 別人也就愛你的 
很多時候 正確看待愛情 很重要",5,力荐,4,0.9995075627686859
"
                    2011-08-25 21:39:38
                ",Memento Mori,又一部交口電影，情節感人且新穎，我可以理解這種深情。但，鏡頭語言的單一和無聊，對看片影響很大。雙人對話三人對話段落最好的是兩個人看畫的那一段,3,还行,4,0.9926426711816387
