time,uname,comment,star,title,support,sentiment_score
"
                    2010-01-23 07:05:33
                ",魁建国☘,渣攻退散……俺要看美少年和美大叔在一起/_\,4,推荐,178,0.8689319734569962
"
                    2009-04-13 00:19:38
                ",♥👖,我爱死了这个男人腼腆的笑容，温暖的眼神。,5,力荐,199,0.9809290697905069
"
                    2011-07-22 23:23:57
                ",凹凸代餐,男主拔掉院子里的花 踢烂路边的垃圾桶 之后又狼狈的蹲下来将它们复原 深爱的男人从来不穿运动服 戒不掉威士忌 却在分开后撞见他在跑步 告诉自己他已经戒酒 欧洲片就是有这样的魔力 能够把细节处理得细致动人 情怀满溢,5,力荐,124,0.9871409286696221
"
                    2011-01-10 11:36:10
                ",萨嘎摩多熊猫桑,下辈子我想要一个温柔的同志爸爸，如果他也喜欢听难听得要死的乡村音乐，那就更好了。,4,推荐,121,0.9916986884693371
"
                    2012-08-09 06:51:07
                ",Nolita,我最喜欢的镜头是Goran决定独自收养Patrick，两人（在一起吧）并排坐在沙发上，Goran轻描淡写地问说“你怎么想”，掩饰不住害羞的Patrick怯怯地说OK转头就走，之后的笑容真是无敌温馨！时间流逝间眼中只有对彼此的爱不掺杂任何杂质，所以难怪很多评论说北欧适合养老什么的。温情的现实生活多难得。,5,力荐,82,0.9999999396635707
"
                    2009-08-28 10:50:11
                ",居里夫人的布丁,片子不错，小受更是父爱无限，为什么还是会喜欢那个渣攻呢？,4,推荐,68,0.9999550721608069
"
                    2009-03-23 23:01:29
                ",平平无奇奇怪怪,还算不错，没想到Patrick如此美少年，笑起来很阳光，goran的确是完美的人啊，个性如此温暖，sven的转变太快了。,4,推荐,62,0.9998472573677598
"
                    2012-12-08 11:43:20
                ",Griet,“不管是哪国的小孩，只要能给我们一个就行啊。管他是瑞典的还是丹麦的.....哦，不，不要丹麦的。”这俩国的互掐真是无处不插针啊。,4,推荐,37,0.8574367199006903
"
                    2012-10-29 01:16:19
                ",影志,“世上只有妈妈好”,3,还行,72,0.9375775644821018
"
                    2009-11-22 14:57:45
                ",李卡,乌托邦的世界甜甜蜜蜜！,4,推荐,15,0.9654872790313611
"
                    2011-06-06 23:52:48
                ",TORO VAN DARKO,~~哎哟男主那么诱惑那么萌啊故事那么温情啊受不了啊~~~,3,还行,29,0.9955922953341884
"
                    2011-07-07 23:23:10
                ",深红,还不错，算流畅，也温暖。,5,力荐,2,0.9994309790356998
"
                    2013-01-06 23:02:15
                ",同志亦凡人中文站,三男一宅的美好童话，煽情来得刚刚好。人物塑造得有点浅，但温馨的感觉就是家。PS瑞典真是盛产美少年的国度啊...,4,推荐,60,0.9996557835200807
"
                    2009-10-10 01:22:32
                ",""" Vera",很可爱的 我最喜欢看一群邻居家的小朋友起哄叫patrik“玻璃“ 然后patrik就很生气“我要让你们后悔说这句话！“冲出去追他们的场景,3,还行,46,0.9392442629912929
"
                    2010-10-15 15:55:33
                ",小塚ai艾,"3,5   温情~~~ 海报很不错",5,力荐,0,0.9868082843264557
"
                    2010-11-26 10:19:48
                ",阿拉伯的茶,淡淡的，很喜欢，不造作，不煽情，欧洲还是比美国有文化，懂得收敛,4,推荐,39,0.9964903378184733
"
                    2010-07-15 23:10:56
                ",NigelCrane,被剧情简介的喜感骗来的，但是从来对温情片都抗拒不能，何况女男主角如此娇羞，令人屡次叹息“poor mom”，并且为最后皆大欢喜感激涕零……,4,推荐,16,0.9999622738672458
"
                    2009-06-19 20:05:00
                ",步步,太喜欢整部片子的色调了,4,推荐,6,0.843051989461101
"
                    2012-06-02 15:35:26
                ",明日冰雪封山,小正太好帅。,3,还行,1,0.4182472504672635
