time,uname,comment,star,title,support,sentiment_score
"
                    2008-06-21 01:26:18
                ",恶魔的步调,who's the monster?the society.,5,力荐,346,0.4737672181921908
"
                    2010-12-20 22:22:04
                ",小艺,需要好大好大的牺牲才能拿影后呀。,3,还行,248,0.698701446207923
"
                    2012-02-27 20:43:58
                ",桃桃林林,女性视角的控诉，查理兹·塞隆改变形象成为成功的关键，由于戴假牙，她一直要抿嘴，所以嘴角总是撇着,3,还行,125,0.970190432066682
"
                    2014-04-26 17:02:30
                ",内陆飞鱼,从前有个傻乎乎的小女孩，像很多小女孩一样喜欢洋娃娃，渴望变成甜美清纯的偶像明星，长大后她遇到了很多男人，把她变成了女汉子，后来她不再喜欢男人了，开始喜欢小女人了，再后来，她变不成甜美明星，也不再是女汉子，天啊，她变成一个怪物。,4,推荐,303,0.9999999995770288
"
                    2010-11-13 23:30:29
                ",战国客,Charlize Theron这妆化得……我边吃东西边看的，结果，我反胃了……,3,还行,95,0.6711044178590364
"
                    2008-03-04 22:41:19
                ",九尾黑猫,演得太棒了！塞隆小姐！,5,力荐,313,0.47201405306278676
"
                    2010-07-02 15:54:32
                ",鬼腳七,"生活艰涩 爱有时候只值一提
ps.啥叫演技，我拍片儿的时候演员能有塞隆的十分之一我就满足了",3,还行,16,0.9996505067575358
"
                    2019-09-01 15:05:41
                ",椒盐豆豉,小女友也太讨人厌了吧，开局 nice 十分钟，后面全程猪队友，自己有手有脚不去上班甚至不去卖，跑去教唆别人为什么不去卖都没钱供着老娘。拿钱一时爽就算了还好意思吃着别人命换来的软饭来泡妹，沦落转眼白莲花翻脸不认人，说是绿茶都委屈绿茶了。话说塞隆女神演技真比平时高了一个数量级，小金人拿的不冤。,4,推荐,164,0.3619767714023384
"
                    2012-10-05 17:57:46
                ",天才+英雄,看这电影泪流满面是神马水平？里奇你不是水牛城66里面可爱罗莉了，哼！,4,推荐,95,0.43710972991629493
"
                    2019-01-29 23:51:33
                ",狼矛,查理兹·塞隆的封后之作。女神做了好大牺牲呀,3,还行,9,0.8647509214618033
"
                    2009-05-17 12:17:03
                ",眠去,Charlize Theron想要摆脱花瓶的转型之作,4,推荐,77,0.8817367018662002
"
                    2011-09-06 00:01:51
                ",Marty McFly,Theron牺牲了自己的美貌，但这只是她完成角色的一部分，她的表演深入到了角色的内心深处，让我们见到了一个有着不堪回首的过去，处于社会边缘的人是怎样一步步为了她所爱的人和她重新找到的生活方向而走向毁灭的。,4,推荐,59,0.9999999994935649
"
                    2017-06-13 17:32:08
                ",柯里昂,派蒂·杰金斯成名之作，塞隆可以说非常颠覆了,3,还行,8,0.8654166531414097
"
                    2010-06-12 01:33:13
                ",珍珠大爷,单纯不一定是外表的纯洁。,4,推荐,34,0.8966566867553986
"
                    2012-06-02 14:42:03
                ",僵尸太疲惫,丑化自己加一星。,4,推荐,23,0.4561501083393257
"
                    2011-09-11 15:25:36
                ",小羊仔,好久没有看到这么好的片子了。这个影后实至名归，她的小女朋友也够格做个双子影后了，两人演的神了。,5,力荐,205,0.7124329448927055
"
                    2012-06-02 20:16:43
                ",luluya,你总是能从一部电影看到一位女演员的伟大~,4,推荐,49,0.9915693911697165
"
                    2007-05-21 18:48:56
                ",狮子人,谢谢你的爱。,5,力荐,119,0.7983067023134337
"
                    2008-09-15 12:46:52
                ",UrthónaD'Mors,原来....,3,还行,3,0.27272727272727293
