time,uname,comment,star,title,support,sentiment_score
"
                    2016-12-27 17:48:18
                ",七号出口,一场没有准备好的爱情，再怎么刻骨铭心，也不过是害人害己,4,推荐,896,0.9859060111232933
"
                    2016-12-29 00:34:49
                ",北京暖瓶塞,深夜里从怀里掏出来吃的想要加分的心情，在公共场合想要亲一下的心情，早上醒来还想抱一会的心情，想见面的心情，赖在你的城市不想走的心情，都太真实。,4,推荐,1432,0.9995875326555613
"
                    2016-12-26 23:19:08
                ",天腐之国🌈,在别人的故事里流自己的眼泪,5,力荐,697,0.9348618623095233
"
                    2016-12-28 00:33:22
                ",_辰曦,拍这种细腻的爱情片，还是得韩国的来啊，毕竟经验足。那种你的不耐烦，没兴趣，皱眉头的样子，我都假装没看见，就想大老远跑来看你一面，没车回去了也无所谓，被拒绝太多次就想着自己是不是太烦了，真是卑微…………比起小姐的女权主义，这部更像普通情侣之间的爱情,4,推荐,886,0.08083062726672507
"
                    2017-01-01 12:28:42
                ",BadBunny,冷战后百般挑逗你自岿然不动 一句“我很想你”瞬间击垮身心,5,力荐,651,0.9627011694126655
"
                    2016-12-27 16:39:14
                ",kiki204629,没有一般韩国电影里主角们放佛都是用美颜相机拍摄一样的质感，女主也不是整容脸，简单又随性，就好像不经意用摄像机记录下的身边朋友的经历。因为现实中不论是异性同性恋，恋爱就是时而甜蜜时而虐心，心疼说明你懂得了爱。同志题材的电影我更加愿意看百合片，爱情动作戏唯美的多，感情的传达也细腻很多,4,推荐,695,0.9999999999265832
"
                    2016-12-27 09:29:12
                ",抱七七,觉得谈恋爱真的会很快乐也会很难过，付出感情的事哪有不难过的呢？都会很爱过一段时间 被爱过一段时间，被冷淡过一段时间，冷淡别人一段时间。可是其实除了爱情的其他感情也是如此吧。否则怎么会那么难过呢。很喜欢的电影啊，虽然后半部分有些贫乏的快，但依然会觉得受到感动。谈恋爱吧，体会才知道。,5,力荐,360,0.9999999999970322
"
                    2016-12-27 23:42:22
                ",村里种树,全程代入1988的宝拉和曼玉 希望世界对脸盲多一些善意,3,还行,264,0.9907995755565757
"
                    2016-12-27 23:14:05
                ",阿花溪,有时候身体对于疼痛的感知度要比喜悦来得真，这种疼痛感甚至可以与性高潮的感知划等号，简单地说就是，你的生理反应会告诉你你喜欢什么人，而你心灵的疼痛感会告诉你，你喜欢这个人有多深。既有性欲又有疼痛，才是爱情真实的样子。——豆友评论,5,力荐,603,0.9999999995842843
"
                    2016-12-27 01:30:32
                ",琳文欣,拍的很真实，看到了过去的自己，又特么经历了一回！😂,3,还行,349,0.7912639982653544
"
                    2017-01-09 22:30:40
                ",虾坨坨艺仔,展现了一种很真实的姬佬生活状态，但因为缺少冲突，让电影显得有些平淡无趣。短发女主长得有点儿像边伯贤，一直以为是大学生恋爱，看了一半她突然说自己32了，惊。,5,力荐,267,0.9999990027361922
"
                    2016-12-31 13:13:02
                ",日常改个名字,年下老司姬和年上小白兔之间欲拒还迎的推拉太令人着迷了！两个女主演技很好，很真实啊。导演处女作拍到这个地步很不错了。恋爱里就是有很多没法说清楚没法判断正误的事情。女孩子之间的爱情好细腻，一个眼神一个挑逗一个脸红一支烟，想和你做这么直白的一句话说出来仿佛都带着小清新的bgm。,5,力荐,122,0.9999999886027541
"
                    2016-12-27 21:56:57
                ",眼眶有点屎。,韩国的烧酒，夜里的最后一班公车，你转身离去的背影，烂醉后的释怀，直到失去后才懂得珍惜的硬道理，不管百不百合，都能从电影两人每次邂逅中拼凑出爱的味道，只是这爱经不起世俗，更像是一场感情游戏。,4,推荐,306,0.9999580939236755
