time,uname,comment,star,title,support,sentiment_score
"
                    2010-12-19 22:12:44
                ",后端开发鸭先知,我也想和男主做爱,4,推荐,579,0.8771784248142938
"
                    2010-05-12 22:50:19
                ",Pius,用力推开所有爱你的人，又怎能奢望被这个世界深情相拥。,4,推荐,274,0.999064988032693
"
                    2013-05-15 00:37:29
                ",影志,在这样的弥留时光里，不厚道的赞一下3P情节。非常认同这种特定场合里必要性的非道德行为。,3,还行,273,0.9996796832486013
"
                    2010-08-27 11:46:26
                ",同志亦凡人中文站,电影将老年的心境装入了年轻的躯壳，但惟其如此才有一种比死亡更肃穆的味道。世界上每个人都会明悟，只不过大部分人都来得太迟，因为届时他已死亡。,5,力荐,188,0.999867538307157
"
                    2013-05-28 07:18:35
                ",牛腩羊耳朵,看完其它同志电影都伤心为什么其他基友都有爱情，看完这部却安慰异常，一个人去买东西，一个人做意面，一个人去看奶奶，一个人去夜店，一个人3P，一个人去教堂，一个人去沙滩，一个人游泳，一个人等死。可惜大概只有突然降临的即将死亡才能让放下所有他人的羁绊，重新回到童年的自己。男主颜完胜一切。,4,推荐,191,0.999999982636023
"
                    2015-04-30 15:33:33
                ",张维托,我要是也得癌症我就去海边看这个电影死,5,力荐,148,0.9017475690029615
"
                    2010-01-04 18:08:50
                ",Zia,想象粹不及防的天灾人祸，想象缓缓被沙砾掩埋的心跳，想象一个柔软的灵魂注入一个全新的躯体。从人的痛苦里，可拥有看穿死亡的信心。感谢使人活着的心。,4,推荐,46,0.9999998297463998
"
                    2012-12-24 21:28:46
                ",UrthónaD'Mors,死亡，就是让一个人总带着各种抱憾，独自离去,4,推荐,43,0.9997314020114672
"
                    2017-09-25 17:19:19
                ",西楼尘,不后悔与你执手，只遗憾未能白头；不贪恋这具枯身，却渴慕拥有骨肉。我用相机定格最后瞬间，却明白无力让时光驻留。在沙滩上看到那个男孩，终于忍不住失声痛哭。憎恨怜悯、拒绝同情，时间一直在走，我的记忆却只能到这里。暮霭沉沉，人已走光，只有我安睡在海边，在你们的回忆里，留下永远的少年模样。,4,推荐,36,0.9999999806168504
"
                    2010-11-12 18:26:13
                ",办公室甜心,男主很美，不，应该说美得不可方物,5,力荐,146,0.963340621901666
"
                    2017-09-24 15:45:39
                ",欢乐分裂,#重看#弥留之际的追忆似水年华，童年往事随风略过，人生的璀璨金光熄灭之际，回想起来的是满满被忽视的温馨细节；生命有几好，若知尚有明日太阳依旧升起，离去亦勿须多言，只要静候死亡的降临，垂暮夕阳依然万丈光芒，生命的延续洋溢静美。,4,推荐,37,1.0
"
                    2014-10-13 22:04:48
                ",不良生,他的身体里住进了恶魔，他从此没有眼前路也没有身后身，他在余留的光阴里与这个世间告别：父母、姐姐、奶奶、同性恋人、自己的童年、素未谋面的孩子，他与他们一一作末日温存。学会如何说再见。,5,力荐,49,0.9999999992887187
"
                    2008-08-21 19:16:26
                ",半袖,"看完电影才发现，海报上罗曼的身边躺着一个小孩子，
而电影里他一直说不喜欢小孩子，可是数次触动他的又正是小孩子。
我想他所谓的不喜欢，是为了回避某些其实很汹涌的情感吧。
独自安静的离开，而不是大团圆的结果，很好，这才是人之常情。",4,推荐,127,0.9999995929332447
"
                    2013-04-29 17:37:08
                ",徐若风,静静地死去。干净空灵的意境。,2,较差,13,0.9898772091343352
"
                    2008-08-19 11:47:38
                ",尼桑，都是尼桑的错,忧伤却浪漫，去追忆，去思索，关于童年，关于爱，关于死亡，一点点去告别，安静的离开。,4,推荐,24,0.9999969513155208
"
                    2017-09-09 23:37:55
                ",SELVEN,没有充分的戏剧前提，主人公独自赴死的深层次动机难道纯粹要依靠观众在电影之外的生活经验去理解吗？,5,力荐,8,0.9999954986418443
"
                    2009-06-10 22:13:33
                ",亵渎电影,慢慢的学会面对死亡。,4,推荐,22,0.9985832561286495
"
                    2008-10-15 10:56:52
                ",狮子人,别给我最后的时间。,3,还行,39,0.5399449035812672
"
                    2017-09-24 15:03:00
                ",寒枝雀静,A / 目前看的欧容里仅次于《登堂入室》的作品。失魂落魄的阴雨天。,5,力荐,31,0.5751793314834893
"
                    2008-03-23 13:11:11
                ",侯二六,如果沒有明天，要怎麼說再見？歐容給的答案很美……全文：http://hou26.org/zeta/golden2004f.htm#t,5,力荐,6,0.20759212988228182
"
                    2010-05-08 07:15:28
                ",LORENZO 洛伦佐,平淡却悠长,4,推荐,14,0.89614970962753
"
                    2017-09-24 08:26:55
                ",vivi,4.5 欧容从来不鼓噪，这是他比多兰强七百倍的地方。Melvil Poupaud 是外星人的海盗城中的十岁孩童，又是侯麦夏天故事中的懵懂文青。在欧容的时光里，他重历过往，独自前行。电影很短、人生不长、演员的光荣是短暂的，但是记忆一直在那儿。“我们都认为你很帅”,4,推荐,8,0.9999999998749358
"
                    2015-12-17 00:29:22
                ",海带岛,有一个场景 刚入夜的树林里 他穿了一件鲜红鲜红的毛衣 在薄夜时分灰蓝色的空气里显得娇艳欲滴 一个娇艳欲滴的将死之人在怀念自己的童年 非常浪漫,4,推荐,24,0.9025700971302082
"
                    2016-08-14 08:56:18
                ",陈凭轩,波波好帅（星星眼）,3,还行,7,0.49910796370054744
"
                    2020-10-13 20:23:59
                ",MichelleLOU,故事整体很平淡，这是欧容34岁拍摄的电影，您真的足矣回顾人生吗？和《痛苦与荣耀》相比，此片平淡空洞，乏味无趣，回溯局限的人生也回溯不出个什么劲，讲述家庭矛盾都浮于表面。诠释一个人的寂寞怎能诠释得这么肤浅，观看过程如坐针毡。拜托您别找个冠冕堂皇的理由出去乱搞好吗，全片唯一撑场的只有男主颜值。,2,较差,1,0.9999999751698181
"
                    2018-04-14 09:06:58
                ",鬈毛毛,“如果将我死去的那一刻，定义为我拥有了自己全部时间的话，那么，我一直都未曾失去过时间，而是一直在获取时间。”所以不是时光流逝是时光驻留。在面对死亡时一无所有，不带走任何亦不眷顾任何，无所祈念亦不求拥抱，做驱赶一切的恶魔，余晖下形单影只，却愿一切安祥如初，或许太难。欧容：每日一死,5,力荐,3,0.9999999999547216
"
                    2007-12-14 17:49:09
                ",cream.cx,有露点画面，为了结尾的日落，还是保存了。男主角还演过侯麦的《夏天的故事》，很帅。,4,推荐,8,0.9964306443152323
"
                    2017-02-10 15:16:19
                ",刘浪,最后一个夏天的故事。,3,还行,4,0.685968899671495
"
                    2011-12-31 23:58:34
                ",幻影刺客,这算不算是《蓝》的剧情版演绎啊,4,推荐,3,0.991485254223081
"
                    2012-12-22 11:07:51
                ",icebloom,像诗人一样去爱，像艺术家一样死去。,3,还行,4,0.9984439911996138
"
                    2011-05-12 10:39:47
                ",iceman,这是在意淫吗？,3,还行,0,0.3925340685359986
"
                    2010-01-23 23:53:19
                ",一然的海岛,同志类电影有点接受不了，但是拍的很艺术,2,较差,0,0.9704947020617685
