time,uname,comment,star,title,support,sentiment_score
"
                    2009-04-11 11:35:32
                ",猫熊不要黑眼圈,生活的意义不在于你能出多重的拳，而在于你能承受多少，并予以回击。,4,推荐,584,0.9807297353890388
"
                    2008-05-28 08:16:40
                ",砚小朵™,史泰龙牵着那条癞皮狗跑在费城的大道上，熟悉的旋律混合心跳和喘息，60岁老人的心脏依然坚挺，“老子又有六块腹肌啦～！=。=”洛奇不是故事，洛奇是一个传奇。,4,推荐,53,0.9999729169676356
"
                    2009-10-31 11:35:49
                ",Lan~die,"拳击教父的精彩谢幕，和1、2一起构成完整的三部曲。  
岁月如刀，我们哗啦啦老去，甚至来不及变得更智慧。但我们的激情仍未消亡、心中的梦一如当初。  
Fighters fight，以后的人生绝不退却。",5,力荐,144,0.99999893879016
"
                    2008-12-26 04:57:46
                ",Trenz,对于我，打动我的不是那永远坚韧顽强的斗志，而是辉煌过后平淡的生活场景。,5,力荐,208,0.9999956042925187
"
                    2015-01-31 02:52:52
                ",爱的镇魂歌,不敌岁月而日渐衰老，风雨相伴的伊人也已故去，一生的辉煌都已成为曾经，看着洛奇的沉郁和大舅子的歇斯底里，心中萦绕着感伤。这一回，不再为了争取什么，也不是为了打到谁，影片到最后，只在呈现一出完美的谢幕，上演一段活着的传奇。听到的，还是那首熟悉的旋律，看到的，还是那个熟悉的洛奇。,5,力荐,96,0.9999999999477531
"
                    2017-12-01 12:53:43
                ",托尼·王大拿,在烂片界混迹了十数载金酸梅提名等身的史泰龙重新拾起让他成名的旧作，先是洛奇、两年后再是兰博，满是饱经风雨后的淡然与超越；影片虽不完美，但充盈着令人振奋的力量；最动容的是片尾的真实影像：不同年龄、性别、种族、身体状况的人跑上洛奇阶梯振臂高呼，电影的魔力在此刻尽显无疑。,5,力荐,98,0.9999999999996307
"
                    2009-09-12 13:27:24
                ",王帝心仙人,"看完一到五，再看这部，感觉很深刻，时光飞逝，物是人非~
最后的比赛是在真正的拳台上进行的，主持人也是真正的比赛主持人，泰森友情客串了一段。",2,较差,69,0.9999678028745664
"
                    2010-11-17 05:38:37
                ",laputa,这集实在蛮无聊的，但是没拿串烧敷衍而是真的用料了，史泰龙的精神了不起,5,力荐,7,0.0388123899999252
"
                    2012-01-29 22:35:42
                ",Mia,系列电影到最后真的会有感情的，最后一部的画面和比赛镜头处理都进步了很多，熟悉激荡的配乐再次响起，情绪也跟着波动。洛奇老了，可还是那么迷人。这系列最吸引我的其实并不是作为胜者 或者拳王的洛奇，而是作为男人 身为人夫人父 或者身为亲属好友的洛奇，真诚地对待自己对待他人，以及对待生活。,5,力荐,53,0.9999999999916944
"
                    2007-09-17 15:26:49
                ",花花兔子,一个英雄谢幕的故事，一个男人的一生，洛奇成为了美国人的榜样。在经历了许多，再看美国人的英雄时候更多了份温和的人味，其实就是有自己的明确目标，战胜自己~~在纷繁的势利世界里，做好自己，不随波逐流...,5,力荐,34,0.999999999322635
"
                    2010-01-24 22:42:09
                ",思考的猫,我甚至认为这部比第一部更好，完美的收尾，英雄迟暮，那哀伤，那怀旧，那坚韧，洛奇是可以伴人一生的励志偶像。,4,推荐,54,0.9999999247508752
"
                    2016-06-29 19:56:15
                ",Ocap,16.2.7 背景与心境变了，结局与精神没变。这个系列其实看1和6就够。,4,推荐,97,0.9998337862193101
"
                    2022-09-04 00:05:02
                ",妍春,从专业考究的电影工业价值体系来看，洛奇系列无论如何算不得优质佳品。缺少名导名角名主题名场面，训练桥段单一、拳击场景不似真实，系列作品工艺相当高的重复度，剧情简单甚或单调……不喜欢的原因多如牛毛。然而，时隔十数年甚至数十年的距离，让我看到无论初作还是系列作品，剧情（在我这里）从未形成主要内核，而更加出彩且易被忽略的，是人设与意念的光芒，是寻常生活的草根气息，是电影价值借助了演员的本真形象得以在现实中延续。没错，我的见解是，洛奇系列作品，助力了史泰龙的事业腾飞，同时因史泰龙的本真形象而不断挺过淘沙大浪。这是一段互相成就的旅程，它的珍贵是难以被复制的，它的价值如星光般璀璨，照耀在男人成长的艰难旅途。,4,推荐,18,1.0
"
                    2019-01-11 18:12:07
                ",bay135,这一部应该是系列正传真正的最后一部了。。虽然拳击对决的理由有些扯，但是史泰龙融入了生活经历的表演，和整部电影略带哀伤的气氛结合的很好，掺杂着怀旧感来看，有种追了好久的电视剧迎来了大结局的感觉。,3,还行,31,0.9999998215682201
"
                    2011-03-09 21:12:23
                ",摇滚玄奘,"没办法，实在太年迈了。垂暮之作，仅以缅怀过去的光辉。
",3,还行,37,0.29672440244346765
"
                    2022-11-25 21:03:06
                ",WIKI魏,一切辉煌后的平静，才是人生日常。洛奇会老，史泰龙会老，洛奇精神不会老。比5教徒弟那集好，跟6一比5更像一般般的番外了。PS：惊喜的发现人群里泰森友情客串了。,3,还行,5,0.9999990162872496
"
                    2007-01-06 10:28:59
                ",冇有,连续剧Heroes中的飞人弟弟扮演Stallone的儿子,5,力荐,1,0.958041833615475
"
                    2015-12-20 23:19:05
                ",浑浑噩噩,洛奇会老，史泰龙会老，洛奇精神长存，一星期一晚一集看完了洛奇1-6.前三部尤其纯粹，或者和年代有关，洛奇精神告诉我，拳赛人生，人生如拳赛，犹如洛奇的职业生涯记录，没有华丽的完胜，也没有高击倒率，但也一样缔造传奇，永不放弃!看过洛奇系列，才深深领悟为什么史泰龙是很伟大的演员,5,力荐,34,0.9999999999834515
"
                    2023-11-06 16:12:22
                ",📽Anakin🏂💨,这么鸡汤的台词从洛奇的嘴里说出来真的很热血。壮心不已，史泰龙永远的硬汉。,5,力荐,2,0.998557477862647
"
                    2014-05-16 22:23:08
                ",W.史密斯,#勇气不需要多言#。。。。。一颗永不停歇的心。只要你自己一往无前，没有任何人可以阻止你的前进的脚步。,5,力荐,1,0.7638151351459632
"
                    2012-10-21 20:55:27
                ",🌻樂芃☯️,喝五个生鸡蛋是多么给力，前重量级拳王迈克·泰森也露脸了，眼球票房都赚足了，Rocky宝刀不老啊！片尾一群小孩跑步，俯卧撑，出拳练习，《洛奇》系列可以作为号召美国全民运动的片子了。,4,推荐,12,0.9905549339492593
"
                    2011-11-03 20:48:50
                ",[已注销],哥你已经成神了，这都能行。。还有脑残P到哪都是脑残啊,3,还行,1,0.9241024458993503
