time,uname,comment,star,title,support,sentiment_score
"
                    2016-04-02 00:30:38
                ",恶魔的步调,与《霸王别姬》合称1993绝代双基,5,力荐,3650,0.2786633365824914
"
                    2008-01-25 00:06:32
                ",春风化雨,"看完这部片子，我却并没有一点点的认为那个法国人愚蠢的可笑，反而觉得是一部让人伤感电影，也有看故事的原型，像是传奇，如同现实的和电影里的主人公所说是一场完美的梦，做这样一场完美的梦是要比碌碌无为来的好的多。很难界定他爱的是谁，但是也许我们也不应该去深究。
因为我们爱的是这个人，而不是这个人的性别。 在网上看到有人在国外见到过这个男主人公，他给他说了butterfly的事，看到了他保存的照片和资料，和一段话，于是我相信，这位老人最终是爱“她”的，而且我深信不疑，如同《千年女优》中女主角说的，我恨你，恨之入骨",5,力荐,1509,1.0
"
                    2016-07-22 00:17:28
                ",六比特,五星给尊龙。在雌雄间转换无痕，如果当初霸王别姬是尊龙演了，哥哥的命运会不会不一样？,5,力荐,1377,0.9965153155299027
"
                    2012-09-19 19:17:01
                ",瓦达西瓦又又又桑只爱这巧克力,编剧是原书作者，难怪拍的这么震撼人心。尊龙既能出演皇帝又能演绎“贵妃”，难以掩盖的高贵气质并没有因为出身贫贱而消逝，一举手一投足足以让众生倾倒。如果有一天我忍不住问你，你最喜欢的人是谁，请你一定要骗我，无论你心里有多么的不情愿，也请你一定要说，你最喜欢的人是我。,5,力荐,990,0.9572904932003286
"
                    2012-08-18 18:03:28
                ",匡轶歌,大梦谁先觉，平生我不知。你手握蝴蝶，生怕他凋零，却不想那是蜻蜓，一到天明是会飞走的。,4,推荐,2357,0.9938992980174317
"
                    2012-10-13 13:35:01
                ",米粒,评分略低大概是很多人无法接受rene的“蠢”，但在我看来他分明就是知道真相但当时的社会环境无法允许导致自己处于这种亦真亦幻的臆想吧。音乐真是配得好棒，柯南伯格的御用。尊龙是个非常神奇的演员，阴柔气质无人能敌，东方的面孔，说英语也不觉得奇怪,4,推荐,1479,0.9999997259524473
"
                    2018-10-03 21:12:13
                ",Fleurs.哼哼,"1993.1.1摩羯座的《霸王别姬》，
1993.9.9处女座的《蝴蝶君》，
张国荣和尊龙仿若双鱼玉佩一样，戏里戏外，雌雄同体，交相辉映。
陈凯歌和柯南伯格也各自在非典型语境中走上巅峰。
此后的他们和那个时代就不在了和不再了。",5,力荐,689,0.9999999932357577
"
                    2011-09-05 22:22:30
                ",阿暖,最后尊龙赤裸跪在囚车里，脸上全是女人的柔媚，真相之外的真心大概只有这一点。爱上子虚乌有的幻觉，从头到尾一场旧戏，太过妖艳。,4,推荐,1593,0.9925342902409834
"
                    2008-12-05 14:51:27
                ",错乱天堂,尊龙是個奇怪的人。他的怪能感觉到，但说不出来~,4,推荐,1003,0.04009372876294581
"
                    2012-03-23 18:22:15
                ",芥末蘸酱,"不要着灯,能否先跟我摸黑吻一吻.如果我露出了真身,可会被抱紧.",3,还行,1756,0.835537157479946
"
                    2019-03-01 09:42:48
                ",阿依达,大三时编剧黄哲伦来我们学校演讲的时候曾读过法庭一幕的剧本，当时听得我潸然泪下。尊龙真的美得不可方物，女装时眼波流转含蓄柔媚，而男装时又硬朗英俊，尤其是警车里他除却领带西装赤裸在曾经的爱人面前，简直像宝镜被打碎了般令人痛彻心肺，但那散射下来的破碎的光晕也是美的。结尾大使自己扮成京剧般模样，诉说着自己曾多么热爱那个本不存在的女人，以至于献上自己内心全部的热忱，以至于此生此世无法再与他人相恋。而一个无感觉的槁物，如何于冰冷的世上存活呢？故而选择如《蝴蝶夫人》般的结局。片名叫《蝴蝶君》，我想一方面是因为蝴蝶夫人，另一方面可能因为真实事件中，时佩璞与布尔西科第一次见面，为布尔西科讲《梁祝》，男扮女装的祝英台终于为爱化为蝴蝶，天底下痴心之人大抵差不多。,5,力荐,290,1.0
"
                    2016-01-19 21:20:08
                ",eros,看上去是大卫柯南伯格最不暴力的戏，其实是情感上最为暴力的。,5,力荐,252,0.9992804369010554
"
                    2013-12-19 02:26:21
                ",凉水,宋到底不是程蝶衣，他认罪，他偷生，他不为断壁残垣姹紫嫣红辩护，也不为爱情抬头。而Rene却成为了那个蝴蝶夫人，他死于爱情，死于对一个完美女人的体温的眷恋。多好的故事啊，可惜没拍好；布景够精美，却无深情意蕴。,4,推荐,644,0.9996755420605313
"
                    2009-08-08 02:19:38
                ",jj73浅之,离我的想象差好远……虽说艾恩斯还是演的很棒，尊龙的女装太没说服力了……,3,还行,464,0.4070238141351096
"
                    2022-05-07 15:35:52
                ",Sa liberté,他甚至不叫他的名字，连日本和中国都分不清，却为这样一场可笑的庄生晓梦式的爱情慷慨赴死。蝴蝶的裸露对双方都过份残忍。作为西方的rene们万万没想到中式的温婉、顺从、媚态百生之下，藏着一个男人的阳器。东西、男女，我们从未彼此了解，就慌忙地爱上对方。尊龙真是个宝。这部电影的表达至今仍然有效。,5,力荐,151,0.9912715718258778
"
                    2010-01-13 22:02:49
                ",曼靑,「蝴蝶夫人，白費等待。」根据真人真事改编。20世纪60年代，时佩璞与法国驻华大使馆职员布尔西科相遇，并男扮女装与之相恋。多年后布尔西科将时佩璞及领养儿子时度度以家属身份带回法国。1983年，时佩璞在法国被判间谍罪，其男儿身的秘密暴露，与布尔西科18年恋情告终。2009年6月30日，时佩璞在法国巴黎逝世。电影中称她为蝴蝶夫人，即是因为剧作中被美国海军士兵抛弃的日本歌姬叫做蝴蝶夫人，也是因为时佩璞与布尔西科交往时 将两人比做梁祝。电影的最后，绝望的法国男人在狱中穿着蝴蝶夫人的戏服自杀，他曾固执的认为自己是与蝴蝶夫人相爱并受其倾慕的士兵，最后才发现自己努力了大半生却成了为爱赴死的蝴蝶夫人。真相爱上谎言，如同蝴蝶爱上蜻蜓。蜻蜓天亮便会飞走 蝴蝶却只能在痛苦中等待重生。,4,推荐,447,0.9999999999999996
"
                    2014-01-24 04:45:51
                ",亵渎电影,总归还是老外眼里猎奇的视角，始终触及不到这场爱情的本质，整部电影给人的感觉是各种格格不入，刻意的历史事件背景，毫无化学反应的两位主演，故事太多的时候显得疲软无力。看不到这场爱情的痛，即使尊龙最终褪去了衣服，杰瑞米·艾因斯变成了另一位蝴蝶夫人也毫无情感冲击力了。★★,2,较差,185,0.9999999999908282
"
                    2020-01-02 06:44:43
                ",Nin,"我想不出自己见过比这更惨烈可怖的人生，积郁二十年的漫长动荡和谎言，渴望和绝望、爱或羞辱：微妙复杂因此足够激烈的矛盾。你在片头嗅到的所有“这一切将是个惨烈的悲剧”的气息到最后甚至崩塌到超出所想。Rene因此转换角色成为那个甚至用死亡都换不来尊严的蝴蝶夫人，爱情毁灭的旦角、人生无望的丑角。柯南伯格一向僭越性别和政治、模糊权势分界、逐渐深入人与人之间微妙张力的叙事方式，层层剥茧，让一切更加令人惊惧而无可奈何。宋经历着数十年穿行地狱般缓慢的折磨，身份的、性别的、爱的、政治的折磨，Rene则在最后一秒被迫面对自己丧失的整个人生。Jeremy Irons用镜子碎片刺透Rene的脖子，尖锐边缘从另一侧皮肉下横亘出来：真实事件中用剃刀割颈的布尔西科：""回首往事，我一定是个世纪丑角。""",5,力荐,95,1.0
"
                    2009-08-24 10:42:27
                ",猛汉世雄,……尊龙还是男装好看，真他妈好看,4,推荐,861,0.8558014839806289
"
                    2021-03-06 08:40:11
                ",杀杀菌M,配乐和影像都很绝，两人的演技也是，虽然尊龙仍旧能看出一些男性象征，但是我仍觉得他是爱雷尼的，雷尼我觉得他是爱上了自己的幻想，所以最后他作为他幻想中的东方女人死去，为了虚无缥缈的爱，但是我感觉他其实知道蝴蝶是男的，我是从他庭审的那个笑觉得的，即使是西装革履的蝴蝶出现，他仍是开心的，抛开别的不讲，雷尼真的是一名好爱人，好父亲，他做到了绝大多数做不到的尊重，他尊重蝴蝶的一切，他爱她，不过我很好奇两人相处的方方面面，这么多年真的一点也没有察觉到吗？另外就是我觉得雷尼爱上蝴蝶也是蝴蝶夫人这个歌曲带给他的刻板形象，他渴望这样的为无望的爱而死去的爱，这个爱纠缠着他，直到他死去。值得二刷看！,5,力荐,65,1.0
