time,uname,comment,star,title,support,sentiment_score
"
                    2007-02-15 18:38:00
                ",芥末小馒头,不要说烂，其实很卡通很cult,4,推荐,2912,0.6319036159600379
"
                    2012-07-24 23:20:59
                ",Bono,超级耐看和严重被低估的电影，看十来遍了越看越好看，我想100年后还是有很多人爱看它。,5,力荐,15624,0.9996938923338908
"
                    2009-09-05 08:24:31
                ",郁程,再都不可能出现比它牛B的功夫电影了,5,力荐,10623,0.7293259442685777
"
                    2007-11-17 05:20:34
                ",杜边生,如来神掌从此和竹蜻蜓有了联系,5,力荐,859,0.9921548671541983
"
                    2012-01-29 02:19:06
                ",魚山飯寬,重温星爷的功夫，猛觉得这是部无比伟大的电影！,5,力荐,6594,0.9997348052880201
"
                    2006-03-22 12:49:37
                ",kingfish,"包租公,包租婆,斧头帮,冯小刚被砍,....都是经典.",4,推荐,5420,0.008751140677761171
"
                    2006-07-17 11:33:37
                ",鱼丸粗面,华丽的夸张，情节倒是紧凑，毫不拖沓,5,力荐,2243,0.8893802043984884
"
                    2015-01-16 12:35:11
                ",诸葛若见,哪怕里面冷眼嘲笑一切世间丑恶，依然保留一个温暖的希望。小人物逆袭，充满悲与喜，泪水几人知，初心却未变。十年之后再看功夫，无论是打斗场面，特效技术，还是笑点包袱，依然不过时，华语动作电影巅峰之作。,5,力荐,3404,0.9999999988317214
"
                    2016-06-12 13:40:55
                ",一夏秋凉,别装逼了，这片绝对值5星,4,推荐,6126,0.4119419021483718
"
                    2012-11-20 23:24:11
                ",一只麦麦,在香港影史上应有特殊地位，拓展了武侠片的类型时空。草根无厘头，想象与反讽、结构与解构融为一体。数字技术创造的实景奇观,5,力荐,1128,0.9947967328440822
"
                    2015-03-15 01:34:10
                ",恶魔奶爸Sam,功夫最后结尾所有的角色都以路人出现并不表示这是小男孩的一个幻想，而是说曾经的江湖中人和武林高手，终于都走出恩怨瞅啥，过上了幸福美满的生活，比如神雕侠侣做了普通人，火云邪神指挥起了交通——最大的证据就是，死掉的角色都没有出现，说明故事是真的，不是幻想,5,力荐,2660,0.9999999997995299
"
                    2014-03-15 20:35:17
                ",bobobolao,星爷21世纪最好的电影，甚至比之前的一些电影都好，我起码看过5遍我会乱说？那些经典台词都倒背如流了,5,力荐,2862,0.9988934164122074
"
                    2009-05-09 15:01:35
                ",大奇特(Grinch),重温《功夫》，改四星半。阿星认出哑女这段，身后海报是金姐与弗雷德的歌舞片《礼帽》（1935），符合时代背景。当初看时没多想，现在想想应该也有其寓意。礼帽是斧头帮成员的行头，而身后的海报是帽子飞舞，代表阿星弃恶从善，正好对应这场内心转变。ps:前面斧头舞也有弗雷德.阿斯泰尔歌舞片的意思。,5,力荐,1973,0.9999412180214282
"
                    2017-09-22 23:00:49
                ",苏格拉图,7.9的分数证明豆瓣里所谓的文艺青年的审美终究和不文艺的群众一样，是局限于时代的主流审美，所以面对风格超前的影片表现出无能为力的孱弱欣赏,4,推荐,1087,0.9999999795531502
"
                    2008-11-20 21:24:37
                ",时以星,电影院里他说，你笑得好开心。,5,力荐,1533,0.839678228321021
"
                    2015-01-25 16:21:10
                ",云中,不知道看第几遍了，只感受视听语言和节奏就已经共振到流鼻血的程度。,5,力荐,1213,0.6996061567425249
"
                    2016-06-14 23:52:12
                ",大江,不知道为什么这部电影的评分这么低,4,推荐,1366,0.5520285633652149
"
                    2012-06-16 15:22:24
                ",同志亦凡人中文站,这是周星驰最后一次让我感到可爱...,5,力荐,605,0.8060634375527117
"
                    2016-08-17 12:55:11
                ",Carlllllll,豆瓣连8分都没上 明明很棒 心中可以8分以上 感觉被低估了,4,推荐,1003,0.9458656510479446
"
                    2016-12-15 23:41:06
                ",雨果,说这是一代功夫片巅峰绝不为过！星爷是天才！这么多年了，无论看了多少次，每次都忍不住感叹经典！儿时的我们不是有同样的一个梦.成为高手..英雄就美吗？如果没看多遍，又有几人真正看懂了这个结局？,5,力荐,707,0.9999999843361558
"
                    2022-02-23 04:26:24
                ",尊龙,"功夫里面星爷的才华都不是溢出来了。。。
是汪洋大海一般恣意流淌着的
是万千云霞  光辉无限
是黄河决堤  惊涛拍浪
是泰山凌云  绝顶风姿 俯瞰众神
是天地浩瀚   宇宙无垠
是笑看人生   游戏人间
是包罗万象   无所不有
是九天之云下垂  天穹倒灌
是上通苍穹   下落黄泉

是碧玉龙珏   天残地阙也

分太低，榜单排名太靠后…
md，这电影还不够好？还不够牛逼？
从叙事到人物刻画再到特效，这么经典的电影都没有9.5分？欧美日韩好莱坞九分以上的比比皆是，这样的电影才8.7？
你豆瓣还真是会装逼",5,力荐,289,0.9999999999997706
"
                    2016-06-15 11:20:33
                ",快D叫星爷,"功夫后再无功夫，功夫的最高境界见天地见自己见众生，最后一句对火云邪神说的,想学啊？我教你。哪一个震撼，毫不夸张地说周星驰导演的巅峰之作，至今仍是心中最佳功夫片",5,力荐,375,0.8747957318502305
"
                    2011-03-30 03:48:55
                ",大島,以前看过给了三颗星，现在再看，给五颗。,5,力荐,366,0.0593489390905253
"
                    2017-01-29 23:32:01
                ",Laven,这片子居然没上8，我不服。,5,力荐,483,0.0499053628290822
"
                    2012-05-14 14:03:45
                ",吃西瓜放糖,豆瓣第一个电影条目,5,力荐,389,0.990279414168243
"
                    2016-06-17 08:40:08
                ",焰,《功夫》竟然才7.7分，那些刷低分的倒是找出一部比这部电影更好看的喜剧动作片啊。,5,力荐,289,0.27526112919029444
