time,uname,comment,star,title,support,sentiment_score
"
                    2006-04-17 19:31:04
                ",掀桌超人｜2U4U,张学友让梁朝伟杀他那段，笑翻了,5,力荐,5415,0.9368812727206907
"
                    2006-01-18 18:31:48
                ",Connie,这样的parody电影，如今已经不可得.......梁家辉叫人吐血那场唱段戏，竟是众人乐得不支之下张哥哥一手编词、导演的，10几年后我才知情......,4,推荐,3284,0.9992340282822779
"
                    2010-11-05 22:03:34
                ",三翘,又看了一次 再也不会有这样聚集这么多大腕的电影了,4,推荐,1411,0.835756199828425
"
                    2009-04-05 17:45:19
                ",Ruby超人小姐,看不懂【东邪西毒】的时候就看【东成西就】。,5,力荐,2366,0.9407010394810984
"
                    2006-11-02 22:35:14
                ",张天师,香港缺心眼儿喜剧之最，看100次笑100次～,4,推荐,3552,0.8893487376107473
"
                    2009-04-29 12:29:53
                ",狮子真好吃啊,梁家辉和刘嘉玲是亮点，特别是后者，我简直被惊艳了,5,力荐,1175,0.6580228480244893
"
                    2008-08-23 22:00:11
                ",尼桑，都是尼桑的错,这种阵容如此强大又百看不厌的喜剧片估计以后也没啦~~,4,推荐,729,0.8768720244041994
"
                    2007-03-03 12:16:45
                ",眠去,从来不曾想起，永远不会忘记。,5,力荐,2454,0.9824313300803571
"
                    2006-01-08 23:18:40
                ",薇羅尼卡,看看这部片，你会明白什么叫无厘头,5,力荐,1161,0.8654627879430762
"
                    2008-06-24 05:35:13
                ",末宝儿,40几遍了吧,5,力荐,1381,0.5373962057571104
"
                    2008-07-31 22:43:12
                ",飞天PP猪,刘镇伟哪里比王家卫差？！,4,推荐,1102,0.03605408112282016
"
                    2010-06-11 11:04:01
                ",米姐起飞,"向90年代的香港喜剧片儿致敬!多少年后,他们仍是挂在嘴边最活络气氛的谈资!",4,推荐,736,0.9975106075814079
"
                    2008-03-14 16:21:37
                ",单线程青年,“给我来两根烤香肠”“你不是正在吃吗”“我打包带走不行呀！”哈,5,力荐,781,0.18927646887908633
"
                    2008-02-20 11:43:06
                ",宋阿慕,当年看得我笑至浑身酥软的一部好电影.,5,力荐,536,0.5013829443445647
"
                    2011-04-12 13:29:51
                ",姨妈的鸭,"我第一次看梁朝伟先生的电影就是这本片子 从那之后 我再也没办法爱上这个男人了~
你们毁了梁朝伟！！！！！也毁了我！！！！！我从此之后对忧郁的眼神再也没有爱了！！！！！！但是我还是好高兴啊！！！！！哈哈哈哈！！！！！",5,力荐,570,0.013106659387605912
"
                    2007-01-13 23:16:56
                ",tavico,跟同学一起又看了一遍，最喜欢刘嘉玲,5,力荐,414,0.9628259941008108
"
                    2007-06-24 10:20:45
                ",战国客,如果我一生只能看一部喜剧电影，那么，我要说，请给我《东成西就》！迄今为止，看过次数最多的影片~~,4,推荐,297,0.9902867732129829
"
                    2007-10-14 15:43:45
                ",沉歌,看《东成西就》时是初中时全班一起看的，那首歌神唱作具佳的“我爱你I LOVE YOU……”表白在班里风靡了两年直到毕业。无论怎么样，这样空前的阵容是永远不可能再出现了，而且……那个“真心人”已经永远缺席了。,4,推荐,227,0.9951903120539498
"
                    2019-04-08 18:25:15
                ",影志,张国荣：没想到你堂堂正正一个大男人，竟然用“猴子偷桃”这么下流的手法…刘嘉玲：这么大的东西从后面拿出来？！叶玉卿：我体内的蜈蚣用七块消化饼溶掉了…哈哈哈，真是又色又迷的笑点,5,力荐,142,0.5991605727689687
"
                    2011-06-26 11:45:22
                ",双喜,总听人说多么搞笑，说连东成西就你都没看过，你是80后么？然后我终于在2011年才看，我觉得如果是小学的时候看，效果肯定不同，心境变了，效果也变了。现在看来，除了哥哥风华绝代外，别的都没什么印象，是笑了，可是笑完忘了笑的是什么。,3,还行,143,0.9999637488177515
"
                    2009-01-20 03:08:20
                ",崇子,看了20遍都不厌倦~~~,5,力荐,110,0.8870111178728048
"
                    2017-03-26 23:31:32
                ",X,时光滤镜给四分，仔细想了一下，如果这些演员现在演这部电影，可能给两分算好了，还要把导演骂到狗血淋头,4,推荐,95,0.9912114497198021
"
                    2005-09-04 11:45:35
                ",大头绿豆,刘镇伟烂起来是真的烂,2,较差,542,0.3275058037445475
