time,uname,comment,star,title,support,sentiment_score
"
                    2013-08-03 12:06:49
                ",芦哲峰,果然天下武功，无坚不摧，唯快不破；终于让闪电侠唱了一回独角戏，群侠打群架，乱成一锅粥。,3,还行,95,0.8160159437775388
"
                    2018-10-09 03:40:52
                ",仿真男孩哪吒,第三次世界大战源于海王出轨！神奇女侠小三上位怒惹神域危机！氪星婴儿被囚三十年终见光明大开杀戒！韦恩赌场二十年开业大酬宾！DC重启要多可怕有多可怕！谁能想到玛莎变的小丑！韦恩夫妇相爱相杀！害怕!,3,还行,52,0.999456782540579
"
                    2013-08-11 00:54:22
                ",熊仔面,好看极了！DC的英雄怎么看都超过Marvel！这几年来看过最棒的超漫。,5,力荐,448,0.9990140694536569
"
                    2013-12-13 01:23:36
                ",宅拾叁,就看过的几集动画来说。DC完爆漫威不解释。,4,推荐,360,0.33023657460427336
"
                    2013-07-20 02:49:41
                ",张宝根,感觉没有两个地球危机好看,3,还行,3,0.9994935014868035
"
                    2013-07-17 00:25:34
                ",伊拉克洗衣粉,太好看了，应该是最不回避血腥内容的正义联盟动画片,5,力荐,320,0.9929836583020826
"
                    2013-07-26 16:15:09
                ",猪大腿,大超绿灯统统酱油，理论上来说还是蝙蝠侠拯救世界。真人版正义联盟要能拍成这样也就很牛逼了啊，不过万事开头难。。。Joker变身后没出场真呀么真可惜。,4,推荐,283,0.9998394627642662
"
                    2016-07-09 16:08:24
                ",yyb,Marvel和DC最大的区别，也是最遥远的距离，就是DC有蝙蝠侠。,4,推荐,309,0.4602119587097203
"
                    2013-07-21 09:25:47
                ",桃桃林林,大乱战。剧情赞，而且还带出些感动，原来又是Jay Oliva导的，去年的蝙蝠侠黑暗骑士动画版就很棒,4,推荐,95,0.9999240425545486
"
                    2015-09-30 09:39:14
                ",Leon Winters W,DC动画不知道甩漫威几条街啊！,5,力荐,269,0.8517581207841182
"
                    2016-03-27 15:09:33
                ",尚在影,一入DC深似海，从此节操变路人！剧情设定好赞，竟然把闪电侠设定成主角，时间线也很有意思，真希望真人电影能这么拍，不过这已经不可能的了，毕竟已经扑了一部…,4,推荐,60,0.9999908207413216
"
                    2013-07-16 21:32:09
                ",Multivac,改得比漫画清楚，删了几条线集中讲闪电的缘故。,5,力荐,186,0.5293746632850016
"
                    2013-07-25 22:29:10
                ",恶魔的步调,这个跟buffy第八季中的设想差不多，就是，当你改变了某个时间点的时候，改变的不仅仅是这个时间之后发生的事情，世界就像会被一颗石头丢进去的水面那样，在任意一个时间方向上都将因为时间的涟漪而受到影响，包括过去。,4,推荐,9,0.9975827913842638
"
                    2017-06-22 22:11:32
                ",朝暮雪,老太爷给老爷写的信直戳泪点。,5,力荐,126,0.8514737061219283
"
                    2014-05-06 22:44:55
                ",谢谢你们的鱼,cool~,4,推荐,2,0.5
"
                    2013-08-10 16:56:56
                ",SingLesinger,蛮好的。屌丝版超人好屌丝哈哈(｀・ω・´)”,5,力荐,13,0.9579364452467092
"
                    2013-07-18 12:26:46
                ",White Bear,虽然我动画看的不多，但这部是看过最好看的动画…各种儿童不宜：斩首，箭穿头，杀小孩……,3,还行,126,0.9941469470413483
"
                    2013-08-03 08:56:09
                ",沙漠中的西蒙,终于把乱炖这集拍成动画了……唉,4,推荐,0,0.8056117657868073
"
                    2013-08-05 08:32:39
                ",晚安好运©️,有能力拯救亲人却不能干涉历史，因为牵一发而动全身，不知道这类“颠倒”的世界在DC漫画里出现过多少次，众多主要角色领便当，很惨烈很虐心,4,推荐,5,0.999997861500997
