time,uname,comment,star,title,support,sentiment_score
"
                    2013-12-03 17:10:35
                ",火原和树,真的是将僵尸电影的喜剧成分发挥到了极致，儿时充满快乐回忆的一部电影，而且本片也没有林正英却发挥了更胜英叔的喜剧效果，陈友的四目道长形象也喜感十足另外，那时的李丽珍真的好清楚那,5,力荐,122,0.9999999997226079
"
                    2013-01-13 21:55:52
                ",巴喆,祖师爷上身~~~~,3,还行,107,0.6863686541646064
"
                    2016-04-14 12:30:55
                ",伏维阁主,最好笑的点居然是，决战前夕，陈友踅摸出一把剑给午马。午马问：“那你用什么？” 陈友说“我就随便啦”，然后摸出一把一人高的玄铁重剑。。,4,推荐,322,0.9227018410671737
"
                    2010-01-17 19:30:26
                ",左胸上的吸盘,祖师爷附身！大学里乱七八糟看了些僵尸片，当时认定此为港产僵尸翘楚，现在回过头来看，还是找不到比它好的,4,推荐,292,0.013555414078982975
"
                    2011-01-02 05:46:03
                ",鬼腳七,彻底败成喜剧了啊我去···元华的扮相太恶了，值得加星。午马和陈友演和尚和道士不管是戏谑还是合作都很出戏，李丽珍还是太嫩，完全不在状态。说起来，这个系列拍到这一部，简直是各种不讲究了。,3,还行,33,0.31974496891737003
"
                    2017-07-09 20:22:53
                ",回忆与否之,比起以往几部刘观伟导演的僵尸片，本片是彻底的搞笑风格，在进行完一半时才进入打僵尸的环节，打僵尸时还是搞笑依旧。影片有个比较有趣的设定，除了以往常见的道教降魔术士，还加入了佛教的和尚，当然最后证明降魔什么的还是找回道教的术士更好，而随时准备糯米是没错的了。最后我真可怜李丽珍的屁股啊,2,较差,13,0.9999999633651058
"
                    2013-06-24 13:01:14
                ",茶水坞,这类电影没的说，必须顶起，现在这类题材的电影已经快绝迹了，每次都是重温，中国的僵尸是有文化底蕴的，可是没有人来继承和发展，这让我觉得很心痛，自从林正英死后，这类影片就好像是跟着他一起陪葬了一样，这部电影没有林正英可是依然很好看，说明重要的是剧本，并不是某一个人。,5,力荐,59,0.9999999882018081
"
                    2011-05-11 17:43:20
                ",crystal,我萌元华演的七十一阿哥的贴身总管！！！！！烈焰红唇啊！！娘炮啊！！！！！！,5,力荐,61,0.020875169919501224
"
                    2008-11-13 14:26:49
                ",Hey Johnny,陈友和午马掐起来总是很好笑。陈友尤其可爱，祖师爷上身那段儿喷死了；元华的娘娘腔儿也搞笑十足。僵尸片儿中的翘楚。,4,推荐,169,0.9909559164942379
"
                    2018-06-29 12:42:03
                ",吞火海峡,僵尸片里的经典之作，摄影远超当年同侪水准，搞笑频繁而不落俗套，偶有低俗也点到即止，更收获一枚青涩质朴的李丽珍。【8】,4,推荐,96,0.35287291044083313
"
                    2014-09-19 18:02:41
                ",Lucifer,这个剧很欢乐，那时的李丽珍真是有女初长成，整剧保持了香港电影特有的轻松搞笑无厘头，继想陈友在去掉拍的最后一部僵尸电影，真是两种风格各展其势啊，好,4,推荐,66,0.9999223588259937
"
                    2007-11-18 19:59:29
                ",boks,满好的，典型僵尸娱乐片；李丽珍真靓，陈友也是个有戏的人,4,推荐,59,0.9207515245619057
"
                    2018-02-15 08:34:25
                ",Lonely,7.0/10 分。2018.02.15，重看。日版蓝光把这一部归结为僵尸先生（灵幻道士）第四部，完结篇。这一部虽然没有林正英，僵尸的戏份也比较少，但整体喜剧效果还是比较出色的，个别还很无厘头。。。李丽珍那时候和在富贵逼人系列里一样，青春娇嫩。。。,4,推荐,11,0.9999998239905924
"
                    2023-04-22 16:20:51
                ",边说边学的小涛,1 我们当年兄弟聊天 说以后 会有僵尸 舅舅 姑姑，，，七舅姥爷什么的。2 后期斗僵尸的部分 太费劲 太不专业 而且最后毒药毒死僵尸 这说法 拜托 那是僵尸，，，突然想到 我好像不能解释僵尸的消化系统停了 那它吸血干嘛 嗯···真的可以毒死僵尸？吧。3 动作和喜剧的部分我很喜欢 恐怖和故事方面 是不行 可是这电影是VCD时代的 那个时代真是资源贫乏 看电影真的有一些烧钱 大家换碟片确实很有乐趣 可是碟片的质量懂的都懂 放一次就珍惜一次，所以有一批电影是不一样的。,4,推荐,6,0.006449407756792258
"
                    2021-08-27 23:35:18
                ",Panda的影音,《僵尸先生》《僵尸家族》《灵幻先生》在观影时都感觉小时候未曾看过，因而就觉得《僵尸叔叔》应该也是第一次观影。没想到这一部的看片过程却时常让我有种莫名的熟悉感，越看越感觉自己曾经看过？看到僵尸脱棺肆意杀人、蜂蜜粘脚、“祖师爷上身”等段落就逐渐地确定了。不过不晓得是童年时期还是啥时候看的了。,4,推荐,1,0.9999994852620925
"
                    2014-03-30 22:28:31
                ",皮埃,棒呆了！！陈友帅呆了好么！！！虽然没了英叔而且不够专业啊你的墨斗呢你的黑狗血呢但是觉得比僵尸先生1好看很多怎么办哈哈哈哈笑到满地打滚李丽珍美元华逗死了哈哈哈,5,力荐,40,0.8249203350612578
