time,uname,comment,star,title,support,sentiment_score
"
                    2011-06-22 01:27:22
                ",一只麦麦,佐杜洛夫斯基如布努埃尔附体重新演绎希区柯克的《精神病患者》，马戏与杂耍又隐现费里尼和库斯图里卡的味道。弑父娶母的隐喻，动物与妓女的流离。cult/fantasy,4,推荐,73,0.9717804382218463
"
                    2019-07-05 22:39:10
                ",云雾敛,佐杜洛夫斯基真的拍起剧情片来也是有独特的韵味，虽然穿插着他那自我标记深厚的限制镜头，但这次并未夺人眼球，而是真正的融入了文本之中，使其成为具化的意喻所指，真正有了剧情层面的对照。从主题来看，整个电影其实是探讨童年生活中父母所刻烙印的深厚，父权崇拜带给了男主对于女性的首要欲望，而备受背叛的母亲，却因为父亲数次的出轨从而变得生性多疑，即对男性满怀敌意，又对女人深有怨恨，这两种作用加在男主身上制造了他的悲惨困境，也描写了母亲过于强加儿子自我欲望的癫狂，在这一点上，失去的手臂成为绝好的喻体，这一被父亲“阉割”掉的部分，成为母亲不忿的现实对照，而夺取儿子手臂成为了自我强加欲望的真实写照，最后的男主的自我掌控，对应控制权的回归，虽然明显，但好在操作手法夺目，电影内里的邪典气味赋予了这份喻体的迷人色彩。,4,推荐,46,1.0
"
                    2012-03-24 16:14:40
                ",蘭女,圣血的由来，源自于导演曾无意中与一个杀过17个女人的杀人犯一起喝过咖啡。这个杀人犯被判为精神病进入精神病院10年，后来好了，不仅当了律师，还娶妻生子，说自己“忘了以前所有的事情”。观点是：he is granted forgiven by God.他的四个儿子参与了演出，主角和其幼年，以及一个护士和跟胖女人跳舞的,5,力荐,202,0.9999900169275346
"
                    2009-11-16 19:46:49
                ",墨鱼崽|执迷不悟小世界 。,= = 导演受什么刺激了,3,还行,48,0.8965519666184654
"
                    2015-04-23 00:21:07
                ",内陆飞鱼,拉丁血统的导演气质一直都很牛逼，本片也许启迪了阿莱克斯·德拉·伊格莱希亚的《伤心小号曲》。,4,推荐,41,0.9999693913277933
"
                    2012-11-30 15:43:17
                ",米特里尼,貌似费里尼、布努埃尔、寺山修司合翻希胖的《惊魂记》,5,力荐,149,0.47824602236843006
"
                    2007-10-13 21:51:33
                ",Connie,我的童年沒有鮮血、啞女和大象的死亡,5,力荐,174,0.9810861528883559
"
                    2014-01-02 21:33:24
                ",Mannialanck,8。硫酸毁偷屌，标刀飞双臂，孤儿作鸟人，弑母终重生,4,推荐,66,0.41149321408312045
"
                    2009-11-12 14:36:38
                ",丁一,"赤子无计逃心魔，
横刀冷夺千妇命。
忍看倩女成新鬼，
我以我血祭嫫母
",3,还行,34,0.9993604764736468
"
                    2023-12-09 21:29:48
                ",Philosophia,总感觉Jodo是一个狂热的cinema enthusiast；疯狂发掘其源于拉丁美洲的经验式天赋，通过连绵不绝的想象生产重叠在影像上的装置。而由于影像本身在jodo这里是扁平的，导致鲜艳的装置们拱出地表并在其上搭建着怪诞的建筑。在《圣山》及《圣血》中搭建这一行为都是由jodo自己完成，而非装置们的自发行为；而后者的“构筑气息”明显较前者浓厚。cult源于耸立在轧平影像上的奇观式建筑。（或许可以称其为拉丁美洲巴洛克？）,3,还行,1,0.9999731048491766
