time,uname,comment,star,title,support,sentiment_score
"
                    2011-04-22 20:12:21
                ",哆哆修斯,本片探讨了科学与宗教的两面性，虽然导演偏向于宗教，可人不就是这样么，对于解释不了的或未知的事情，总要寻求一个答案出来，科学不行，那么宗教就可以解释。而道德则在这两者之间摇摆，抑或自欺欺人的存在。,4,推荐,146,0.9999798535274104
"
                    2011-02-10 22:57:04
                ",mon babe,emily那个演员太到位了，她的长相就已经极度惊悚。这片子有点改写我的所谓无神论意志。无神论是中国给我的教育，我笃信至今，但如果这些超自然现象真的存在，那么我也要重新考虑上帝领域的事情。世俗法庭无权审判，世俗眼光无法解读。怀着敬畏的心，开始祈祷吧，不要再自以为是以为这一切很荒谬。,5,力荐,265,0.9999999997160329
"
                    2007-04-16 22:12:18
                ",刘强,暴君都是“鬼上身”，你信吗？看了这部电影你会相信。这部“驱魔”电影根据真实事件改编，它的创新就在于将政治引入了这种类型。另外，这部影片有一种奇怪的氛围，你无法用娱乐片的眼光去看待他，它有些像《焦点访谈》。一直关注“驱魔片”的朋友能够理解这种转变的意义。,5,力荐,109,0.999999999997055
"
                    2010-11-07 00:43:17
                ",水脉,女主角扭曲的面孔真的有些disturbing... 被附身后无药可救地自我摧残还是挺残酷的，看完后忍不住搜了很多事件原型的信息，网上甚至还有（据说）那个女孩被附身时的真实录音。与以往驱魔片相比的优势在与加入了美国人擅长的法庭戏，并由此引出了一些宗教观点的探讨，态度再中立点就好了,3,还行,59,0.999999999979418
"
                    2013-01-21 14:12:39
                ",李娇娥,直到女主跟圣母对话之前都还蛮精彩的。结局让人有种“表面是部电影，实际上是个宗教传销圈套”的感觉....另外女主黑嗓不错，可以考虑组个队,4,推荐,111,0.999999976878906
"
                    2012-08-22 14:54:49
                ",刘康康,即使从信仰角度我也不是很能接受驱魔仪式，说上帝是借着信徒受苦来彰显他的存在也不是很有说服力。而且动不动就说谁是圣徒，也只有好莱坞敢这样来。不过比较欣赏这部电影的地方在于，它将法庭片跟恐怖片结合得这么好，最后的结局居然兼顾了法律的尊严和宗教的信仰，美国人太擅长在两极中取得平衡了！,4,推荐,54,0.9999999999996718
"
                    2011-03-31 21:07:24
                ",跳跳张,作为一个死理性无神论主义者，我对整部电影表现出来的那种宗教宽容感到不自在但是肯定；作为一个十分业余的法理爱好者，我对整部电影表现出对逻辑和判断标准，以及庭审智慧的赞颂表示兴高采烈。不够，所谓的“受折磨致死只为证明上帝的存在”这样的概念，显得非常像是宗教的一次公关行为。,4,推荐,59,0.9999981028024401
"
                    2008-05-29 09:06:58
                ",猫,披着B级片外衣的宗教片,3,还行,53,0.46965576392941943
"
                    2022-01-23 20:00:53
                ",夏季的天空,影片最精妙的是将法庭辩论与驱魔过程非常恰当的融合在一起，即便影片本身并不去搞什么满屏番茄酱肢体纷飞之类的花活儿，但依然让人觉得不寒而栗，这是一种踏踏实实的“惊悚”。整个故事在宗教、法律、道德等等的切换中玩耍得如鱼得水。而且隐约中，它亦有一丝宗教宣传片的味道。被判过失杀人的神父，走出法庭即获自由，信仰、道义、宗教与理性、法律、科学的交锋，最终取得了一个微妙而和谐的平衡。上帝的归上帝，恺撒的归恺撒，毕竟，这也是“普世价值”之一。驱魔人的超必杀“你的名字”在“招魂宇宙”中继续发扬光大，很好。,5,力荐,20,1.0
"
                    2007-04-10 13:13:47
                ",≌菩提风花,这女孩演的真不错 可是我对宗教与魔鬼确实不感冒...,3,还行,44,0.9906574950294975
"
                    2010-09-23 22:22:08
                ",刘建明,"BASED ON TURN STROY

撒旦路西法［Lucifer］、猶大［Judas］、暴君尼祿、［Nero］、希特勒［Hitler］，該隱［Cain］（亞當之子）、Fleischmann

1小时33分32秒的驱魔录音
http://web246m.dynamic-kund",3,还行,19,0.9913692491512673
"
                    2013-12-19 16:14:21
                ",Eden's Curve,magnet:?xt=urn:btih:E96A7AC6DF20B1C148F8F17D5DF53B3040337F1A&dn=The-Exorcism-of-Emily-Rose-2005-Unrated-Bluray-1080p-DTS-HD-Grym,3,还行,17,0.5
"
                    2016-05-28 15:25:50
                ",朋克大帝,没白死，变成了旅游胜地，促进旅游业发展。真实事件更证明了魔鬼的存在和神不一定爱世人，神父也是半吊子，刚出新手村就想单挑恶魔领主。,4,推荐,56,0.9987776148010147
"
                    2021-08-01 17:58:33
                ",Green2018,很特殊的题材，用法庭类型片的方式来处理驱魔题材。恐怖片算不上，也就姑娘表情有几分狰狞罢了。片尾堂而皇之地打出真实事件改编，导演显然倾向于有神论，陪审团也是。假设世上真有上帝与恶魔，一个需要靠折磨其信徒来彰显存在感的上帝，我想也不值得信仰。,3,还行,1,0.9999998617937662
"
                    2012-07-29 21:41:04
                ",猫,这“灵异”表述让我这无神论者表示无法接受   片子还是有点吓人的，主要是音响效果,3,还行,0,0.49358724561253686
"
                    2012-11-09 21:19:29
                ",了花,挺无聊的传统好莱坞式尤其是法庭和故事穿插叙事。故事很无聊（无神伦者）并且比驱魔人差很多虽然你想表达的不一样并且也是个真事。,4,推荐,2,0.9991564651296232
"
                    2016-09-02 01:44:39
                ",Q·ian·Sivan,"▤「Angels and demons. God and the devil. This things either exist, or they do not exist. Are we all alone in this life? Or are we not alone? Do I really believe that this tragedy is the work of the devil? To be honest, I don't know. But I cannot deny that it's possible.」",4,推荐,14,2.3601456112909425e-05
"
                    2010-05-16 04:41:50
                ",乐,我感動的是女律師。很真心實意的被牧師感動，又很真心實意的替牧師辯護。,3,还行,25,0.9993086118114162
"
                    2022-01-19 00:59:38
                ",豆友213246713,"科学宗教常识，三种世界观，在彼此争斗。以什么样的视角去诠释这个世界，去解释这个世界，决定了人们怎么改变这个世界。而人们怎么改变这个世界，也决定了他们怎么解释这个世界。所以科学家用科学解释，神父用宗教解释了。律师用法律解释。这里最重要的地方是他们之间如何相互交流以达到一种共存的境地。而不是一方压倒另一方而得出唯一真理。
这个世界上是否存在唯一真理。是否存在真理。对于一个人的生存来说，他用经验常识活着，还是以科学技术解释世界，还是以宗教信仰看待事物。这是一个人的抉择。是一个人的特殊存在。是我们不能忽略，不能放弃的事实。这是一种多元共存的价值观。不存在一种一以贯之的绝对真理，人的生活和生存要大于他的思想意识。所以我们要尊重彼此。越过思想的分歧。却看到后面更真实的生存。",5,力荐,11,1.0
"
                    2016-07-19 21:16:21
                ",叫什么好呢,剧情扯淡，宗教和科学的博弈自然也扯淡，这种片子往往都难将二者平衡。不过辩词精彩，Facts leave no room for reasonable doubt. 辩论的迷人之处在于无穷的possibilities&doubts，此时一昧强调真相倒是显得不那么顺理成章了。#谬论,2,较差,11,0.9988860538643503
"
                    2020-02-07 00:38:12
                ",乌鸦火堂,融合了驱魔元素的法庭片，改编自真实事件，主题非常深刻，以辩证的眼光看驱魔，无论是对事实的怀疑，对未知的求知，还是追求两极平衡，都没有妄下结论，因为信仰和制度在这个世界面前，还有很长的路要走。整体拍得有些循规蹈矩，后30分钟精彩，刚刚卸任《奇异博士2》导演的德瑞克森塑造画面一流，但讲故事水平还是一般。导演剪辑版，3.5星,4,推荐,5,0.99999999999998
"
                    2021-12-04 00:21:17
                ",snowark,理路清奇的本格驱魔片，且看剧情怎么把咱们唯物论者一步步掰弯。恰好前两周看的金棕榈《山外山》也是驱魔致死的题材。後半程的法庭戏，对于真相，圣痕的陈述和质疑又让人一度穿越到《圣母》。这个片真是最大程度的投合了不可知论者，末了，见过了黑暗，却仍然满怀痛苦和创伤勇往直前履行使命，是完完全全的升华和普世价值。不足：女律师的touch of evil 还嫌不够，妹子身上的那六个demon最后去哪了，还是要交代一下吧。驱魔之夜的第二天清晨的场景，真的太美了。遥想妹子的抖M体质，如果生在中世纪，不是流芳百世的圣徒就是臭名昭著的女巫吧。,4,推荐,6,0.9999999991667823
"
                    2016-09-16 23:55:12
                ",亲爱的猥琐猪,最大噱头是基于真实事件改编，其实是庭审片。若没有律师和神父在庭审之外有限篇幅的神秘遭遇，几乎不能算恐怖片。影片有很多有趣的论点，比如亘古的“科学尚无法证明的是否存在”以及“神是全善为何让恶魔附体人类”等。律师辩论的重点最终是possibilities rather than facts。评分看来是两极。,3,还行,0,0.9999999971946101
"
                    2020-09-06 20:07:37
                ",老咪,即便跳出恐怖题材和其他类型片对比，本片的法庭戏在呈现逻辑和思辨上都非常深刻，完成度上毫不逊色。法律偏向理性和证据，而宗教则基于感性的、对人的爱、信任和同情，它们同可知论与不可知论以及不同信仰的博弈一起，把剧作立意推向一个相当高的高度。 @2020-09-06 20:07:37,5,力荐,11,0.999999999997079
"
                    2011-11-04 23:03:13
                ",像面条般地活着,桥段老套至令人发指，演员长相与演技并滥，导把观众都当成老眼昏花的傻蛋。还假装讨论科学与宗教，你以为站在法庭上扯两神秘主义就怎么了，实质就是不入流鬼片的。,2,较差,1,0.9999888858376668
"
                    2013-10-13 01:22:59
                ",[x],不要抱着看恐怖片的心态来看这部电影，不知道改编的成分有多少但这件真实的故事，Emily Rose的故事应该被世人知道。,5,力荐,2,0.9998269993669103
"
                    2017-01-09 08:58:28
                ",Tina,在驱魔类型片中算是相当不俗的一部。紧张的法庭戏加入，唇枪舌剑的场面增加了影片的可看性，气氛控制的恰到好处，观影时始终有一种强烈的压抑感。尽管没有特别恐怖、血腥的画面，人性的本能争斗也已经能够令人产生毛骨悚然的感觉。另外值得一提的是演员对于着魔情态的演绎，真实到可以给人留下深刻阴影,4,推荐,3,0.9999999999996576
"
                    2013-05-25 11:05:06
                ",大人,披着惊悚外衣的伦理片。表面是科学和宗教的博弈，实则，是人心和正义的抗争。这场辩驳驱魔真相的斗争，让人性也在审判中暴露无遗。Emily通过释然来给自己身体以解脱，律师面对良知给精神以释放。最后一次驱魔，一语双关。,3,还行,0,0.9999999999999236
"
                    2012-04-22 21:03:21
                ",卖混沌武士,下过来以为是鬼片，再看下去以为是法庭片，最后发现是部宗教片。演员给力，但是剧情确实不大感冒。,3,还行,0,0.9526052789368762
"
                    2023-08-01 22:27:44
                ",悲辛無盡獨行夜,"真事改编，控辩双方各执一词，实则不可靠叙述者，无法证明亦无法证伪，庭审与驱魔看似风马牛不相及，却异曲同工，皆有表演性质，科学与迷信并非截然对立，科学亦在不断修正，迷信亦未必尽然虚假，上帝放任恶魔折磨信徒来证明恶魔存在并以此反证上帝未死，若上帝是这种德性，谁爱信谁信，反正我不信，facts leave no room for reasonable doubt,",4,推荐,0,0.9999996505347513
"
                    2019-06-28 19:33:49
                ",Zucchini,"我给两星不是因为它拍得烂,它的剧情其实是能够一观的(尽管有赘笔),宗教元素与法庭的载体相结合的形式也有看头;但我就是不喜欢这种论调,所谓“你的受难是要彰显他的神迹”,不能说服我。而且我认为这场辩论略显幼稚和跑题,辩方只要证明“神父并不对死亡负有责任”就可以了,现在反而往其他方向死命磕。",2,较差,1,0.9999249108375722
"
                    2008-02-13 16:47:09
                ",Utopia,2006.11.14 圣经腓利比书第二章十二节:这样看来、我亲爱的弟兄、你们既是常顺服的、不但我在你们那里、就是我如今不在你们那里、更是顺服的、就当恐惧战兢、作成你们得救的工夫．”,4,推荐,10,0.9845974678909779
"
                    2011-12-19 02:41:43
                ",老K脸,这绝对是一部被忽视了的恐怖片佳作，既有类型电影的顺畅，又有对世界认知的启迪。作为以真实事件改编的恐怖片，这种让人感觉似是而非而又充满了神秘感的电影最能抓住观众的恐怖触觉。为了和类型搭界，从人物到布景、从冲突设置到主题选择的都非常鲜明。还有劳拉·林妮的表现也特别出色。,5,力荐,3,0.9999999999809464
"
                    2009-09-15 12:28:52
                ",简俗俗,有人说这部电影是宗教的说明文，结局给人的回味很大。宗教信仰和法律或者说无神论者之间的对抗。但是结尾中的那句话“世间的审判无可置喙”在我看来则有更高的意境，无论是否有得信仰，如何坚持一条正确的道路都是尤为重要。,5,力荐,3,0.9999999999999998
"
                    2014-07-20 20:00:31
                ",RYZ,补遗。以前没仔细看现在重温感觉好不错！以审判为主线，中间穿插各种回忆及驱魔现场，最后以一种平和的方式解决问题。演Emily的女孩儿好棒！最后那封信让我感动。,4,推荐,1,0.9999999839885219
"
                    2009-12-21 22:52:29
                ",张天师,整部电影充满了庸长无聊的对白和蒙克《呐喊》式的鬼脸，我不能说它不好，不过确实一点也不吸引人，甚至都没有驱魔人的逗,2,较差,11,0.18137401804076603
"
                    2010-09-16 19:40:27
                ",路西法的信徒R,http://movie.douban.com/review/3693766/,2,较差,0,0.5
"
                    2024-03-16 21:56:16
                ",看完我动弹不得,魔鬼附身和驱魔场景相当惊悚，男的醒来发现Emily在地上以扭曲的姿势死死盯着他那个画面吓晕我了，Emily被神父驱魔那场戏，惊悚感层层递进，马匹嘶叫着冲出马厩，123456123456魔鬼的名字，看不懂但我大为震撼，是不是所有不可知论者其实都是潜在的神秘学信徒。,4,推荐,1,0.9999982736014847
"
                    2012-01-10 22:40:08
                ",rebix,不算单纯意义上的恐怖片，法律与宗教，有神论与无神论的对决……好剧本！,5,力荐,0,0.9981060829049847
"
                    2010-08-22 23:24:51
                ",大红色,三星半，驱魔本来就很难判断，而这就是真实事情改编的。,3,还行,0,0.887311116368201
"
                    2011-01-25 23:28:06
                ",luluya,这种事有时候真的很难说，以后早上3点不敢上厕所了。。。,4,推荐,0,0.04259833312889494
"
                    2012-02-08 10:32:47
                ",万十三,一点也不恐怖好吧。这个“撒旦附身”、“追圣”的个案，如果翻一下中世纪的相关书籍，会发现大量。改变的只是现代法律体系和较为先进的医学水平、控方和辩方。抛开这些，神父、艾米丽的表述和整个中世纪中层出不穷的神秘体验事件毫无区别。不过是换了个壳子来装老故事，在现代这个背景之下，这很像试探,3,还行,1,0.9999997135237918
"
                    2024-02-26 15:19:33
                ",旧书君,未分级版。斯科特德瑞克森这部真的很稳（剪辑可以再好一点）二元对立的制造并不仅仅停留在法庭上。劳拉琳妮最后关于可能性的那段宣言感觉打开了很多创作者的思路。自恋叔版的《万圣节前夜的谋杀》，还有今年的《真探》S4，对超自然力量/灵异的开放（未盖棺定论）态度拆解侦探故事的唯物。（日常传播mixin）,4,推荐,0,0.9999999999935019
"
                    2011-10-23 10:09:54
                ",[MO]鄭思山,其實這不是傳統意義上的恐怖片。原以為這是一個低成本小製作的爛片，沒想到還不錯。法庭辯論很精彩。Laura Linney的表演增色許多。根據真實事件改編也是個噱頭。我相信惡魔的存在。每個人心中也有自己的惡魔。4.5,4,推荐,3,0.9208323739748959
"
                    2019-04-30 23:22:40
                ",刷鞋大王,宗教和科学在法庭上正面交锋和驱魔两部分都很精彩。感觉影片并不是在故意宣扬有神论，而是根据事实展现了基于不同信仰看待和解释一个无解之题不同视角。话说Emily的演员真是太卖力了！超有在恐怖片里中邪的天赋！必须加一百个鸡腿！扭曲的怪脸喊出那六个名字和路西法的时候真是帅爆了！,4,推荐,1,0.9999997924945987
"
                    2012-12-09 18:25:39
                ",小骨,女主长的太狰狞了！！发起病来就是赤裸裸的恐怖片。。。。,3,还行,0,0.021870848685001443
"
                    2010-10-01 00:20:35
                ",倾盆大雨,好久没有看到这么一部逻辑严谨节奏紧凑的影片了，太爽了看的~,5,力荐,1,0.9435057599735137
"
                    2014-09-19 23:26:11
                ",Paradox,让人有很多思考的电影。当宗教信仰渗透到一个人生活的每一部分时，信仰的力量便强大到正常人难以理解。我依旧相信艾米丽的案子是一宗精神问题，而宗教在医学治疗中所起之作用亦是值得思考的议题。,4,推荐,1,0.9999999999999996
"
                    2012-11-15 01:15:24
                ",思惟凝胶,生与死，上帝与恶魔，信与不信，不作评论，也不能评论,4,推荐,0,0.11167036347166692
"
                    2011-12-08 05:10:53
                ",Veronica,还是不要喜欢那些自己都不了解只是听名字好听的神话人物了...,4,推荐,0,0.5817800022454372
"
                    2011-04-05 00:20:25
                ",哔呣咣啵の哸啐,base on a ture story.,3,还行,0,0.30451092871711205
"
                    2013-01-18 12:23:01
                ",wgoenitz,女主角说得对，无论你是否相信鬼神以及其他你的信仰所不认可的东西，但你无法否认一个人的心。,4,推荐,0,0.997897484004025
"
                    2012-10-26 11:54:02
                ",山鬼,与其说是艾米莉的驱魔，不如说是艾琳的抗辩。从一个不可知论者变成神秘论者，最终成为怀疑论者，而在她戴上项链的那一刻，能否说她已成为一个唯心论者。宗教，科学，法律，任何一个都能统治，却始终无法和谐。最终判决是对法不容情的反讽，难以置评,5,力荐,0,0.9998673189961642
"
                    2021-08-02 02:11:15
                ",Lumity,《招魂3》缺了的的神学庭审戏原来在这里，大量的情节都在彰显肉体恐怖和庭审场面，氛围冷峻节奏缓慢，不过庭审内容其实缺乏深度，属于黑白脸谁也说不明白谁，很明显导演自己也难以自圆其说，所有干脆单方面宣布了神学爱与和平的胜利。该片最尴尬的地方应该是最后请的腕儿实在太大了，一个冷酷神秘的恐怖驱魔故事，背后站着的却是圣母玛丽亚、路西法，俩大腕的实力和前面的情节不太搭。,4,推荐,2,0.9994252377031364
