time,uname,comment,star,title,support,sentiment_score
"
                    2010-09-24 00:58:55
                ",Q。,拍摄一部这样子的政治题材电影是需要莫大的勇气的，很多人或许有想过，但是不敢；有勇气拍了却又拍不好剪不好。而能拥有一位像Oliver Stone这样子的导演不可说不是美国人民的福气，影片的拍摄和剪辑都达到了顶级水平。历史只是序幕，感谢这部电影，让我们对历史有更多的思考。★★★★☆,4,推荐,463,0.9999999990776498
"
                    2008-07-12 14:45:24
                ",战国客,刺杀肯尼迪行动居然是美国政府的一场政变！也许影片中的这个结论下得有些仓促，但影片中反映出来的问题却是值得我们去思考的。凯文·科斯特纳最后在法庭上的那段陈词堪称经典中的经典，让每一个亲耳聆听的人都能得到最大的鞭策与力量！,4,推荐,260,0.9999997748601935
"
                    2010-02-01 23:01:26
                ",石墙,奥利弗·斯通拍的不是真相，是探求真相的勇气。,5,力荐,642,0.9986950593005874
"
                    2017-04-06 17:44:55
                ",半城风月,美国人果然很敢拍，这样敏感的题材也能道出真理至上的主题。,4,推荐,182,0.8939968108040686
"
                    2009-08-05 00:49:50
                ",[己注销],一个爱国者，应该看好他的政府，不要让政府毁掉了自己的祖国！,5,力荐,508,0.0389929460273718
"
                    2013-04-02 18:58:29
                ",秋熙,要不是领了感冒卡，还真没勇气刷完那么长的片。理想主义永远让人向往，但真相却往往残酷，个人总归是历史流河中的细沙，可是以卵击石如此美丽。也正因为这样完全舍己求真的时刻，历史才有意义。,5,力荐,37,0.9999371541011907
"
                    2008-04-07 20:25:29
                ",天地心任徜徉@做无知的有识之士,如果让帕西诺来演，最后那段演讲肯定牛B,5,力荐,305,0.9540300189371458
"
                    2008-01-05 01:01:16
                ",卡列宁的微笑,用电影或小说等虚构性的作品来讲述一个阴谋论的故事，是一种负责任的处理方法，比用一本装作很严肃的书来讲同样的故事要高尚得多。,5,力荐,195,0.9998514174929857
"
                    2009-02-19 04:19:20
                ",扭腰客,最后的高潮实在精彩，尽管真相也许永远暗无天日,5,力荐,209,0.9090087194540178
"
                    2018-11-14 22:48:50
                ",薇羅尼卡,“爱国者要时刻准备为了保卫国家，而不惜抵抗政府。”——本片献给所有追求真理的年轻人。,4,推荐,163,0.9948598345689289
"
                    2011-08-10 21:46:46
                ",疾走,"When I was watching Obama's inauguration, I asked the librarians, why there are so many securities. They told me, the reason JFK got killed was that he was too close to things most Americans didn't like, non-white people, and the communists.",5,力荐,60,0.005180336385867568
"
                    2018-11-16 19:44:18
                ",红辣椒,"我工作是为了确保孩子们不会成长在一个只有在历史书里才能读到正义的国家，就像恐龙或者亚特兰蒂斯一样——即使只是事实的一部分，你是否意识到你已经损害了国家的信誉？——如果政府向人民撒谎，这个政府值得我们保护吗？如果你不能相信别人，也不能说实话，这个国家就变成了一个危险的国家。就算天塌下来，我也选择正义。最后半个小时的法庭辩论看得我泣不成声。爱国者要时刻准备为保卫国家，而不惜抵抗政府",5,力荐,107,0.9999900246323318
"
                    2009-11-30 05:01:20
                ",艾小柯,剪辑和摄影堪称范本教材！,5,力荐,180,0.9966902496108597
"
                    2012-11-27 23:08:38
                ",醉舟,三个半小时丝毫不觉，本片真是精彩绝伦，斯通运用证据，刺杀场景再现，重组，在人们的讲述中不断插叙，倒叙，假设性的场景一晃而过，关于刺杀肯尼迪的真相我们不得而知，可是斯通的影片氛围营造愈发逼真，随着探索谋杀真相的推进，镜头和剪辑越来越犀利，直到最后的法庭陈词，不禁让人为之一叹,5,力荐,108,0.9999999985488945
"
                    2013-06-24 13:29:25
                ",欢乐分裂,SIFF@大光明；非常庆幸之前并无看过此片甚至剧透，三个多小时一气呵成如梦如幻如痴如醉，无论从技术层面还是情感震撼，都让人体验到无与伦比的感动。你可以说它又是一个包装成美国梦的倾销，但这种梦至少还能在现实中做；最后的演讲直击人心，对真相的渴求是人类进步的动力；OliverStone最伟大的电影！,5,力荐,76,0.9999999999999947
"
                    2017-03-18 23:30:49
                ",寒枝雀静,导演剪辑版/目前看的最好的美式主旋律。将JFK处理为精神符号也许不一定符合历史真实却几近完美地完成了艺术真实。掩盖真相的不仅是权力，也是人的懦弱。更绝望的是全片弥漫的精英意识恐怕早已无法拯救这个世界。能把这么复杂的故事抽丝剥茧讲清楚已属不易，200多分钟毫不乏味更是功力惊人。,5,力荐,42,0.9999999996615365
"
                    2017-04-06 13:35:39
                ",天秤座的胖子莹,拍的真不错了，毕竟这么敏感的主题把握的很好,5,力荐,90,0.9984323401577045
"
                    2015-04-30 14:32:56
                ",冰红深蓝,看过的最不闷、最有力量的政治片，精彩万分！高潮的半小时法庭雄辩催人泪下，也许稍有过火，但足够发人深省。奥利佛·斯通将真实历史录像、纪录片式黑白影像和冷色电影画面完美拼接，基本还原了刺杀真相。神级的摄影和剪辑、科斯特纳让人信服的表演、对民主与知情权的思考，还能要求更多吗？（9.0/10）,5,力荐,21,0.9999999999997582
"
                    2017-04-06 08:59:44
                ",可缓缓归矣,探寻真相的勇气,5,力荐,44,0.9872338400141776
