time,uname,comment,star,title,support,sentiment_score
"
                    2009-09-24 00:12:33
                ",维舍斯✖卑鄙香波,"转自韩寒：《第九区》是一部极好的外星题材电影，也叫《贫民窟的百万外星人》，它的出现使得食物链得以运转，白种人欺负黄种人，黄种人欺负黑种人（事实上是白种人直接欺负黑种人，黄种人则喜欢互相欺负），黑种人欺负外星人，外星人再欺负白种人。给9分。
",4,推荐,2891,0.054577155165345115
"
                    2009-09-06 07:13:37
                ",HELLO！,要博爱！要博爱！第一次看科幻片，为人类被炸死而感到大快我心。,5,力荐,2601,0.996074115561017
"
                    2009-09-18 11:07:16
                ",能工巧匠沙门哥,"冷笑话：
1. “老板，有没有D9？”“有啊，左边都是D9。”“不是，我是问District 9”“哦，那个没有D9的，只有D5的”。

2. “老板，你这个第九区是几区的？”“二区。”",3,还行,894,0.0008967580977106149
"
                    2009-09-13 21:18:24
                ",影子的影子,伪纪录片的风格我非常喜欢，前半部分很好，不论是剪辑、表演、节奏都控制得相当精准，后半部分倒是秀的成分多了起来，感觉就是乱打一通，失去了前半部分那种伪真实带来的震撼力量。后半段的说教意味也颇浓，镜头中明显有强加导演观点的意思，和影片整体风格不是很搭。,3,还行,393,0.9999999409216705
"
                    2009-08-16 19:23:16
                ",小劳,刚看完District 9 (第九区) 告诉我们两个道理：1.交流很重要，就算是跟外星人。2. 信任也是很重要的，就算是跟外星人。人类不要太自私且自以为是，外星人说一是一很守诺言的。,4,推荐,1225,0.5444654953502882
"
                    2015-08-23 05:54:03
                ",同志亦凡人中文站,以为外星人够丑陋了，结果最丑陋的还是人类。 用科幻讲述人性之恶，可惜伪记录片的形式无法一贯到底。估计这是史上最反胃的科幻电影了吧... （还是更喜欢导演今年的Chappie啊！）,4,推荐,1097,0.9999624897664511
"
                    2009-12-06 22:30:26
                ",思考的猫,在“我们”眼中，“他们”总是异端，权利总是可以被侵害，只有当一天，“我”成为“他们”的一员，才能体会那份苦痛与自己曾经的残忍。,4,推荐,521,0.9905213014442074
"
                    2009-09-07 23:47:31
                ",卡特兰,科幻成份并不多。其实是个讲人性，讲种族的片子。嗯，我是这么认为的。,4,推荐,324,0.9993529433113565
"
                    2015-08-05 15:20:46
                ",冰红深蓝,导演采用伪纪录片+新闻访谈风格拍摄，增强了带入感。故事本身有点类似于[汉江怪物]和[与狼共舞]。大部分观众在影片伊始就会被外星大虾的外貌恶心到，但随着剧情进展却逐渐生发出同情和怜悯感。在动作科幻的外壳下展现人性和探讨社会问题（种族隔离、少数族裔与主要人口的隔阂），很有想法。（8.5/10）,4,推荐,157,0.9999999999999349
"
                    2009-09-08 14:54:02
                ",░▒▓██,人家也只是想回家。,5,力荐,3287,0.7077502559270302
"
                    2013-10-31 18:27:31
                ",朝暮雪,我一直想问，大虾那么弱怎么会有那么高的文明？能造飞船怎么又会被人虐？2013.10.31,3,还行,454,0.6871760553542787
"
                    2013-02-19 11:29:35
                ",Indecent time,外星人长得太难看了，有的镜头会让人反胃。。。尽管如此这片还是我看过最好的伪纪录片之一，人类对外星人的态度正是他们对自己的态度,4,推荐,183,0.9800455295773635
"
                    2009-11-27 17:14:14
                ",谢谢你们的鱼,让《变形金刚》看起来像一部迪士尼电影,4,推荐,202,0.9607583535202424
"
                    2020-02-11 18:57:26
                ",连城易脆,为什么外星人总是这种带有触须的，而且黏糊糊的，真的是看着太恶心了。不过看久了，就像看异形一样会慢慢适应。其实把外星人设计的丑陋一些也是合理的，因为这样才更能体现【黑暗森林法则】起到的作用。伪纪录片的拍法有一点儿意思，不过还是觉得有些跳脱，整个纪录风格没能全片一以贯之，内容上其实是披着科幻外衣的种族歧视相关的主题电影，能拍成这样当然还不错啦，就是到结尾后还是会有些不过瘾，特别想看故事接下来的发展。很多评论电影里人类没有人性，外星人更像人。我觉得吧，人性本身就包含正面和负面呀，男主最后不也展现了人性相对光辉的一面吗？,4,推荐,21,0.9999999999992759
"
                    2009-08-15 12:55:12
                ",pəteto,"full of irony
讽刺媒体 讽刺政客 讽刺种族歧视 讽刺人性（不过也有赞扬的一面）
纪录片的风格让人信以为真",5,力荐,1116,0.9999852486558615
"
                    2017-10-22 01:36:34
                ",(๑⁼̴̀д⁼̴́๑),威库斯在动员过程中傲慢随意，与当地居民冲突频频。最终，他为自己的行为付出代价，外星人的神秘流体将其感染，威库斯慢慢变成了外星人的模样,4,推荐,40,0.9853847503559662
"
                    2009-09-14 22:26:21
                ",snowinter,“文明执法”的城管头头最后牺牲自己，单挑多名同类，帮助小贩逃跑。──豆友,5,力荐,938,0.495439030688006
"
                    2009-08-18 12:36:03
                ",大西,外星人电影的新一篇章。史诗。史蒂芬后继有人。豆瓣评星不够打。,5,力荐,845,0.9823822990318822
"
                    2009-08-17 12:08:48
                ",彼岸的尘土,"http://www.d-9.com/ 或者 http://www.district9movie.com/
它的官方网站做得非常有意思  
里面有这很多周边资料带你了解 district 9 的世界观
比如有视频介绍 外星人是雌雄同体的  甚至还能下载到一份泄露的政府秘密文件 
",5,力荐,504,0.9705740348037257
