time,uname,comment,star,title,support,sentiment_score
"
                    2017-10-05 13:01:50
                ",superman,格局很小，气势很宏大，剧情也很简单，然而讲的很复杂。说真的这个导演去拍攻壳多好……,4,推荐,6776,0.9955411485794411
"
                    2017-10-07 16:55:18
                ",正一KL,高司令似乎还没有完全从上一部角色中跳出来，看见钢琴都要上去按一下……,5,力荐,11768,0.9413709676914679
"
                    2017-10-26 21:28:32
                ",黄青蕉,这不是一部适合约会和朋友谈资的娱乐爽片，因为它有一种宗教般的肃穆、宏大、缓慢和沉重，但这应该是一部二十年后你会跟你儿子吹逼说：“爸爸我当年可是在电影院看过”的电影（是的，就像三十几年前那部银翼杀手本尊一样）,4,推荐,3202,0.9999988170043214
"
                    2017-10-05 14:27:31
                ",同志亦凡人中文站,这不是商业片啊，这是碉堡了的文艺片啊！维伦纽瓦用最擅长的慢性把雷德利·斯科特的邪典完全磨成了自己的东西。故事并不复杂，甚至比老版少了点哲学意味，但呈现的废土美学震得人七荤八素叹为观止！越慢越好看，慢性出诗意，高潮你麻痹！163分钟真~~~过~~~瘾~~~,5,力荐,7539,0.9999998837003221
"
                    2017-10-05 18:25:47
                ",RKO,生死去来，棚头傀儡。一线断时，落落磊磊。,5,力荐,5208,0.9178716024970165
"
                    2017-10-09 06:45:01
                ",蜉蝣,进电影院前波米老师还在说，每个人都有几部看不下去的经典。果然，作为不喜欢第一部的人，五分钟之后就看得很想死…电影很好，是我不行==,2,较差,1083,0.9963160207163433
"
                    2017-10-05 04:36:05
                ",陀螺凡达可,太想把故事说清楚，反而显得笨拙，丢失了点原作那样的韵味。但同时又出色的对原作主题进行了延续和更具时代性的探讨，在超级英雄电影横行的好莱坞逆流而上，节奏如此之慢高潮戏场面如此之小却释放出了维伦纽瓦和迪金斯合体的最大威力和魅力，有几场戏值得入选任何人任何媒体的年度最佳电影瞬间。,4,推荐,2255,0.9999999999999996
"
                    2017-10-06 11:37:19
                ",MR.Charles,我们耗费了太多时间去寻找生命的意义 去寻找自我的灵魂 我们连理解自身都做不到 却想要触手未来 去挑战自然 或许生命本身 就是去闻一朵破碎的黄花 去触碰拍打着翅膀的蜜蜂 让烟雾从身旁飘过 让雪花在手心融化,5,力荐,3784,0.9999999872040363
"
                    2017-10-27 19:33:41
                ",良亮人,一开始是复制人，后来以为是天选之人，最终只是个局外人……如此经历便是“人”了。,4,推荐,1945,0.9672642301037633
"
                    2017-10-06 12:38:30
                ",离净语,半夜走出影院，竟然久违地下起了密雨。,5,力荐,3490,0.6948652339038501
"
                    2017-10-06 20:13:45
                ",桃桃林林,四星半，文艺科幻大片。维伦纽瓦迄今最成熟的一部作品，将他的风格化融入科幻剧情当中，废土与神秘。罗杰·迪金斯大玩烟、雾与剪影，影像与配乐都很强烈。超巨大的建筑物带来强大的仪式感，让整部电影更具神秘主义，还有仍然觉醒式的剧情。近些年太少见的严肃科幻大片。杰瑞德·莱托戏份不多，却很亮。,5,力荐,2969,0.9999999999999998
"
                    2017-10-26 00:48:16
                ",木卫二,很暗，很慢，很不一般。好莱坞还有这种抛弃主流爆米花观众的玩咖，我服。喜欢的几场戏： 1、高司令多重曝光玩3p 2、落了片白茫茫大地真干净 3、北京雾霾立了大功，不给LA任何机会 4、沙尘暴城放大四倍抬高四百米致敬老版银杀 5、杰瑞影音光控室戏耍老狄克 6、待续,4,推荐,1466,0.9999953787477041
"
                    2017-10-05 12:11:19
                ",天马星,维伦纽瓦又一个被封神的导演，21世纪最好的电影续集。电影从第五分钟开始就已超神，在接下来的近三小时里犹如神游太虚，这将是科幻迷一辈子都会魂牵梦绕的电影，罗杰迪金斯不拿奥斯卡简直天理难容。电影在原作的基础上进行扩展，本质上却是一部原创电影，这使得本片既「银翼杀手」又不「银翼杀手」。 @2017-10-05 12:11:19,5,力荐,1716,0.9999463556578471
"
                    2017-10-27 13:13:26
                ",欢乐分裂,“他的灵魂缓缓地昏睡了，当他听着雪花微微地穿过宇宙在飘落，飘落到所有的生者和死者身上。”“看到黄昏变得明亮，因为此刻有雨落下。”看到盛大的奇迹，看到雨终将落下，看到微茫宇宙里丰饶的记忆之海；神级摄影，满分构图，屏息凝神的声效，瞠目结舌地魂游太虚，不知身在何处。,5,力荐,790,0.9999999999999993
"
                    2017-10-05 23:58:45
                ",Peter Cat,某些时刻感觉像塔科夫斯基在拍银翼杀手，但归根结底维伦纽瓦只是故作深沉，相比163分钟片长和视觉上应接不暇，文本简单明晰到过于单薄，更不可能创造出前作过度繁冗的解读空间。不过仍旧是对得起前作和粉丝们的优秀年度之作。好莱坞对这个艺术片导演如此放任地重用在今天大环境真是匪夷所思。,4,推荐,1210,0.9999997169538186
"
                    2017-10-28 08:06:59
                ",西楼尘,虚体触摸到雨滴，废土生发出黄菊，复制人可以生育，这是你见证的奇迹；陨落前冲上去说的我爱你，浓雾里黄蜂纠缠的手臂，穿过漫长时空烟尘的对望，这是你感受的奇迹；暴雨在窗上逆行，微雪融在手心，傀儡有了灵魂，这是你经历的奇迹。在温箱里尽情想象，于记忆里放肆寻觅，见过了奇迹终于可以了此一生。,4,推荐,530,0.999999999999684
