time,uname,comment,star,title,support,sentiment_score
"
                    2012-11-08 20:24:52
                ",托尼·王大拿,不妥协的老杜才是最杀人，单场戏码做戏的本领在华语电影几乎无人能出其右；无力挣扎的宿命是暴力永远无法对抗的，黑帮片的外衣下其实是港人个体与香港整体在回归之后那无尽的困惑与迷茫；罗大佑神配乐。,5,力荐,567,0.9999999995574258
"
                    2008-06-07 19:32:04
                ",战国客,杜琪峰最有企图的一部作品，中国版的《教父》？至少有点样子啦，现在的黑社会早已不是古惑仔的那般幼稚打斗了~~,5,力荐,536,0.9995080042023605
"
                    2020-04-07 21:57:53
                ",马泽尔法克尔,Jimmy 把飞机叫进车里，递给他一张名片，说：以后不要打打杀杀了，跟我一起代言《贪玩蓝月》吧。,5,力荐,533,0.888182972028363
"
                    2016-06-29 15:40:08
                ",祥瑞御兔,“有关部门决定了，你全家来当黑社会”,4,推荐,3813,0.3492585499859606
"
                    2018-02-25 23:09:17
                ",Dean,我现在更觉得这部电影牛逼了,5,力荐,453,0.9553813954463507
"
                    2006-04-13 00:28:53
                ",老阿飞—故园,结尾真是敢拍…………,4,推荐,2698,0.8852923948074283
"
                    2006-07-18 16:14:11
                ",星崎  妙,就尤勇让我不适,5,力荐,282,0.9424311759146572
"
                    2016-05-17 00:16:14
                ",刘康康,讲真，怎么会有那么多人觉得2比1好？就因为更用力地黑大陆公安？1紧紧围绕一个危机辐射出不同人物的反应，每条线虽然都点到即止，却恰到好处，精彩纷呈还不抢任达华那条主线的戏。到了2，支线人物都变得很无聊，尤其是林雪，少了1里面背帮规的气场，感觉有点搞笑了。主线斗得也没有1的层次感。,3,还行,373,0.7745820423827838
"
                    2019-08-06 19:55:14
                ",烤芬,“我们不是不相信选举……” ,5,力荐,248,0.33367827042634113
"
                    2010-12-13 03:19:59
                ",Bill,香港一定会更加安定和繁荣……,4,推荐,1189,0.9265981375750305
"
                    2013-05-05 21:27:00
                ",原来是西门大嫂,哈哈哈哈哈明年春晚能让古天乐上表演说普通话嘛,3,还行,256,0.996971680424423
"
                    2008-01-18 23:18:51
                ",陈哈,"老杜不得了啦,",5,力荐,177,0.8123744687271496
"
                    2020-02-08 17:22:08
                ",好好看电影,废了这么大劲，就是要成为我党的驻港干部？,4,推荐,384,0.08056608934585907
"
                    2014-03-30 12:21:52
                ",米粒,这回被古天乐吓哭了TAT,4,推荐,264,0.7495238838448756
"
                    2021-07-10 22:48:42
                ",Mandalorien,只有东莞仔敢同阿乐去钓鱼不用带头盔,5,力荐,170,0.09974804832900885
"
                    2014-04-30 11:01:22
                ",davekozg,结尾太牛逼了！牛逼得闪闪发亮！,4,推荐,237,0.99388506312052
"
                    2012-07-25 20:50:21
                ",57,"杜琪峰的政治表述太露骨了，这一部讲权力，夺命金讲金钱。但是港人认同这个主题实在有点老套，对权力的警惕并不能洗白金钱凶猛，难道黑社会才是香港的良心？“解开所有的烦恼, 成就心中莲花开放，这才是最高智慧。”",4,推荐,90,0.9999998371751785
"
                    2010-02-24 22:01:13
                ",Lan~die,古天乐被逼做教父，可惜翻不出如来佛的手掌心，壮哉我大Party……“到了《以和为贵》之后，血腥暴力程度明显加重，表面的平静不过是罪恶尚在孕育之中，突破底线的暴力也随时准备着突袭。古天乐和任达华扮演的候选者不再是单纯为了满足自己的私利，更大视角中的社会隐喻也寄托在了他们的身上。”,4,推荐,115,0.9999999999890563
"
                    2007-01-08 20:52:40
                ",大头绿豆,跟一差不多，看完，也就是看完了。,4,推荐,109,0.8414281866117647
"
                    2017-08-10 22:48:03
                ",MR.Charles,以和为贵 结果所有人都在互砍 叫着黑社会 最后却得去稳定社会,4,推荐,59,0.3782654602653003
"
                    2010-04-19 12:55:24
                ",有心打扰,强大而隐秘的黑暗，谁才是最终的操盘手。庞大的生物链中总有一个最高的顶点，那才是最恶之黑，才没有所谓的身不由己。而占米这个角色或许代表着许许多多古惑仔、黑社会之所以涉黑的缘由。,4,推荐,72,0.9999988598087524
"
                    2012-12-05 02:14:57
                ",黄色动力伞,几时拍第三部啊？乐哥的仔danny也应该长大，可以回来报仇夺权了，尤勇也应该从副厅长平步青云到中南海了吧,5,力荐,163,0.998855833685993
"
                    2011-08-07 23:19:27
                ",gui,见鬼啦，古天乐望着张家辉的眼神我依稀看到了杨过的影子啊！！,5,力荐,116,0.9549454702399037
