time,uname,comment,star,title,support,sentiment_score
"
                    2010-05-26 23:51:38
                ",齊克斯尼力佐飛,如果知道女朋友爱上我是因为我像她曾经爱着的人，我会崩溃,4,推荐,13040,0.9850280253075218
"
                    2007-07-14 09:05:26
                ",战国客,暗恋的极致,4,推荐,14148,0.6786290418116464
"
                    2015-01-20 19:24:40
                ",宅蘑菇Moku,「把名字一遍又一遍的写在借书卡上，反反复复看一张并不想知道答案的英文试卷，在告别之前偷偷的把你画在借书卡背面，希望你有一天会知道，我喜欢你」整部电影的配乐都好伤感，女主角一人分饰两个性格不同的角色演绎的非常好，青春和暗恋的心情满点，话说岩井俊二的每部电影里都有几个无厘头的奇怪角色,4,推荐,5539,0.9999999999992584
"
                    2011-09-13 18:49:26
                ",伊卡洛斯,那些没有开口的告白，最终还是让你听见了。,5,力荐,28872,0.33458033210743365
"
                    2008-02-14 08:57:16
                ",嘉沐難再續.K,总是点到为止的岩井俊二.,4,推荐,6263,0.5306688460147362
"
                    2007-07-12 10:04:13
                ",沉歌,"关于藤井树的种种回忆，是你拥有的，我把它寄还给你。
",5,力荐,9867,0.9996316135244561
"
                    2012-08-18 01:40:46
                ",朝暮雪,查来查去，最后查出自己原来是替代品。,4,推荐,4111,0.02977630870882575
"
                    2011-01-18 20:10:55
                ",丁一,经不住似水流年，逃不过此间少年，彩云易散琉璃脆，水仙已乘鲤鱼去,5,力荐,8493,0.9955877179670273
"
                    2007-11-17 03:21:14
                ",杜边生,"从相恋开始准备看，分手后真的看成了
",4,推荐,3616,0.5107694314718856
"
                    2007-01-02 20:29:46
                ",果酱☮,无论如何都会流下热泪的电影，五星又怎么够！,5,力荐,8371,0.9934048277828883
"
                    2006-11-21 20:15:54
                ",毛利,"不喜欢这部电影,看得我要睡着了",2,较差,2384,0.8231081482116374
"
                    2006-05-02 11:10:50
                ",林愈静,2000年，本人看得第一部文艺片，当时不知道啥是文艺片，表面上洋洋得意，认为自己算个文艺青年了，内心里无比的可惜那一块钱，因为本来是租《唐伯虎点秋香》去的。被人租走了才不得以看《情书》,3,还行,3174,0.9983530418277465
"
                    2017-01-06 21:39:58
                ",清歌墨苒,永远忘不了柏原崇倚在窗口的样子，他拿着一本书，低着头看，窗帘在他身后轻轻飘荡，抬起头，我看到了这个世纪末的美少年的干净美好。《情书》的就是经典的岩井俊二摄影风格，此后很多爱情片都有借鉴他的取景和摄影风格。,4,推荐,2954,0.9999999390782551
"
                    2021-02-17 22:49:08
                ",海盐小圆饼干,真的救命啊看得我满脸问号，我无法理解电影的展开方式，暗恋的细腻美好要从发现自己是白月光替身的这种角度来切入吗🆘,3,还行,2644,0.999213317810797
"
                    2021-05-23 13:21:38
                ",减肥书法家,"一个英语考27分的人
哪会在意什么break的过去式",5,力荐,8139,0.5168331623514143
"
                    2008-05-24 11:13:53
                ",AllenGY,不好意思，这么多年了，我就靠这个活着了。,5,力荐,6942,0.5926853672114482
"
                    2013-10-31 21:10:45
                ",紫苏バジル,“所以我多能明白男藤井的心情，我能想象他握笔的角度，写字的力度，倾慕的浓度，仿佛要把爱恋全都揉进“藤井树”这三个字里。 ”用回忆的手法写初恋是最好的，因为他过滤掉无谓的细节，只余下白色的窗帘后，那个身影若隐若现的少年。,4,推荐,2057,0.9999998190272538
"
                    2014-12-20 20:40:18
                ",荞麦,不知道为什么一直没看一直没看……四个主演竟然全部都是双鱼座……所以真是一部极其双鱼的电影……暗恋的极致……但导演却是水瓶座……,5,力荐,5412,0.9614736818444438
"
                    2006-06-20 10:55:11
                ",芥末小馒头,古典的爱情，死亡隔绝了爱与恨,4,推荐,1123,0.9975262054525695
"
                    2006-01-20 03:02:41
                ",Connie,当年曾经多么叹服于奇巧的构思.....后来才知或许并非全是岩井君的原创.....（参见汤祯兆《糖衣下的苦涩》）,4,推荐,622,0.9996252648719903
"
                    2007-02-26 01:07:49
                ",隆咚锵,翻过来的卡片，肖像，是初恋回忆的完美情书,5,力荐,7203,0.99990778695798
"
                    2014-04-05 12:38:48
                ",徐若风,"#高二看完书后又看了电影。当时写的如下：
《情书》的主角是时间、被时间掩埋起的过往尘埃，和那个始终缺席的他。书与电影都有两个高潮，一场是结局的画像，一场是“你好吗？我很好”，二者都是时间的回音。每个人物背后的情感，被一点点抛洒。所有往日的情怀、细小的回忆、惘然的惆怅与痛楚，都化作这场暗恋里的一道道涟漪，时隔多年冒出来，共同组成了整部电影结束之后，才轰然奏响的盛大而绵长的交响。
#现在回看这条短评，觉得矫情，但又感慨现在自己已经失去写这类“郭敬明感”文字的能力。几年时间，像上辈子一样了。/2021影院，四刷。博子、树与男主树之间皆“未达成的爱”背后，是替身（双重身）、欺骗、牺牲、错过与失落。我们终究无法直面虚假的/替身的情感，必须要将其在怀念中“信以为真”。",4,推荐,227,1.0
"
                    2021-04-30 01:49:16
                ",刷鞋大王,太适合催眠了，老土的青春校园暗恋看得人又尬又困。。。博子真是娇妻本妻，都知道自己是替身了还一个劲舔，求婚被晾了俩小时居然还感觉抱歉，在雪山前大喊“我很好”的时候简直能尬出雪崩了，人家根本不care你好不好，到底在这自我感动个什么劲啊。。。还有她现男友，存在的意义就是和她比赛看谁更尬吗。。。,2,较差,903,0.9996557176174845
"
                    2011-12-28 04:09:16
                ",陀螺凡达可,最后卡片翻过来后，我真的哭了。,5,力荐,6324,0.9615441606565215
"
                    2021-05-20 15:44:15
                ",刘嘉玲（e人版,十年都没有第二个人借过追忆似水年华只能说这本书真的很难读,5,力荐,4469,0.9970991213863283
"
                    2010-11-13 22:08:26
                ",岛上的夏奈,这个人偷偷爱了你大半辈子,5,力荐,5520,0.9806948561450114
"
                    2005-09-04 11:43:30
                ",大头绿豆,你好吗？ 我很好。 你好吗？ 我很好。 你好吗？ 我很好。,5,力荐,4419,0.9945042126427244
"
                    2006-04-23 23:07:15
                ",巴乌,也许每人都有似曾相似的故事，逝去了才追悔莫及。,5,力荐,3445,0.9734831891982257
"
                    2012-06-09 16:46:06
                ",进宝,生命只是一连串孤立的片刻，靠着回忆和幻想，许多意义浮现了，然后消失，消失之后又浮现。 ——普鲁斯特,3,还行,1666,0.9999994214844737
"
                    2016-08-11 01:54:45
                ",哪吒男,所有人都执迷于“爱到你”时，《情书》重拾“爱你”的清甜隽永。,5,力荐,2087,0.9999885081162566
"
                    2021-05-21 01:03:42
                ",Busycon,"看小说的时候我以为震撼我的是卡片背后的素描，未置一词但一瞬间所有的爱意倾泻。
看电影的时候我发现最震撼我的是卡片上反复描摹的名字。因为寡言所以隐秘，虽然隐秘却盛大：图书馆里满是我给你的情书，无数人可以见证，但只要我不说，你就永远不会知道。",5,力荐,1340,0.9999999924940263
"
                    2018-01-17 21:29:05
                ",小十三,很少因为影视剧感动到哭，情书就是其中之一。年少时暗恋过一位男生，从未同班，一个星期偶尔擦肩而过几次，连个招呼都不敢打，后来偶然见过他一次，也是那个时候，再一次看情书，被与主人公同样的小心翼翼淹没，每个人都有一样青涩的情窦初开吧，标志着成长，预示着疼痛,4,推荐,515,0.9999504378251518
"
                    2017-12-18 09:43:07
                ",橘生淮北,一个美丽而又悲伤的故事，两个女主都令人心疼，我可能更理解那个温柔的博子吧。,4,推荐,517,0.999994512899549
"
                    2018-08-13 22:06:58
                ",NVHZ,刚开始想法还可以，后来叙事变得拖沓且含糊不清。长发男角色写的就烂，演的更烂，时时刻刻对着屏幕大吼：“我在演戏啊！”，看得我很是尴尬。剧情拖沓不清是这样的：树的爸爸的死被提及多次，后来和树的病也相互照应，可以说是占了很大比例。但是有了什么作用呢？我唯一看见的作用就是男树最后一次来还书，还有在医院幻想起男主。可以说是极其小的作用了，跟投入完全不成正比，所以让人不知所云。还有渡边的故事线，一个接受过去，一个找回过去，我懂，挺好的创意。但是两个故事没合起来；各讲各的，唯一的联系就是对象都是男树。还有长发男子，他的出现只是推动一下剧情发展，尴尬地旁观着故事的发展，时不时魅力地微笑和甩他乌黑的头发（和故事本身完全无关的东西）。其实很多角色都是这样，无所谓地望着故事发展，自己不改变分毫，还占了大量镜头。,2,较差,406,1.0
"
                    2014-02-23 16:35:47
                ",喻鸣,岩井俊二在这大银幕处女作里从容践行着“美丽与哀愁”的日式电影美学。节奏很克制，像初恋一样点到即止。想起席慕容，“无论我如何地去追索 年轻的你只如云影掠过 而你微笑的面容极浅极淡 逐渐隐没在日落后的群岚•••含著泪 我一读再读 却不得不承认 青春是一本太仓促的书。”,4,推荐,328,0.9999999999946629
"
                    2014-11-16 19:27:09
                ",小岩井,这样的电影，就是为了一些特别的夜晚存在的，或名怀念，或名逝去，皆是难眠。,5,力荐,1497,0.9900736962122672
"
                    2006-06-12 03:10:04
                ",Ex,"做作,太做作了,毫不留情的打个很差.",1,很差,1305,0.21647565160901983
"
                    2021-05-20 15:50:11
                ",最后的时间领主,渡边小姐出于爱，向逝者寄出的信得到了回音，这本身就是爱能跨越死亡的一个美好象征。同样地，藤井小姐在最后发现了尘封的初恋证明，恍然大悟，一时激动地不知所措，可见爱再一次超越了生死，被人喜欢是一件多么温暖幸福的事情。更令人感慨的是，两位女性身上都体现出了无私的大爱：藤井小姐因善意而毫无保留地向一个陌生人分享着自己的回忆；渡边小姐则在最后将所有的信件都归还给了自己的“情敌”。她们的身边也都有着爱她们的人，不管是陪伴渡边博子的秋叶先生和祝福他俩的暗恋女子，还是雪夜里背着藤井树蹒跚前行的爷爷和妈妈。面对着“死亡”这一人生难题，难以直面未婚夫之死的渡边小姐，最终向着山谷高喊“你好吗？我很好”；因父亲之死而对医院产生阴影的藤井小姐，最终在医院醒来时喃喃道“你好吗？我很好”。《情书》真的是很温柔的电影。,5,力荐,849,1.0
"
                    2013-07-21 19:04:09
                ",周杰伧的小粉丝,妈的，我也做过和男主角一样的事啊！看哭了！,5,力荐,1140,0.9259951494735472
"
                    2017-10-10 00:29:59
                ",焚紙樓,當她的遺憾終於放下，另一個她的遺憾卻才正要展開。重看發現自己記錯了結尾，記憶中的藤井樹站在玄關讀完了那張書卡，立刻嚎啕大哭不能自己，重看卻發現她不在玄關也沒有嚎啕，而是僅僅掩嘴含淚。這麼明顯的情節，怎麼就記錯了呢？還是，那個曾經嚎啕大哭的，其實是我自己？,3,还行,979,0.9999981169181968
"
                    2020-03-03 18:10:12
                ",危楼大海,用一个男人的死亡、一个作为替代品的男人的包容，一个作为替身的女人的悲哀和一个女人半生的迷茫表达了一种叫做暗恋的情绪，我是不理解的，用我的三观来看，这是个悲剧，但诚然能表达清楚这样一种人类的情绪，也是不易。。。，,3,还行,979,0.9999999961297594
"
                    2021-10-16 20:57:15
                ",你的名字,"当我意识到这是替身梗的时候，这部电影就不能打动我了。

12-10
周围人生病突发感悟想起这部电影里的爷爷，在儿子死亡的前提下，恍若噩梦重现般再次遭遇二选一的抉择，76岁的爷爷依然选择了跑着把孙女送进了医院，同时也放下了对儿子去世的自责，妈妈也与爷爷达成了和解，释然了丈夫的离去。年轻人的爱恋没有打动我，这场心结解开的宿命轮回有。关于家人，关于生命的脆弱，关于逝去与新生。",3,还行,669,0.9999999999999996
