time,uname,comment,star,title,support,sentiment_score
"
                    2011-01-20 17:54:31
                ",袁牧,1927年的德国观众看到这个电影的时候，在视觉上，肯定比我看见阿凡达时要震惊的多，在其他方面，也不是好莱坞的任何电影可以比拟的。把希望寄托于改良派作为社会矛盾的调停者固然不妥，但弗里茨·朗居然寓言了信息科技发展与伦理的冲突，共产主义式混乱，暴民政治将会给德国带来的深重灾难,5,力荐,502,0.9999999999606799
"
                    2011-07-04 21:13:56
                ",澈黑,。。。。。。里面的男人和男人之间的说话像是要接吻一样。。。。。。。。,4,推荐,1186,0.4824467500962696
"
                    2008-10-15 01:20:57
                ",Over5,鼎立膜拜的电影，视觉上真盖帽儿了，德国表现主义电影就像远古的恐龙，神秘而巨大～,5,力荐,635,0.9999998301386059
"
                    2010-06-12 13:33:56
                ",艾小柯,视觉意象超前，不愧为时代影像经典；故事本身逻辑混乱，表演夸张，细节处不可深究。,4,推荐,412,0.9999998951341108
"
                    2011-01-26 13:22:32
                ",西老米,非常牛逼，弗里茨.郎绝对是天才。现在流传的版本时长1小时58分钟，缺少了1/4原版拷贝。很难想象是1927年的作品，镜头牛逼，剪辑牛逼，布景牛逼，竟然还很cult!牛逼牛逼牛逼，需要仔细分析,5,力荐,377,0.9565150237546124
"
                    2015-10-16 03:21:05
                ",灰狼,工人暴动的旋律中回响着改装版的马赛曲，弗里茨朗眼里的法国大革命就是一群暴民无脑而造成的灾难。两个玛利亚其实是两个弥赛亚，一个是耶稣，一个是马克思，后者是资本主义对自己的一次实验——它导致的是灾难性的后果，把自己的后代都给害了。大都会就是通天塔，劳资合作才能创造伟大的人类文明。,5,力荐,298,0.9999998428322456
"
                    2017-11-12 21:48:49
                ",欢乐分裂,格局磅礴，气象恢宏，描摹阶级对立及消弭，具超强想象的未来科幻图景，都拥有无可比拟的普世前瞻意义；人性不可根治的「七宗罪」亲手毁灭这座死亡之城，天谴已降，大洪水末世寓言已显；双面玛利亚的隐喻，更像是《自由引导人民》场景，及呼应贞德；无知民众与血肉铸就的资本握手，如乌托邦童话。,5,力荐,191,0.9999999999999489
"
                    2009-10-05 02:18:58
                ",思阳,一遍又一遍的说脑子与手之间的调和者是心，为资本家辩护之心昭然。也就是说这两个阶级只可交流，不可融合，牵线搭桥的还需要另外一个人。塑造的好坏玛利亚的角色都令人感到厌烦。不过，这部二十年代的经典默片场景之壮观，拍摄构思之创新，从电影的审美角度非常值得赞扬。,3,还行,405,0.9999999371036721
"
                    2012-08-21 17:56:11
                ",有心打扰,1.无法超越的科幻片；2.表演无比生动，选角也是一番谨慎；3.群众领袖的个人魅力，与随波逐流、不辨是非的人群的相互映衬，让人感觉到大多数的悲哀；4.科技的发展与人性的丧失是一对正相关；5.爱情产生于有共同的理想、目标和追求，有一样的世界观、价值观、人生观；6.脑和手，需要心脏的桥接和调节。【联合国教科文组织】 德国影史十五佳NO.05,5,力荐,185,0.9999999999927938
"
                    2010-02-28 04:15:40
                ",文泽尔,亲爱的盲女..不枉我等到配合阿根廷那版的、超过两个半小时的最终修复版.感谢arte和茂瑙基金会，现在这个故事总算是完整了.果然等到2009还是有收获的.27版和大友的那版大都会均是我钟爱的作品，此一作中大量的技法能让人去由衷感叹德国在默片时代的全方位伟大，现世代的电影还剩下些什么,5,力荐,158,0.9999999987485908
"
                    2015-07-08 01:13:54
                ",离净语,披着科幻外衣的传统宗教故事，相当反动，资本家是主，工人是臣民，科学理性是魔鬼,5,力荐,220,0.9999792803979672
"
                    2006-12-23 15:01:32
                ",桃桃林林,对于我，一部默片能如此有趣，足矣,5,力荐,255,0.8575002797780752
"
                    2018-10-17 22:30:01
                ",Panda的影音,《大都会》是当年最庞大的电影制作，共拍摄两百万英尺胶卷，雇用25000名男演员、11000名女演员和750名儿童演员。该片的初拍完成版本长达三小时半，德国柏林首映版本长达153分钟（菲林长度为4189米，以每秒廿四格放映），后由发行商剪辑成约两小时的版本于德国以及海外上映。不过基于票房收益与政治审查等因素，过去于世界各地上映的版本均为删除半数以上内容，片长不一的剪辑版。自二次世界大战后该片的原始母片散逸世界各地难以寻齐，过去虽曾多次重映，但均非原本的完整版本。 2001年，穆瑙基金会主导的修复版本在柏林影展面世，经多年发掘及考证后，约四分之一的片段被认为可能永久散失。同年被联合国教科文组织列为世界文献遗产。2008年，在阿根廷布宜诺斯艾利斯的电影博物馆中，发现了该片的16厘米版拷贝，并找到其中约23分钟失落片段画面。……,4,推荐,138,1.0
"
                    2014-01-11 20:28:00
                ",冰红深蓝,默片时代经典之作，弗里茨朗的德国表现主义科幻宗教片，2010修复版很棒。演技、画面、科幻、动作戏和内涵思想性都领先一个时代！一部可以近乎无限解读的神片。基督教寓言、反乌托邦、机器时代反思、未来城市、乌合之众与民粹主义、劳资矛盾等全都一网打尽！不愧是世界文化遗产的电影。（9.0/10）,5,力荐,112,0.9999999999999953
"
                    2012-08-24 13:40:49
                ",兮称,1927年放到今天看仍然震撼，反乌托邦，前卫视觉，科幻艺术，人文意识，宗教隐喻，无不具有里程碑的地位,5,力荐,162,0.9999999844988472
