time,uname,comment,star,title,support,sentiment_score
"
                    2011-12-05 13:09:44
                ",蚊子,看完此片之后的第一举动，打开《铁甲钢拳》页面扣掉一颗星。,5,力荐,2053,0.16342581828799096
"
                    2011-09-16 09:24:06
                ",TORO VAN DARKO,尼玛这才叫鸡血电影，后半部分我觉得全身的细胞都在燃烧，鸡皮疙瘩从未停止，热泪疯狂向外奔流...两个男主角出色的表演一定程度掩盖了剧本上的不足，汤姆·哈迪尤其耀眼啊！有没有人跟我一样YY兄弟情...,4,推荐,660,0.9257357907455882
"
                    2011-09-11 09:47:29
                ",蛋挞,当第五轮Brendan把Tommy按在地上说出I love you时，全场的铁血汉子都湿了...我也被萌湿了....T T,5,力荐,1201,0.09853053231926234
"
                    2011-11-25 23:44:45
                ",A L E X,整个人都燃了！！不枉我期待了这么久！Tommy的每一拳其实都带着倔强的孩子气！最后那场兄弟之战的催泪指数超出了我的预计！边拽着拳头边在心中嘶吼了无数句“别再打了……”真的太虐了！求速死！像Tom Hardy这样的演员太不可多得了……不论你曾经是不是他的fan，看完这部电影你一定会爱上他！！！！！ ,5,力荐,987,0.9041074361125092
"
                    2011-11-24 23:53:55
                ",皮皮敦敦,I love you.Tommy,5,力荐,873,0.14980752842144807
"
                    2012-01-03 21:14:39
                ",德华我们分手吧我爱上了丽娟,像机器人拍的电影。,3,还行,63,0.7513372680753527
"
                    2011-11-27 12:52:32
                ",桃桃林林,鲜血与汗水才是男人的魂啊！汤姆·哈迪与乔尔·埃哲顿都是近年很有潜力的男星，这片也将对两人有代表意义，既有热血精彩的MMA比赛，又有兄弟父子情等内心戏。性格各异的角色设置，一个天才帅悍，另一个热血励志。前半段虽铺垫过多，但看到后面的拳战，整个人都燃了，过瘾。,4,推荐,380,0.999999999918167
"
                    2011-11-24 13:17:43
                ",broken flower,这才是狗血煽情的最高境界啊，纠结深厚的父子兄弟情，铺垫合理，表演精湛，拳拳到肉，男生看热血沸腾，女生看热泪盈眶，到最后都快哭崩了TAT  Tom老湿总是野兽外表萝莉心惹人疼，顺道萌上了Joel哥和帅帅的教练=3=  ps:比去年的斗士好看N倍啊，可惜电影公司的公关也太烂了，票房惨淡什么的，这片真是生,5,力荐,555,0.9999999985825754
"
                    2011-12-10 11:52:16
                ",风间隼,剧本聪明在“点到为止”，给出关键信息，留白各人的心路任人想象，其实激烈的对话和对抗已经给出了足够的线索。汤米找父亲是任性，抱父亲是长大，倒在兄弟怀里是真正回家。手提摄影颗粒粗糙，并严格限制在笼外旁观视角，像《摔跤手》。打斗时前景的重重遮挡反而集中观众视线，动作其实交待得非常完整。,5,力荐,434,0.9999999999891531
"
                    2011-11-27 18:51:00
                ",Alan Sleep,1.是什么让一个美国男人即便被打成蜂窝煤也要坚持到底？是房子！所以天朝的男人们怎么还不行动起来！！！2.兄控和弟控的终极对决，老湿你坚持到最后一轮只是为了哥哥的一句我爱你么！你的怨念就是哥哥抛弃你和女人跑了么？哇哦~【拳拳到肉太精彩了，我要变成拳击迷了这全赖Warrior！,5,力荐,234,0.9999725161845261
"
                    2011-12-24 20:49:25
                ",托尼·王大拿,毫不拖沓的节奏，无限燃情的氛围，将心结的化解溶于血脉贲张的拳脚相加之中，有着种种的俗套却被巧妙的包容和重置，年度最佳热血电影当之无愧；而另一点令我赞叹的地方是：在一个与过往有着万般纠葛的故事里，居然没有使用任何闪回段落实在是高明而强大。,5,力荐,178,0.9999999978897576
"
                    2011-11-25 00:31:46
                ",jojo『浊水是魔鬼纠结者…』,钢拳什么的，简直弱爆了！非常，非常，非常，好看,5,力荐,178,0.45914832405360795
"
                    2011-11-25 23:21:31
                ",Doublebitch,斗士 + 铁拳男人 + 摔跤王 + 铁甲钢拳 = 勇士，BTW字幕组又卖萌，也是乡村基铁托儿么……,5,力荐,137,0.9872857515053667
"
                    2011-12-17 01:47:43
                ",鬼 鬼 ™,热血沸腾啊！！！看的睡不着啊！！！尼玛其实我更喜欢tommy啊！！我希望他赢啊！！！被哥哥和老爸抛弃自己在部队还经历了那些，失去了自己最好的朋友，尼玛没爱情没孩子没事业的，老妈还去世了，尼玛为毛不让他赢啊！！！不公平啊导演！！！！而且哥哥也没tommy帅啊！！！你妹啊！！！！看的爽快！！！,5,力荐,80,0.9896841870588375
"
                    2011-09-11 06:43:15
                ",P·S^Black,oh man...五星倾力推荐!!! 好看死!!! Tom Hardy您就这么赚了我一公升眼泪，还有各种不停狂飙的肾上腺素!!! 最后那一刻Brandon扶着Tommy走下拳台的时候 劳资整个人就像被攥住一样 眼泪刷的就下来了。,5,力荐,67,0.0044010780902006275
"
                    2017-01-19 10:11:49
                ",╯^╰,看得人热血沸腾，但还是感觉糙了点，剧情弱了点儿。,3,还行,38,0.5860640868766936
"
                    2012-01-14 21:11:54
                ",张小北,MMA+兄弟情义+家庭，全是我的大爱。,5,力荐,49,0.915414746440282
"
                    2012-01-02 12:47:44
                ",维城乱马,真正的勇士敢于直面惨淡的人生，敢于正视淋漓的鲜血。,4,推荐,334,0.9754822416440905
"
                    2012-02-06 20:16:26
                ",宇宙塑胶魔怪,Brendan抱着Tommy一遍遍说着“I‘m sorry I love you Tommy”，倔强的Tommy最终拍着哥哥的肩膀表示认输，那一刻，他是他的哥哥……看到这里实在忍不住了……PS：顺便推荐一下影片中反复出现的名著《Moby Dick》,5,力荐,41,0.9999762882478139
"
                    2017-01-19 09:43:36
                ",mingjoyce,在某個時期之後就不是那麼愛看運動為主的電影了；通常薄弱的劇情，不是那麼熟悉的運動和一股熱血，很多都是陳腔爛調般的籠統。但這部片真的表現不俗，不僅是在比賽的節奏拿捏上，處理人物的感情非常細膩。雖然劇中主角人物的對話並不多，但幾個重要場景都將彼此內心的感受和糾結處理的相當細膩。,5,力荐,31,0.07798459590590123
"
                    2016-04-02 17:46:23
                ",冰红深蓝,"1.目前看过的最燃也最悲情的搏击片,胜过[洛奇][愤怒公牛],艺术性也只略弱于[百万宝贝]。2.手持摄影,笼外视角,格斗戏用镜简明高效,后半程高潮迭起。3.剧本极扎实,罕见地未用闪回,精雕细琢的人物前史在渐次揭示后仍有许多留白,回味无穷。4.父子与兄弟间的爱与恨,柔韧锁技vs粗暴硬击,莫比迪克。（9.5/10）",5,力荐,26,0.9999999999976266
