2008-04-16 21:32:07,Lena,不知是累还是咋的，看到三十分钟时，已倒下去两回，汗。找个时间restart,5,力荐,0,0.1197743540518809
2008-12-29 22:11:01,陈裸,以现在的眼光看真是不行。,3,还行,0,0.5285139981714156
2009-02-01 01:47:07,南团,君子协定 伊利亚·卡赞 格利高里·派克Gentleman's Agreement (1947)   D9 TLF.mkv,2,较差,0,0.9106784579075542
2009-04-22 05:20:13,tomshiwo,与Crossfire一起看,4,推荐,0,0.5618565332226944
2010-04-24 05:45:53,Milandini,Gentlemans.Agreement.1947.READ.NFO.DVDRip.XviD-NDRT,3,还行,0,0.5
2010-06-06 00:50:02,上林苑,卡赞和派克真的是左翼绝配,3,还行,0,0.7109040575998111
2010-09-16 04:10:33,秦诺诺,剧中男主角的母亲在影片最后说的话中，有几句台词是这样的，我忽然希望我可以活到非常的老，可以看到下个世纪，或者那时候美国和俄罗斯都不会在有原子弹，所有的人们都可以快乐的生活在一起，所有自由的人们。。。，可惜啊新世纪的十年都过去了，拥有原子弹的国家不但没有减少还在不断的增加！,4,推荐,0,0.9999999999576912
2010-11-01 11:25:20,老白兔,平庸，相当的平庸！,2,较差,0,0.1418969281887844
2010-12-12 01:35:15,彩虹几度,最近连续看奥斯卡，有种感觉电影记录着一个民族觉醒的过程，对接下来的阅片也还抱有期待；本片虽然奥斯卡折桂，虽然有派克，虽然探讨一个尖锐而普遍的问题，但影片总体质量一般，侧重记叙整个过程，如果能以一个犹太人的辛酸开始，最后再揭秘作家的身份就更有戏剧性了,3,还行,3,0.99999991835453
2010-12-31 08:29:58,赱馬觀♣,犹太偏见在当时的电影界属于禁忌主题。但随着二战集中营恐怖的全球广播，即使好莱坞其他几家公司仍因太过争议而依旧避而远之，非犹太裔的扎努克却认为将歧犹主题搬上银幕的时机已至。此作为之勇气，搁在今天实难体会。可要知当年，社会偏见始终无法见光。加之许多电影公司的老板自己就是犹太人，对于将此类敏感题材如何推向公众甚是顾虑。就连参演明星也都冒了很高的职业风险。……好在最终的结果尚佳。,3,还行,13,0.9999999999914122
2011-02-02 23:53:52,荔枝超人,或许是最boring的奥斯卡BP,3,还行,1,0.7408302181159871
2011-02-22 22:01:57,周鱼,对格里高利派克无感 卡赞则是无趣到透顶了 1/3才正经讲事儿 然后是大段大段平行罗列的话痨 我的天 从电影艺术的角度来看这完全就是一场灾难,2,较差,3,0.9998493589476652
2011-03-04 21:14:09,其安,卡赞和格里高利派克,4,推荐,0,0.9376915448641656
2011-03-22 22:22:40,2wice,卡赞秉持着自己话痨的特色，絮絮叨叨半天不入正题，演员虽然为电影增色不少，但是整体仍然过于平庸，缺乏戏剧性,3,还行,1,0.8353962485368593
2011-03-29 10:08:28,冰山李,7.4；封閉的戲中戲，NPC亂入,4,推荐,2,0.3079173224194478
2011-04-01 21:53:10,少年阿尔弗雷德,无聊的片子/。。,3,还行,0,0.3578406788141774
2011-04-16 12:22:23,F.L,- -见鬼的简介，故事的选材很不错，切入点也很牛B，但就呈现出来的电影却很一般，不过放在那糟糕的年代，还是可以4星的   中间出现的那个科学家是爱因斯坦？,4,推荐,1,0.9999945950180972
2011-04-25 23:48:01,石墙,让-保罗·萨特：“在黑暗的时代不反抗就意味着同谋。”叙事较显平庸，奥斯卡最佳影片都是这种切中美国主流思想的脉搏但手法老套的电影，1947年反犹太的二战刚刚结束不是吗？,3,还行,0,0.9999999957396464
2011-06-25 14:30:59,瓶瓶里的猫,社会意义重于电影表现力的片子，如果是当代导演，不会把爱恨表现得这么生硬，而演员也不会明显地对着镜头说台词……可四十年代的好莱坞电影，还是帅哥、美女、假戏假作……犹太女秘书那一段，感情处理得还算比较细腻、演员的表演也挺到位。其余的就是小孩子的几场戏不错……好吧，我只为看派克的……,2,较差,0,0.9999999999999998
2011-08-08 10:16:12,brennteiskalt,主题先行的厉害，比吃晚餐还甚的意义>影片质量。年轻的派克什么的果真又帅声音又性感，但电影整体松散，抓不住灵魂，特别是居然造团圆造的那么赤裸裸！可怜了我那早早就喜欢的女配……想来这是我在这片里找到的最爱的东西：“女配”。从彗星美人里就喜欢你了呢！,3,还行,0,0.9999273960206552
2011-08-11 16:33:26,JSJ,推荐这一47年的主旋律片是因为它仍有借鉴意义：个体与体制，体制与帮凶。当然，格里高利派克的魅力就不用说了。,4,推荐,0,0.9997324575139276
2011-09-01 23:45:00,667DJP,卡贊溫和中的力度還是太折中太照顧各方了。不小心看了眼劇情簡介，這是神馬？！,3,还行,0,0.9089356955693736
