2005-06-12 02:22:22,竹嬾,看到一堆乱七八糟吵吵嚷嚷,3,还行,227,0.0205746744566239
2006-06-19 11:59:26,南溟,看这部电影需要耐心和细心，因为整部片子比较沉闷、情节荒诞离奇，跳跃性很强，间或穿插一些历史的真实。而且没有华丽的场景和风光，没有俊男靓女（除了纳塔利亚）的陪衬，片长超过3个小时。但它反映的却是可以上升到整个人类层面的巨大主题，是个体与祖国，战争与和平，利益与冲突等等这样一些永恒的矛盾的聚合体。可以说是一部恢宏的史诗，令偶对南斯拉夫这个不复存在的国家肃然起敬，对导演Emir Kusturica肃然起敬。尤其是结尾很唯美也很震撼，当偶听到那句话外音“从前，有一个国家……”，当那块祥和的乐土在欢快的乐曲声中,5,力荐,1,1.0
2006-09-13 21:33:19,大头绿豆,天人之作。库斯图里卡脑子里各种奇异的想象太让人着迷了，你会感受到。在湖上看日出，“为什么这么美，真感动”足足有四五次我们以为一定是perfect ending 了，他居然还能继续放下去，要想把对一个国家的情感浓缩到一部电影里头，还真是欲罢不能啊。 大陆断开了,5,力荐,784,0.9999894794419428
2007-04-25 00:57:57,艾小柯,南斯拉夫的“大话西游”,5,力荐,165,0.2883928661326987
2007-06-24 19:57:34,沃尔夫小鸟,Emir Kusturica 好片，绝对好片。诗意的狂欢，然而无奈和茫然却几乎是他必然的主题。比如地下的结局，死亡，必然的死亡。比如生命是个奇迹，必然的分离。不知道地下“没有结尾”是希望还是宿命轮回。导演对于战争的反思水中的镜头很是fantastic，与生命中空中那段一样惊艳。,5,力荐,0,0.9999999999999204
2007-10-31 17:02:34,OnJel.,可不可以不要那么多符号谢谢。,4,推荐,29,0.2854699531091407
2008-01-27 09:34:46,itrek,"2008-01-27, absolutely masterpiece. 要忍过开头的几十分钟。",5,力荐,0,0.5255538787237674
2008-01-29 04:11:31,奇爱小姐,很棒的电影，另外一点，Emir kuusturica的电影总是以party结尾，真是塞尔维亚人的本性。,5,力荐,3,0.9996670281714848
2008-02-23 20:38:03,飘來飘走的甜蜜,他们都是电大的～,5,力荐,41,0.2913796798447086
2008-03-15 22:22:52,疯眼穆迪,他妈的，不活了，不要让我再看到这么彪悍的电影了，神啊~~,5,力荐,443,0.8779734251765523
2008-05-23 20:30:00,德拉库拉拉,2008-5-23 20:29:28 10/9.0(10705) How else can you describe this work of art if not a mixture of devilish and holy images that take the shape,5,力荐,0,0.0329074754574378
2008-06-10 23:53:00,文泽尔,原來當年看的是這個片子..嗯，強贊。地下兵工厂世界，最后超现实，死人活人一起跳舞。地下有一个复杂到无匹的世界，那里战争还在继续。地下是阶段性及超越的，无穷的高潮让观众如癫如狂——要知道，最初只是奸商的自私，最初只是革命者的梦想啊，到最后变成了世间万物、爱、恨、及一切。,5,力荐,549,0.9999999999999888
2008-06-25 04:37:21,Griet,"能这样拍片的导演, 我只能说, 你就是为电影而生的. BRAVO! ",5,力荐,37,0.6303490478590285
2008-07-12 11:01:54,发条饺子,虽然库斯图里卡这次依然闹腾得我很疲惫，但是还是被结尾那句“很久以前，曾经有一个国家叫南斯拉夫”TOUCH到了。,5,力荐,1,0.995179744987484
2008-07-19 21:42:31,袁牧,这是献给一个不存在的国家的礼物。,5,力荐,731,0.7484630311714678
2008-08-28 14:04:38,细细疯,我喜欢《地下》，我狂热地认为这种风格也是我一直在探索的。窃喜之于，不免对库斯图里卡这个有着野草般气质和乱七八糟性格的南斯拉夫人心生好感。冷静下来之后，我问，为什么会喜欢他。是因为喜欢怪诞的东西吗，但仅仅用“怪诞”二字来概括《地下》却失妥当——事实是，真正的人都不知道如何生存下去！,4,推荐,0,0.9999953829798957
