2006-05-26 01:40:01,有未始有始也者,"典型美国说教片,似乎看到一半就看不下去了",2,较差,41.0,0.350437674972894
2006-08-03 14:39:56,薇羅尼卡,挺好的，有很深的寓意~~,4,推荐,1.0,0.9968422208236504
2006-12-04 21:31:25,Dale,第一部专门给大人的动画，是我爱上了圣经。,5,力荐,0.0,0.9987249216441934
2006-12-05 11:39:17,17950,可惜我讨厌那种宗教自大……,4,推荐,320.0,0.9945218670917456
2006-12-22 15:37:48,丁丁|刘,没办法，我就是喜欢配乐，一白遮百丑啊。。。。,5,力荐,36.0,0.0423849059694615
2007-03-17 23:08:23,冬眠不覺曉,"父母从未在家, 第一次跟教会,带弟弟去电影院看的电影.",4,推荐,0.0,0.9809786335278508
2007-10-03 22:15:06,KJ,喜欢这个故事!然后主题曲很不错!再然后.我就迷上这段历史了.前段时间看了莫西十诫.不错拉!,5,力荐,2.0,0.9998764305151346
2008-01-01 14:53:28,Kiki M,"宗教故事，没什么共鸣~
而且，跟 圣经上的故事 颇有出入~~
改编得~ 嗯嗯~",3,还行,0.0,0.9997357891511048
2008-01-28 02:22:13,超级盖亚人,兄弟二人共同生长在埃及皇室，长大后，哥哥成为了统治劳苦大众的法老，弟弟却成为上帝指派的拯救劳苦大众的领袖。最终，对立阶级的两派发生冲突，弟弟带领劳苦大众离开了埃及，跨过红海，重新开辟了一个属于平民的自由国度！,5,力荐,21.0,0.9999999855119304
2008-02-02 16:12:17,蒜 | BOY A 🌈,2004.6.5 DVD 307,4,推荐,0.0,0.7622057147856856
2008-02-07 19:47:01,jacqie,一直很想知道摩西的故事，十诫到底从何而来，能把这么个重要的宗教故事表现的那么好，真的很难得。,5,力荐,1.0,0.9999091109754864
2008-02-11 11:57:07,猛汉世雄,"上音乐课时放的,片尾曲响起的时候老师无意地问了句:谁的歌? 教室里静了静,然后只有我一个人微弱的声音传出:Mariah Carey ",4,推荐,102.0,0.9891552197679492
2008-03-17 19:56:00,Moss大妖,来看看这部片子的阵容吧：Ralph Fiennes，Michelle Pfeiffer，Sandra Bullock，Helen Mirren……星光灿灿啊……,4,推荐,0.0,0.986069711226803
2008-04-30 13:30:04,狼大疯,过去的动画做的细腻又流畅 大爱,5,力荐,0.0,0.999518443839554
2008-05-02 10:27:41,佳乃六月小姐,When you Believe那一段感人至深……这才是这首歌真正的味道~~那一段做得太震撼人心了,4,推荐,0.0,0.9520175046016356
2008-05-07 21:26:24,Out Man,关于神，是我们永远无法猜测的。,3,还行,0.0,0.8593873803800057
2008-05-20 19:15:31,碧心,音乐好，音乐特别好~尤其是玛利亚凯利和惠妮休斯顿的主题曲，好到爆！,5,力荐,0.0,0.9014126265890212
2008-07-23 22:50:32,一只野鸡,爱和信仰是这世上最伟大的力量,5,力荐,126.0,0.9997011089805734
2008-08-01 23:51:15,小4,曾经真的很迷迪斯尼,4,推荐,0.0,0.989265173418108
2008-09-20 22:44:18,野草,下午开家长会，和周玲敏还有她妹去周聪家，看《埃及王子（上）》。20010713（在小葱家的*86机子上看的^_^，好怀念@_@ with 葱 周鲨鱼和她妹）,3,还行,0.0,0.9154766732585152
2008-10-27 11:22:38,宇智墨耕,2D电影的巅峰之作！梦工厂为数不多的骄傲！,4,推荐,0.0,0.9973234764125474
2008-11-13 21:16:07,yum,不用说了，难得王对王的主题曲。当时看的时候确实是私心想了解圣经故事，现在的印象只有画风很梦工厂,4,推荐,0.0,0.9999288533999346
2008-11-19 09:00:21,常娥氏,"睡着了 
号称史上投资最多的一个动画片
哲学意义丰富的动画片
可是睡着了
也许那时候太小",5,力荐,0.0,0.8491172805986558
2008-12-03 14:27:53,Cappuccino,听了歌之后才看的电影-----------不了解宗教,3,还行,0.0,0.986586549850181
2008-12-20 04:20:33,非思,没想到这是一部宗教动画片，老美真是从娃娃抓起，我们也不能落后了，要多做些佛教动画片才行。,3,还行,3.0,0.9998154580321686
2008-12-22 22:23:47,碧落亦然,经典迪士尼动画，这是看的第三遍了，无论从声效画面还是故事情节的连续性都把握得恰到好处，但问题是，这样的神是否也应该想一想以恶报恶是否就是最佳的解决方式，这样他自己就不是一个暴君了吗？？我忘记了圣经里这一段是怎么讲的了，看来要赶紧回看。,4,推荐,1.0,0.9999879242942566
2008-12-25 20:29:59,brahms,who can deliver us to the promised land？,4,推荐,0.0,0.4476784585098667
2008-12-27 17:38:54,大人,十四年前的动画，场景和故事不逊分毫,4,推荐,0.0,0.987056995611959
2009-02-12 17:13:18,CheeseFairy,早就知道这段故事所以一开始看的时候还很担心摩西最后的结局，还好是修改过的，呵呵，制作真的很精美，不亏是梦工厂！,5,力荐,0.0,0.9999944281662692
2009-04-05 14:52:59,狷介有乌青,98年的动画，现在看仍是相当牛逼，特别是劈海开路那段，太壮观了,5,力荐,283.0,0.9885198911934135
2009-04-21 14:02:47,你好，陳鼻涕,我爱看我中意睇,5,力荐,2.0,0.9092617405988118
2009-05-16 21:37:16,王子树,这是我在童年时心灵的一次震撼，虽还不知何为普渡众生，何为牺牲小我为民族,4,推荐,0.0,0.9982230411783743
2009-05-17 08:59:17,红男,when you believe! 插曲中我最爱的两大巨星联袂飙音。再加上无与伦比的恢弘场面……和严肃的宗教剧情。再看的时候，虽然提醒自己要淡定……可还是没定住。,5,力荐,2.0,0.9960629037373008
2009-07-23 21:00:00,黑猫的余烬,这个片子真是很棒，尤其是配乐，可以说是史诗了,5,力荐,0.0,0.8810297847904336
2009-08-01 11:39:07,西西米,音乐很大气  但是因为我并没有宗教信仰 所以并不觉得故事怎样,4,推荐,0.0,0.9993841214045158
2009-08-06 23:59:35,Jennifer™,史诗の宏伟 音乐剧の风情 还有WHEN U BELIEVE的感动...,5,力荐,0.0,0.7195217119673356
2009-08-30 22:35:56,假白勺,"为了自己的信仰战斗，即使牺牲无数生命也在所不惜？
还是说总有一方会被牺牲，正义的刽子手与懦弱随波逐流的反面形象，谁更值得原谅？
看到结局没有松一口气，反而更加难受。。
不过歌声很好听。。",4,推荐,1.0,0.9999997990488017
2009-09-04 13:15:18,卯兔子,抛开圣经背景，这片也就给三星。,4,推荐,0.0,0.9721193241668086
2009-09-05 16:45:49,kobie,音乐、歌曲、画面都可恶挑剔，大气磅礴！但本人对宗教的不关心注定很难体会片子所表达的宗教意图。只是感觉没有太多想象力和冲击力。,3,还行,2.0,0.999971313159856
2009-09-26 00:16:55,教主饶命,出埃及记，摩西分海。整个可以算2D动画技术上和立意上的最巅峰之作，加上两个最完美声音的合作。,5,力荐,5.0,0.9984907335375626
2009-11-23 10:52:54,狂梦,"如果你有了信仰肯将自己交托给神，并愿意服事它， 必负责使你成圣。所以你只要有信仰就可以什么都不去做了，连思考都不用了。当你摒弃所有的人性拥有无比的智慧接近神的时候你会发现神要我们忍耐，谦卑，怜悯，要我们重拾人性，所以人永远是人，我们始终多了人性少了智慧。
",5,力荐,1.0,0.999999999999913
2009-11-23 10:52:54,狂梦,"如果你有了信仰肯将自己交托给神，并愿意服事它， 必负责使你成圣。所以你只要有信仰就可以什么都不去做了，连思考都不用了。当你摒弃所有的人性拥有无比的智慧接近神的时候你会发现神要我们忍耐，谦卑，怜悯，要我们重拾人性，所以人永远是人，我们始终多了人性少了智慧。
",5,力荐,1.0,0.999999999999913
2009-12-26 16:47:21,地铁里的季风,那个分开红海的镜头 看过无数次 还是会起鸡皮疙瘩 画得太完美了 即使今天看来依然一点不逊色,5,力荐,9.0,0.2176866167808444
2009-12-30 19:18:17,好大一张饼,挺喜欢的动画片，尤其喜欢主题曲when you believe,3,还行,0.0,0.9279267930981216
2010-01-11 22:24:40,Eva,虎溪岁月：这一场不是动力的思想教育影院 是外院放的,4,推荐,0.0,0.9905933648180302
2010-01-16 06:23:31,范比尼希,When you believe。。。这片子太煽情了,5,力荐,0.0,0.5346835592597652
2010-01-20 10:29:15,Daniel,看过两三遍还跟没看过一样... 是我记忆力真不好还是这电影真一般啊 ,3,还行,0.0,0.9691565555321898
2010-02-04 12:14:27,大-燕-威-王,意识形态问题，没有被引进中国，可惜。,5,力荐,2.0,0.9436876011018048
2010-02-11 12:23:40,viola,一个关于自由与信仰的故事。来自圣经。壮阔的史诗。,5,力荐,1.0,0.9999041868895904
2010-02-14 21:57:30,k,"算是夢工埸最好看的動畫~
運用古埃及壁畫敘情節,劇情流暢,
人物塑造出色,拉美西斯和摩西的個性和手足之情深刻動人
音樂很棒
開段埃及人無情地勞役希伯來,加上Deliver Us這首悲壯的歌,很震撼
the plague表現兩人的敵對和決心",5,力荐,0.0,0.999999992829178
2010-02-14 21:57:30,k,"算是夢工埸最好看的動畫~
運用古埃及壁畫敘情節,劇情流暢,
人物塑造出色,拉美西斯和摩西的個性和手足之情深刻動人
音樂很棒
開段埃及人無情地勞役希伯來,加上Deliver Us這首悲壯的歌,很震撼
the plague表現兩人的敵對和決心",5,力荐,0.0,0.999999992829178
2010-03-19 16:08:18,已注销,高一的气质英语老师Miss段，她让我们每人轮流在课堂上介绍一首英文歌曲，我就选择介绍的玛利亚凯利的《埃及王子》。当时一根筋想着要学好英语就可以和Miss段聊天了，直到她结婚生子休假的消息传来，就只能面对那个男性英语老师了，学英语的兴趣也骤然下降。,3,还行,9.0,0.9999998060222764
2010-04-05 15:36:13,風颭雲,"Dreamworks were not really good at making music in movies. If this movie was handed to Disney, I'm sure they would do a better job. ",2,较差,0.0,0.3768410750341522
2010-04-06 14:28:42,抖啊抖,"我到现在都分不清这部和The Road to El Dorado, when you believe一度是我小学时期周日起床歌",4,推荐,0.0,0.929905052063418
2010-05-27 00:06:33,杨文理,1.曾经，梦工厂的动画片不都是一群贱贱的非人类。 2.我有信仰我自豪——信春哥。,4,推荐,0.0,0.9993390266280846
