time,uname,comment,star,title,support,sentiment_score
"
                    2010-08-03 22:57:30
                ",八千觞,"最美的镜头大概就是随着阿花拉着那个巨大的条幅落下,太阳升起的瞬间.淸子大概真的是天使,是上帝派来拯救所有人的.其实没有人是心肠歹毒的不是么.也许,东京教父就该是暖暖的,和那个封面上作为背景东京塔一样,尽管是冰冰冷冷的,可是,暖光打上去,还是灿烂的.",4,推荐,2124,0.999999992536892
"
                    2010-06-30 17:45:25
                ",胤祥,非典型今敏。最冷的一部片有了最大团圆的结尾。,4,推荐,1196,0.9457566413122317
"
                    2009-07-19 23:42:32
                ",Hiro,今敏证明了1点：动画不是单纯的视觉炫技，而是服务于实拍无法达到的剧情,5,力荐,5548,0.9600050235126886
"
                    2010-08-25 21:18:12
                ",城南草木生,"""他是洗澡的时候踩到肥皂摔死的……生命是脆弱的……""大师，再见……",5,力荐,2423,0.9936587915293427
"
                    2015-04-23 15:27:48
                ",影志,“要是这样说他还原谅我的话，那就是真的亲情。” 三个拾荒者组成的临时搭档，甚过万千真正家庭。每个人都值得有被爱的回忆。,4,推荐,1186,0.9999659105994199
"
                    2016-08-03 08:53:57
                ",芦哲峰,仗义每多屠狗辈，温暖有爱不流俗。,4,推荐,776,0.9878968896600594
"
                    2017-08-11 10:19:30
                ",根,从听到这个片名开始就以为这是部黑道片，结果……,3,还行,473,0.6057148506421601
"
                    2016-06-09 04:17:22
                ",高歌,"今敏版《麦琪的礼物》
年轻编剧们，学学怎么玩故事线的交集，好么。",4,推荐,620,0.9945142991049709
"
                    2011-03-18 23:35:27
                ",亵渎电影,大师，再见！★★★★,4,推荐,254,0.9623479999369317
"
                    2008-10-11 17:40:23
                ",御姐控_光崽,"""洗澡时踩肥皂摔死的.""
""啊,人生真是难测啊!""",5,力荐,2159,0.24707677093009772
"
                    2015-09-11 19:34:32
                ",shininglove,我祈祷拥有一颗透明的心灵和会流泪的眼睛。,5,力荐,2225,0.9972588881325897
"
                    2008-11-08 18:33:02
                ",Lan~die,"三个无家可归的人之间的奇妙友谊以及善良，整部影片都洋溢着希望和爱。  
今敏：“在我至今为止的作品中，我认为「东京教父」的创作质量最高。就这点来说，这部影片是我最喜欢的作品。”",5,力荐,1424,0.9999999799283936
"
                    2008-01-11 02:18:05
                ",崇子,为什么力荐的人那么少？这明明是个每个人看了都会充满希望的好片子~大爱~,5,力荐,1069,0.9977802367144284
"
                    2007-02-28 14:54:47
                ",薇羅尼卡,最底层人民的不灭的生活希望。,5,力荐,978,0.9814180597652234
"
                    2011-03-11 22:07:17
                ",欢乐分裂,"2020-7-30重看；所谓「教父」---原来是Godfather，上帝赠予凡人的孩子，让废柴三人组（三位主角的身份界定有典型意义）在父子关系中均获得原谅、释然、理解，拯救与被拯救的雪夜之旅，一年中的最后一天，帐都算清了。

一部迥异于对今 敏常规认知的作品，现实主义风味浓郁，既有生存困苦的残酷阴暗，又兼具乐观坚强的喜剧元素，几条线索编织得犹如梦幻般巧合。生命啊，这般脆弱而伟大；卑微的人，我们都拥有神的奇迹，小人物的爱照亮大都市的黑暗角落。

结尾高光，他们一个接一个抱着不放手，飞扬起的横幅在朝阳的金光下焕发出新生的喜悦。这一刻，他们见证了东京最美的时分。",4,推荐,205,1.0
"
                    2019-08-10 11:44:52
                ",冰红深蓝,一部非典型的今敏：仅有寥寥几处花哨飞扬的交叉剪辑或梦境写意段落，结局亦是极尽温情与美好。以三个各自背负着罪疚的流浪者短暂育儿的旅程折射出人性、伦理与社会问题。圣诞节、萦回的准圣歌（寂静之夜与欢乐颂）、新年日出及多次降临的Miracle的时空设置都着力彰显出了恩典与救赎之内核。影片将亲子情节剧、追逃动作片与喜剧片共冶一炉，尤其是在即将步入煽情滥套的时刻总会蹦出一个夸张的喜剧性动作，不仅调剂和逗笑了观者，还在一定程度上起到了间离效果。当然，如此巧合无数的剧本能取得成功也是实属难得的，可以说是一部出离于现实的“世俗童话”了。（8.5/10）,4,推荐,80,1.0
"
                    2007-05-30 21:40:14
                ",桃桃林林,有些地方很好玩,4,推荐,88,0.846533768005936
"
                    2015-12-04 01:00:19
                ",巴伐利亞酒神,自己糟蹋的人生，再破碎，也要含着眼泪唱着歌儿把它过完。多美好的一部电影。,4,推荐,141,0.9967240305091153
"
                    2016-06-02 20:10:38
                ",邝言,喜欢的就是在苦逼人生里穿插的笑点。,4,推荐,75,0.7455846951365216
"
                    2016-08-01 10:42:33
                ",巴喆,拾荒者、人妖和刺父的少女，没想到这不入流的、浑身恶臭的三个社会底层竟然成为了寒冷冬夜的一把火，温暖着东京这个冷漠的都市。最后阿花坠楼那一抹朝阳，给人无限希望。此片充满人道主义人文关怀，剧本主题、剪辑、结构、节奏和摄影镜头，都堪称典范。今敏若非早去，当与宫崎骏并列日本动画电影的两座巨塔。9,5,力荐,933,0.9999999999665243
"
                    2011-02-18 11:27:48
                ",蜉蝣,“洗澡的时候踩到肥皂摔死的……生命真是脆弱……”,4,推荐,30,0.8853236717798302
"
                    2015-05-25 14:41:30
                ",同志亦凡人中文站,辗转漫长的一夜，圆环一样的人物剧情。今敏塑造了最美的人妖啊，我的泪腺在赤鬼青鬼的故事中失控...,5,力荐,712,0.9994183693730896
"
                    2005-12-24 10:13:01
                ",恶魔的步调,这是一部最不像今敏作品的今敏作品，但是一部最像今敏本人的今敏作品。透着神秘感动的新世纪最强喜剧之一。平安夜保留影目。,5,力荐,656,0.999321600833158
"
                    2014-12-29 03:47:29
                ",小斑,当初是因为这一部才死心塌地喜欢今敏老师的。圣诞夜可以拿来温一壶酒的作品啊。那么可爱的人们，那么可爱的巧合，真实的世界上是不可能有。明知如此，却落力地让这一切在2D世界里不仅妥帖地存在着而且流动着发散着。最适合被冻伤的时候重温。,5,力荐,557,0.999997932007801
