time,uname,comment,star,title,support,sentiment_score
"
                    2009-05-07 17:44:23
                ",UrthónaD'Mors,"“每个人都会经历这个阶段，看见一座山，就想知道山后面是什么。我很想告诉他，可能翻过去山后面，你会发觉没有什么特别，回头看会觉得这边更好。但是他不会相信，以他的性格，自己不试试是不会甘心。” 
",4,推荐,4500,0.9990119601820948
"
                    2009-02-24 12:27:02
                ",莫沂,还是最喜欢张曼玉在窗边那几段……,4,推荐,2160,0.9979998306393832
"
                    2010-09-19 00:54:28
                ",幻影刺客,你以为谈的是武侠，其实谈的是爱情；你以为谈的是爱情，其实谈的是人生。,4,推荐,1641,0.99643746866175
"
                    2006-01-02 15:08:20
                ",寂地,"当一个人没有办法拥有的时候,最好的办法就是,让自己不要忘记....
因为这句话喜欢这电影.",4,推荐,1511,0.7870206156853236
"
                    2009-04-03 23:50:32
                ",苏比,"在我最美好的时间,我最喜欢的人不在我身边。如果时间可以重新开始该多好。",5,力荐,3494,0.9729898265822134
"
                    2009-04-25 16:31:38
                ",影志,一个沙漠的后面是另外一个沙漠，一个人有烦恼是因为记性太好。“你越想知道自己是不是忘记的时候，你反而记得越清楚…当你不能够再拥有，你唯一可以做的，就是令自己不要忘记”,5,力荐,2531,0.9957322554062823
"
                    2008-10-21 08:14:39
                ",眠去,如果感情是可以分胜负的话，我不知道她是不是赢了，但我很清楚，从一开始，我就输了。,5,力荐,2261,0.9179598821378911
"
                    2008-01-10 16:55:02
                ",老鸡｜扶立,电影诗,4,推荐,1606,0.9740445087418198
"
                    2009-04-01 01:33:35
                ",暖鱼,090331美嘉——这样的片子还是不适合在电影院看——人多的时候看这样的电影，就是一个旁观者。,3,还行,942,0.9936245589052316
"
                    2012-12-29 20:29:01
                ",巴喆,王家卫是借金庸的皮拍出了古龙的骨，在这里没有侠之大者，只有浪子、傻女和大漠。　“风也未动，幡也未动，是人心自己在动。” 这漂浪的人生正如大漠一望无垠，在时间的灰烬中只想和你浪迹天涯，客死他乡。太喜欢陈勋奇的配乐《天地孤影任我行》：一去不返，一眼万年。8.6,5,力荐,1210,0.9999948506396369
"
                    2006-12-02 20:50:17
                ",泪小鱼|念。,给我一坛醉生梦死酒。,5,力荐,1091,0.9174927171779106
"
                    2008-05-04 17:49:08
                ",趙小漁,已經好久沒有這麼NB的片兒出現了……我懷念那個NB的時代……,5,力荐,712,0.038691035002010876
"
                    2018-08-02 14:22:34
                ",张熊熊,男的都在逃，女的都在等。等待是绝望的，因为身不由己。所以等的人，往往要比逃的人更有勇气。感情和武功不一样，没办法分出第一第二，在感情里较劲的人，其实从一开始就已经输了。回不去的白驼山，不过是心魔作祟作茧自缚，看到简单又直接的洪七，我也好妒忌。,5,力荐,484,0.9999852061584008
"
                    2013-01-20 13:05:50
                ",朝暮雪,张国荣、林青霞、梁朝伟、张学友、张曼玉、刘嘉玲、梁家辉……再加上王家卫，这阵容无敌了。,5,力荐,465,0.9993761810542403
"
                    2015-02-28 07:01:43
                ",[被迫停用],后来我看见很多观众解读《东邪西毒》和《东成西就》的联系，其实完全没有的，唯一的联系就是演员是一样的，他们白天去拍《东邪西毒》，像死了亲人一样，晚上来拍《东成西就》，像吸了毒一样，都要发疯了。”,3,还行,254,0.9999650079784129
"
                    2017-04-01 11:37:44
                ",蓝下老婆,为啥分这么高，没有觉得剧情有多好，如今看来里面都是大咖，当时看不会这么觉得吧,4,推荐,117,0.2023902688238418
"
                    2013-09-21 20:41:29
                ",流风揽湖,真不知道是王家卫完整了文青的矫情，还是文青的矫情毁了王家卫。,5,力荐,621,0.7715375825470459
"
                    2017-03-28 23:05:30
                ",甜椒Oli,中国什么时候能够再不考虑番位 只考虑角色是不适合的拍一部戏,3,还行,413,0.6063756093750167
"
                    2017-03-23 23:33:32
                ",sharon,我能说我更喜欢东成西就吗,3,还行,59,0.7169150922700233
"
                    2013-11-27 18:17:32
                ",掉线,【B】这不是武侠片，这依然是一部王氏爱情片，故事更加弱化，发散情绪更加严重，最喜欢林青霞的部分，觉得是看过的王家卫电影中质量最一般的一部，虽然依旧是喜欢。（王家卫要是去开个微博，那些爱情鸡汤营销微博都得被他逼死。）,4,推荐,268,0.9999969736184225
