time,uname,comment,star,title,support,sentiment_score
"
                    2007-11-17 05:17:19
                ",杜边生,宝剑穿肠过，忠良心中留,4,推荐,434,0.8957837712070266
"
                    2016-12-30 09:05:00
                ",娜莉梦游仙境,星爷的喜剧虽然无厘头但是还是值得深思的，记忆最深的一段就是和妓院的人斗嘴，以一敌十，最后去海边的场景,5,力荐,908,0.9998819778730009
"
                    2011-05-13 20:27:40
                ",阿布丁,原来很多年前，就有人跟我们说了一个上访成功的故事,5,力荐,4029,0.850111532418072
"
                    2017-03-01 20:01:13
                ",甜椒Oli,贪官要奸，清官更要奸，这样才能治得了贪官。,5,力荐,3742,0.030546708556818625
"
                    2017-10-03 17:18:08
                ",小蝶,周星驰说他拍的都是悲剧我们却当成喜剧看，以前不懂也懒得想，年纪大了反而慢慢的悟出了。九品芝麻官应该是非常典型了，包龙星最后能赢并不是什么正义战胜了邪恶，是更大的后台（皇帝）出现了，仅此而已，邪恶战胜了邪恶，想想还是蛮讽刺的。,5,力荐,862,0.999999520094824
"
                    2010-06-13 14:29:40
                ",米姐起飞,"非常欢乐,自认比唐伯虎点秋香好看!!",3,还行,1019,0.9585872879815422
"
                    2013-02-03 23:28:38
                ",曾于里,官场文化的反讽，贪官奸，清官更奸，不然如何对付贪官,3,还行,74,0.22255149889453163
"
                    2020-05-30 09:25:02
                ",不良生,重温。无论什么时候看，都不过时，世道艰难人心险恶，官场官僚官派官护至今有何两样，青天公义永远只是个寄望梦想。对鞭挞时代无进益，只好当娱乐片看好了，至少还有张敏、钟丽缇、蔡少芬、苑琼丹、鲁芬五大美女。,4,推荐,15,0.7900219141439724
"
                    2018-02-03 11:45:41
                ",嘉声,包龙星是经过一番曲折的游历才历练成包青天的，若非被逼入绝境，他本无如此触底反弹的境遇与决心。他与下九流厮混，学会了口中吞剑，和嫖客吵架的功夫，又撞上了天大的好运，在妓院碰到了当今天子。正义不是那么容易声张的，即便他是主角，最后扳倒贪官，也押上了他的全部生平所学、运气与勇气。,4,推荐,517,0.9833020381205705
"
                    2008-04-16 12:00:30
                ",战国客,正宗的周氏无厘头电影~~,5,力荐,776,0.9403133031708667
"
                    2017-04-13 10:01:15
                ",X,我心目中的周星驰系列电影no1，有特别强的现实意义，影射现实,5,力荐,793,0.9971736973181716
"
                    2015-05-22 22:19:10
                ",皮皮的皮神,要不怎么说星爷的电影百看不厌呢。此片可以说是全程高能，金句频出，从头笑到尾根本停不下来，最难得的是笑中带泪，情感真挚。仔细看能发现连路人都全身是戏。,4,推荐,518,0.9999297242708005
"
                    2017-01-10 18:55:45
                ",momo,星爷的电影总是那么无厘头的搞笑，现在看还是很喜欢,5,力荐,461,0.9670388257396371
"
                    2015-12-24 20:57:09
                ",梦里诗书,无厘头下的幽默，《九品芝麻官》即有着对官僚主义辛辣的讥嘲，同也包涵以小人物的励志情怀，电影做到了真正将笑料契合剧情的呼之欲出，更在节奏把控上有着决然不凡的力道，一场本自悬疑冤假错案的拨乱反正，却能时刻为人忍俊不禁，令人永远记住了那个满是荒诞却又刚正不阿的九品芝麻官包龙星。,5,力荐,370,0.9999999494190385
"
                    2010-06-30 23:05:28
                ",Daneestone,"开心就好,有时心里不痛快,电影就是干这个用的",4,推荐,378,0.9592394003428956
"
                    2018-03-28 06:47:12
                ",婷婷爱八卦,对吴启华演的坏人印象深刻……,4,推荐,418,0.992338882402071
"
                    2017-01-10 13:35:52
                ",竹叶卷心,张敏真是美啊，和以前她别的作品表现出来的英气不一样，这个角色被欺负的时候简直是惹人怜惜啊，钟丽缇也好美好灵啊角色特别适合她，那种有点野性的天然美，蔡少芬也让我耳目一新，和她别的作品差别挺大的，周星驰不必多说，最经典就是那段展现他三寸不烂之舌的了。,4,推荐,219,0.9999999988263322
"
                    2018-06-06 08:16:53
                ",做一件事很难吗,周星驰的经典代表作 看似喜剧的效果 实则讽刺的意味 值得我们细细体会,5,力荐,218,0.9999884579268132
"
                    2018-04-18 06:42:19
                ",godzilla,被诬陷的张敏，插科打诨的吴孟达，妓院老鸨的蔡少芬等等，每一个角色都令人印象深刻。,5,力荐,187,0.8521299266147847
"
                    2018-06-05 09:42:02
                ",潇湘烟雨,最喜欢的一部周星驰电影，看多少遍都很有意思，经典,5,力荐,45,0.9991144932450737
"
                    2016-10-11 15:33:18
                ",朝暮雪,“如果你把剑吞下去我就不介意。”,4,推荐,93,0.6007352362397375
"
                    2017-01-10 12:38:53
                ",我不是服务器,电影不错，尤其是骂人那段，我曾经也跟着学过那种，不过没成功了(ꈍᴗꈍ),4,推荐,65,0.9953675765390626
"
                    2018-06-06 22:25:53
                ",偏要勉强,周星驰的电影重看依然经典，张敏好美。,4,推荐,31,0.9769280178331914
"
                    2015-01-12 22:32:36
                ",呼延凯旋,看过无数遍的经典之作，以前就是为了看热闹，为了看周星驰怎么在嬉笑怒骂中跟贪官争斗，替戚秦氏伸冤，但长大后就渐渐的明白了一些事。贪官奸，清官更应该奸，要不然怎么跟贪官斗呢？这句话道出了这部电影的精髓，就算是现在，也是一部警示之作，这是一个值得深思的故事。,5,力荐,45,0.9998009412690454
"
                    2017-06-06 23:55:16
                ",美神经,"嗯，又是一部周星驰的经典，不知道看过多少遍了～
那个去妓院找如烟的时候，厉害了，如烟肯定很累一直在叫～心里肯定很不爽，怎么今天那么多死男人。哈哈哈～
不负众望，后来终于从芝麻小官成了大官～一滩血溅上了公正廉明这四个字上。",4,推荐,25,0.03175931485288763
"
                    2022-02-24 20:34:52
                ",鱼鱼爱吃饭,"20220222重看
电影太绝了，虽说是早期电影，但是放到现在来看，一样顶呱呱。
把黑的说成白的，白的说成黑的都不在话下。
上一辈给的两条路，一本秘籍被烧，一个n年前用生命换来的人情，完全不顶用。
最后还是凭着自己的能力，以及运气翻案。
世间的故事大多如此。",5,力荐,36,0.9957843283125224
"
                    2018-04-18 06:44:53
                ",媛媛,很不错的无厘头电影，节奏紧凑！！,4,推荐,20,0.9960218060334626
"
                    2018-06-06 10:48:13
                ",grace-xhu,星爷的电影总是让人捧腹大笑，但是也有让人潸然泪下的地方，能把喜剧和悲剧融合在一部电影中而且处理的恰到好处的很厉害了。,4,推荐,37,0.9999972312017955
"
                    2018-06-06 07:42:31
                ",尽人事，听天命,真的觉得星爷的戏都很值得看啊。真的就是天才演员类型,5,力荐,33,0.9973922809618521
"
                    2017-03-21 09:14:15
                ",多看电影爱电影,张敏在里面的戏份太少了。,4,推荐,22,0.394426459852519
"
                    2018-05-22 21:03:05
                ",遇见彩虹🌈,咸鱼宝剑，把铁棍说直，跟石榴姐对骂，都是经典啊，哈哈哈,5,力荐,66,0.994092455937673
"
                    2019-12-01 22:25:51
                ",流光溢彩`,这部片子最厉害的地方是文本构造，这种从开场二十分钟到最后二十分钟中间的一整段几乎全是至暗时刻的本子是最能刻画人物形象、塑造主角成长的，而且本片在这么久的主角低谷时间里还能填充那么多幽默风趣的桥段，周星驰真是把笑点自然融入电影剧情的第一人，还用了几个比较厉害的蒙太奇做笑点，再说回剧本，这么长的至暗时刻可谓是把底层人物的艰辛无奈书写的淋漓尽致，尤其是戚秦氏被用刑那场戏实在是惨，也正是这样才让高潮的翻案来的如此有力。,4,推荐,16,0.999999999997653
