time,uname,comment,star,title,support,sentiment_score
"
                    2006-10-07 10:49:00
                ",Lan~die,一则极具颠覆性质的社会生活寓言.无能为力，无法改变现状，是现代生活中的癌症。虚无使人痛苦，使人希望借各种方式找回存在的真实感。然而现代人的精神悲剧就是，当他们自我搏斗、脱离了一种精神上的奴役的时候，不知不觉又进入了另一种奴役。影片自身所带有的一种不可言传的魔幻性与自我消解意味使它,5,力荐,5459,1.0
"
                    2010-04-12 15:40:54
                ",cream.cx,与同学一起观看。在一个专放商业片校级电影社团放映。一直到大四才看此片，似乎有点不应该。不过我不能理解的是，此片居然如此大众，而且评价如此之高。。。其实我很客观地说，在我心目中，这部电影只能算是一般。坦率地说，我看到中间的时候还睡着了。。。,3,还行,3755,0.5696404490620036
"
                    2008-04-15 21:53:38
                ",麻木粮姜,我要带我的女朋友去看炸大楼,5,力荐,7188,0.7520546510620914
"
                    2008-01-17 02:29:11
                ",文泽尔,这就是神作！完美的镜头，丰富的特效，不可预料的情节，优秀但不装13的台词：我们还能期待从一部电影里得到什么？,5,力荐,4744,0.9996549406339788
"
                    2012-10-27 14:11:42
                ",王周鹏,除了“人格分裂”，还可以从“本我、自我、超我”理论的角度理解片子，同时不要忽略单纯、不死、如影随形而又只具备原始欲望的玛拉，三者从未同时出现。“本我、自我、超我”是我们每个人的人格组成部分，三者的生存主张各不相同，相处相斗、此消彼长，影片在讲我们所有人。最后道德枪毙理想携手欲望，并窃取遗产、继续生活。,5,力荐,3621,0.9999999885305516
"
                    2007-08-19 06:23:41
                ",四维雨相,我看这个的时候才知道，电影可以这么牛B，一直到现在，重看最多次的电影。,5,力荐,3914,0.9688993016322942
"
                    2009-12-29 22:17:55
                ",挥雨,工作不能代表你，银行存款并不能代表你，你开的车也不能代表你，皮夹里的东西不能代表你，衣服也不能代表你，你只是平凡众生中的其中一个,5,力荐,3161,0.9790412960479459
"
                    2007-05-12 05:03:15
                ",小斑,我又看了一遍，再次确认Ed同学从一开始就爱上Tyler同学鸟，经典的自攻自受啊。虽然两个都是金发，不过也就这一点不符合配对美学了，小皮跟Norton的cp还是很有爱的。尤其Norton同学那一脸禁欲小受样，典型的冰山美山啊……我要去找这两人的同人看,5,力荐,1834,0.9998296861336654
"
                    2007-05-11 13:24:01
                ",影志,抛开一切，重获自由。You met me at very strange time in my life. 天呐，今天才看完这部电影。佩服导演埋彩蛋的功力，特别那两个big nice cock，绝妙啊！,5,力荐,1115,0.9999990149493818
"
                    2011-09-04 10:06:21
                ",Fantasy,"1.我看电影很少背台词,但这部片中的许多台词真是背的滚瓜烂熟. 2.我看过剧本结构最复杂的电影之一,其中情节的关联性对照性和许多彩蛋是模板级别的. 3.这部片后,大卫芬奇奠定了自己""黑暗小清新""教主地位. 4.原本大卫芬奇准备把1/24i秒一帧的布拉德皮特剪到片头24世纪福克斯处,太邪恶的念头了.可惜被否了",5,力荐,951,0.9999976089012595
