time,uname,comment,star,title,support,sentiment_score
"
                    2009-02-22 13:40:09
                ",思阳,终于有从另一个角度看纳粹的电影了。人性的愚笨，执着，甚至荒谬，却又是那样的自然，值得同情，甚至是值得尊敬的。这是今年奥斯卡最佳电影提名里面我认为最有深度和内涵的片子。Winslet的表演也相当棒，把一个低层劳动妇女的善良与粗犷刻画得入木三分。,5,力荐,2721,0.9999999999915856
"
                    2010-12-31 12:01:29
                ",沈书君,汉娜热衷于倾听朗读，她对文化世界中的美好事物的向往越强烈，她对自己文盲身份的厌恶和恐惧也就越强烈，这是同一种感情的两面。这让她近乎疯狂地走上了一条维护、追求尊严的道路，为此不惜撒谎，抛弃工作和爱她的人。为了守护秘密，你会走多远？,5,力荐,2093,0.9999999999999889
"
                    2009-06-28 01:06:26
                ",暖鱼,人因羞耻感而保有秘密，却又因秘密而困锁，但又因坚守秘密，留有一份尊严。难以言述的电影。,4,推荐,4603,0.9999999877573421
"
                    2009-01-20 12:54:03
                ",眠去,“只有一件事可以让灵魂完整，那就是爱！”男孩流着泪的脸经过隧道的阴影，变成了男人，但对她的爱从未消逝，从十五岁开始，一直到她死。甚至他死。,5,力荐,2171,0.9999943045785102
"
                    2009-03-01 20:48:05
                ",莫呼洛迦-屁股上的青春在歌唱,要不是那天的呕吐，也就不会有这么一段爱情。,4,推荐,1704,0.8493874335832383
"
                    2009-03-18 13:46:04
                ",苏更生,"上、下部跳tone太厉害。影片末尾真是累赘至极。
有一个镜头很美，汉娜离开后，麦克在湖边，他脱了衣服，把脚放到湖中，幽幽的湖水裹住他苍白的脚。这个镜头很独特。(为什么独特我说不上来，我只能感觉到。应该要把抽象的感觉化为理论的东西，我仔细想想。)

还有，汉娜到底有没有罪？虽然良知薄弱，但片中教授说到，主导我们生活的是法律，法律要的是证据。
道德虽广，但毕竟抽象；法律狭隘，但约束力强。
在当时法律来看（纳粹时期），汉娜没罪，她遵守规定，以看守犯人为责任，但是泯灭良知。


",4,推荐,1255,1.0
"
                    2017-02-19 11:32:55
                ",阿妩🍇,看了爱乐之城，毫无感觉，还以为自己麻木了呢，翻到这部片子，一对比，才知道不是我的问题,5,力荐,1140,0.5662555144378147
"
                    2009-04-21 13:36:31
                ",沉歌,爱煞凯特逐渐老去的眼角与眉梢。情恋与爱欲，唯有她的眼角眉梢才能将闪现的一切不可能全然变成了一种可能，即便面如枯槁，依旧是迷住少年人的优雅与魅力。,4,推荐,843,0.9999687667916247
"
                    2009-02-07 13:31:41
                ",UrthónaD'Mors,Hanna其实不在乎自己。一个人如果没有在乎的东西，也不在乎她自己的时候，真正了无牵挂，她就可以非常决绝。她的自杀应是情理当中的而michael这个角色让我觉得他怎么这么糊涂，一直与两人见面时，那番犀利的话还有沉迷的糊涂的一生，到了女猪脚死后的最后才真正觉醒....,4,推荐,691,0.9744993484483071
"
                    2009-03-19 22:13:30
                ",恶魔的步调,文盲的悲剧,4,推荐,662,0.8671479958691769
"
                    2009-02-10 00:26:35
                ",影志,2008剧情类年度最佳！“我什么都不怕，越是痛苦，我越是喜欢，危险只能让我更加爱她，能让爱升华，带给爱趣味…只有一件事可以让灵魂完整，那就是爱！”肥温演技的完美之作，史蒂芬·戴德利没有让人失望。一个如此简单的故事可以讲述的如此曼妙与深刻，爱真的可以超越一切。,5,力荐,949,0.9999999961793575
"
                    2009-03-02 21:07:57
                ",小儿勾,"Only one thing can make a soul complete, and that thing is love.",5,力荐,728,0.22339010201147835
"
                    2009-04-09 19:56:52
                ",小米=qdmimi,演员太强悍了……,5,力荐,526,0.9813525553467587
"
                    2014-11-21 14:30:32
                ",同志亦凡人中文站,在他渐老的心里永远住着那个15岁的朗读少年，如果生命可以定格在那个夏天该有多好。之前的任它错过，之后的不重要了。文学部分略单薄...,4,推荐,558,0.9983389903703815
"
                    2012-06-29 16:30:14
                ",赫恩曼尼,人不应因为爱上了罪恶的人就卷入他的罪恶中去。,5,力荐,449,0.38403630746209794
"
                    2009-01-31 21:19:01
                ",花儿果果,一个美丽而哀伤的爱情故事，一个纳粹罪与罚的故事，一个背负德国年轻一代与老一辈心结和情感争扎的严肃故事。很迷人，很动人，很感人。t6e523e2ad,5,力荐,478,0.9999999999562703
"
                    2011-08-23 23:18:03
                ",宅拾叁,我看这片时心态很恶俗。,3,还行,189,0.842785488913714
"
                    2014-06-29 04:38:55
                ",樹,只见时间，未见情感,3,还行,94,0.7055997885758813
"
                    2009-02-08 21:10:49
                ",Miss Lucky,还好她选择了自杀……,4,推荐,400,0.9744285150048334
"
                    2009-05-21 00:25:30
                ",亵渎电影,下一代的梅丽尔斯特里普,5,力荐,270,0.8794433566334721
"
                    2012-05-30 08:23:51
                ",不良生,我们最终原谅那个少年，因为知道那也是我们人性同样存在的软弱。,4,推荐,262,0.9994293402596964
"
                    2020-01-02 13:35:05
                ",黑伞,一直在想，对汉娜来说最羞耻的那一部分是什么呢？其实并不是她曾是纳粹集中营管理员的这个身份，而是她不识字。这是耻中之耻，比世俗所认定的罪更本质性地主导了她生的生命意识。很长一段时间里我不是很理解汉娜为什么不愿意出狱与现实世界和解，她已经在服刑期间认识了那么多字，并且学会了书写，她完全可以重新开始人生。但可能正是因为智识会开启人的良心吧，她觉得自己没有脸面了，这个世界（其实是这个世界的代表，那个曾与她长久相处的小男孩）不愿意接纳她了。在真正的爱情面前，羞耻心和良知所占的比重是很大的，大到可以让一个人因为羞耻而自愿结束自己的生命。,5,力荐,205,1.0
"
                    2017-04-24 19:50:28
                ",朝暮雪,《西西里的美丽传说》后又一部性启蒙电影，探讨了战争和人性，罪恶与救赎。,4,推荐,214,0.9999968244288858
"
                    2013-09-05 00:34:43
                ",西楼尘,这部电影于我意义非凡，专门找来小说去读，还写了同人小说，这电影从侧面就活生生记录了高三的岁月。柏林墙倒塌，代表一个新时代的到来，对于一代人的罪恶需要用良知、文化、时时的警醒去鞭笞和自勉，而过去的已然过去，无法改变，我们能做的就是把握现在，对现在负责，我们才能创造崭新的未来，满分。,5,力荐,143,0.999999999967276
"
                    2020-10-11 23:38:38
                ",糖仙贝,抱歉 这片子看得我职业病犯了，直到最后一分钟我都在期待剧情上的反转 到底Hanna有多么不可告人的苦衷还是情有可原的理由让她犯下反人类的罪行？结果是没有——它就是一个浪漫到一厢情愿的文艺片 任何一个法学院的一年级生都可以大声地告诉你有一种东西叫自然犯罪，杀人、防火、抢劫、强奸；这是不需要别人告诉你你在犯罪你也知道是犯罪的罪行，这和你文盲与否有任何一分钱关系吗？文盲就不知道杀人偿命吗？全片的逻辑到审判已经轰然倒塌，没有“如果你是我你会怎么做？”这个问题已经被回答过一千万次：“把枪口抬高一寸” ；所以如果一个人已经丧失了人性，她还有什么资格享受关于人的所有好事情，文学、诗歌、尊严、爱情？人性也许幽微复杂，但你不需要别人在你耳边朗读才知道不要杀人——人性也没有那么复杂。,3,还行,52,0.9999999999755855
"
                    2015-08-14 16:03:07
                ",冰红深蓝,史蒂芬·戴德利导演，凯特温丝莱特凭本片获得奥斯卡影后。影片对原著的改编十分到位，尽管不少细节都剪掉了，但却让这个震撼人心的故事流露出更多暧昧模糊、复杂矛盾的特质，真正做到了电影化叙事。关于自卑、羞耻与自尊，关于忘年恋，关于纳粹屠杀、法律与善恶的崭新视角。唯爱让灵魂完整。（9.0/10）,5,力荐,137,0.9999999999999751
"
                    2013-04-11 19:37:00
                ",曾于里,重看，也是心中最精彩的电影之一。探讨两个极为深刻的命题，一是“平庸之恶”；二是“沉默”,5,力荐,116,0.9998259522541701
"
                    2019-12-29 19:24:43
                ",焦糖爆爆D,"她是纳粹集中营里的一名女管理员，她喜欢听别人朗读，她宁愿背黑锅也不想让别人知道自己是文盲，她在20年的牢狱生涯里听着录音带一个字一个字地自学。她在被刑满释放的前一周结束了自己的生命。她因为不识字放弃了公交车办公室的工作，误入纳粹歧途。抛开所做之事来说，她确实只是在做一份她觉得自己能胜任的工作，可以说她也很有责任心。只是这份责任心用错了地方，而她全然不自知。她在法庭上也诚实地说出一切，却被坏心的同事共同指责为祸首。或许她认罪，也是一种自我的惩罚。我们都该庆幸在酿成大祸前知晓世事，庆幸平安地活过了这么些年。火车通过黑暗隧道转换了男主年岁，此去经年凯特苍老花白。你一生平淡婚姻不幸，我一生辗转牢狱未嫁他人。岁月弄人。以我的离去，将故事停留在遥远的美好。",4,推荐,215,1.0
"
                    2009-02-22 00:10:25
                ",战国客,每个人都有自己不愿为人知的秘密，甚至可以为了保守它而付出一切，而这些做法经常是旁人所无法理解的~~,4,推荐,168,0.9978531538127516
"
                    2009-02-10 08:28:30
                ",邹小樱,完全把原著的光芒泯灭了。就他妈是一部爱露点的山寨爱情片。,2,较差,167,0.9709583926426257
"
                    2009-03-17 00:22:57
                ",麦子,她的生日，10 21。,4,推荐,59,0.4808783956008086
"
                    2009-03-28 04:36:59
                ",Zephyrance,对于失望这个东西，除了无奈还能抱有什么。,3,还行,112,0.38066450938933905
"
                    2010-07-16 22:17:45
                ",Aubrey,想要Ralph Fiennes那样的老爸   沉稳 深情   连脆弱都在蓝色的泪水里变成致命伤,4,推荐,34,0.9992946794358617
"
                    2010-10-31 22:11:49
                ",Doublebitch,我以为我忘了，却被时时刻刻提醒着，即使过去许多年，这仍是属于我一个人的秘密，就连你也不懂,3,还行,111,0.9750845057685619
"
                    2009-04-12 01:18:20
                ",皮革业,这个故事相当《读者》！知识改变命运！,5,力荐,8,0.999950672048332
"
                    2011-11-13 22:56:01
                ",巴喆,不仅仅是凯特·温丝莱特的裸体，更多的是那位风烛残年的汉娜·施密茨悬梁自尽的身影。这一次，老肉丝缓慢、滞重、无依无靠，她把生命还给了世界，而导演甚至不忍心让我们看到她自缢的样子。 然而她还是死了，于是拉尔夫·费因斯的眸子里再一次盈满了泪水——动情的男人比动情的女人更能震撼人心。8.5,3,还行,156,0.9999982947893521
"
                    2009-04-05 14:42:48
                ",左胸上的吸盘,凑合，反正戴徳利是比不上以前了。另外这片子里所有人物都假模假式让人恶心,1,很差,15,0.7703192752714438
"
                    2009-04-30 00:40:12
                ",Orangy,中文翻译的题目太过严肃了....实际上就那么回事，德国当年的事情。,5,力荐,39,0.9290449734736959
"
                    2021-09-22 23:27:00
                ",厂长,本片好就在于所传达信息的复杂和饱满。“十恶不赦”的前纳粹共谋Hanna会帮助一个素未谋面的陌生男孩，会被文学和音乐感动到涕泗横流，俨然战前德国人的集体缩影；而她一生最大的羞耻竟然是自己不识字，并甘愿为了保守这一秘密而承受牢狱之灾。“我们试图理解”，这一过程就是我们对人性/生命复杂性的探求，也是文艺作品的美之所在。,5,力荐,90,1.0
"
                    2009-05-25 22:21:04
                ",大头绿豆,他们处理感情的方式，很特别，但很真实。时间也过得很真实。认识的方式突兀了些；结尾累赘了些。,4,推荐,88,0.9997969764797462
"
                    2018-04-02 11:35:25
                ",Olivia,群体暴力中的个人悲剧，无知与野蛮彼此助长，觉醒滋生对抗。对人性弱点的展示，淋漓尽致。,4,推荐,100,0.9999505012709035
"
                    2020-03-18 09:53:56
                ",丶Breeze,为你朗读是对知识的渴望还是你是文盲，跟你上床是沉沦情欲还是爱的轻狂。你的一个证据可以让她免受终身监禁，但你没有；监狱临别之际她需要一个拥抱，但你没有。在录音带里听到第一个音节的惊慌失措，在《带小狗的女人》中艰难学习认字，在写信时一笔一划写上自己的名字，那些日子都随风飘去，唯爱永存。,5,力荐,100,0.9999999824777638
"
                    2009-06-18 18:18:48
                ",[己注销],（９／１０）本片的原意是好的，但我实在很不喜欢片中的那些裸镜（尽管这对塑造人物很重要）。影片的后半部才是我所喜欢的。对于曾经的法西斯，“理解”不等于必须“代为反思”，这部片子难得的地方就是将“理解”和“谴责”同步进行，自作多情的陆川一郎的确得再好好地学学。,4,推荐,86,0.9992678516019495
"
                    2022-03-03 12:58:19
                ",隐德来希,汉娜因为自己是文盲而自卑，可以因为这个秘密而死。为了逃避升职带来的文书工作选择逃离，离开了她爱的人，也因为文盲才会当上看守犹太人这份工作。其实很难定义汉娜到底有没有罪，她当然不是纳粹，这份千夫所指的看守工作对汉娜而言不过是在尽忠职守，她没有想过世俗评价的问题，所以在法庭上才会如此直率的承认一切，因为对她而言，所有的行为都出自于一条笔直的思绪。既然如此，所谓的“审判”对她来说其实没有公平正义可言。如同那名法律教授所说：“法律很狭窄。”  导演把人与人之间爱恨纠结复杂的情感世界与心理影响拍得非常耐人寻味，当然也要归功于Winslet的精湛演技，具有非常强的说服力。,4,推荐,78,1.0
"
                    2011-04-12 01:12:05
                ",汪见殊,她说：“我还是希望有人读给我听。”可是，一切都结束了。但分明，爱，从未终止。,3,还行,17,0.9830997912983677
"
                    2009-02-14 23:34:02
                ",肖浑,一直沉闷 越情色越沉闷简直可以成为电影律 事情本身实在可疑 一个文盲会忽然爱上文学么？而且还是经典？ 而且，就算爱上又能怎样？ 关于对纳粹的理解和宽恕 电影表现只能很浅 ,5,力荐,6,0.9995494701675086
"
                    2016-12-02 12:49:29
                ",雨果,汉娜热衷于倾听朗读，她对文化世界中的美好事物的向往越强烈，她对自己文盲身份的厌恶和恐惧也就越强烈，这是同一种感情的两面。这让她近乎疯狂地走上了一条维护、追求尊严的道路，为此不惜撒谎，抛弃工作和爱她的人。为了守护秘密，你会走多远？,4,推荐,107,0.9999999999999889
"
                    2018-07-05 03:57:02
                ",阿依达,"电影一定请了美国法律顾问，感觉庭审部分法律部分还是挺精准的，更令人感到原来法律系统对无法接触法律术语/资源的贫民多么不公。庭审部分是全片最好看也最有审慎力的，而其他部分则太拖沓平淡与表面，感觉许多书里表述的内里的情感都被忽略了。""Camp is not a university""这句台词太精彩。",4,推荐,48,0.9999999999996201
"
                    2012-01-20 17:39:15
                ",Panda的影音,伴随着结尾的钢琴乐，心中有种不忍多言的感觉...... —— 在经历「《理智与情感》的女配、《泰坦尼克号》的女主、《长路将尽》的女配、《暖暖内含光》的女主、《身为人母》的女主」五次提名奥斯卡奖却纷纷落败之后，凯特·温丝莱特终于凭借《朗读者》获得了奥斯卡奖（最佳女主角）！,5,力荐,37,0.9999999998848965
"
                    2008-12-21 12:41:03
                ",艾小柯,朔方的雪,4,推荐,74,0.8120808904833858
"
                    2017-05-03 14:23:07
                ",蓝下老婆,哲学上说任何事物都是矛盾着的，都有两面性，人亦是,5,力荐,50,0.9499005900158646
"
                    2014-09-14 20:50:43
                ",昏金暗玉,女主角很特别，她不是情感类型的，我的思辨就在于理解她。在文字或识字改编一个人的思维方式上，朗读者比窃听风云做得更好。窃听是从乐曲和布莱希特直接领略到美和真理，朗读者是循序渐进，是她一开始没有预料到，但种子在那里。她像刚明白道理的人，为过去的无知赎罪。过程里文字和文字的意义得到彰显,3,还行,75,0.9999999999999987
"
                    2009-02-15 01:31:12
                ",石中剑,2.15,5,力荐,0,0.2500000000000001
"
                    2016-03-05 18:58:21
                ",Alain,那种彼时年少为你朗读的画面太过美好，令人动容（有时候我也会想象与心爱的人一起念书的样子，我们吐露的声音会在空气中打结，再也分不开）。影片在情绪的不断变化中曲折进行，直到拉尔夫·费因斯寄给正在牢狱当中的凯特·温斯莱特的那卷录音带开始播放的那一刻，我已经无法忍住眼泪，持续整个后半段。,2,较差,59,0.9999983826343126
"
                    2009-03-12 03:42:25
                ",原来是西门大嫂,除了啰嗦的意淫身无长物 毫无技巧又毫不感人啊,4,推荐,25,0.9923032745032087
"
                    2009-04-06 16:59:25
                ",木一,请不要把什么都当爱情电影来解读。,4,推荐,38,0.9714777217733981
