time,uname,comment,star,title,support,sentiment_score
"
                    2011-04-24 14:15:26
                ",托尼·王大拿,达伦，你到底从今敏那里偷了多少灵感，这和《黑天鹅》的设定有很多相似之处啊！镜子的割裂，心理暗示，散碎的剪辑，真他妈牛逼。,5,力荐,5522,0.914309880968542
"
                    2010-11-02 23:06:44
                ",易老邪,片子结尾将一切坐实为留美所为不能不说有丝遗憾，其实我个人更赞赏影片60多分钟时的那个剧情构思和说法，即，之前所发生的一切只是一个名叫高仓阳子的平凡女子的人格分裂，把自己幻想为偶像歌女雾越未麻，把自己不堪回首的遭遇幻想成在演戏，藉此得以解脱。,5,力荐,4598,0.9999999518082968
"
                    2006-03-15 03:35:48
                ",老阿飞—故园,谁说今敏不牛b我跟谁急,4,推荐,2619,0.3813347160257824
"
                    2009-12-15 13:50:33
                ",如花就是小妖,好的剧本就是就算你猜到了结局也猜不到全部,5,力荐,3975,0.9961265329056983
"
                    2007-01-23 02:54:59
                ",有未始有始也者,強姦戲可以理解，拍裸體寫真就絕對是敗筆（雖然是留美發瘋的關鍵），這樣一來未麻的演員定位就有問題了，到底是實力派呢？还是三級片明星呢？,4,推荐,2252,0.05730536071365633
"
                    2015-07-08 00:13:12
                ",翻滚吧！蛋堡,看今敏解读，他自己提到《梦之安魂曲》里浴室镜头的模仿：“什么致敬，明明就是抄袭！那个坐在浴缸里的女主角就是詹妮弗·康纳利。后来我还和她坐过同一架飞机，结果她在头等舱，我在经济舱。”哈哈哈哈哈哈,5,力荐,3476,0.9999708097181278
"
                    2010-08-15 15:41:59
                ",昏金暗玉,想想看这才是1997年的动画电影！今时今日很多真人电影仍然无法比拟它的用心良苦、诚意、和所达到的效果。为了扑朔迷离，今敏用尽心思。,5,力荐,3052,0.9999863606688342
"
                    2010-11-15 14:33:05
                ",Doublebitch,这绝逼不是给小孩子看的动画,5,力荐,2568,0.9357969568557052
"
                    2015-05-17 17:46:41
                ",同志亦凡人中文站,惊悚得头发梢都立起来了，今敏就是动画界的大卫·林奇啊！虚实切换得让人叹为观止～,5,力荐,1532,0.8430442026418609
"
                    2013-02-20 16:06:43
                ",匡轶歌,这就是那种即便导演给有一个看似“封闭”了的结局，也依然完全“开放”的片子。任何一种诠释都可以成立，也都无法彻底成立。,5,力荐,756,0.9999805269743262
"
                    2015-05-09 10:17:38
                ",木由,最好看的今敏。一个细节，所有被杀的人都是被刺了眼睛。,5,力荐,761,0.6940705498950148
"
                    2007-05-28 00:02:22
                ",JOJOORC/Z,边看边起鸡皮疙瘩，但看到结尾为什么觉得很励志……电影海报是神作,4,推荐,1008,0.958454734420303
"
                    2022-11-24 13:08:50
                ",牧三洵,表现人物扭曲的方式：眼距加宽。,5,力荐,494,0.7480050424788127
"
                    2010-10-11 09:57:03
                ",Rivers,梦境 现实 虚幻 穆赫兰道的感觉,4,推荐,816,0.9974257554267539
"
                    2011-11-27 19:14:26
                ",汪金卫,今敏大师导演的第一部动画，原来就如此牛逼！与之相比《黑天鹅》简直如同一个拙劣的模仿者。人格的分裂，梦境、戏剧和现实的混淆如此诡异、出色，只有动画……不，只有今敏的动画才做得出来！凌厉的剪辑令80分钟里观众时刻紧张万分。不停的思考情节和人格的真假。浑身冒冷汗。黑天鹅弱爆了！//20180923SAME法文展映。时隔多年再刷，买了原画分镜设定集，又看了今 敏的书了解了制作的来龙去脉。在影厅里依旧看得头皮发麻。除了因制作问题在作画方面有瑕疵，在剧情、分镜、音乐上堪称完美。梦境与现实，真实与虚幻，人格分裂、戏中戏……环环相扣，大师处女作即展露出尖锐的锋芒，已能看到后来作品的影子,5,力荐,587,1.0
"
                    2011-12-28 03:55:26
                ",朋克布莱克,高度写实，心惊肉跳！,5,力荐,365,0.41267898909005485
"
                    2015-12-26 16:49:57
                ",风蚀蘑菇,远超盗梦空间或是黑天鹅，风格接近妄想代理人。一个人的执着，两个人的精分，三个人的迷失。人格分裂，精神分裂，虚拟与现实，演戏与做梦，对过去的自我否定，丰富的细节和高完成度使它可以有三种以上的真相解释而且都站得住脚。复杂的剧情又比同为玩蒙太奇的千年女优更值得回味和讨论。非常牛逼。,5,力荐,308,0.9999999938697994
"
                    2008-04-29 23:15:57
                ",Lan~die,惊艳，这片子夏天看可以降温。,4,推荐,761,0.8008324708142989
"
                    2015-07-30 09:57:58
                ",tlmgt,这个还真的比 红辣椒 和 千年女优 还好····  说什么不如黑天鹅的，搞笑么···（顺便说下 原声配乐 挺牛的··有好几处 非常具象音乐）,5,力荐,257,0.9821270897257096
"
                    2017-04-01 10:16:47
                ",Sophie  Z,后半截mind-fuck得太厉害，以至于到最后任何一个镜头都在怀疑其虚实。20年前的作品，现在很多“烧脑”电影能用到其中三分之一剪辑功力都已经不易。,5,力荐,259,0.8291044743611468
"
                    2008-11-04 18:32:56
                ",伊麗莎白,"又是一个精神病,ME-mania长得吓人啊,恐怖..动画不是给孩子看的.,,",4,推荐,481,0.25223112644904366
"
                    2015-02-05 21:21:31
                ",danyboy,个人也认为前几个被害人都是未麻自己杀的。,5,力荐,207,0.5626732897606744
"
                    2015-07-05 11:42:36
                ",shininglove,浮生暂寄梦中梦，世事如闻风里风。,4,推荐,431,0.955858007396011
"
                    2018-09-14 22:51:27
                ",米粒,二十周年重映版。今敏太厉害了，且不说这部电影启发了多少好莱坞导演的作品；中后段未麻进入歇斯底里的状态后不断地从一层层的梦境中醒来，我只想抛弃一切逻辑和分析和她一起掉入毁灭的深渊。虽然结尾有些突然，并不能解释所有的疑虑，但电影已在制造困惑、把人内心深处最大的恐惧挖掘得淋漓尽致。在日本当爱豆应该还有好多故事可以讲，很希望多看到一些,5,力荐,176,0.9999999999999885
"
                    2018-09-02 12:58:35
                ",晚不安,我开始同意：牛逼的电影人都是从处女作就开始牛逼的。令人毛骨悚然的心理电影，在今 敏作品序列中最具现代感。画风尚没有生涯后期狂狷鬼魅，但想象力和表现力（蒙太奇切换）已经如入无人之境。变换视点令观众感同身受，以至分不清现实与幻想的界限。刷完四部长片以后，认定今 敏是我最爱的日本动画大师。,5,力荐,159,0.9999999999560123
"
                    2020-02-14 03:52:59
                ",嗑瓜子的向日葵,最烦这种电影，开始拍的扑朔迷离颠三倒四，最后告诉大家，这大部分都是一个病人人格分裂，马上所有问题都能解释通了，这种编剧太省事了吧。,1,很差,74,0.030997916105316103
"
                    2022-03-10 23:42:30
                ",未卜,81分钟，今敏只用了81分钟，就完成了大多数知名导演，120分钟都不足以完成的信息量，这复杂而又烧脑的剧作，被安排的如此紧凑，叹为观止。,5,力荐,133,0.28253894090840637
"
                    2007-06-13 17:17:24
                ",苇间疯,日本人真会扯，日本偶像文化之变态写照。虽然今敏这部动画各方面还算可圈可点，但由于悬疑类书籍阅览过剩，这个结局在片子中段就被我猜透了。,4,推荐,196,0.9999961760223067
"
                    2014-10-07 18:01:05
                ",远子,不知道还会不会出现一个能把动画片拍得如此迷人的导演。,5,力荐,195,0.46175729093187556
"
                    2017-01-12 13:54:02
                ",老袁,20年前的作品，放到现在依然不过时甚至是超前,5,力荐,138,0.6205319658790894
"
                    2008-01-11 02:16:38
                ",崇子,我很喜欢这个片子，看了很多遍。,5,力荐,113,0.9844514767439897
"
                    2018-08-26 14:06:30
                ",把噗,不只是《黑天鹅》，更是《穆赫兰道》。,5,力荐,59,0.9938314416233422
"
                    2015-08-01 23:01:55
                ",艾小柯,97年的创意极度了不起，真实和幻觉之间的转换迷人而可怕。比较苛刻地挑一个刺是人物性格的塑造较为粗糙，题材选择太过梦幻，减少了“真实得可怕”的力度。,4,推荐,133,0.993961679157825
