time,uname,comment,star,title,support,sentiment_score
"
                    2007-11-21 20:38:33
                ",momo,陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原,5,力荐,39154,0.6832968827525088
"
                    2007-10-14 15:39:21
                ",沉歌,他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。,5,力荐,26225,0.055786990359660615
"
                    2009-07-13 23:47:06
                ",蚂蚁没问题,就凭这个，我愿意原谅陈凯歌一切的烂片 你只要伟大过一次就可以了 就凭这个 哥哥你是我心中永远不朽的传奇 你是全世界最大的角儿,5,力荐,18098,0.9999859954494561
"
                    2006-03-22 12:32:08
                ",kingfish,"不解,拍出过霸王别姬的人怎能拍出无极来",5,力荐,16866,0.7398933085897151
"
                    2010-01-17 18:03:20
                ",凯瑟琳小姐,这真的不是电影，而是人生。如此真实深刻地反映了从抗战前夕至文革的那段历史时期下命运凄惨的人们，渗透在每一个细节，包括那个不能忍受戏班虐打的孩子，而文革中六亲不认，人格扭曲更是展现到了极致。当然最赞的是哥哥的表演，如此悲哀可怜的蝶衣让人心痛，不疯魔不成活，人戏不分，现实的他也是如此,5,力荐,12300,0.9999999999999991
"
                    2007-02-25 15:03:25
                ",莫呼洛迦-屁股上的青春在歌唱,仨小时的电影，我没上一次厕所，一直专注的在看，除了牛逼我想不出其他的词儿了。直男对于gay来说终究是祸害，他们不敢爱，面对自己的感情畏畏缩缩，伤了别人还假惺惺。每个人都演的很好，蒋雯丽虽然出场不到半小时，也是把角色诠释的淋漓尽致。这真是陈导的巅峰之作了。,5,力荐,9736,0.9999999961054375
"
                    2006-06-16 01:32:33
                ",艾小柯,最优秀的中国电影,5,力荐,16605,0.9864474704076186
"
                    2006-04-15 19:25:43
                ",香水瓶,君王意气尽 贱妾何聊生,5,力荐,11417,0.9651455965127057
"
                    2008-01-10 16:26:02
                ",老鸡｜扶立,在野路子出身的张国荣面前，学院出身的张丰毅显得那么单薄,4,推荐,33647,0.9448857576828851
"
                    2007-09-19 22:44:29
                ",文泽尔,往事不要再提，人生已多风雨。纵然记忆抹不去，爱与恨都还在心里。真的要断了过去，让明天好好继续，你就不必再苦苦追问他的消息。爱情他是个难题，让人目眩神迷，忘了痛或许可以，忘了你却太不容易。我对你仍有爱意我对自己无能为力。,5,力荐,5549,0.9999872853519637
"
                    2011-06-13 19:09:58
                ",UrthónaD'Mors,"蝶衣于台上贵妃醉酒，头顶忽撒下无数抗日传单。灯骤灭，台下喧哗。没有人再顾及台上的贵妃。唯有蝶衣，继续着未尽的绝美舞步丝毫未曾停滞。一片混乱之中，也唯有四爷，独自于楼上包厢继续丝毫未曾分神。看到这里感动的一塌糊涂。结尾处“我本是男儿郎,又不是女娇娥”真的落泪了。纯粹坚持的2人去了",5,力荐,5534,0.992359142484892
"
                    2005-07-22 01:36:02
                ",影志,人戏不分，不疯魔不成活。,5,力荐,9156,0.8170423680501234
"
                    2012-10-02 22:34:39
                ",人云奕云,我記得我標記過這部片子的啊！——我以為這是國產電影的開始，誰知道是結束。,5,力荐,5609,0.7823630735401633
"
                    2009-07-13 23:54:13
                ",[己注销],"被“历史”绑架了的两个小人物……

《活着》和《霸王别姬》不是中国电影的起点，而是终点……",4,推荐,4384,0.9997877269321557
"
                    2006-12-06 19:50:43
                ",JulyChan,你凝视你的脸，几亿人在爱恋。,5,力荐,7067,0.7519985059471725
"
                    2011-03-20 15:35:18
                ",Holocence,菊仙是个好女人,5,力荐,7609,0.6792599769579348
"
                    2011-05-14 10:56:55
                ",Bono,城头变幻大王旗，一个《霸王别姬》，一个《活着》，道尽中国现当代史，百年内无可超越。,5,力荐,4322,0.9999196633183223
"
                    2010-04-01 10:31:06
                ",同志亦凡人中文站,往事不要再提，人生已多风雨。他是霸王，你是虞姬，“我本是男儿郎，又不是女娇娥”，万丈红尘蹉跌走过半世纪。寥落繁华不由己，十万春花如梦里。剑还给你，命也还给你。“君王意气尽，贱妾何聊生？”陪你唱罢这出、我便离去...,5,力荐,2992,0.9999999999999736
"
                    2008-05-04 17:07:48
                ",趙小漁,凱歌也曾NB過，那時風華絕代的張國榮也還那麼年輕……,5,力荐,4362,0.7659045001922478
