time,uname,comment,star,title,support,sentiment_score
"
                    2007-08-17 19:11:24
                ",小耳朵图吗,宫崎骏的片子里。老奶奶都很丑。但都是好老奶奶。,4,推荐,6889,0.9574305879204627
"
                    2010-05-30 20:39:40
                ",一粒煞白,目前为止觉得哈尔是宫崎骏作品里最帅的男角,5,力荐,11794,0.7005969047968862
"
                    2006-01-18 12:01:31
                ",Z/S,看了这个电影就想要一个家。擦地板，在阳光下面放上铺着干净桌布的餐桌，还有照顾小火苗，就如同守护爱人的心一般。,5,力荐,7393,0.9977890785020544
"
                    2011-03-16 20:55:33
                ",伍德与夏洛蒂,虽然它确实不如宫崎骏的很多作品，也不是最受欢迎的，但却是我最爱。每次响起俩人初遇时在屋顶跳跃的那段音乐，都觉得莫名的悲伤。也正是因为这种感觉，它才是最爱。,5,力荐,4961,0.9999918505948842
"
                    2012-04-25 20:17:50
                ",同志亦凡人中文站,人不漂亮活着还有什么意思...哈哈哈哈太可爱了哈尔...,4,推荐,4602,0.977670457310954
"
                    2017-01-01 22:38:17
                ",A L E X,染发剂事件之后，形象崩塌暴露屁孩本质萌到吐血！哈尔一定是宫崎骏作品最帅男主了，配音还是木 村 拓 哉，简直不给活路,5,力荐,4207,0.1645943930126733
"
                    2007-11-09 22:56:14
                ",littletwo,"你的头发染上了星光的颜色……
爱的颜色……",5,力荐,4068,0.9296139324942971
"
                    2008-06-19 20:08:55
                ",王老虎,宫老唯一采用的美男主~~千年一见,5,力荐,4009,0.990060252229548
"
                    2009-07-30 15:46:22
                ",Asuraa,爱，就是替爱人找回自己的心。,5,力荐,3326,0.98023660072977
"
                    2016-06-11 01:08:01
                ",肖恩恩恩恩肖,因为有爱的能力和欲望，我们才年轻。如果太自卑与屈服现实，会像苏菲一样瞬间苍老。,5,力荐,2140,0.9999245744782865
"
                    2006-02-12 21:56:47
                ",影志,腾空徒步的那一段，最浪漫,4,推荐,3447,0.9543689294403722
"
                    2014-06-06 20:30:30
                ",爱幻想的小孩,看了这么多遍我还是不知道在讲什么，感觉有点野心大，又想把战争啊救赎啊什么的都说好结果就是有点没有重心。画面美爆了，也只有宫崎骏能这么有耐心吧,4,推荐,1111,0.9995819968377413
"
                    2010-07-25 00:22:44
                ",饥饿艺术家,1，哈尔变身之后的造型就是折了翼的天使。2，王后是女同，看上苏菲了。3，每个宫崎骏都要有老巫婆，善良女，宠物狗，无语怪。还有各种帅男！,4,推荐,1273,0.9981691518738317
"
                    2008-11-21 22:08:29
                ",mon babe,爱给了苏菲勇气，哈尔爱苏菲的勇气。,5,力荐,2421,0.9864211832609731
"
                    2006-12-31 22:22:37
                ",寄意寒星,这个……其实我没怎么看明白，14年的宫崎骏粉丝就这么秀逗了。……（后来千和我说她也不懂，少许有点心理安慰……）,4,推荐,409,0.9791940589133376
"
                    2006-01-01 17:57:35
                ",寂地,"比起宫爷爷以前的电影,这电影的主题更轻松.但是依然有一如既往的温暖.另外,哈尔那种小屁孩的性格实在太可爱了!",5,力荐,1753,0.9999990921209085
"
                    2018-02-21 09:05:06
                ",欣欣向荣,看过很多次，印象最深居然是里面的好吃的，煎鸡蛋和培根，还有吃鸡蛋壳的恶魔，很好看。,4,推荐,500,0.953111159940255
"
                    2012-07-18 21:50:33
                ",根,木村拓哉的声音真是亚萨西啊……,5,力荐,1851,0.8677290461560424
"
                    2016-05-30 21:36:30
                ",丹AI🌵,这是一个关于爱与拯救的故事，从最初喜欢你超高的颜值、酷炫的技能、王子一般的出场，到最后爱你内心孤独又傲娇、脆弱又勇敢、蠢萌又理想主义的小男孩。爱就是逐渐靠近、了解、懂得，接纳你真实的样子，依然不离不弃。,5,力荐,1065,0.9999999999998437
