time,uname,comment,star,title,support,sentiment_score
"
                    2006-12-02 21:45:58
                ",seeme | 北北,我看这部一直会哭，看了几次哭了几次，也不知道为了什么。总之，一看到手臂长长的铁皮人寂寥的站在那座城中，就控制不住了。,5,力荐,4746,0.9981153526097013
"
                    2010-09-05 03:28:47
                ",莫呼洛迦-屁股上的青春在歌唱,多年后重看天空之城才能更加明白，宫崎骏对细节的处理的用心不仅仅是一时的感动你，宫崎骏能通过他的作品来让你逐渐明白生活的可贵，来明白爱与和平的作用。但就……还是早恋！,5,力荐,3475,0.9999999300630242
"
                    2008-10-22 21:20:39
                ",Tuna Bento,时隔十年重新看这部动画片，被海盗老婆婆那句“头发被剪掉了才是大事”感动得乱七八糟。对于一个女孩子来说，什么金钱散尽啊什么历经苦难啊都被这几个字淡淡抹掉，小小一句话简直就是箴言。,4,推荐,5939,0.9999142996387289
"
                    2012-08-07 16:01:03
                ",朝暮雪,可惜1986年奥斯卡还没有最佳动画长片奖。,4,推荐,950,0.7442207435825741
"
                    2012-12-22 20:41:51
                ",同志亦凡人中文站,人类历史上昙花一现的飞艇时代竟然衍生出了这么波澜壮阔的故事，尽管早期画风有点幼稚，但想象力就是让人叹为观止。我最敬佩的，是当初决定离开天空之城的先人，因为那需要太多的勇气！,5,力荐,1895,0.999433561864684
"
                    2011-09-19 15:02:02
                ",Vini_Kazma,如果说自然赐予文明以生命力的话，那么贪欲则会夺取文明的生命力，直至文明毁灭。植根厚土，沐浴清风。和种子一起过冬，一起在春天里生长；和鸟儿一起在春天里歌唱；和春风一起在大地上舞动。只为追寻那最质朴的生活。“巴鲁斯”与其说他是让拉普达毁灭，还不如说是让拉普达文明涅磐重生。 ,5,力荐,1346,0.9999999999999587
"
                    2006-01-01 17:25:51
                ",寂地,不看人生不圆满!!!宫爷爷的所有电影都是!,5,力荐,1959,0.9965202645364519
"
                    2010-11-27 10:17:15
                ",城南草木生,还是觉得这是宫崎骏最好的一部——“我会像傻瓜那样去保护她”,5,力荐,1526,0.599597384695328
"
                    2009-04-14 13:35:03
                ",布宜諾斯,剧情无甚佳，但天空之城的景象忘不掉，尤其是废墟中布满杂草的死掉机器人出现的时候,3,还行,1796,0.9306877231332205
"
                    2008-09-01 09:45:42
                ",Q。,好电影从来都不会因为岁月的流逝而失去它的味道，反而会越来越香醇，一如地窖里的酒。久石让的音乐堪称完美，画面虽是手绘，但亲切感十足，故事背景细节丰富，人物刻画生动，还有区别于一般动画的深刻主题。★★★★☆,5,力荐,1132,0.9999999998142586
"
                    2018-01-02 22:25:39
                ",赤练的老公,宫崎骏的一大代表作，不论是剧情，音乐，配图。节奏都非常好。看了好几遍。值得看。青涩的友情爱情，抉择。很纯情。尤其喜欢钢琴曲，不得不说。久石让与宫崎骏绝配,4,推荐,717,0.9999999194753901
"
                    2013-02-13 15:39:04
                ",徐若风,浪漫至极的大冒险。/ 2023时隔十年二刷，少男少女情窦初开、互诉衷肠的秘密夜聊，以及两人共同在瞬间决定不顾生死、携手说出毁灭的咒语，都是两个很大的泪点。那种只有少年心中才有的理想、勇气，为爱不顾一切，太打动我了。有些电影可能长大后看才会真正看懂吧。《天空之城》真正讲的是：每个人心中都有一座天空之城。年少时，它是我们的理想，是净土，纯洁之至。而随着成长，它反而会充斥着物欲、权欲，成为抢夺他人资源的机器。守护你心中的纯真，不要因为这个世界而彻底改变自己。而这几乎无法做到。我们只能尽可能离真实的自己，近一点，再近一点。,4,推荐,308,1.0
"
                    2013-08-20 16:27:24
                ",欢乐分裂,"2023-6-8重看（也不知重温过多少回）；依旧五星，打动人心的力量从来都是正因为单纯而特别强大——当我们相信爱能击破权欲，咒语能毁灭物理世界，生命的灿烂美丽是自然天然浑成的源泉；就像我们深信云层背后定然藏有未知的神秘和美丽、繁华与凋零，就像它们注定会永远消失，真正纯净的美只能消失于充满欲望的庸碌世间，那颗孤独伟大的生命之树最后徜徉在无尽浩瀚，加上无比熟悉的配乐，何止感动，仿佛正目睹一种文明自视野中消亡，而处于科技链底端的人类却正是凶手。
保留了一贯对飞翔的热爱（仿佛是人类基因中对飞翔的天然渴求），永不言败的少年和少女（典型宫崎骏作品系列的形象），充满童心的婆婆（承前启后的人物），天空某处，定有一个无人涉足、只为自己保留的小小世界。这是一首优美挽歌，也是对自然伟力、美好爱情的赞歌。",5,力荐,773,1.0
"
                    2007-05-12 09:18:29
                ",单线程青年,喜欢工业革命时期笨拙又功能性的全机械化的东西，觉得发明家很了不起,5,力荐,1087,0.9974984883143406
"
                    2009-10-12 19:36:44
                ",Arch-Murder,我愿意给10颗星！！！！！！！！！！,5,力荐,1349,0.033924131399902024
"
                    2010-07-29 14:16:51
                ",Mr.Táo,每一个女孩最后是不是都会变成妈打啊,5,力荐,1096,0.7539074143414575
"
                    2014-05-18 02:27:10
                ",木由,长长胳膊的机器人们 都有同一个灵魂吧 独守空城七百年 眼看着自己尸骸枯萎 眼看着身上蔓草丛生 眼看着呼啦啦大厦倾 眼看着她来了又走 …永远只剩下自己一个人 …想想，觉得又心酸又难过,5,力荐,598,0.9996820789689731
"
                    2006-07-18 13:48:28
                ",大宸,很美 无法忘记配乐,5,力荐,1056,0.9462086248010453
"
                    2007-02-28 01:31:34
                ",隆咚锵,突然好想哭……,5,力荐,986,0.8749556248452682
"
                    2023-06-01 21:38:23
                ",TouMing柜子,-  重看。开场到两人降落天空之城纯五星，开放合成的魅力，人物的魅力，接近完美的动作、语气和去景深化的横移与斜角构图，废土对于宫崎骏而言不是背景板而是承载知识分子情怀的开放世界：没有人不会为Laputa被时间之树所缠绕的机器人坟冢动容哭泣，但这些终究还不够。刻板得迂腐的性别书写（多次强调男性气质并构成驱动，以及巴鲁视角几乎是宅男式的）被幽默消解了部分，但希达从头到尾也没建立真正的主体性而更多是作为拥有不可知技术力量的大他者象征的少女符号（无论海盗婆婆、还是珊/娜乌西卡都丰满太多），所以最做作的一段来了：由王座前对峙时希达的一段长独白进行堪称机械的“主旨提炼”（何必？），和刻板的反派塑造一并造成后半段语气的失衡，合力念出的毁灭咒语没能迎来它真正的能量（仅留视觉上的“脱落”），于是显得遗憾,4,推荐,97,1.0
"
                    2008-07-23 00:38:14
                ",范小奚,对天空的追逐，永不停止。,5,力荐,811,0.9909960896677752
"
                    2010-11-17 02:52:15
                ",Doublebitch,久石让的原声太动人,5,力荐,571,0.5362424571750624
"
                    2022-07-24 10:07:25
                ",黄悦_,它尽量伸长着手臂把希达安全送出去 然后自己牺牲了，另一个它抬起风筝以免压到了鸟窝 看到鸟蛋还安然无恙我甚至觉得它笑了笑了，它长满青苔让小动物在自己身上跑来跑去 它漫无目的在岛上走啊走 只为了守护这里，在为巴鲁和希达的冒险之旅捏一把汗之际 我更想摸摸这些机器人 告诉它们你们开心玩耍就好 不要太难过太寂寞了。PS久石让的《天空之城》 让人毕生难忘。,4,推荐,171,0.9999999755063343
"
                    2022-01-08 12:36:06
                ",小狗骑士,寻找的咒语那么长，毁灭的咒语却那么简单😭 太喜欢宫崎骏塑造的小女孩角色了，永远真诚、勇敢、坚韧,5,力荐,410,0.9999989889036092
"
                    2016-10-31 10:25:31
                ",momo,配乐远比情节精彩，最后的老奶奶很温暖。,4,推荐,290,0.9879420910295202
"
                    2020-04-29 05:56:14
                ",喜儿喂鸭正经地,宫崎骏的麻花辫情节，在女性角色鼓起勇气放弃自我桎梏的时候这条麻花辫就会被削下,4,推荐,189,0.9998506039238
"
                    2022-02-13 23:37:01
                ",十点半了吗,那么辽阔的宇宙，希达正好落在巴鲁怀里的可能性是百分之百。,5,力荐,435,0.999794713439627
"
                    2014-02-06 14:58:40
                ",掉线,【B】宫式童话，拉普达有种怪异的悲伤，配乐比电影本身要更优秀,4,推荐,149,0.9999922798222507
"
                    2007-02-24 22:37:23
                ",大头绿豆,瑰丽的想象。,4,推荐,169,0.542865122025243
"
                    2023-06-03 18:06:30
                ",窗台生物,“女人要有胆量！”朵拉奶奶真的太酷了！还有希达在风筝上面和朵拉说“奶奶不也是女人吗，那我也可以做到！”也太正向了吧，这可是86年的电影就这么正向引导！全片最可爱就是粉色海盗一族，最后和巴鲁还有希达一起逃脱还得到了满手珠宝，引擎爷爷“我那艘可爱的破船”和朵拉“头发剪掉了好可怜”真的萌翻！(波姆爷爷在地下洞穴说再见，还有机器人送花也很好哭),5,力荐,283,0.9999999999773634
"
                    2023-06-03 23:14:30
                ",Kyon Smith,影片所立足的主题“哪怕是强大到不可思议的天空之城拉普达，它的存在也不能脱离于它所扎根的土地”，正好结合最近的《塞尔达传说：王国之泪》，倒不妨以一种较为粗浅的角度来解释——我们还是得靠不断地在矿场挖煤，才能供给维持机械运转的庞大开支。当两位主人公念出毁灭的咒语，拖累着核心飞行石的多余部件应声脱落，只剩那多年来为机器们所滋养的擎天巨树攀升到天空的更高处，唯有这时，被彻底剥除人的属性的奇观才能成立——这种稍显自相矛盾的对自然的理解还真是奇妙。海盗们低空滑翔的长背动、进入风暴时的金田龙和阴影处理、二人站在巨树前的凝结风景以及影片最后二人前往女主故乡路上的夕阳，影片确实不乏上述这些令我动容的瞬间，然而，无论是剧情逻辑的粗暴还是角色对立的表演性质，都使我不太能沉浸到这种屏蔽掉了一切危险的朦胧的纯真之中。,4,推荐,37,1.0
"
                    2023-06-03 02:09:58
                ",嘀1嗒1,"我以为有多经典呢 结果还不就是一个俗套的英雄救美故事 
看到女主两次逃跑时都是辫子被人抓住导致失败 我就一心火大 太碍事儿了 我看谁还敢说服美役没关系的
还有海盗婆婆 本来又有野心又有手段多帅气啊 偏偏是个男宝妈 养了一群废物儿子 气死 ",2,较差,24,0.9960617653763074
"
                    2023-06-01 15:00:40
                ",陆离,"那不是毁灭的咒语，是重生的咒语。
真正的国王会让拉普达褪去暴力，让希望重生。",5,力荐,243,0.9962912004576283
"
                    2012-01-11 23:36:34
                ",汪金卫,以前没看过宫崎骏的动画（《阿丽埃蒂》不是宫崎骏导演）我是怀着膜拜大师的态度来看片的，但大失所望。精美的人设和画面、美妙的旋律下是一个充斥着俗套的漏洞百出的故事。也许我被皮克斯的真实系动画惯坏了，但我实在不喜欢这么个能让我边看边猜到下一步剧情的动画。剧情要是正常些都够主角死几百次了,3,还行,86,0.9999999981685042
"
                    2022-09-27 22:30:55
                ",不灵,船没了再建一艘就好了，可爱的头发被剪掉了才真的叫人伤心呢😃😃😃,5,力荐,244,0.45105097221304136
"
                    2017-11-14 09:55:44
                ",遇见彩虹🌈,喜欢宫崎峻的画风，单纯舒服。这些年看过很多动画电影，玩过很多游戏，有空中城堡，有机器人，都会想到天空之城。作为90年代初期的作品，他的想象力真的丰富到难以想象。,5,力荐,189,0.9999990335828224
"
                    2019-10-07 13:22:48
                ",赱馬觀♣,久石让音乐甚是经典。可这片拍的……也太好莱坞太斯皮尔伯格了吧！片头从飞艇坠落，在高架轨道上疯狂追逐，不正是比本片早两年的夺宝奇兵2的华彩桥段吗？而动画片在这方面存在先天缺陷，拍不出真人电影的紧张感以及微表情与小动作的幽默调剂。关键时刻项链宝石魔力四射使希达凌空安渡，算是脱离了真人冒险的逻辑维度而进入到动画该有的超想象自由王国，然后又令人遗憾地摆荡回大段类型感真实化和西方文化倾向的动作桥段，直至天空之城华丽显身才再见动画想象……如此的品质起伏跌宕自然难堪极评，更别说豆#34的耸人高位。三星半。,3,还行,39,1.0
"
                    2018-05-14 17:15:52
                ",青山绿水,有时候，坚持了你最不想干的事情之后，便可得到你最想要的东西，坚持就是胜利。,4,推荐,70,0.5917651433505661
