time,uname,comment,star,title,support,sentiment_score
"
                    2010-06-07 01:17:27
                ",左左☮,将儿时睡前故事一般的情节，加上对宗教对人生的感悟，配合精美的画面音乐，精美绝伦！——————以上都是屁，不足以形容它带给我的感动,5,力荐,161,0.9999999938546753
"
                    2010-02-06 16:58:25
                ",大西,原声和画风太棒啦~,5,力荐,116,0.8398728535817924
"
                    2014-12-16 23:04:26
                ",米粒,太美了，沁人心脾又给人无限遐想，仿佛回到小时候，很多事情第一次从未知到已知的兴奋——“我最不怕的就是想象！”谁能想到和恶势力的搏斗竟是粉笔画大战贪食蛇呢？太可爱了！好想在阿诗铃的歌声里化成一阵烟，飘去世界上那些神秘又美丽的地方,5,力荐,94,0.9999999997230966
"
                    2010-02-07 23:20:49
                ",神迦乐小舞,诚心地讲，这部动画无论剧情再紧凑，意义再深刻，其实都无法超越极致华丽的配乐与精美绝伦的画面所带给我们的从异域席卷而来的巨大震撼，所以也请不要再纠结它的剧本问题了。,4,推荐,671,0.99997542106104
"
                    2010-02-10 21:58:32
                ",HELLO！,那精灵唱的歌好听极了！,3,还行,160,0.911448851435371
"
                    2010-02-11 16:01:14
                ",Jin,画面很华美。音乐也不错。人物很可爱。故事……我没感觉。,4,推荐,325,0.9983095490275855
"
                    2010-03-27 11:27:34
                ",恶魔的步调,"墙里墙外的世界，经典的绘本风格，出色的配乐，英伦腔调。Aisling在爱尔兰语中有梦、愿景（dream, vision）之意。2009欧洲动画节最佳导演奖。2009第33届法国昂西动画影展“观众大奖”（AUDIENCE AWARD）。2009爱丁堡电影节“标准生活”观众票选奖。",5,力荐,57,0.9999990804815941
"
                    2013-05-21 13:49:33
                ",CharlesChou,没有信仰也看得泪流满面，最后一个30秒三格三个季节的单镜头直接就营造出了史诗感，片头与片尾也是混沌和光明的对照。每一帧细节都完美得像艺术品，卷轴式运镜就像文明演进，UNITY。,5,力荐,51,0.9999998373009618
"
                    2010-02-15 15:56:57
                ",喂泥,画面音乐5星，情节3星,4,推荐,156,0.3407087414161587
"
                    2016-01-06 12:46:08
                ",雨宫萤,"这样的画面才不愧“动画”二字。
爱尔兰的悲伤简直渗透入骨，不管啥艺术作品都予人一种“好可怜”的感觉，哪怕画面华美至极。
那个猫叫“胖哥胖儿”哈哈。",4,推荐,95,0.9999861325104555
"
                    2009-11-24 09:00:17
                ",deo Z,出色的动画，经典的故事，我感兴趣的凯尔特题材。无可挑剔。欧盟电影展看的。,5,力荐,46,0.9994402763971495
"
                    2017-05-05 16:43:14
                ",慕詩,这部片子主线虽然是比较严肃的话题，但影片中有很多很幽默的情节，最喜欢阿诗铃在高塔窗边唱歌那一段，歌声空灵、婉转清透，带着神秘又像带着无限延伸的希望，特别特别的美。,5,力荐,39,0.9999999956302028
"
                    2019-07-01 08:55:31
                ",冰红深蓝,汤姆·摩尔处女作，手绘动画永远都值得尊敬，几乎每一帧都绝美，配上恰到好处的音乐，确乎纯粹的艺术品。人物线条干净简朴，后景则复杂华丽，内涵具有多重解读的潜力，不过总体看还是不若[海洋之歌]那般灵动、瑰丽、完整。叙事上前后有所割裂，清新梦幻的儿童成长故事与残酷现实的屠杀与逃亡相连，后半程（入侵、逃亡、成长、传承、归家）仅占1/4篇幅，节奏过快。伊丹和布兰登持守传承的《凯尔经》内页始终未呈露出来，升华为普遍的知识与精神财富之象喻。几个绝美的场景：背景中绵密繁复的脚手架；纯朴的粉笔简笔画；阿诗琳坐在高塔的窗沿哼起谣曲（古爱尔兰诗歌《Pangur Bán》），让猫猫的灵魂去偷出钥匙；咬尾蛇失去水晶之眼，疯狂自噬；维京人攻入后的黑红白配色，漫天雪花与烈焰废墟；以春夏秋三联画凝缩成长过程。（9.0/10）,5,力荐,32,1.0
"
                    2010-01-30 20:52:50
                ",宇宙塑胶魔怪,无论是题材还是画面抑或OST都很棒，部分细节没交代清楚，并且结尾稍显仓促，但瑕不掩瑜，此片超越UP成为我心中的09年年度最佳动画,4,推荐,96,0.9999962236506956
"
                    2015-10-23 11:06:35
                ",维城乱马,《海洋之歌》导演前作，爱尔兰的《天书奇谈》。宗教色彩浓厚，音乐还是一贯的悠扬动听。其实不太喜欢过于工整的矢量风格画风，做到精致繁复很多，但能做到如此有灵气的，寥寥无几。,4,推荐,38,0.9999999900081075
"
                    2010-03-23 22:29:52
                ",A-sun*,画风很异域。技术质量上乘。故事。嗯。好薄弱。,3,还行,55,0.9971504326743375
"
                    2011-05-04 21:55:53
                ",MichelleLOU,阿凡达2.0，画风大大大大大爱,4,推荐,1,0.7569729931288236
"
                    2009-09-14 14:54:53
                ",阿朴,如绘本般美丽，OST也很赞！,4,推荐,2,0.9921745604829814
"
                    2012-08-21 09:49:45
                ",无所谓,Original and beautifully drawn.,5,力荐,0,0.44767845850986676
"
                    2011-07-30 15:02:16
                ",小九儿,美妙的奇妙,4,推荐,1,0.9875352711370774
"
                    2013-01-27 22:54:57
                ",吃 硬,好久没有看到画得这么精心的动画了！,4,推荐,1,0.9923973310564772
