time,uname,comment,star,title,support,sentiment_score
"
                    2011-10-17 23:08:50
                ",Touma,所以说还是知识分子最懂怎么击中所有但凡有一点儿文学理想的人的软肋。《流动的盛宴》就已经够让人垂涎不已了，竟然还他妈影像化了，太意淫了。说实话，我很愤怒！！！,5,力荐,1741,0.08146546664381382
"
                    2011-05-14 06:00:36
                ",Adam,伍迪艾伦吃下各种艺术，文学方面的知识，于是放了个屁，但我们闻着也是香的。,4,推荐,4001,0.9240875391984555
"
                    2011-08-15 10:27:28
                ",Connie,不就是装腔作势掉书袋吗，批判可以，善意才好，其实都是带镣铐的可怜人。爱巴黎，爱黄金时代，爱毕加索的女人，皆因那是别处，是可以寄存理想的另一个地方。（重看一次，感觉全篇精华在于Gil拒绝Adriana留在她认为的黄金年代那一段。他们对理想世界的追捧仅限于叶公好龙的程度。）,4,推荐,2190,0.9999684270812194
"
                    2011-08-07 17:03:23
                ",艾小柯,浪漫主义的真谛在于一次次向时代挑战而终于败北，在于逃离以及触不可及的迷人。,4,推荐,2011,0.9996476208555718
"
                    2011-08-06 19:06:12
                ",亵渎电影,午夜巴黎，任何奇迹都可能发生。人到巴黎就连老伍迪这种悲观主义的老头都变得浪漫情趣起来，即使故事结尾恋人分手了又如何，他又会在午夜钟声敲响的时候遇到另一位知心人。一封送给全世界浪漫完美主义者的情书！在这个中国情人节我们看着这部电影渡过，即使哪天分来了我也将不会悲伤。★★★★★,5,力荐,1490,0.9999999999960798
"
                    2011-08-14 01:45:50
                ",shu,恰好和你同样喜欢在巴黎雨中散步的人，就不是恰好。 穿越跟想象也不是，心底的选择就让它做出现实版本的决定吧。 穿越虽好，他记得回来了。,5,力荐,898,0.9999994606263454
"
                    2012-01-28 23:40:39
                ",Bill,你品尝了夜的巴黎，你踏过下雪的北京。你熟记书本里每一句你最爱的真理。,5,力荐,887,0.9928011703546948
"
                    2011-10-15 13:09:36
                ",桃桃林林,"无论什么角色,到了伍迪`艾伦的作品里,都成了他的样子,吞吞吐吐的讲话方式,有些尖刻又幽默的对白。每个人都在逃避现在，寻找自己的黄金时代。对于古旧的推崇，其实影片的讽刺蛮犀利的。",4,推荐,1675,0.9999486906965974
"
                    2011-08-06 21:32:57
                ",A L E X,当Adrien Brody饰演的达利出现，我真心觉得自己彻底穿越了……“Dalí~Dalí~Dalí~”扶额,4,推荐,1304,0.8759373731535604
"
                    2011-05-12 06:19:13
                ",在人潮中拥抱你,不仅是中国流行穿越，全世界都流行着穿越啊穿越！,5,力荐,442,0.9638299842634155
"
                    2011-09-13 01:25:32
                ",等一个人,我看到了一头犀牛...,4,推荐,840,0.9515723240652864
"
                    2011-05-13 04:49:53
                ",echohead™,又一部伟大的巴黎城市风光宣传片，还带穿越剧情。,3,还行,663,0.9944044556946384
"
                    2011-10-19 23:39:55
                ",LORENZO 洛伦佐,巴黎很美好，电影太美国，掉书袋，伪文青，搬出菲茨杰拉德、海明威、波特、毕加索来装B，这不是浪漫这是意淫。一万个人心中有一万个巴黎，伍迪•艾伦眼中只有浪漫，所以他只看到了他想要的浪漫。此外，从一开始就知道俩人长不了，巴不得早早分了。,4,推荐,525,0.9999999905100968
"
                    2013-02-03 22:29:36
                ",Vamei,旧时代的风味很美好，因为你是局外人。,4,推荐,779,0.9904266567151513
"
                    2011-10-14 21:39:39
                ",影志,“我相信真正纯正的爱情能产生一个纾解死亡的阶段，所有的懦弱都出自于没有爱或爱得不彻底，这两者一样。勇敢而真诚的人能够直面死亡，正是因为他们的爱拥有足够的激情，可以将死神从头脑中驱逐。” 电影拥有一切美的化身，如梦似幻的场景切换让人难辨古今，扑朔迷离。只是太易沉醉的东西也让人空虚。,4,推荐,534,0.9999999999999991
"
                    2011-08-23 10:07:09
                ",胤祥,欧文·威尔逊模仿伍迪艾伦真是到位啊。布吕尼的酱油打得很好嘛！这部片儿根本就是老头和法国影评界在互相吹捧互相表白，结果收获北美票房成功以及各种赞美真是件有趣的事儿。全片讲了一个简单的“活在现在”的道理，跟《紫玫瑰》关系不大，倒是更像《独家新闻》。结尾倒是有那么一点儿像侯麦。,5,力荐,320,0.9992067895543953
"
                    2020-10-06 18:02:24
                ",涤纶海绵威,老婆，你骗得了我，但骗不了海明威,4,推荐,485,0.38108710863361406
"
                    2013-07-19 16:40:42
                ",掉线,【B】看的第一部伍迪艾伦电影，觉得和王家卫有些许共通之处……电影很有趣，即便对艺术不了解也不会无聊，好多明星客串。其实这片子多么适合翻拍一个中国版。一个作家穿越到三十年代的上海，遇到了胡适，徐志摩，巴金，爱上了林微因……,5,力荐,160,0.9997468446362618
