time,uname,comment,star,title,support,sentiment_score
"
                    2012-04-27 02:34:25
                ",LORENZO 洛伦佐,从头燃到尾！各种爽！各种给力！唐尼大眼睛各种吐槽！浩克裸一把还卖萌，你是天神我照摔！锤哥一边和抖森搞基一边雷！抖森那个演技啊啧啧太赞了！杰瑞米鹰眼帅气神射！性感女神斯嘉丽高超骗术还有漂亮身手！美国队长的屁股和胸配合3D效果要爆表！边看边高潮，湿了好几次！今年上映大片里第一部佳作！,5,力荐,2319,0.9999998897624566
"
                    2012-04-26 05:05:39
                ",陀螺凡达可,Hulk...Smash！！！,5,力荐,1467,0.5
"
                    2012-04-23 16:43:26
                ",jj73浅之,这些漫威怪物集中起来本以为是一锅粥，结果分工超明确人物极鲜明，加上目不暇接的狂轰滥炸和适当的吐槽卖萌，这些人物甚至比之前看单独影片时更惹人喜爱。唯一遗憾的是，反派外星人仍然没有脱离害虫形象的传统，飞船还长得像皮皮虾,4,推荐,2469,0.997960798168235
"
                    2012-05-05 23:19:02
                ",麻绳,被严重高估的粉丝电影。最后30分钟拯救全片，但为了这个高潮付出的代价太大了，前90分钟冗长乏味，为分配几个人的戏份进行对手戏排列组合，莫名其妙的恩怨设置如劣质武侠片，主线信息本来就少得可怜，还反复交代，完全失败的节奏和结构，应砍掉30分钟,3,还行,867,0.13039711017911204
"
                    2012-05-07 20:51:55
                ",岛上的夏奈,这！已！经！是！纽！约！不！知！道！第！几！次！被！外！星！人！轰！炸！了！好！想！住！在！这！个！随！时！都！有！可！能！被！炸！死！的！破！地！方！,4,推荐,1091,0.007953309068315262
"
                    2012-05-07 18:07:14
                ",同志亦凡人中文站,不用动脑的电影就是好～PS我是真心喜欢洛基呀！！！！,3,还行,173,0.8764357501700999
"
                    2012-04-23 16:24:14
                ",兰若,真没想到《复仇者联盟》这么好看啊！钢铁侠大战美国队长，绿巨人狂K雷神索尔，黑寡妇勾搭鹰眼…老实说这几个超级英雄掐起架来比团结一致好看多了！钢铁侠负责耍宝，大兵负责耍帅;黑寡妇卖弄风情，绿巨人卖萌，再加一个坏坏有人爱的大反派，梦幻组合，灰常完美！,5,力荐,1081,0.9999403508977546
"
                    2012-05-05 03:12:24
                ",办公室甜心,撸妇联前：诶嘿嘿好激动哟终于可以看妇联了！撸妇联时：嘤抖森嘤JR嘤嘤大胸美队嘤嘤大胸锤哥嘤嘤糖泥嘤菲尔好萌哦新绿巨人也好萌的样纸呢啊啊啊啊啊啊我是绿巨人脑残粉哈哈哈哈！撸完妇联：啊啊啊啊啊啊啊啊啊啊这绝逼是我看过最带感最鸡血的电影没有之一啊亲没有之一啊啊啊啊啊！太！好！看！了！！！,5,力荐,538,0.9999999871410875
"
                    2012-04-23 16:35:48
                ",山人阿苍苍,欢乐养眼！唐尼吐槽大美！loki美貌不能直视！与他哥的基情不能直视！上影院看这种片绝对值回票价！虽然剧情简单。。。但看得过瘾！总得来说一个字：燃！,4,推荐,1007,0.9999855476263174
"
                    2012-05-05 03:12:25
                ",亵渎电影,一部几乎完美的爆米花电影，谁在乎它演的是什么，因为它的幽默感太强大了！性格分明的人物，魅力十足的明星，层出不穷的笑料，紧张刺激的节奏，震撼视听的特效和层次分明的剧情编排，每一个超级英雄都有自己的性格和故事，他们都忙着互损互斗还一起欺负软妹，为什么这群演员都这么有爱呢？★★★★,4,推荐,947,0.999999999834698
"
                    2012-05-05 22:58:00
                ",影志,其实这是一个“葫芦兄弟”（钢铁侠斯塔克、雷神索尔、美国队长、绿巨人班纳、黑寡妇、鹰眼巴顿）在”爷爷“指挥官独眼侠弗瑞的带领下，团结一致、联合起来变成“葫芦小金刚”各显神通对付“蛇精”洛基的故事。,4,推荐,156,0.9964514335681065
"
                    2012-05-05 12:27:03
                ",皮皮敦敦,IMAX3D打斗效果从头爽到尾.队长负责健美操.雷神负责耍大锤.寡妇负责勾搭.鹰眼负责耍酷.绿巨人天然呆卖萌.钢铁侠抖骚耍宝.PS：片尾有彩蛋.,5,力荐,437,0.9961621910402113
"
                    2012-04-26 04:37:28
                ",wwwwwhat,Loki真心美貌;Robin阿姨就是去打酱油的，打的还没感觉；Thor那句He is adopted狂戳hhp其实我对唐尼的幽默比较无感。想起三集片里那句Every fairytale needs a good old-fashioned villain，没有人家Loki这群英雄们不也是天天百无聊赖嘛最后被他哥拿铁链子牵走的样子好乖，为啥嘴巴也堵上？是怕他话唠？,5,力荐,394,0.3590032158825478
"
                    2012-05-05 22:20:04
                ",伊谢尔伦的风,这片子的主要诉求就是欺负老年人（队长），欺负残疾人（钢铁侠），欺负病人（绿胖），欺负弱智（托尔）以及欺负上班族（特工）是吗……,4,推荐,68,0.0005008544430206152
"
                    2012-04-30 20:46:20
                ",艾小柯,大屏幕3D效果佳，战斗场景设计声音剪辑达成期盼，笑料包袱抖得精彩，可称一次超爽的视效体验。超级英雄大会战，还是钢铁侠最眩，幽默感兼个人魅力十足；最厉害当属绿巨人，宇宙全无敌啊！,4,推荐,70,0.9999999749097395
"
                    2012-04-24 10:13:34
                ",CyberKnight电子骑士,刚看完《复仇者联盟》，比前面几部超级英雄片都好看！角色个个出彩，很多台词情节非常可乐。最后的大战有点像变形金刚3，但更华丽热血，美国队长的一句：hulk，smash！引发了现场的欢呼和掌声！这是一部非常有娱乐价值的暑期大作。3d效果也很出色。各位毋庸置疑，准备在大银幕上迎接复仇者联盟吧！,5,力荐,308,0.9999999995299425
"
                    2012-06-18 14:21:19
                ",emma,so funny~~,4,推荐,0,0.5
"
                    2012-04-24 10:38:08
                ",Multivac,碉堡了！打绝人寰！不愧是漫威总爆发之作！人物之间的平衡感很好，包括浩克和班纳的处理。期待续集！,5,力荐,238,0.9999800843812602
"
                    2012-06-18 17:36:37
                ",我是silence,爆米花电影之典范 搞笑狠经典！,4,推荐,1,0.697631512286261
"
                    2012-05-05 15:33:58
                ",桃桃林林,三星半，或者是期待太高，没预想的过瘾。当然，期待的内容都出现了，各种爆炸动作戏及有趣的对白。导演很好的协调了几个角色，每个人都有空间展示自己的性格和特点。绿巨人无论在过瘾和吐槽上都更让人惊喜。钢铁侠依然负责搞笑，黑寡妇和鹰眼都很帅。很好的爆米花。,3,还行,68,0.9999999284866659
"
                    2018-02-25 14:52:00
                ",Chloe🌲🔥,请漫威出几部番外，让寡姐和美队谈恋爱吧😭😭😭斯嘉丽我爱你,4,推荐,81,0.9830353225418483
"
                    2012-09-04 00:01:58
                ",希辰,之前功课做得不够。不是我的菜。,3,还行,0,0.5384439892149742
"
                    2012-04-26 02:45:22
                ",大卫,还是钢铁侠最帅，和Pepper调完情后，又和Hulk去搞基，最后Hulk就和他驱车而离去也！,5,力荐,159,0.030203421211746462
"
                    2012-06-18 23:05:19
                ",哆来咪吥羔,好喜欢鹰眼哦··酷到爆···,4,推荐,7,0.6558248031475822
