time,uname,comment,star,title,support,sentiment_score
"
                    2015-10-16 20:54:27
                ",不良生,1，你是长大成年后的小王子。玫瑰像是母亲，你们彼此相爱，却不懂如何表达。你离开她，在路上遇到狐狸，建立新的亲密关系，像是你的爱人。2，若与人世有羁绊，便有眼泪成苦海。3，那些离开这个世界的人，从离开我们的第一天开始，其实也就是我们踏上与她或他们重逢旅程的第一天。,4,推荐,1858,0.9999982691142205
"
                    2015-09-04 01:46:02
                ",小斑,画风其实挺美。剧本也把虚实结合得很好。只是感情上我真的吃不消。比藤原佐为消失更可怕的事情就是小王子长大。看到扫烟囱那段简直要坐在一群小孩子中间哭出来。这情节是什么鬼！这种被冷不防被沉重伤害到的感受……不推荐给任何在合上原著后相信小王子回去B612星球的大小盆友。,3,还行,1718,0.9999999983363927
"
                    2015-06-01 12:45:15
                ",米粒,3.5 原著部分用纸做成的停格动画很美，新加的小女孩的故事就比较一般了。才发现配音阵容如此全明星... (⊙o⊙)…,4,推荐,733,0.9950405251071615
"
                    2015-07-31 01:57:23
                ",Aaiún,太喜欢原著那一段。加上依然能听起鸡皮疙瘩的台词。我一天想念44次去年的星空，正如你一天看44次日落。On ne voit bien qu'avec le coeur. L'essentiel est invisible pour les yeux.,4,推荐,690,0.9619146920434748
"
                    2015-10-16 15:20:08
                ",亵渎电影,和想象中的《小王子》完全不一样，看到法国公司拍，还以为会是一部充满欧洲人文气息的动画电影，原来这么的好莱坞类型片化，就像《少年派》把真实的那个故事给拍出来一样，这样的改编就是读后感，试图将想象力具象化，书中哲学性诗一般的语言和味道也差不多没了，而且中文的配音非常的糟糕。★★★,3,还行,1342,0.9999999999265587
"
                    2015-09-02 05:54:32
                ",Mlle Zèbre,全场齐哭的感觉太美好了。你曾经是谁的玫瑰，现在又是谁的狐狸。,5,力荐,3978,0.9903955719570962
"
                    2015-08-05 02:37:02
                ",RITA,整个看片过程非常纠结 举个例子——“小孩根本不能开飞机嘛” “我靠真飞了” “糊鬼呢” “算了不想了” “哎呀小王子” (然后哭了) 这从根本上说是剧本的问题,4,推荐,403,0.23438361641818362
"
                    2015-05-25 02:50:54
                ",bluetramper,停不下来的内流满面，说明我还没忘记作为一个孩子的滋味,5,力荐,1141,0.746976483769736
"
                    2015-10-17 15:52:30
                ",岩屑,叙事视角一塌糊涂，看见长辫子姑娘从床上醒来还以为小姑娘长大了，但居然是她妈妈！这哪儿跟哪儿啊！,3,还行,809,0.8378794008223532
"
                    2015-10-16 14:48:28
                ",金筱书,国语配音坏了整锅粥。尤其是毁了我的小王子。💔,4,推荐,302,0.4680922036061077
"
                    2015-10-10 16:56:21
                ",幻觉的黎明,你知道的：当一个人情绪低落的时候，他会格外喜欢看日落..,5,力荐,926,0.9274217212815303
"
                    2015-09-15 18:11:51
                ",乌鸦火堂,美国导演拍法国动画，有美式精致画质和娱乐属性也有法式的细腻情感，继承了原著的衣钵并进行传统化的演绎，全片给人一种莫名的感动，孤独、寂寞，后面又是很暖心的那种情怀和情感释放，温柔而华丽，汉斯基默的音乐太美，小狐狸超萌，人人心中都住在一个小王子，年度最佳动画之一,5,力荐,746,1.0
"
                    2015-07-27 02:30:40
                ",203457,小王子，看了巴黎26号的超前抢映，全片经常莫名其妙戳中泪点，而且疑似每个人泪点都不一样，灯亮的时候看到前排大叔在擦眼泪，音乐好评画面好评，小王子的故事永远5颗星,5,力荐,767,0.9748334523464299
"
                    2015-10-16 12:19:57
                ",BenX,童话不是哄小孩用的，童话是给成年人看的。,4,推荐,267,0.9858348481042519
"
                    2015-10-17 13:57:06
                ",朝暮雪,“麻麻，为什么大人也来看动画片呐？”“因为大人曾经也是小孩啊。”,4,推荐,135,0.9980241765850283
"
                    2015-07-30 23:58:10
                ",Laisses tomber,在电影院看哭,5,力荐,439,0.7339000629825573
"
                    2015-10-14 10:45:41
                ",二月鸟语,7.5/首映礼，基本忠于原著，定格动画完美还原了原著粉的臆想，小王子的经典，是每个人都能从中发现不一样的自己，成长、初心、孤寂、纯真、爱……。好吧，其实我也还是个孩子。被国语版配音和3D毁了一大半的观感-1，其实我看的时候都没戴3D眼镜，但还是最喜欢黄渤温柔系和周迅、易烊千玺磁性系配音。,4,推荐,124,0.9999998766460357
"
                    2015-10-19 11:39:06
                ",黄青蕉,海报太丑了，丑的我一直以为这是一部3D烂片，没想到美学效果一流，迥异于皮克斯和迪士尼的审美趣味，完全儿童式的情节逻辑，像一个美妙的睡前故事。最后，走字幕时被配音阵容震惊了，而且不得不说，配得有点、比较、很……差,4,推荐,69,0.999767577626034
"
                    2015-10-15 15:06:33
                ",HurryShit,前面都還行，從女孩跟老人吵架、雨中狂奔起，電影就亂了調。,2,较差,197,0.8915566908123984
"
                    2015-08-04 04:22:08
                ",ingel,好美，莫名的感动，星星喷涌而出的瞬间，内心无处安放的孤寂与抑郁似乎也得到了解脱～,5,力荐,509,0.9999986872272829
"
                    2015-10-20 16:42:19
                ",维城乱马,很欣慰的发觉自己在观影过程中居然湿了三次眼眶，原来我尚且没有被这个残酷的世界腐蚀，年少时的梦，不曾遗忘，他和他的故事，我都还记得。大人认为无关紧要的事情，我依然引以为重。无惧嘲笑，永远带着爱与梦飞翔，永远。,4,推荐,54,0.9999999999541958
"
                    2015-10-16 16:31:36
                ",桃桃林林,最终让人记住了可能还是那些句子了，虽然读出来之后，挺违和的。片子本身的制作其实亮点不多，可能是太拘泥于原作了吧，仍是以非常平庸或套路的方式讲出了这个故事。看得人略有些乏味。而且，这片多少有点长啊。,3,还行,182,0.9988657302541679
"
                    2015-10-17 14:08:17
                ",crow,本来看一个法国文艺动画  没想到看了一个美国好莱坞动画电影,3,还行,255,0.9987247964320627
"
                    2015-10-17 13:32:13
                ",( ･᷄ὢ･᷅ ),单纯去讲一个故事很难吗？添枝加叶非要说明什么道理的感觉真是够了。我的小王子才不会长大，他的玫瑰花也永远不会枯萎。,1,很差,1860,0.9999574225598271
"
                    2015-10-16 15:45:26
                ",盲盒游戏戒断中,狐狸说：“对我来说，你只是一个小男孩，就像其他成千上万个小男孩一样没有什么两样。我不需要你。你也不需要我。对你来说，我也只是一只狐狸，和其他成千上万的狐狸没有什么不同。但是，如果你驯养了我，我们就会彼此需要。对我来说，你就是我的世界里独一无二的了；我对你来说，也是你的世界里的唯一,5,力荐,416,0.9999998204072772
"
                    2015-10-17 19:34:09
                ",影志,害怕的不是成长，而是遗忘。相比《头脑特工队》的创意解释，《小王子》略显直白。但是开场黑屏时听到音乐响起就鼻子发酸，结尾回到心爱却已凋零的玫瑰身边，还是感动不已。“所有的大人都曾经是小孩，虽然，只有少数的人记得。”,3,还行,127,0.9999999999997129
"
                    2015-09-10 18:39:46
                ",淋,我们畏惧的问题不在于长大而在于遗忘。所有大人都是孩子，只要你未曾遗忘！快看呐，星星出来了...,5,力荐,318,0.999997238418455
"
                    2015-10-17 21:43:45
                ",西楼尘,大部分人糊里糊涂地长大，按照人生规划表循规蹈矩地升学考研就业结婚。与父母隔膜太深，与朋友渐行渐远，与爱人精疲力竭。小王子却告诉你世界上还有玫瑰有狐狸有B612星球及上面挪一下椅子就能看的日出日落。用CG和手绘纸模两种方式呈现这个温暖童话，汉斯季莫配乐让人安心，但小王子长大的改编是败笔。,4,推荐,49,1.0
"
                    2015-10-18 11:52:46
                ",汽车大师,对学区房家长的有力一击,4,推荐,20,0.6138489419440162
"
                    2015-10-16 12:34:00
                ",欢乐分裂,四星半；原著文本以定格动画呈现（与庸常的现实形式相比，无论形式或情感上都具有泾渭分明的指代意义），作为讲述回忆的文本内容，因此任何治愈或文艺的言语都显得易于接受；给表述孤独、爱和希望的内核穿上一件鲜亮甜美的外衣，极聪明的改编；配乐好听，配音亦无隔膜感。,4,推荐,16,0.9999999999998079
"
                    2015-10-17 12:07:05
                ",EVA亚当,和我心中的小王子差太远了,2,较差,144,0.8683613900154807
"
                    2015-10-13 17:21:42
                ",SydneyCarton,像我这样翘班去看或许比较符合本片精神。,4,推荐,29,0.9213151487257939
"
                    2015-10-16 13:06:00
                ",BisCuitie_,原著党保持缄默,1,很差,1592,0.9034910370831118
"
                    2017-02-28 19:10:29
                ",斑斑点点,1942年的童话小说改编的，感动了很多成年人，在中国1.5亿票房。,4,推荐,12,0.9999854883505715
"
                    2015-10-17 16:41:16
                ",向晚,的确和看书的感觉很不一样  长大了是什么鬼   还有配音！小王子的配音是什么？！！,4,推荐,24,0.9796629837712313
"
                    2015-11-21 18:30:37
                ",同志亦凡人中文站,想看小王子的故事，结果给我看了个小女孩和老王子的故事。两种不同画风还要揉在一起，海报都没故事惊悚。道理我都懂，可是谁稀罕你拿小王子来讲这个啊～！,2,较差,103,0.9999539661716309
"
                    2015-07-31 21:09:57
                ",素辣拌面,个人不看好该片在国内的票房（如果有幸被引进的话）。因为法国文化中的那种骚柔的性格和哲学的思辨在中国当今浮躁的社会中实在是没有市场，也不可能产生共鸣。Toutes les grandes personnes ont d'abord été des enfants.,5,力荐,121,0.999973472071018
"
                    2015-10-17 16:32:44
                ",用户名太长了,一个人坐在一堆熊孩子中哭成狗。可能为了迎合儿童观众做了很大的改编，反而会让故事变俗。书中所有的情节都被简单的带过，关于玫瑰，狐狸，其他星球的人……但是定格动画那里真的美得不要不要的,4,推荐,30,0.9999998999262187
"
                    2015-10-16 22:44:14
                ",戚阿九,小王子不会就这样轻易地狗带,3,还行,110,0.9715447617677252
"
                    2015-10-17 11:47:03
                ",扣子,撬开嘴给你灌鸡汤可还行，可悲的大人，不要忘记自己曾是小孩子，狐狸，玫瑰，巴拉巴拉，小学课文中心思想般的归纳总结，太低级。观影途中翻了一万次白眼。,1,很差,564,0.9995597780984744
"
                    2015-08-07 05:17:22
                ",起！,不觉得改编得有多好。音乐倒是挺赞。豆瓣主演都是一帮美国人，我大法国版的vincent cassel配的狐狸，还有Guillaume Canet配的普林斯先生，你们就这么忽略他们了？为他们心疼。,3,还行,94,0.9999981684266102
