time,uname,comment,star,title,support,sentiment_score
"
                    2008-07-14 10:28:14
                ",眼角的花朵,在这部的确很简单的电影里，唯一曲折的便是查理得到邀请券的过程，并且，事实上我们知道他肯定能得到。Tim Burton没有再在别的什么地方故弄玄虚，他把整个工厂布置得童话一样，在每个孩子出局之后插入一段热闹浅白的歌舞，他就是要告诉你，间谍在卖 Willy Wonka的秘方了（交易的时候，信封上赫然写着“秘方”两个字，哈哈）；就是要告诉你，贪婪、虚荣、自负都是坏的品质；就是要告诉你，现在该轮到惩罚谁了；就是要告诉你，查理肯定会得到巧克力工厂；他就是要告诉你，家庭比什么都重要。 ,4,推荐,2594,0.9999992969063275
"
                    2007-03-23 23:28:48
                ",龙三,恩，这个男人，演啥像啥~,5,力荐,3177,0.8239209143664495
"
                    2006-08-03 01:36:04
                ",小耳朵图吗,硬是没看出来是德普嘛,5,力荐,2301,0.584188087653891
"
                    2010-10-12 11:22:38
                ",宋小卡,电影频道播了1000次都没兴趣看的电影。其实挺他妈好看的,4,推荐,2135,0.9575295934781568
"
                    2008-08-30 20:19:51
                ",N,很棒的电影，可惜还是要靠对小矮人的“自愿被剥削”来建立完美平衡。,5,力荐,1270,0.9997528100865413
"
                    2017-04-05 14:54:50
                ",花落  思量错,第一次看的时候被拐叔叔吓到了，但长大了后来在看，很有意思，影片很出彩，孩子们都被那香甜可口的巧克力吸引，并不知道会有多可怕，教育意义很多，比较适合家长和小朋友一起看。,5,力荐,276,0.9999999982255727
"
                    2021-06-16 11:39:19
                ",不可抗力。,"威利旺卡的巧克力全世界最好吃。他都无法提及parent这个单词，父母，亲情在他生活中都已缺席，但是他对父亲的回报是这些年一直将牙齿保持的那么好。",5,力荐,213,0.9999878201911969
"
                    2007-04-12 11:44:50
                ",funny_vee,工厂很有想象力。可故事说教味道太浓了。,4,推荐,876,0.35336628455655616
"
                    2021-04-28 02:43:55
                ",王小札,威利旺卡才是那个问题最大的儿童。查理与巧克力工厂像一场完全由个人好恶为评判标准的淘汰制比赛，在整个参观过程中小男孩并未受到实质考验，什么都没做以至走到最后，这显然难以服人。想象力场景也乏善可陈。而主题说教偏执而诡异，贪吃和看电视这些很多小孩子身上都有的特点也能被丑化放大作为惩罚的理由，鞭打奶牛和烧毁娃娃的波顿式恶趣味，却与它所宣扬的家庭美好基调氛围恰恰矛盾。,2,较差,35,0.9999999999999221
"
                    2006-09-23 17:13:47
                ",徐小花,松鼠剥榛子那段真可爱,4,推荐,967,0.9718069093869236
"
                    2006-08-25 09:20:35
                ",艾小柯,充满想像力的视觉旅行,4,推荐,592,0.9904585665853286
"
                    2017-01-03 10:41:02
                ",momo,这可是我原来为数不多的看过好几遍的电影，很喜欢这个充满童趣的电影，感觉这个电影满足了好多儿时的梦想，印象最深的一个场景，是那些小人欢迎查理他们进入巧克力世界跳的舞吧，很盛大的场面，虽说那个族人长得有些奇怪,4,推荐,252,0.9999999999910876
"
                    2007-10-14 15:56:33
                ",沉歌,还是神经质的德普最萌。,5,力荐,139,0.9913895094862429
"
                    2018-01-21 20:12:14
                ",晨暮🦋,现在才看，可能影片中的几个孩子的点对点教育，太典型了反而没那么触动。但童话般的工厂，歪歪斜斜的查理房屋以及风雪中独立存在的牙医诊所，都是甜蜜的存在。,3,还行,898,0.9999900034439139
"
                    2017-05-06 17:42:56
                ",慕詩,十来岁的时候我超级爱这部电影。以后有小朋友等他大一点我会给他看这个，看，无论年纪大小，每个人总得为自己的所作所为负责任。所以强力码住。,5,力荐,40,0.866428034568944
"
                    2007-11-13 16:30:02
                ",Song³,好像不太适合小孩看,4,推荐,345,0.2567931074912183
"
                    2016-11-17 00:09:20
                ",amelin,布景精致华美，完美构建了一个童话巧克力王国。小演员演技很棒。在童话故事里潜移默化地讲道理，蛮适合家长带孩子一起看的。,4,推荐,209,0.9999999999225824
"
                    2018-01-12 12:29:09
                ",梦询,梦幻，工厂太奇特了，工作的都是这动物什么的。而且有点音乐剧的感觉，每个有缺点孩子也因自己的缺点也得到了惩罚，也有教育意义。值得一看。,4,推荐,148,0.9999879326319311
"
                    2018-08-16 11:09:20
                ",Neroat,讲道理，我真的没看出来威利是约翰尼德普演的。总觉得威利旺卡是一个很奇怪又很变态的人，但是内心脆弱又很缺爱。没什么伏笔，在这个奇怪的甚至有一点点吓人的巧克力世界里，知道查理会获得金奖券，知道讨厌的小孩会一个个受到惩罚，知道最后查理会因为家人放弃大奖。不过影片的意义就是让家长明白不能骄纵小孩，让小孩明白要谦逊友爱，希望这个世界充满爱，家人才是最重要的。就教育意义来说，够了。,3,还行,516,0.9999999609822836
"
                    2017-12-07 07:35:18
                ",半城风月,奇幻有趣，巧克力工厂简直是梦中的巧克力王国一样的存在，处处皆惊喜。,5,力荐,24,0.9999660298472726
"
                    2005-11-07 12:50:47
                ",大头绿豆,很简单的儿童教育片。,4,推荐,225,0.9700900543447538
"
                    2008-08-04 09:30:11
                ",画皮手大婧子,相当受不了跳舞那大叔,3,还行,552,0.5288098703901728
"
                    2009-12-19 14:14:09
                ",杨迪,我的高中同学们全部看睡着了,4,推荐,335,0.7735731121460402
"
                    2016-11-02 13:46:13
                ",股神看不懂,挺喜欢的，适合当教育片给孩子看，德普的演技一如既往的优秀大爱，算是一场视听圣宴吧,5,力荐,126,0.9999997992290804
"
                    2023-12-09 19:33:33
                ",BridgetShen,二刷，看来看去还是这版最好看,3,还行,17,0.7408548276422223
"
                    2019-10-05 17:52:09
                ",十八爷,原来查理是通过啥也不干的排除法获得工厂的，这部电影可能特别适合我妈看，因为她老人家的人生格言就是“本本分分，终有一份”。,4,推荐,57,0.9999694478195964
