time,uname,comment,star,title,support,sentiment_score
"
                    2012-11-02 18:02:15
                ",秋不二,事实证明，不要对一部没有看过的片子抱以过高的期望。岩井的构图和布光漂亮得不得了，完全就是小清新的范本。这部影片缺乏的是一个有张力的剧本，我们在剧情中看不见岩井的才华，只看见一个被束缚和挣扎的导演。同时，这部影片的人物造型和设定做作透顶。综上所述，这部影片可以浓缩为俩字：扯淡。,3,还行,190,0.9999999999776892
"
                    2007-05-12 16:20:03
                ",沉歌,"我们都曾急于逃出围墙寻找信仰，踏上认定的道路，单纯的相信，无知与受骗，彷徨或迷惘，围墙上的左右游离，满打满撞，都是青春岁月里必然要经历的困扰。

",4,推荐,412,0.9999999154701766
"
                    2020-06-01 11:24:24
                ",冰红深蓝,精神病人的末世之旅。1.和同年的[燕尾蝶]及此后的[莉莉周]属于同种气调，岩井俊二总能将残酷与美好、地狱与天堂、梦魇与梦幻交相映衬、无缝并置，一如黑色的羽毛&残破的黑伞与阳光下的白衣&白床单。2.那堵连绵不绝、无法脱离的围墙，恰似囚禁与自由的永恒悖论，你不敢走下来摆脱它，但走在上面又的确离天空更近了几分，契如戴着镣铐跳舞的迷局，而一旦跌出坠落，便唯有迎接折断头颈的命途，在草地上失去方向地挣扎、狂舞，拥抱死亡。3.精神病院里的美丽女医生和幻想中的丑恶男老师，共同织就了一张逃不脱的大网。4.花洒/金针菇与隔窗床上的自读，非常惊艳的构图和想象。5.夕阳下的灯塔，对着太阳连开三枪，慢动作下飘飞散落的羽毛（兀想及[蝙蝠]结尾，还有[花与爱丽丝]海滩上空的扑克牌）。（8.5/10）,4,推荐,106,1.0
"
                    2007-08-01 18:35:28
                ",眠去,残酷的世界没有尽头，除了走下去，我们无路可选择。,4,推荐,223,0.9880579777676455
"
                    2006-01-30 01:43:17
                ",S.Dummy,难道只有精神病人，才有那孩童般的笑么,4,推荐,194,0.21658606184051898
"
                    2007-07-13 09:22:03
                ",逍遥兽,枪响那一瞬间，不论看多少遍，一样会哭。,5,力荐,117,0.9733559782043342
"
                    2018-11-28 23:02:06
                ",墓岛GRAVELAND,"中世纪朝圣长诗的日本式表述，“围墙”是社会秩序，这些异端者仅仅没有超越秩序，也没有维持秩序，他们仅仅在秩序的边缘生存。
岩井俊二通过鱼眼POV模拟疯癫者的世界，实在界的猥琐与罪恶在它们之间展开，对于疯人之间，他们总是可以看到彼此的幻想，这是一种“灵视”的特权，象征秩序世界的常人永远无法获得。
Coco一身黑色，犹如乌鸦，如果她是异端，那么纯白色的卷毛即是圣洁，三人之行并不是圣三位一体，最后一人是淫欲的，追随二者而行的庸众。
“世界末日”：神圣的特殊途径，在世界末日中，庸众必须没落，异端必须被献祭。",4,推荐,374,0.9999999999982796
"
                    2007-03-14 10:36:28
                ",Zuschauerin,这是我的由岩井俊二引领的青春残酷之旅的终结。从“梦旅人”开始，不看岩井俊二。很疼。,5,力荐,65,0.9999704929632702
"
                    2009-08-29 13:30:52
                ",苏洛,虽然背景人物阴暗扭曲，但我感受到的是他们对自由对梦想无限的追求，无所羁绊，真爱无欲无求,5,力荐,360,0.9999991503517127
"
                    2009-08-23 13:10:06
                ",尾戒,她始终坚信自己死的时候，那便是世界末日。她找到了属于自己的世界末日。,5,力荐,306,0.9804099072003619
"
                    2006-08-03 01:32:43
                ",小耳朵图吗,年轻时候的chara和浅野忠信，配一脸,4,推荐,118,0.8141442467540659
"
                    2021-06-15 23:26:31
                ",DONT_BOTHER,“我知道世界末日是什么时候，那就是我死的时候。地球从我出生后便开始，所以我死时她也一起灭亡。”“如果有神存在，一定是我爸爸妈妈，因为是爸妈造我出来的。” 卷毛追求世界末日，那我就死了成全你。洗清罪恶，你不用再害怕雨。而对小悟来说，沿着围墙走，是停留在安全的世界。掉落围墙，摔断了脖子遍体鳞伤，也要飞奔回到围墙之上，围墙上有他的自由。最后，强烈谴责腾讯视频的删减行为。,4,推荐,55,0.9999981595653068
"
                    2006-02-09 15:40:28
                ",nadja,"如果真的有世界末日的话,我希望是明天",5,力荐,93,0.9553995987092024
"
                    2012-04-30 18:58:51
                ",塔拉胡,单有美好无以成青春，单是青春无以成人生。说是奇幻片，围墙一直延伸不断就已经很奇幻。最喜欢阳台上晾晒白床单一场，光和镜头都极美。越是美丽越残酷。孤独的人总期待世界末日，好像有种“天下大同”的感觉，却忘记太阳不会因为任何人而改变东升西落。,4,推荐,17,0.9999999626723496
