time,uname,comment,star,title,support,sentiment_score
"
                    2017-04-12 10:28:43
                ",ᥫ᭡້໌,我把你当小可爱拯救你，你却想娶我。,4,推荐,559,0.9590179362401682
"
                    2012-04-05 14:00:44
                ",十个斗的眼窝浅,小雪好腹黑，明明她已经和月牙王子相爱，会成为王妃，她当然不愿意小春代替她的位置。还假好人地通知小春找猫伯爵！要是有续集就好了，猫伯爵幻化成人和小春相爱！我一直想变成猫！留在猫王国多好！时间静止的所在；日子咕噜噜滚过，白天睡大觉，吃吃喝喝，讨厌的事，全部忘掉。 《幻化成风》真好听！,5,力荐,731,0.9999999607764605
"
                    2012-03-10 09:56:56
                ",MiaH,喜欢宫崎骏。最感动的是那句台词。“小春！做你自己，不要失去自我！”那时小春正在想其实做猫也不错。她开始长出了尖耳朵尾巴甚至胡须。我们不也是这样放弃自我的么。很多时候，会被人劝说何必那样，这样也不错的，渐渐的便会被同化，成为他们中的一员。也许没有变成猫那样恐怖，但是道理都是一样的。,5,力荐,465,0.9999999487819204
"
                    2011-08-26 20:31:54
                ",熊野爷(老年版,很棒的一部电影，少女应该会喜欢。可惜时间太短，主题曲猫的返恩被梁静茹唱成了大手拉小手……,5,力荐,191,0.9998780257261793
"
                    2008-03-06 20:18:15
                ",眼角的花朵,"他是一个有人文底蕴的动画大师，仍旧是那种小魔幻的故事 却参杂着些酸酸甜甜的滋味 一种感情的触动 徘徊在猫伯爵和小春之间 最后留下的是一种完美的小小遗憾
 我猜 它想让我们明白的道理很简单 就是：做回自己
 让故事发生并结束在一个明亮的世界 就像封面那般惬意的感觉 也许就是这一切让孩童时代的我感动上好一会的原因了 。",4,推荐,360,1.0
"
                    2018-03-13 21:38:32
                ",马儿撒腿跑,喜欢猫猫，可爱高贵，有温柔绅士的一面，宫崎骏动画都看起来，超治愈，前几天看一个评论，很有同感，他说宫崎骏的电影很真实的用孩子眼睛看世界，充满好奇，和童真单纯，和最简单纯粹的感情。,5,力荐,83,0.9999999996573081
"
                    2008-03-06 15:52:26
                ",沉歌,《幻化成风》至今是我的日文歌TOP1呢,4,推荐,469,0.9110465620862812
"
                    2007-11-30 12:55:35
                ",汤旭,当最后幻化成风的音乐响起时，真的是...心情明亮,4,推荐,479,0.8733283204882593
"
                    2018-09-02 16:01:42
                ",松鹤,即使你是真的王子，而我也无法做你的王子妃，因为我并不是一只猫。如果你要我变成一只猫来爱你，我也就不再爱你，因为我失去了自己，那个爱你的自己，化作猫的我，只能是为了占据你的爱而存在幻象，它虚无缥缈无枝可依早晚会化为泡影。猫国只是一个譬喻，一个异己的世界，你完全被它控制，让你失自我，变成异物。但最后小春还是选择了自我，选择不要为了喜欢一个人而放弃自我，变成他的猫。这就是宫爷爷的童话，也是现实生活中存在的美好。,5,力荐,189,0.9999999999992604
"
                    2009-03-13 18:44:59
                ",LisaLeung,女孩子都会爱上猫男爵吧……实在又帅又绅士啊,5,力荐,505,0.7216840785535442
