time,uname,comment,star,title,support,sentiment_score
"
                    2011-08-25 04:46:09
                ",文泽尔,本片无愧是林正英最好的僵尸片：茅山老道配合东方僵尸大战吸血鬼的设定，即使是在今天看来也极为新潮。武打和布法的部分无可挑剔，前者在与吸血鬼近身缠斗时体现得淋漓尽致，后者光是一个绳摆巨符大阵便已经够漂亮了（可惜没能成功）。不足之处在于，大量的情节线没有收拢，直接砍掉，结尾双蛤蟆拜拜。,4,推荐,341,0.9818639237027172
"
                    2013-01-13 21:34:48
                ",巴喆,小时候露天影院。林正英导演的第一部僵尸片，治鬼技术华丽而繁杂，很多应该都是英叔的独创。7.3,3,还行,71,0.9981832330314409
"
                    2017-07-12 23:25:24
                ",回忆与否之,3星半 小僵尸非常萌。在英叔那么多部僵尸片中，本作在“习得《僵尸先生》精髓的作品”中，算排前的了。构思饱满，降魔纯正，招式丰富。剧情其实不算弱吧，就商业片而言也够饱满的了，然而情节铺张得太广——这固然使影片显得看点丰富——可最后竟没能收住，好几条线还没理清就草草的简单粗暴的收尾了，剧情的不完善是硬伤呀,4,推荐,113,0.9999994461728249
"
                    2011-01-05 01:48:59
                ",鬼腳七,这本来该是林正英走的最远的一次，传统僵尸与西方吸血鬼的元素结合，但是故事本身的乏力和僵尸片走向下坡路无可避免地减弱了林正英的努力。林正英过于想保留系列传统，比如小僵尸的设置，比如钱小豪和楼南光，反而无法集中，最后散成一盘,3,还行,37,0.9999683515656596
"
                    2011-02-01 05:47:14
                ",外星纪--南庄座,小僵尸的帽子提示字条很经典~修女的设定也不错~故事不怎么样~虎头蛇尾了~,3,还行,27,0.987727947561068
"
                    2007-11-12 22:12:11
                ",boks,闲来无事灭个洋僵尸吧 ~,3,还行,29,0.3805631616739319
"
                    2012-10-02 13:09:02
                ",蘇小北,林氏僵尸片的高明之處在於，能夠在恐怖與喜劇之間遊刃有餘，往往在恐懼即將到達高潮的時候巧妙地轉合到喜劇的路數之上，同時動作元素也能夠很好地嵌合到敘事的發展之中，這一部中，拋開故事（敘事上有很大斷裂）以及化妝上的一些漏洞，將茅山道士與西洋德古拉結合起來，亦中亦洋間的和合倒也天衣無縫。,4,推荐,38,0.9153832077584113
"
                    2013-07-27 02:54:20
                ",张宝根,完爆什么康斯坦丁    简直是恶趣味的盛宴,5,力荐,281,0.3889728269207561
"
                    2019-09-23 09:29:40
                ",獨孤求敗,小僵尸太可愛惹，O(∩_∩)O哈哈哈~，我好喜欢，百看不厌.....,5,力荐,9,0.9840126482242583
"
                    2012-03-28 20:05:23
                ",千寻亿选,小僵尸很可爱,3,还行,33,0.8282386396943341
"
                    2020-05-19 12:08:56
                ",江户川歌磨,英叔亲自执导，可以看出想法很多，但是问题在于结构太散——《僵尸先生》里所有的喜剧和冲突都和李赛凤一家有关（楼南光饰演李赛凤的表哥，王小凤的角色被迁祖坟事件引发，僵尸由李的家人演化而来），有一个聚焦的中心点。此片则看得人烦恼不安——坛子鬼、芭蕉仙噱头足够，但是和主线无关，让观众的情绪被提起又突然打断；李赛凤的角色被诟病为花瓶，可是吴君如的角色比花瓶还不如，反而显得杂乱。一些叙事掺杂了文人式的慨叹（比如女鬼回忆青楼身世一段）固然唯美，但将主旨情绪稀释得一塌糊涂，得不偿失。所谓内行看门道，外行看热闹——《僵尸先生》里将墨斗、糯米的用途描述得清清楚楚，让观众一看即明白，而此片里许多的抓鬼镜头（以捉芭蕉妖为例），英叔虽然打得热闹，对于观众却缺乏友好性，令趣味大减。再者许冠英的喜剧地位冠绝僵尸片无人能及,3,还行,15,1.0
"
                    2019-05-08 07:39:50
                ",顾问,故事多很丰富,5,力荐,5,0.8395483084825928
"
                    2022-07-31 06:33:50
                ",浩子菌,7.5分，作为英叔导演处女整体水准还挺不错的，小僵尸的设定是一大亮点，很可爱捏，茅山道士大战西洋僵尸也挺有创意的，就是明明是票房大杀器的吴君如的戏份把握好，有点工具人的样子了，片尾变吸血僵尸之后也别的情节交代后续了。,4,推荐,17,0.9999999987569819
"
                    2018-11-13 15:54:34
                ",GalaxyRunner🛸,英叔之后，再无僵尸道长了，经典就是值得一辈子重温！,5,力荐,6,0.9953960450177836
"
                    2011-09-22 13:39:58
                ",mOco,林正英先生自己导演的，我竟然如此没有印象了！我错了，一眉道长！！！,3,还行,21,0.33876688410926326
"
                    2019-07-13 19:52:13
                ",RYZ,小僵尸真可爱,4,推荐,36,0.7255937778580558
"
                    2012-01-21 15:33:54
                ",南团,一眉道人   林正英 钱小豪 吕方Vampire.vs.Vampire.1989 .mkv 双语中字 一眉道人 3g,4,推荐,12,0.3142950458044086
"
                    2013-07-25 22:33:57
                ",囧老伯,所以那个女鬼呢。。。。。,3,还行,9,0.592191657479413
"
                    2024-03-10 19:36:24
                ",赱馬觀♣,谁是处男？……不准！……拜拜！,5,力荐,1,0.9569938764785333
"
                    2012-10-18 16:20:23
                ",江湖遠人,中国道长大战西洋僵尸。,3,还行,17,0.5756201294007747
"
                    2011-08-27 23:41:08
                ",喜阿姨,老片子。,3,还行,5,0.7485360697441327
"
                    2023-12-01 22:16:06
                ",本味何知,土道士战洋吸血鬼，结果两方都显不出手段，变成了菜鸡互啄。,2,较差,2,0.5969000265517507
"
                    2013-11-14 10:51:59
                ",451½°F™,大法師+缺心眼徒弟的組合，又加上一個小殭屍賣萌，群眾喜聞樂見。本劇的主線加上了西洋吸血鬼的情節，口碑自然見仁見智。最後中國道士用黃紙符和桃木劍大戰吸血鬼，頗有關公戰秦瓊的莫名無厘頭喜感。幾條支線情節則一如香港80年代肥皂劇的「召之即來揮之即去」。,3,还行,9,0.515964227074748
"
                    2010-09-18 22:35:15
                ",嗷拜拜,那个小僵尸太可爱了。外加那个结局，真的顿时就呆滞了。,3,还行,4,0.9646309343517951
"
                    2018-12-24 14:44:20
                ",只有霸王,内容挺丰富的。标准的港片气质。林正英的作品仍然有浓浓的侠味。,4,推荐,7,0.8485323941086597
"
                    2022-01-04 21:27:29
                ",Syfannn,茅山道士大战吸血鬼。小僵尸好可爱，吴君如变吸血鬼之后颜值飙升啊哈哈哈哈哈。以前没看过这系列以为是恐怖类的，结果是乱七八糟大杂烩低俗喜剧。,2,较差,2,0.992147758773312
"
                    2019-02-13 20:29:50
                ",萌 . 李,我被那个绳子画符酷到了！！！故事相对很完整嘛，道士不仅能打僵尸还能打吸血鬼，厉害了！,4,推荐,1,0.9727551319736641
"
                    2011-05-10 09:20:53
                ",Lyanna,小僵尸太可爱了。,4,推荐,2,0.5508528591608987
"
                    2012-02-23 19:09:50
                ",西来,童年的记忆,3,还行,0,0.9723665709653476
"
                    2011-05-21 22:36:46
                ",端舞,那个小僵尸真是好可爱啊哈哈哈哈,4,推荐,3,0.9636363226988591
"
                    2012-03-10 11:42:00
                ",被遗弃的孩子,林叔主演的片子笑点就是多啊,4,推荐,1,0.9968389614278795
"
                    2010-05-26 16:33:42
                ",Hey Johnny,林正英大叔太帅了，太正气了！刚看完钱嘉乐的《僵尸叔叔》后再看钱小豪，真觉得兄弟俩是两种style，当然我都爱~片子还加入了西方吸血鬼的新鲜元素，分三条线索并进，挺好看！,4,推荐,3,0.9999731454203578
"
                    2011-12-30 02:10:56
                ",小心轻放,小僵尸真是太可爱了,4,推荐,2,0.5508528591608987
"
                    2010-03-21 10:03:30
                ",但愿人长囧,是林正英导演的？果然没有他其他作品好为朕消遣！,3,还行,1,0.91591078212319
"
                    2008-04-09 02:51:43
                ",七先生™,这个片子好看。最后那个外国僵尸就一直弄不死  所以就把他阴道沼泽里陷下去 哈哈,5,力荐,1,0.13303657163308202
"
                    2011-02-20 11:27:42
                ",灰,挺好的，动作排的不错,3,还行,0,0.9288974119461355
"
                    2022-06-27 04:31:05
                ",贺兰迈克,道士跟vampire斗法还是满赞的，修女跟道士传道的桥段也满搞笑，恐怖张力终于够足，节奏是整个5部目前最好的，就是女鬼附身略显多余可以省去。吴君如跟道长的SM简直绝了。,3,还行,0,0.9994832525800847
"
                    2011-03-08 23:52:37
                ",鹿丸,我不喜欢这类僵尸,2,较差,0,0.5430546206273411
"
                    2012-01-01 00:52:11
                ",張春秋,道士和神父打来打去，最终道士获胜。,3,还行,1,0.9127616048003843
"
                    2018-11-15 09:29:47
                ",单单,小僵尸简直不要太可爱，林正英还是那个林正英，为长镜头连贯的法术和招式点赞。,5,力荐,2,0.9170856205341252
