time,uname,comment,star,title,support,sentiment_score
"
                    2008-04-12 00:32:20
                ",赫克托尔,"女主角长得很怪异.男主角演技很牛B,很神经质,让人毛骨悚然.小男孩演得很传神,感觉有点人格分裂.",5,力荐,5081,0.9998546415625124
"
                    2014-11-09 21:26:21
                ",木卫二,DC版。讨论它有多恐怖并不重要，现今最低级的蹦鬼头技法，也能吓倒一片人，但库布里克显然不屑于此道。站在通道口看完了片头字幕和现场观众状态才入座，六百人被吸摄进电影空间的感觉真美妙。一家三口，演员个个出彩，老流氓尼克尔森尤其疯魔。小朋友踩车、237房浴室、雪迷宫等段落都拍得很绝啊,5,力荐,1434,0.9999796478492236
"
                    2014-11-09 22:55:15
                ",蓝笔风,失意的作家，性冷淡的妻子，精分的孩子，这遍再看已不是恐怖片，而是家庭伦理悲剧，《闪灵》的恐怖来自独处封闭环境下心理暗示的恶化，心结的放大，恐惧感的释放，直至最终彻底的崩溃爆发。再次膜拜神级配乐和精准选角！,5,力荐,1640,0.9999971886936092
"
                    2009-09-28 00:34:16
                ",弥呀,看片时不专心是不好滴！调没音量是不好滴！一边看一边放无敌治愈的歌是不好滴！把画面缩成巴掌大是不好滴！这直接导致我淡然而欢乐的看完了传说中的闪灵……,4,推荐,5089,0.8313705807187637
"
                    2006-05-21 16:43:29
                ",暖鱼,何为恐惧？失去控制感方为恐怖，无知为其表现形式之一。闪灵中的罪缺少逻辑性，是无缘由的，一切都没得到充足的解释，看着恐怖，也因为自己了解自己也曾有这样的无缘由之事之选择。跟踪镜头伴着诡异音乐不停向前，而观众却不知去向何方也不知会发生什么更不知何时会发生什么，怎能不紧张！好玩的倒是，写影评的人总力图将故事纳入逻辑范围之内，硬说这隐瑜着印第安人等诸缘由，真的吗？为了心安吧！另外，那旅馆空间太大了！！,4,推荐,2795,0.9997262766019914
"
                    2018-12-21 17:22:06
                ",亚比煞,最近重看，深觉这是一部刻画现代性焦虑的经典，核心就在那句话里“All work and no play makes jack a dull boy”。杰克其实是好人，他太在乎身为男人的责任，太想写出好作品证明自己，最后终于把自己逼疯，举起斧子疯狂砍向家人，因为他不知道问题到底出在哪里，不愿承认自己才华有限，于是他归罪于家人，把老婆孩子当成了负担，认为如果不是要养活他们，承担他们的期待，自己就不用活的这么累。这种压力我也体会过，但到了某个临界点时最终决定放过自己。现代社会给我们太多机会，也同时给了我们越来越沉重的身份的焦虑，很多人如同深陷漩涡无法挣脱，逃到天涯海角都逃不出这期待的诅咒。也许真正的解脱只有回到内心认真问一问自己，这一场人生几十年，到底为何而来，快乐吗？值得吗？真的必须如此吗？,5,力荐,1226,0.999999999999982
"
                    2008-10-26 10:16:28
                ",浪味仙,"Women, you can't live with them, you can't live without them.",5,力荐,641,0.014389354205402438
"
                    2011-03-07 17:59:26
                ",托尼·王大拿,库布里克是个真正的天才，这是一部真正完美的恐怖片，血腥的镜头几乎为零，但出色的镜头运用和无处不在的心理暗示，以及极度出色的配乐，让人惊觉最纯粹的恐惧并非鬼怪而是心魔。,5,力荐,460,0.999998957233182
"
                    2011-11-10 03:06:33
                ",Johnny Fung,要是我住进远望的话，和家人大吃大喝几个月多开心啊。,4,推荐,2726,0.3800763599068847
"
                    2018-03-31 16:05:37
                ",七荞,头号玩家观光团………我的妈呀……,5,力荐,404,0.4550519436122329
