time,uname,comment,star,title,support,sentiment_score
"
                    2011-05-31 21:59:48
                ",望仔放弃减肥了,我最讨厌别人不擦润唇膏了！每次看到嘴上干裂起皮都忍不住想要亲上去！所以你要多擦一点润唇膏啊！你到底要不要我给你擦润唇膏！——好喜欢这一段，那时的张柏芝漂亮的无法用笔墨形容，脚趾甲上涂着五彩的颜色，小巧的下巴和明亮的眼，根本就是个小妖孽。【MD电影短评怎么字数限制这么短！】,5,力荐,3426,0.999999894004819
"
                    2013-05-23 00:19:57
                ",进宝,“哇你怎么穿成这样啊？你不是演主角吗？不管你是主角也好，跑龙套的也好你都要养我一辈子的啊！呐，试试，看合适不合适？哇红色的，唇膏印啊，你去鬼混啊！呐，这次我放你一条生路啊，再有下次，我不给你饭吃。走，走啊。看什么看？不服气呀？打我呀，笨蛋！ ”,4,推荐,1421,0.9989587541542663
"
                    2010-06-03 17:01:20
                ",Q。,以前看的时候，电影里真正隐含的意思我都不懂，但当我慢慢长大，经历的东西越来越多的时候，再回顾这些，我能领悟到星爷电影里人生的真谛，同理也可以套用在《大话西游》。ps，每次看到那句“我养你啊！”都会毫无疑问的飙泪。★★★★☆,3,还行,3549,0.9999999818585764
"
                    2006-05-01 02:27:50
                ",暖鱼,失望！太想真诚，倒显得做作了,4,推荐,566,0.38585534876038885
"
                    2006-07-18 14:18:42
                ",大宸,我养你啊！,4,推荐,4937,0.5
"
                    2014-05-22 13:34:56
                ",胡子,“去哪里啊？”“回家。”“然后呢？”“上班咯。”“不上班行不行？”“不上班你养我？”“嗨！”“又怎么了？”...“我养你啊。”“你先照顾好你自己吧，傻瓜。”接着张柏芝在计程车上哭成泪人，这一段真是演得太好太好了。,4,推荐,1877,0.9999999940462612
"
                    2009-09-08 23:14:41
                ",♣lùlu♣,我不是真的要你有钱才能养我，我只需要你为了我放弃声名的勇气,4,推荐,1368,0.24967567893301834
"
                    2008-09-11 23:30:16
                ",明珠一颗孙小美,你负责美丽妖艳，我负责努力赚钱,5,力荐,1225,0.8477642633659114
"
                    2011-01-12 19:56:39
                ",冉7 _Pro4.01,那时候的她无论多少流言蜚语都无所谓,5,力荐,2606,0.5979770903686832
"
                    2008-01-10 16:52:45
                ",老鸡｜扶立,周星星电影中最喜欢的一部,4,推荐,2689,0.9686412330070112
"
                    2006-01-08 23:18:00
                ",薇羅尼卡,又有什么？谁说一个跑龙套的不能爱上一个妓女？,5,力荐,1001,0.20984672766744106
"
                    2005-12-13 23:06:02
                ",missfaye,“我是一个演员”，我最爱的周星驰作品，笑得流泪,4,推荐,2179,0.9996954745338217
"
                    2012-08-18 01:45:24
                ",朝暮雪,"聚焦小人物的高光时刻，一个是龙套，一个是小姐，虽然身份卑微仍然怀揣着梦想。
然而有梦想是一回事，能否实现梦想又是另一回事。
尹天仇和柳飘飘心向着九重云霄，却又总是被现实的引力拉回地面，摔个遍体鳞伤，但是仍然不忘初心、童心未泯，因为“天亮了就会很美”。
我爱你并非你做了男主角，你做龙套也要养我；
我不会飞黄腾达了就离你而去，即便回到原点也要和你一起上路。
成龙客串最惊喜，夜总会和宴会的交叉剪辑最虐心，“我养你啊”最感人。没有鸡汤和套路，只有真实和走心。酸甜苦辣，喜怒哀乐，不仅是《喜剧之王》，更是生活的真实写照。",5,力荐,326,0.9999999999935383
"
                    2005-09-04 11:41:53
                ",大头绿豆,星爷最好的三部电影之一。,5,力荐,2331,0.8863016732278463
"
                    2021-12-22 04:33:42
                ",余莽,这电影我真是看一次哭一次；柳飘飘织着毛衣等尹天仇回来那场戏，小人物的爱卑微到连确认都不敢，只好扯着嗓门吵吵嚷嚷，害怕下一句他就会说：“我不要你了。”幸好尹天仇说的是“柳飘飘，我爱你。”,5,力荐,913,0.9341750316167935
"
                    2007-06-24 10:27:05
                ",战国客,戏梦人生，笑中带泪，好作品,4,推荐,1087,0.998336984192143
"
                    2009-05-17 19:53:44
                ",无所谓则无所畏,我养你啊,5,力荐,1136,0.5
"
                    2018-03-28 10:38:31
                ",bekey,不工作你养我吗？我养你啊！尹天仇对柳飘飘的爱就是这么简单又真挚，没有太多甜言蜜语，却一句让你温暖心窝。虽然事业屡屡受挫，但是不妨碍他那份对演员事业的热爱。喜欢他这种不怕挫折迎难而上，有机会会牢牢把握的人。但是，如果只为生计，有时候可能也要看方向的选择。但是尹天仇好像要追梦！祝福！,4,推荐,537,0.9999999999381386
"
                    2017-03-19 10:34:51
                ",大耳朵图图_,星爷的电影走出了一条独辟蹊径的喜剧之路，以前只记住了他的无厘头，长大一点再回头看却看到了很多不一样的东西，略略理解了一些小人物卑微的挣扎。还有年轻的张柏芝是真的好看,4,推荐,398,0.9999988106732219
"
                    2018-01-26 11:31:20
                ",豆瓣酱,在最没有能力的时候遇到了最想照顾一生的人，对于那时的天仇来说，喊出“我养你吧”是需要多大的努力和决心的呀！,4,推荐,179,0.9996929117615665
"
                    2018-03-27 09:21:23
                ",东篱,张柏芝将柳飘飘这个角色演绎得很好，集美丽与清纯于一身，特别是转身整理头发那幕，特别撩人心弦。,5,力荐,344,0.9999984048165669
"
                    2022-06-13 23:00:45
                ",Laputa,当他在豪车上回答“是呀”时，一定知道自己放弃的是什么。,5,力荐,246,0.795027947606874
"
                    2006-01-02 15:02:44
                ",寂地,我没道理的又哭了.但是这个电影结尾太奇怪了~55多看星星的电影人生会变得开朗哟!,5,力荐,258,0.9848194888858947
"
                    2008-08-02 01:49:36
                ",高歌,“没关系，天亮了就会很美的”,5,力荐,221,0.501683089147306
"
                    2018-02-24 22:42:12
                ",清欢,张柏芝真的好美，有一段时间我觉得她不是很美，我错了，她真的特别特别美~天生的演员,5,力荐,219,0.9999983223460308
"
                    2018-02-24 21:43:03
                ",顾盼,对于小人物的悲欢，星爷的电影总是表现的很深刻。张柏芝当时很好看。,4,推荐,82,0.9998899324385017
"
                    2011-12-28 09:19:04
                ",陀螺凡达可,或许是最好的一部周星驰,4,推荐,147,0.8883661515856947
"
                    2023-03-16 21:19:03
                ",哀歌与衷曲,他讽刺了一切，唯独没有讽刺爱情。,5,力荐,108,0.9666001785322699
"
                    2017-03-22 20:37:36
                ",随风的蒲公英,当时觉得张柏芝那时候真的的嫩的可以掐的出水，特别清纯，印象最深最感动的张柏芝演的她要走的那段，他们之间的对话感动了好多人！,4,推荐,66,0.9999979252329453
"
                    2022-02-19 16:02:25
                ",elegance,后二十分钟和吴孟达角色意义没有get到，电影前一个小时堪称完美,4,推荐,45,0.9995112026690527
"
                    2010-05-21 22:42:20
                ",千寻亿选,当年朋友拿来盘VCD，周星驰主演的“喜剧之王”，是演过蛊惑专家、唐伯虎点秋香、鹿鼎记、审死官的周星驰，而且这部电影叫做“喜剧之王”，我们准备好了笑痛肚皮。一个半小时后，大家都沉着脸，什么狗屁“喜剧之王”，一点也不好笑，太难看了。工作多年后才明白这部电影是周星驰的巅峰之作。,4,推荐,56,0.9999996483211924
"
                    2017-07-10 23:28:05
                ",Ocap,张柏芝拿着嫖资在车上痛哭起来那一段，应该是无厘头史上最不无厘头的一次无厘头了吧。以及星爷要是跟莫文蔚走了，就是性别对换的咸湿版《爱乐之城》。,4,推荐,32,0.9999324869124607
"
                    2018-03-28 07:40:45
                ",初秋絮,周星驰演的电影都很好看  表面看是喜剧吧。实际烘托了当时社会的黑暗。无情  冷漠。,4,推荐,28,0.9987576912422232
"
                    2017-03-14 13:20:22
                ",蓝下老婆,哈哈哈，周星驰笑得很有魔性的，经典就是好看,4,推荐,26,0.9915379175362437
"
                    2017-05-16 20:02:58
                ",吃瓜少年,小时候看对我养你一笑而过，长大才知放在现今的大环境胜过海誓山盟,4,推荐,47,0.9996856021738041
"
                    2007-12-19 00:08:05
                ",蛮爷,第8次,5,力荐,255,0.40133074991591366
"
                    2013-09-13 00:21:27
                ",Hao,唯一能让我理解这片被称为经典的方法就是这是一部经典烂片。情节俗套，搞笑乏力，类型混杂，倒确实是一部经典港片。有港片的一贯传统就是大杂烩。一开始是搞笑片，同时是动作片，后来变成励志片，再来点爱情，最后居然还有警匪卧底枪战。我了个擦，如果想把所有东西都塞进一部片里面，不是烂片都难,1,很差,140,0.6486695963920937
"
                    2017-02-11 18:16:04
                ",🌙🌙,张柏芝真的是嫩的能掐出水来 多么美好的年纪啊 典型的周氏喜剧 搞笑 好想再看星爷演一部电影啊,4,推荐,19,0.9971701224964402
"
                    2018-06-21 15:19:48
                ",我头像超萌,"“看，前面漆黑一片，什么也看不到”
“也不是，天亮后便会很美的”被小人物的艰辛逐梦所感动，被一句我养你啊所感动


",4,推荐,30,0.9988305563957782
"
                    2017-04-07 22:35:10
                ",美好时光只为你,一部让你笑着感动的喜剧片。张柏芝那时很纯呢。,4,推荐,18,0.9985167209296217
"
                    2018-03-29 08:00:37
                ",阿弥陀佛,喜欢周星驰早年的作品，笑中带泪,4,推荐,26,0.9905958381096521
"
                    2018-03-30 23:21:20
                ",幸存者,说实话，第一次看时，只知道傻笑，根本看不懂，现在看懂了还有点希望自己不要懂！人生百味都在其中了！,4,推荐,60,0.0481824719099998
"
                    2018-08-15 22:38:50
                ",Julien,向来讨厌励志的电影。电影的作用在于激起情感，给不了现实的解决办法。我总会觉得这种在100多分钟的时间内塑造出的成功太过乐观浅薄虚无。这种电影，只有周星驰拍出来我才是服气的。别人家的励志片，看着蛮惨，其实总是幸运的。星爷的电影，总能让人笑，但其实凄惨真实。周星驰的电影角色总是固执活在自己世界，当他与世界接触时，矛盾出现了，这些矛盾是笑点，也是悲剧。凄惨而坚韧，是周星驰电影角色共有的特点，虽身陷囫囵，却生命力顽强，虽看重自尊，却常常丢掉，但还要抹干眼泪继续活着，因为不这样的话就无法活下去。当所有人都把你当成一个死跑龙套时，你要把自己当成一个演员，所以你就会成为一个演员。,5,力荐,57,1.0
"
                    2018-01-30 17:29:57
                ",A蓝精灵,星爷的经典之作，1999年上映的，小时候笑的很真却总是在多年后忽然明白影片中的某些含义，转眼二十年就这么过去了,5,力荐,46,0.999486292235258
"
                    2020-11-14 16:14:59
                ",欢乐分裂,#重看#同是天涯沦落人，相逢何必曾相识。两个平凡小人物在艰辛打拼中的偶遇绽放的光芒，即使一头汗一身血也要骄傲地回答“我是一个演员”。张柏芝真是雪肤玉貌，坐在车里痛哭一幕最为催泪。回看感慨万千，那些反反复复看过无数次的经典片段是时代的印记。,4,推荐,10,0.9999999999997264
"
                    2017-05-10 11:13:55
                ",慕詩,“你先养好你自己吧，傻瓜。”星爷的经典作。,5,力荐,60,0.9594698572533776
"
                    2017-03-30 21:52:04
                ",呢昵喵,笑着悲伤的感觉，互相祝福的那段话随他们一起笑一起沉默。这里的张柏芝太美了,4,推荐,17,0.9999994949394975
"
                    2017-03-07 08:06:56
                ",幕天席地,那个时候的演技有灵魂,5,力荐,114,0.9604869462826633
"
                    2018-04-01 08:31:20
                ",雪里花蕾,该片剧情讲述了一个小人物的辛酸生活和奋斗史，周爷自导自演👍,4,推荐,21,0.9997156139164322
"
                    2018-03-06 12:22:35
                ",磕巴,这么美的张柏芝，换我，我也要对她说“我养你”。,4,推荐,74,0.8742594931272579
"
                    2017-03-28 15:56:53
                ",炫3D,周星驰的电影是欢乐的喜剧，但是看过之后总会留下一点深刻的记忆，那就是他电影的精华。,4,推荐,14,0.9987285575326994
"
                    2018-03-26 08:24:28
                ",波波维奇,无厘头喜剧，星爷也算走出自己的路，此片尽述社会底层小人物卑的微与挣扎。莫文蔚在此片中表现力很好。,4,推荐,77,0.9999967424842745
"
                    2015-05-30 22:30:00
                ",梦里诗书,这并非一场浅显的喜剧，而是属于周星驰的电影人生，《喜剧之王》以小人物的龙套演员为切入，用辛酸去渲染的笑料在不经意间给人以共鸣性的感动，周星驰拼搏与草根间的明星梦，张柏芝初试银幕的纯美之恋，一句简单的：“我养你啊”！侵染出多少至诚的感动。,5,力荐,39,0.999999999932579
"
                    2018-02-23 22:55:43
                ",Alain,重看。在梦想、努力这些原本闪光的品质被实用主义拿来当作成功的充要条件、怀揣理想并为之坚持不懈的朴素道理已经沦为廉价滥俗的鸡汤的当下，再看到两个漂浮人世身不由己的小人物相依为命、成为彼此黑色夜空背后将至的美丽光芒，尤其能受到触动。,4,推荐,8,0.9999999974722964
"
                    2018-03-28 22:08:09
                ",穿过肉身的痛,很励志的影片，虽然不懂演绎事业的道道，但是影片可以看到演员的艰辛，努力，而且告诉我们努力去做，把握住机会总会成功，非常的励志！,4,推荐,12,0.9999968617959267
"
                    2018-03-31 16:09:47
                ",幼儿园园长,悲剧用喜剧来表达，很棒的一部电影,5,力荐,46,0.9984725118366292
"
                    2017-03-29 22:02:41
                ",月涩,哈哈哈哈，一直记得张柏芝那个鹌鹑的造型。,4,推荐,17,0.9983303012249778
"
                    2017-03-16 13:43:25
                ",元宝宝,张柏芝刚出道时两条麻花辫，小脸粉扑扑圆乎乎，单纯可爱。一下子就抓住你的眼球，难得是新人颜正还有演技，和星爷的搭配很有看点，喜欢！,4,推荐,17,0.9999944102695137
"
                    2018-04-01 21:16:37
                ",偏要勉强,星爷电影中最喜欢的一部，当年只有18岁的张柏芝，真美啊。,5,力荐,39,0.9997331536373119
"
                    2006-03-02 15:52:06
                ",犀牛,周星驰真正的转型之作,5,力荐,115,0.5970454202453921
"
                    2018-04-01 14:43:05
                ",翠蝶🌸羽生✨💫,开心的同时又伤感，经典是永远无法超越的，周星驰算是一个传奇人物吧，他带给我们很多开心，感动和温暖，同时还有正能量，这个电影就是在讲他自己的故事吧。,5,力荐,25,0.9999999999086817
"
                    2018-03-27 18:40:28
                ",小十三,星爷最经典的电影之一了吧，小时候没看懂，长大了又不忍心去看，再看的话会哭成狗吧，喜剧就是用轻松的方式讲最沉重的东西吧，很少真的看懂星爷的无厘头搞笑，这部是真的看到心坎里，张柏芝是真的惊艳，颜值巅峰跟演技巅峰,4,推荐,42,0.9999999975859202
"
                    2013-08-19 05:01:27
                ",托尼·王大拿,我太讨厌这部装腔作势的电影了,1,很差,72,0.7399241174150135
"
                    2018-04-01 10:39:33
                ",傻白甜,看着搞笑，实则悲剧，人很多时候都是在悲剧里努力搞笑,5,力荐,31,0.9982842935331647
"
                    2018-04-01 12:45:53
                ",biang,“其实我是一个演员！” 与“我养你啊！”，一是理想，一是爱情，人生追求莫不如此。谢谢星爷带来的感动。,4,推荐,50,0.9999991781186697
"
                    2018-03-20 23:39:18
                ",你压着我腿毛了,这大概就是我最讨厌的一类港片了吧，剧情一锅乱炖，表演浮夸轻佻，癫狂过火，无病呻吟，最适合loser意淫高潮了。结尾还莫名加入警匪枪战戏你他妈在搞笑吧，B.T.W 吴孟达长了一张喜剧脸真的不适合演警察 靴靴,1,很差,25,0.999637041165191
"
                    2019-03-28 23:41:12
                ",康报虹,"我曾无数次在电视上看过《喜剧之王》，但这是第一次完整地看完这部电影，也是第一次听到原汁原味的粤语配音。在很长一段时间里，我觉得《喜剧之王》和《功夫》、《唐伯虎点秋香》、《国产凌凌漆》等电影没有什么差别，现在想想，也许是配音演员石班瑜的标志性声音造成了这样的结果——它让观众很容易忽视掉影片真正想传达给观众的。
其实完整看完，我也很难说《喜剧之王》到底好在哪里，如果今天有人把这部电影从剧本到表演再到分镜完完全全地重拍一遍，它会像《喜剧之王》那样在20年间一直受到观众喜爱吗？一定不会的。",4,推荐,15,1.0
"
                    2016-05-15 12:32:40
                ",冰红深蓝,龙套小人物的辛酸打拼史。各种经典世俗神话的拼贴，各种媒介自反，各种自嘲与戏仿，这回终于让我有点喜欢上周星驰了。长鼻涕，“我养你”，鹌鹑，露丁丁男孩，海报墙中的小镜子，《演员的自我修养》，吴宇森式白鸽和无间道。ps：本片里莫文蔚和张柏芝的颜值亦使我惊艳万分。（9.0/10）,5,力荐,19,0.9999999999775073
"
                    2017-03-07 08:28:41
                ",媛木子,非常非常喜欢这部电影，张柏芝真的是美的我一个女生都动心。,5,力荐,77,0.999546044465883
"
                    2022-08-01 18:33:45
                ",电影的一半,"世界上最需要演技的职业是什么?
演员?
是卧底啊，靓仔，稍有穿帮就扑街啊!
世界上靠演技过活的是什么职业?
演员?
是站街的啊，不舒服也得装出享受的样子，要不然没客人的!
那演员是什么?
演员是牲口啊!演技再好，找不到没人捧，活该跑一辈子龙套。

卧底 街妹 演员 这就是人间的喜剧之王

",5,力荐,20,0.9999999999954297
"
                    2020-12-17 22:57:36
                ",静英英🍃,"前半部分值四星的。
有理想没才华与有相貌没方向。前者是多少人的真实写照。
但是
有相貌的女生是不会无缘无故喜欢一个穷困潦倒满口空话的茄呢啡的；
一个大明星也不会无缘无故提拔这个每次都留下一堆烂摊子的人；
哪怕是做卧底需要掩饰，也不需要三番四次如此侮辱别人，即使你想通过言语提醒他。
所以。终究还是太理想化，太戏剧化了。又心酸又荒诞，没头没尾的荒诞。

还有，生活不是电影，如果一个刚认识没多久的男人，轻易地说出“我养你”三个字，请赶紧跑，不要鞋子那种。",3,还行,68,0.18788834628739248
"
                    2012-01-31 12:52:53
                ",某J。624,那时候的张柏芝，画上浓妆眼里都还是一派纯真；那时候的周星驰，怎样的无厘头都掩盖不了骨子里的坚持与奋斗；世事变迁，没人能说谁变了，因为我们都不曾停留在原地。周星驰最经典的爱情宣言不是大话西游里的，而是那一句——我养你啊。,5,力荐,11,0.999999953543565
"
                    2022-11-16 23:20:36
                ",ZO_,尹天仇一开始是纯粹的技术派，主要工作教小孩扮黑社会，场务的盒饭让他学会了责任感，柳飘飘让他学会投入感情，卧底让他学会人生如戏,5,力荐,18,0.9999882634287263
"
                    2017-02-23 01:53:15
                ",久道,屌丝黔首的YY，世界都是错的，只有我才是对的，是被伤害的。,1,很差,18,0.871194477081667
"
                    2015-02-14 21:23:06
                ",刘康康,除了结尾枪战戏是妥协的结果，其部分的完成度都好高，今天找出来重新看了一遍还是感动哭了……柏芝那会儿确实漂亮,4,推荐,7,0.9999989031355375
"
                    2018-03-07 20:51:13
                ",如是,论一个演员的自我修养。张柏芝好漂亮啊。,5,力荐,96,0.9997927367838471
"
                    2008-01-21 17:41:30
                ",沉歌,看了好几遍了,5,力荐,25,0.7552851072145124
"
                    2017-01-07 23:11:34
                ",请你吃童话,星爷经典之作 笑中有泪 “我养你啊” 女人有时想要的很简单 仅仅只是一个个不顾一切的承诺而已,5,力荐,9,0.9945860951135133
"
                    2021-12-11 00:11:57
                ",yuan,这部电影的性别意识真的让人很迷惑哎。周星驰在想什么，女人为他挨过皮肉苦，才证明爱？鼻涕恶搞莫文蔚也让人浑身不自在。,1,很差,15,0.3715747567777913
