time,uname,comment,star,title,support,sentiment_score
"
                    2012-11-21 21:45:45
                ",Allen Li,勇敢的人得到了他前途未卜的爱情，懦弱的人得到了他安逸虚弱的人生,5,力荐,3692,0.9998559108205837
"
                    2012-09-29 15:41:58
                ",we are,哦哦哦，男演员就应该在风华正茂的时刻去拍部gay片作为人生的纪念啊啊啊！,4,推荐,7897,0.9992587155991618
"
                    2012-07-26 19:05:08
                ",同志亦凡人中文站,电影在处处保留福斯特原著风貌的同时将细节改编得精致惟美；精神恋爱到灵肉合一的转变过程更加自然动人。每个分镜都流淌着美，百转千回的爱情如饮醇酒。不谦虚的说：我不认为有人能在这片字幕的翻译上比我更加的——接近完美,5,力荐,2406,0.9999999998577582
"
                    2010-11-29 00:23:50
                ",云外清都,我发誓，我从没想过同性恋题材的电影能够拍得这么纯洁美好，让人一咏三叹，唏嘘不已。年轻的Hugh Grant青春俊美，在剑桥草坪上与莫里斯的一吻，胜过多少日后的风流。,5,力荐,2483,0.9999997418911895
"
                    2011-07-24 11:59:27
                ",齊克斯尼力佐飛,打开他的心房却抛弃而去，还好他的心房有人进去了，而你，只能忧郁地看着那扇关不上的心窗。,4,推荐,4579,0.9586336712420968
"
                    2010-09-19 01:35:18
                ",芝麻糊,如果你丢下我，我将在半梦半醒中度过余生。最高段的告白，最甜蜜的威胁，最难料的一语成谶。,5,力荐,2481,0.9710298978065034
"
                    2011-03-11 15:39:53
                ",鸭梨,最后谁得到了，谁失去了。PS：剑桥和牛津已经成为各种英国文艺片里的搅基圣地了有没有！！！PPS：那时候的Hugh Grant美到你伤不起啊！！！,5,力荐,1900,0.28872620887719147
"
                    2009-07-29 22:34:50
                ",balabomb,不觉得克里夫是gay，只是嘴上说说吧，没看出来他有多喜欢莫里斯。演亚力克的演员没演出来他是gay。相比下莫里斯太可怜了，感觉就像他被俩直男耍了……,4,推荐,837,0.6623787581059315
"
                    2017-06-04 23:19:47
                ",米粒,现在应该已经很难看见这样的电影了吧，莫里斯这种从小接受传统教育、偶然认识到真正的自己、最终能勇敢并幸运地忠于自己的故事，该被拍得多么轰轰烈烈，但这部电影就像那缕初夏的阳光，温暖但不刺眼，哪怕很短暂，曾温柔地存在过，就不必把它视作遗憾了。#4K修复 美如画...,4,推荐,717,0.9999999995199491
"
                    2008-11-02 20:01:21
                ",jagpumpkin,有没有10颗星？我要打10颗星！James Wilby细腻而又大胆，高雅而又热烈，完美！Rupert Graves就像一只等爱渴望爱的漂亮小兽，被他当时的boyish good-looking杀到了。板球眉目传情和船屋热吻情定终生看得我太基动了。,5,力荐,848,0.9995243102104174
"
                    2017-05-11 18:48:21
                ",肖浑,我就说嘛，有钱人恋爱起来磨磨唧唧虚头八脑没劲透了，穷人的爱情才比较动人，因为豁得出去，而且更需要爱。,4,推荐,674,0.8235086356203072
"
                    2017-04-21 22:14:47
                ",CS,不觉得Clive就是该被谴责的那个人，好友残例在前他的害怕是正常，同时他可以退缩可以懦弱，他也需要为自己的选择承担后果。整部影片的主线可能是莫里斯的成长转变，从出口伤人不知收敛的小年轻到成熟稳重冷静自信的帅大叔，从码头下来势在必得的笑太迷人了，敢爱敢恨才能拥抱爱情。,4,推荐,283,0.9999999920843566
"
                    2012-09-23 08:57:42
                ",陀螺凡达可,看到最后一部分时我好怕好怕是个悲剧...以至于我直接跳到结局确保没有苦逼戏才倒回去继续看。在爱情之外更有趣的是90年代初英国社会的缩影，算是同志片中的神作了吧，剧本表演以及各项技术环节都趋近完美。,5,力荐,523,0.9999999932793278
"
                    2020-06-21 15:03:40
                ",冰红深蓝,詹姆斯·伊沃里代表作，1987威尼斯银狮奖，休·格兰特与詹姆斯·维尔比同获威尼斯影帝。1.一战前夕的那些年月，同性恋尚等同于刑事犯罪，不知有多少人为此身败名裂（影片中亦有夜间酒吧与小巷的钓鱼执法者），又有多少人被迫将绵绵爱意深藏心底。2.戏外两位同性恋作者（E·M·福斯特，詹姆斯·伊沃里）的生涯对比更让人心生感怀。3.看似平静和缓的顺时单线叙事中，压抑难耐的情感涌动不已。而柏拉图式恋爱与灵肉并重两种爱情观之间的张力，也保持到了最后。4.配乐无可挑剔，摄影精致典雅，美术设计也极尽写实。5.“音乐是所有艺术中最接近死亡的。”“我不但比烤肉饼更令人难以忘怀，而且还重要得多。” 6.如此隐秘而凄冷的收尾：克里夫在关上窗户前的一眼凝望，重回昔日校园（反打为超现实主观镜）莫里斯笑着向他挥手，既是呼唤，又是诀别。（8.5/10）,4,推荐,125,1.0
"
                    2008-08-16 23:06:33
                ",蕊蕊,最后一瞥，学生时代的黯然神伤,4,推荐,303,0.9977231782351067
"
                    2006-05-26 02:04:57
                ",有未始有始也者,一蓄鬍子就道貌岸然了，鬍子代表偽道德，這個象徵蠻有趣的。,3,还行,1774,0.10879558271298806
"
                    2006-02-24 21:55:16
                ",大宸,美好的感觉，Hugh Grant年轻时真迷人...,4,推荐,195,0.8660965431666712
"
                    2014-03-30 18:38:05
                ",哪吒男,被爱人嫌弃又嫌弃爱你的人，寂寞难耐又不肯将就。,4,推荐,121,0.9783003849624547
"
                    2009-05-22 16:01:17
                ",shu,那时候，休格兰特年轻羞涩地滴水啊。。。,5,力荐,675,0.826642414225912
"
                    2018-01-17 18:38:59
                ",瑶瑶,7分。同性之爱不被认可的时代，一个“高贵”的上等人拒绝承认自己是同性恋，而追求名利；一个“卑贱”的男仆却忠于爱情而牺牲了自己的事业。休格兰特太迷人，尽管如此豆瓣不应把格兰特当作海报，角色实在是负面配角，不值得歌颂,4,推荐,79,0.9999953894657764
