time,uname,comment,star,title,support,sentiment_score
"
                    2012-02-24 19:47:26
                ",瑾朵朵,郁闷死了 守着一颗白白嫩嫩的大白菜多少年细心栽培没舍得吃，最后这颗大白菜被猪给拱了的感觉 (☍﹏⁰),5,力荐,6145,0.16171268405379713
"
                    2012-02-25 15:28:09
                ",和也也也也也n,妖怪有颜就是治愈片 妖怪没有颜就是恐怖片,4,推荐,7983,0.8709092802020405
"
                    2012-02-23 23:34:41
                ",[己注销],我说………………既然树枝和毛巾可以，那么手套也不会有问题吧…………所以婚姻幸福就指望保险套了……………………………………………………………………,5,力荐,4372,0.8837528812605784
"
                    2012-02-24 22:02:58
                ",♠¾゛,永远不会忘记的拥抱，是你让我曾有过怎样也不想结束夏天,5,力荐,2267,0.9715843688344289
"
                    2012-02-24 20:53:58
                ",凉,时间停止在阿金消失的那个夏天，一生一次的拥抱放在回忆里不会变老。,5,力荐,1615,0.9995246409958037
"
                    2012-02-24 19:31:25
                ",路小北,有些故事，就算早已烂熟于心，再看时也还是忍不住要哭的,5,力荐,1329,0.9247149784643456
"
                    2012-02-23 17:38:24
                ",之弦,一点都没失望( >﹏<。) 真是发自内心的喜欢又痛恨这个故事！,5,力荐,949,0.9609682359173609
"
                    2012-02-23 16:55:11
                ",你家贰哥,最爱 没有之一 少女心都在这了,5,力荐,817,0.9925726891498748
"
                    2012-03-09 21:29:04
                ",LORENZO 洛伦佐,小孩子跑不好就不要跑好伐？！摔个什么摔！摔！,4,推荐,4511,0.12658295405527809
"
                    2012-02-25 14:36:49
                ",工口工口小黃門,银发的狐面少年 夏日 花火 浴衣 隔着面具的那个吻 终于能够拥抱到你了阿金TAT 内山的声音好温柔 从开始就等着虐心的结局呜呜呜我又得内伤一天了 ,5,力荐,526,0.9998886224498479
"
                    2012-02-23 23:48:55
                ",BKKKKKKK君,我这个泪点低的人又。。。TAT 又萌又忧伤。。我所剩不多的少女心啊~~,5,力荐,424,0.9996641244838371
"
                    2012-02-23 15:56:56
                ",竹子哟竹子✨,TTTTvTTTT ←只有这个表情,5,力荐,278,0.5486976325915107
"
                    2012-02-23 20:22:33
                ",Epony,我靠，每一次摘下面具都特么美得要死要活好么！,5,力荐,187,0.8201306573666163
"
                    2018-02-22 09:11:55
                ",欣欣向荣,虽然很美好的故事，但是这个故事是个悲剧，日本动画片很多像这样的引人深思的动画片，明明是美好的情感，可惜身不由己。,5,力荐,65,0.9999985680777776
"
                    2012-02-25 21:07:04
                ",凹凸代餐,期待已久的夏日 女孩不由地伸手想要握紧身旁的温柔 又倏忽停住将手收回 一生一次的拥抱 先是微笑着 最后却又流泪了,5,力荐,110,0.9999930572782192
