time,uname,comment,star,title,support,sentiment_score
"
                    2010-01-18 23:01:14
                ",战国客,这个结尾很争议，我也觉得有点唐突,3,还行,628,0.9938980701928661
"
                    2017-11-02 16:23:43
                ",托尼·王大拿,重看，以前的自己真是太肤浅，这根本不是一场三流谋杀案，而是一次超一流的对电影本体的伟大隐喻：You only live once，but you can die twice 。,5,力荐,1147,0.9978512695779258
"
                    2012-02-27 04:36:16
                ",胤祥,传说中的“世界电影史第三名片”哈。五个同轴反向变焦十分经典。希区柯克式悬念，此局甚妙。尤其朱蒂揭破计谋之后，前面一个半小时的戏意义彻底反转，同时为余下半小时的戏制造了巨大悬念，极妙。本片是精神分析学派的最爱。,5,力荐,701,0.9999997290901005
"
                    2011-02-01 13:21:03
                ",Grammophon,他把变焦与移动镜头结合起来从上往下拍摄一个楼梯井的镜头，成功地造成了主人公恐高症的晕眩的心理感觉。他的做法是把楼梯井的模型侧放，摄影机对准楼梯井口，处于远处慢慢推向模型，而变焦镜头开始时处于长焦（望远镜头）慢慢拉成广角，要求是模型的大小 在银幕上必须保持不变。,4,推荐,1456,0.9999908878424552
"
                    2010-04-03 00:32:52
                ",袁牧,在希区柯克的电影中，不管经历多少逃亡和搏斗，永远不要希望男主角的发型会变得凌乱，还有他的纽约西装,4,推荐,1491,0.9998394085585778
"
                    2010-08-14 00:14:38
                ",品客,一部52年前的片却能让我看完后热血沸腾，希哥招牌情节+紧张节奏让人欲罢不能。许多当时技术上的尝试都影响到了今天，包括恐高症的镜头以及接吻360°旋转的镜头，在当下仍然能够看到。此外大量的中国元素都穿插在其中，值得去思考隐喻。和精神病患者一样，故事被明显的分成两部分，唯希哥有才！,5,力荐,513,0.9999999652157664
"
                    2011-06-04 00:03:03
                ",周鱼,不让你知道的时候你不知道 让你知道的时候你还想知道 这就是希区柯克,4,推荐,695,0.24662465522847965
"
                    2018-03-05 20:47:48
                ",Fleurs.哼哼,啊呀，什么恋物癖偷窥癖，心理学，符号化，女权主义。我觉得老爷子就是想说：邂逅的爱情，都是一场阴谋，背后有个人费尽脑汁千方百计的把一对对男男女女搞得眩晕，然后一方因为另一方失去自我，峰回路转则依然。这个阴谋背后的大坏人就是拿着箭没事瞎射的丘比特。,4,推荐,359,0.9999995145069415
"
                    2013-01-23 17:28:43
                ",昏金暗玉,今时今日我们看过太多由这故事元素变奏演绎的胞胎，它仍在滋养着今天无数个悬疑故事，任一枝杈都能抽取出来发展成完整的大树。在画像追踪和幻梦沉迷的谱系里，玛德琳是最迷人的一个，她一旦在你头脑生根就再也忘不掉。你根本舍不得放下这样一个谜。但真实的Judy便怅然若失，这是所有人的死局。,5,力荐,403,0.9999999994205662
"
                    2018-10-25 21:31:42
                ",糖罐子.,四刷，希区柯克最高作。1.开篇交代弗格森间接引致的警员死亡，以内心盘旋的谴责牵导自我救赎的需求，为后续一系列事件的发生提供可行条件。2.爱的相对性:在加文天衣无缝的杀妻计划中，唯一不可控的就是爱情。弗格森恋上假扮的玛德琳，在玛德琳死后，偶遇“长相相似”的朱迪，他因对玛德琳的爱追求朱迪，朱迪也因为爱服从弗格森的所有要求。3.主动与被动，窥视与被窥视。同如希区柯克的其他电影，在影片的前半段，男主角是作为镜头视点的主导者而存在的，女主角则协助和维护视点的正确运转。在玛德琳死后完成主导视点的转接，并通过独白和闪回镜头解释阴谋真相。4.女性符号化:画作里外的“艺术赏析”；精妙台词的隐秘多义性；接吻360°旋转；黑色电影式的宿命论收尾。5.红绿交互；发型含喻启迪《本能》&《白日美人》。（9.5/10）,5,力荐,303,1.0
"
                    2008-01-12 06:22:13
                ",文泽尔,最后8分钟的无限可能性,4,推荐,607,0.9002887238532113
"
                    2016-03-18 17:35:13
                ",柯里昂,好虐的爱情片。希区柯克从来不怕把真相在影片一半的时候就早早的呈现给观众，因为他有自信让观众在看完整部影片时依旧保持瞠目结舌，太厉害,4,推荐,371,0.9999761489813098
"
                    2011-03-26 12:47:56
                ",SWX,本以为是一个惊悚片，怎么成了一个爱情片。,5,力荐,487,0.9758085949849044
