time,uname,comment,star,title,support,sentiment_score
"
                    2009-01-05 08:39:35
                ",思阳,老子这辈子看过的最伟大的动画片！比第一集还伟大，我日啊！押井守不仅仅是日本最牛逼的动画导演，他根本就是一个牛逼的导演，Period。我从来没有在任何一个片子里面看到如此深刻的关于生命与生死的思考。那一句反反复复出现的“生死去来，棚头傀儡，一线断时，落落磊磊”也包含了无限广阔的佛家禅意。押井守作为导演对于画面与速度的拿捏让人折服。GIS的音乐也是永远让我心醉的。,5,力荐,951,1.0
"
                    2016-03-16 22:28:11
                ",栗,看了多少遍。男性魅力不需要眼神啊，两个瓶盖就够了。,5,力荐,1437,0.9823584071837127
"
                    2013-07-09 10:12:36
                ",云中,重看的体会是：1、经常切换半跪与全跪的姿势。2、八年看的时候我的电子脑肯定烧了这都不年度最佳？3、并不难懂，只不过是好字幕与坏字幕的区别。4、深刻阐明了装逼的重点在于谷歌名人名言。,5,力荐,486,0.21068350517469636
"
                    2014-10-12 02:13:02
                ",渡口无边,人类唯有积极寻求自我机械化，才能拓展自己作为生物的上限，要摒弃达尔文的进化论，要以自己的力量战胜进化的洪流，亦要拥有超越给予自身生命的大自然的意志，以完美的机件去装备生命的幻想，就是这噩梦的源泉。,4,推荐,292,0.9999999999999962
"
                    2016-09-18 14:06:06
                ",同志亦凡人中文站,华丽，奇诡，哲理，作为续集电影没有固步自封，反而开启了更加深刻的新世界——隐约感受到了玛丽·雪莱在写下全世界第一篇科幻小说时的心情。作为日本人押井守对中国文化的熟谙足以让99%的国人都自惭形秽啊...,5,力荐,392,0.9999999888865395
"
                    2010-11-02 17:55:14
                ",易老邪,画面色彩豪华炫丽，极具视觉美感。但内容空洞乏味至极，对白几乎全靠引用名言警句来凑数，装深沉扮酷主要也靠它。,3,还行,478,0.8236825423045695
"
                    2017-01-29 12:58:57
                ",私~川流,巴特喂狗的时候帮狗狗把耳朵放到食盆外边的小细节好喜欢。,5,力荐,513,0.9663191328424758
"
                    2008-04-09 02:21:13
                ",霛,雀血惹人憐，魚傷無人問，有聲者幸也。,5,力荐,467,0.6858950804102124
"
                    2011-06-12 17:58:20
                ",水木丁,如果能大屏幕看一次该多爽啊,5,力荐,441,0.5240657801974277
"
                    2007-09-02 18:56:36
                ",桃桃林林,好孤独的片子,5,力荐,536,0.9942912446595428
