time,uname,comment,star,title,support,sentiment_score
"
                    2017-07-25 09:16:55
                ",牵不到的爱,对卡特心怀敬佩，能够坚持自己想要坚持的,4,推荐,139,0.9495761658670087
"
                    2010-04-18 23:58:28
                ",AnitaRolland,Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure.,5,力荐,255,0.301488340956675
"
                    2017-07-25 10:15:51
                ",不侠与,每个人都有巨大无限的潜能 我们应该直面挑战,5,力荐,141,0.9987382965480692
"
                    2017-07-25 11:15:21
                ",半城风月,没什么闯不过的难关，相信自己顽强拼搏，即便慢点，也能有所收获。,4,推荐,72,0.9661372490560267
"
                    2017-07-25 09:02:09
                ",我的天呐,看到名字就知道大概故事内容，但影片传达的内容其实还蛮有意义的。,4,推荐,70,0.8537828871908072
"
                    2017-07-24 23:54:50
                ",趣多多配红茶,教球教做人,5,力荐,119,0.7085923308003625
"
                    2017-07-25 08:28:23
                ",甜腻的砒霜,励志电影 精彩,4,推荐,62,0.8744130871826127
"
                    2012-09-06 12:38:54
                ",易,赢球在影片中处于次要地位，卡特改变这群学生的人生变成了主线，学习成绩要达标，要体能测试，见面要喊先生好，比赛前要穿西装，卡特用这种方式改变了这些孩子，让他们不仅仅赢球，还可以上大学过更好的生活，而不是和黑人混混们呆在一起最后进监狱。,5,力荐,58,0.9999999919385033
"
                    2017-07-25 00:03:55
                ",sunshinE。,超级帅,5,力荐,74,0.5
"
                    2017-07-24 23:26:06
                ",飘过一只路人乙,敢于直面恐惧，才是真实的人生,4,推荐,90,0.9980028157207079
"
                    2017-07-25 08:29:26
                ",桃子爱吃鱼,放牛班的严冬这个名字让我想到了放牛班的春天。两部电影还是有相似之处的吧。这部电影不错！,4,推荐,43,0.999282142122376
"
                    2017-07-25 00:33:08
                ",爱吃烤鹅,体育的励志片，一般般,3,还行,79,0.40846323789489514
"
                    2017-07-25 00:47:13
                ",momo,作品想要表达的寓意还是很好的，四星,4,推荐,39,0.9878650109162896
"
                    2017-07-25 07:27:37
                ",可缓缓归矣,很热血的一部片子,4,推荐,37,0.9856977655327709
"
                    2017-07-24 23:55:06
                ",诗诗小兔,不错，很励志很热血,4,推荐,40,0.9875527457917773
"
                    2017-07-25 10:25:43
                ",李峋（已入狱,人最难的是直面自己的恐惧，这部电影很好的展现了这些，有着看似跨不去的坎事实上过了也就过了,4,推荐,72,0.9992256805743268
"
                    2017-07-25 19:25:10
                ",咿呀咿,"你的梦想是什么？
你愿意为它付出什么",4,推荐,28,0.9811613421906503
"
                    2017-07-25 11:39:58
                ",fox的summer,每时每刻都要保持警惕，尽自己最大的力气来全力以赴每一件事，不让自己后悔,5,力荐,62,0.16153845782270249
"
                    2017-07-25 18:47:07
                ",一颗栗子,好看好看好看,5,力荐,21,0.9231860659946325
"
                    2017-07-25 15:20:11
                ",赚钱最要紧,好看,4,推荐,26,0.7112462006079026
"
                    2017-07-25 19:08:15
                ",一只小花猪,经典好看,4,推荐,21,0.8757569116359061
"
                    2017-07-25 11:55:48
                ",美美哒Cindy,好片，喜欢,4,推荐,15,0.8146103847796935
"
                    2017-07-25 23:00:12
                ",Cokbye,梦想+体育＝永远热血,4,推荐,13,0.9816487612846235
"
                    2017-07-25 13:35:22
                ",黑基兔,不怕失败，就怕被自己打败！努力肯定会成功的！,4,推荐,49,0.33775432908691716
"
                    2008-12-22 16:15:14
                ",Luvlee,有时遇到一个人，他可以改变你的一生,4,推荐,24,0.9530433787065743
"
                    2017-07-25 08:42:59
                ",新街口的,推荐一下 在残酷的社会生活中 的确是有用的,4,推荐,43,0.9987039729014762
"
                    2017-07-26 09:56:52
                ",已注销,热血燃情！影片很棒,5,力荐,10,0.9853240183858274
"
                    2017-07-25 19:27:08
                ",紫苏,热血好看,4,推荐,18,0.9172726556958709
"
                    2017-07-25 09:14:38
                ",高冷的鸡蛋仔,该片是勇敢者的内心史诗，它来自心灵深处，但是缺乏创造性。,3,还行,41,0.9999787680058105
"
                    2017-07-25 12:48:38
                ",走马观花,模式化的励志片吧,5,力荐,24,0.31226680604215495
"
                    2017-07-25 20:04:25
                ",阿离,不错,3,还行,18,0.8612132352941176
"
                    2011-05-11 19:48:51
                ",小丑丑,这个感觉一般！,5,力荐,0,0.5483091787439613
"
                    2011-12-04 23:26:16
                ",Doublebitch,塞缪尔·杰克逊演技太棒了，完全把卡特教练身上那种执拗和桀骜不逊劲儿演了出来。教练对于很多运动员来说就相当于第二任父亲的角色，不但教会他们打球，更教会他们如何做一个真正的男人,3,还行,10,0.9999999971864553
"
                    2017-07-24 23:10:13
                ",(๑⁼̴̀д⁼̴́๑),此举引起了极大的反响，他一时成了大众议论的焦点，有人赞赏他视篮球为生命的品格，但更多的人对他的举动表示不解，甚至是批评,4,推荐,45,0.9994207530291878
"
                    2017-07-25 05:20:31
                ",神经星星,很热血啊,4,推荐,42,0.90268455197475
"
                    2017-05-05 22:23:39
                ",爱情海,篮球，体育类的激励题材，紧凑的剧情，不乏趣味，更多的是人生感触，很励志。,4,推荐,4,0.999619467134162
"
                    2012-11-27 14:40:56
                ",歌尔德萌,作为团队管理的教材非常全面！虽然整体上《冲锋陷阵》优异，但冲的群戏却更好看。,4,推荐,0,0.9933433912066467
"
                    2013-06-02 23:37:59
                ",白目兄,关于体育励志电影只要不是拍得太差，我都会加分,5,力荐,0,0.05039136926162757
"
                    2017-07-25 10:06:14
                ",绿豆酥,做自己认为正确的事。,4,推荐,40,0.7777017206791799
"
                    2011-02-09 14:58:24
                ",熊仔俠,高中時候看過,4,推荐,1,0.22698477078195844
"
                    2011-07-08 13:54:41
                ",只手撕天,卡特的铁血执教风格是球队成长的关键，没有什么特权球员，没有哪位是不能没有的，得分点走了，就再找一个，队伍的规矩不能因为一个人而改变，铁则执教，留给球员的不仅仅是一两场胜利，而是一辈子的思考与受用。,3,还行,3,0.9999909301185705
"
                    2010-12-25 20:13:01
                ",踢你小腿骨,動人的正面能量,3,还行,0,0.7305498621917507
"
                    2011-11-29 17:18:06
                ",慢点儿,17 这是乔丹的广告。。纯白14代。。还有我认不清的好几代。。,5,力荐,0,0.3777245184409779
"
                    2012-01-15 04:19:25
                ",蓝人,永不妥协！,4,推荐,0,0.9438378763238942
"
                    2012-03-11 18:12:54
                ",|Dime|,not bad not bad ,5,力荐,0,0.09093661119089869
"
                    2013-01-21 22:47:35
                ",北京黑眼圈,体育片结构都差不多.....,5,力荐,1,0.36188719175117634
"
                    2015-06-04 17:33:47
                ",理性批判,2015年6月3日看过，虽然是体育片，其实实质上却是教育理念的电影。,5,力荐,2,0.7364160698110749
"
                    2012-07-02 15:28:00
                ",生きる,热爱篮球的心,4,推荐,0,0.9281599144769354
"
                    2011-09-05 03:24:44
                ",三水采田.先生,"   Mr Cool的表演一如既往的霸气...   看着忽然觉得体育&励志型的为撒没有关于足球教练的,  魔力鸟,老爵爷的故事翻拍也是一出出好戏呢.   老美,足球就那么提不起你们兴趣吗?",5,力荐,1,0.9999784922192652
"
                    2011-10-27 00:59:30
                ",夜神月的猫,非常好看的励志电影，Samuel Jackson 演技依然老辣，教练铁血与柔情的一面都刻画的非常到位，特别是他拥抱那个亲人被枪杀的学生的镜头，超感动！,4,推荐,1,0.9999999892636725
