time,uname,comment,star,title,support,sentiment_score
"
                    2011-10-07 23:41:42
                ",小油飞,之前觉得海报土得掉渣，虽然休·杰克曼是我的菜，但也没抱太大希望。于是被惊喜到了！！！片头那首歌就瞬间秒杀我……故事是正统的拳击+亲情路线，节奏很好。演员都非常优秀，小正太简直可以拿最佳男配，杰克曼演父亲真萌，原来他不做金刚狼也是有演技的！！各方面都做得到位，未必深刻，至少好看得很,5,力荐,205,0.9999999999997631
"
                    2011-11-24 23:45:53
                ",Arthur™,这部片子真正的内涵是：叫你Android等智能机再拼性能，没电了不照样玩完；我Nokia的功能性手机待机长、摔不坏才是王道。（注意查理用的是Nokia的手机，Atom的光是蓝色的，而Zeus的光是绿色的）,3,还行,957,0.9969145677207393
"
                    2011-11-12 22:13:03
                ",卢十四,矮丑穷暴打高帅富,4,推荐,1654,0.46554863225633714
"
                    2011-10-08 13:34:28
                ",五色全味,劇情全部意料之內，但仍舊能拍得牽引人心，這就是能力。節奏音樂劇本和visual設計都在水准之上，很簡單很熱血，這才是商業片麻,4,推荐,992,0.9995653678616445
"
                    2011-10-12 18:57:40
                ",Carf,期望值很高，可惜这低级的剧本严重侮辱了格兰特的智商，除了做作的父子表演，所有人就只有咆哮，还有那雷人的外壳算是最垃圾的机器人造型。整体而言算是六岁以下儿童比较喜欢的那种打打闹闹吵吵闹闹的机甲格斗剧。,2,较差,265,0.9976485011077206
"
                    2011-11-08 22:17:11
                ",老晃,有儿子带儿子去看，没儿子生个儿子带他去看！ ,4,推荐,846,0.9669381845488467
"
                    2011-11-08 20:40:35
                ",桃桃林林,最终，过气拳击手干掉了牛逼技术宅，游戏经验永远不如实战经验有用，这太让宅男伤心了。一直到机器人动物园，前半程无聊到焦躁，好在后面有回力。中规中矩的商业电影，远没有吹得好。父与子性格的互置，不成熟的父亲与很成熟的儿子。机器人拳击不会代替真人，人类对暴力的欲望，只有鲜血与破坏才能满足,3,还行,325,0.9999999999987874
"
                    2011-10-12 15:33:35
                ",Lucifer,值得8分么？人物很少，情节很普通嘛，表演尔尔,3,还行,202,0.9458081871705245
"
                    2011-11-08 23:31:05
                ",薇羅尼卡,不得不说，这是一部非常雄性荷尔蒙的片子，非常适合在影院看，也非常适合爷们看。画面精彩流畅，也不乏温情感动。挑刺的话就是深度不够，故事偏简单。最后说一句，机器人跳舞实在是太萌啦！,4,推荐,464,0.9999619887136011
"
                    2011-11-12 00:13:41
                ",青貓,前排的男士们热血到脱掉外套用水瓶击打座椅仍感无处发泄于是后来在宽敞的过道边看边蹦，部分女士们拿着LV包包在空中甩，还有把自己的小孩举在空中欢呼的囧 看到最后全场的欢呼和掌声几乎掀翻电影院。这不是在放映中国男足战胜了伊拉克男足的科幻片，这是在放《铁！甲！钢！拳！》啊魂淡！！！！ ,4,推荐,378,0.9783387171541971
