title,star,quote,url
末代皇帝 / The Last Emperor / 末代皇帝溥仪(港)  /  L'ultimo imperatore,9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
龙猫 / となりのトトロ / 邻居托托罗  /  邻家的豆豆龙,9.2,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
怦然心动 / Flipped / 萌动青春  /  青春萌动,9.1,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
活着 / 人生  /  Lifetimes,9.3,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/
哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone / 哈利波特1：神秘的魔法石(港 / 台) ,9.2,童话世界的开端。,https://movie.douban.com/subject/1295038/
蝙蝠侠：黑暗骑士 / The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),9.2,无尽的黑暗。,https://movie.douban.com/subject/1851857/
指环王3：王者无敌 / The Lord of the Rings: The Return of the King / 魔戒三部曲：王者再临(台 / 港) ,9.3,史诗的终章。,https://movie.douban.com/subject/1291552/
我不是药神 / 中国药神  /  印度药神,9.0,对我们国家而言，这样的电影多一部是一部。,https://movie.douban.com/subject/26752088/
乱世佳人 / Gone with the Wind / 飘,9.3,Tomorrow is another day.,https://movie.douban.com/subject/1300267/
飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台),9.1,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/
素媛 / 소원 / 许愿  /  希望：为爱重生(台),9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉,9.4,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/
哈尔的移动城堡 / ハウルの動く城 / 哈尔移动城堡(港)  /  霍尔的移动城堡(台),9.1,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/
让子弹飞 / 让子弹飞一会儿  /  火烧云,9.0,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
何以为家 / كفرناحوم / 迦百农  /  星仔打官司(港),9.1,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/
摔跤吧！爸爸 / Dangal / 我和我的冠军女儿(台)  /  打死不离3父女(港),9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/
猫鼠游戏 / Catch Me If You Can / 逍遥法外  /  捉智双雄(港),9.1,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
天空之城 / 天空の城ラピュタ / 天空之城拉普他  /  空中城堡拉普他,9.2,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/
鬼子来了 / Devils on the Doorstep,9.3,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
海蒂和爷爷 / Heidi / 飘零燕(港)  /  海蒂,9.3,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/
少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,9.1,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
钢琴家 / The Pianist / 钢琴战曲(港)  /  战地琴人(台),9.3,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,9.0,旷古烁今。,https://movie.douban.com/subject/1299398/
指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋  /  指环王II：双塔,9.2,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香,9.1,史上最美的探戈。,https://movie.douban.com/subject/1298624/
死亡诗社 / Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台),9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
绿皮书 / Green Book / 绿簿旅友(港)  /  幸福绿皮书(台),8.9,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/
罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台),9.1,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/
大闹天宫 / 大闹天宫 上下集  /  The Monkey King,9.4,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/
天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(港)  /  新天堂乐园(台),9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
指环王1：护戒使者 / The Lord of the Rings: The Fellowship of the Ring / 指环王1：魔戒再现  /  指环王I：护戒使者,9.1,传说的开始。,https://movie.douban.com/subject/1291571/
黑客帝国 / The Matrix / 22世纪杀人网络(港)  /  廿二世纪杀人网络(港),9.1,视觉革命。,https://movie.douban.com/subject/1291843/
教父2 / The Godfather: Part II / 教父续集(港)  /  教父II,9.3,优雅的孤独。,https://movie.douban.com/subject/1299131/
狮子王 / The Lion King / 狮子王3D,9.1,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台),9.2,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
饮食男女 / 飲食男女 / Eat Drink Man Woman,9.2,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/
本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  班杰明的奇幻旅程(台),9.0,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
美丽心灵 / A Beautiful Mind / 有你终生美丽(港)  /  美丽境界(台),9.1,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/
穿条纹睡衣的男孩 / The Boy in the Striped Pajamas / 穿条纹衣服的男孩  /  穿条纹衣的男孩,9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
窃听风暴 / Das Leben der Anderen / 窃听者(港)  /  他人的生活,9.2,别样人生。,https://movie.douban.com/subject/1900841/
情书 / Love Letter / When I Close My Eyes  /  Letters of Love,8.9,暗恋的极致。,https://movie.douban.com/subject/1292220/
"两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)",9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜,8.9,美丽无罪。,https://movie.douban.com/subject/1292402/
音乐之声 / The Sound of Music / 仙乐飘飘处处闻(港)  /  真善美(台),9.1,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
看不见的客人 / Contratiempo / 死无对证(港)  /  布局(台),8.8,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
