电影名,评分,地区,地址,发布日期,评论人数
盗梦空间,9.4,美国,https://movie.douban.com/subject/3541415/,2010-09-01,2140055
星际穿越,9.4,美国,https://movie.douban.com/subject/1889243/,2014-11-12,1935329
机器人总动员,9.3,美国,https://movie.douban.com/subject/2131459/,2008-06-27,1362417
指环王3：王者无敌,9.3,美国,https://movie.douban.com/subject/1291552/,2004-03-12,834366
海蒂和爷爷,9.3,德国,https://movie.douban.com/subject/25958717/,2019-05-16,660559
疯狂动物城,9.2,美国,https://movie.douban.com/subject/25662329/,2016-03-04,2027661
龙猫,9.2,日本,https://movie.douban.com/subject/1291560/,2018-12-14,1307089
哈利·波特与魔法石,9.2,美国,https://movie.douban.com/subject/1295038/,2002-01-26,1249443
天空之城,9.2,日本,https://movie.douban.com/subject/1291583/,1992-05-01,913660
指环王2：双塔奇兵,9.2,美国,https://movie.douban.com/subject/1291572/,2003-04-25,783269
七武士,9.3,日本,https://movie.douban.com/subject/1295399/,1954-04-26,206717
哪吒闹海,9.2,中国大陆,https://movie.douban.com/subject/1307315/,1979-05-19,270590
少年派的奇幻漂流,9.1,美国,https://movie.douban.com/subject/1929463/,2012-11-22,1390447
飞屋环游记,9.1,美国,https://movie.douban.com/subject/2129039/,2009-08-04,1375525
哈尔的移动城堡,9.1,日本,https://movie.douban.com/subject/1308807/,2024-04-30,1069040
指环王1：护戒使者,9.1,新西兰,https://movie.douban.com/subject/1291571/,2002-04-04,879504
狮子王,9.1,美国,https://movie.douban.com/subject/1301753/,1995-07-15,878405
黄金三镖客,9.2,意大利,https://movie.douban.com/subject/1401118/,1966-12-23,127377
哈利·波特与死亡圣器(下),9.0,美国,https://movie.douban.com/subject/3011235/,2011-08-04,868374
哈利·波特与阿兹卡班的囚徒,9.0,英国,https://movie.douban.com/subject/1291544/,2004-09-10,771111
超人总动员,8.2,美国,https://movie.douban.com/subject/1291577/,2005-01-28,311988
辛普森一家,8.4,美国,https://movie.douban.com/subject/1851906/,2007-07-27,83516
摩托日记,8.5,阿根廷,https://movie.douban.com/subject/1309015/,2004-01-15,59203
大地惊雷,8.3,美国,https://movie.douban.com/subject/3626372/,2010-12-22,119349
冰川时代2,8.2,美国,https://movie.douban.com/subject/1437342/,2006-06-09,247213
犬之岛,8.2,德国,https://movie.douban.com/subject/26640371/,2018-04-20,238159
猫的报恩,8.2,日本,https://movie.douban.com/subject/1304970/,2002-07-19,223166
西北偏北,8.3,美国,https://movie.douban.com/subject/1295872/,1959-07-17,112058
革命往事,9.1,意大利,https://movie.douban.com/subject/1301026/,1971-10-29,22417
她的回忆,8.8,日本,https://movie.douban.com/subject/5162334/,1995-12-23,31729
熊出没之雪岭熊风,8.3,中国大陆,https://movie.douban.com/subject/26220731/,2015-01-30,58443
宾虚,8.7,美国,https://movie.douban.com/subject/1293150/,1959-11-18,36637
碟中谍6：全面瓦解,8.1,美国,https://movie.douban.com/subject/26336252/,2018-08-31,513492
浪客剑心 最终章 追忆篇,8.6,日本,https://movie.douban.com/subject/33407124/,2021-06-04,42917
马达加斯加3,8.2,美国,https://movie.douban.com/subject/3178770/,2012-06-08,176822
复仇者联盟3：无限战争,8.1,美国,https://movie.douban.com/subject/24773958/,2018-05-11,789788
大坏狐狸的故事,8.3,法国,https://movie.douban.com/subject/27042405/,2018-03-16,98381
第一滴血,8.3,美国,https://movie.douban.com/subject/1294323/,1982-10-22,95664
银河护卫队,8.1,美国,https://movie.douban.com/subject/7065154/,2014-10-10,538294
爱丽丝梦游仙境,8.7,美国,https://movie.douban.com/subject/1310178/,1951-07-26,34793
穿靴子的猫2,8.1,美国,https://movie.douban.com/subject/25868125/,2022-12-23,101387
新少林五祖,8.0,中国香港,https://movie.douban.com/subject/1296837/,1994-02-05,100684
圣山,8.7,墨西哥,https://movie.douban.com/subject/1401905/,1973,25662
狐狸与我,8.5,法国,https://movie.douban.com/subject/2028659/,2007-12-12,33688
碟中谍5：神秘国度,7.9,美国,https://movie.douban.com/subject/10727641/,2015-09-08,334802
钢铁巨人,8.6,美国,https://movie.douban.com/subject/1293863/,1999-08-06,28779
兰戈,8.0,美国,https://movie.douban.com/subject/2998253/,2011-02-14,149631
死侍,7.9,美国,https://movie.douban.com/subject/3718279/,2016-02-12,478249
虎兄虎弟,8.6,法国,https://movie.douban.com/subject/1309135/,2004-04-07,27590
小鬼当街,8.2,美国,https://movie.douban.com/subject/1299952/,1994-07-01,54526
在西伯利亚森林中,8.7,法国,https://movie.douban.com/subject/26682565/,2016-06-15,23525
小飞侠彼得潘,8.2,英国,https://movie.douban.com/subject/1307931/,2003-12-09,52488
绿野仙踪,8.2,美国,https://movie.douban.com/subject/1292625/,1939-08-12,52275
马达加斯加,7.9,美国,https://movie.douban.com/subject/1309201/,2005-07-15,201819
木乃伊,7.9,美国,https://movie.douban.com/subject/1295229/,1999-04-16,198009
最后的假期,8.4,美国,https://movie.douban.com/subject/1462631/,2006-01-13,34631
怪物史瑞克,7.9,美国,https://movie.douban.com/subject/1291581/,2001-05-18,196429
虫虫危机,8.0,美国,https://movie.douban.com/subject/1291573/,1998-11-25,100817
金矿,8.2,美国,https://movie.douban.com/subject/7065334/,2016-12-29,49205
熊出没之夺宝熊兵,8.0,中国大陆,https://movie.douban.com/subject/24753811/,2014-01-17,50821
