电影名,评分,地区,地址,发布日期,评论人数
美丽人生,9.5,意大利,https://movie.douban.com/subject/1292063/,2020-01-03,1369571
辛德勒的名单,9.5,美国,https://movie.douban.com/subject/1295124/,1993-11-30,1157195
高山下的花环,9.5,中国大陆,https://movie.douban.com/subject/1422283/,1985-11-07,103896
乱世佳人,9.3,美国,https://movie.douban.com/subject/1300267/,1939-12-15,717351
钢琴家,9.3,英国,https://movie.douban.com/subject/1296736/,2002-05-24,671938
穿条纹睡衣的男孩,9.2,英国,https://movie.douban.com/subject/3008247/,2008-08-28,589118
拯救大兵瑞恩,9.1,美国,https://movie.douban.com/subject/1292849/,1998-11-13,669765
大独裁者,9.2,美国,https://movie.douban.com/subject/1295646/,1940-10-15,83483
地下,9.2,南斯拉夫,https://movie.douban.com/subject/1292206/,1995-04-01,68017
沉静如海,9.1,法国,https://movie.douban.com/subject/1769507/,2004-10-25,98483
你逃我也逃,9.2,美国,https://movie.douban.com/subject/1303418/,1942-03-06,51341
西西里的美丽传说,8.9,意大利,https://movie.douban.com/subject/1292402/,2000-10-27,1010184
影武者,9.1,日本,https://movie.douban.com/subject/1303067/,1980-04-26,74943
勇敢的心,8.9,美国,https://movie.douban.com/subject/1294639/,1995-05-18,571835
卢旺达饭店,8.9,英国,https://movie.douban.com/subject/1291822/,2004-09-11,341233
虎口脱险,8.9,法国,https://movie.douban.com/subject/1296909/,1966-12-08,268253
光荣之路,9.1,美国,https://movie.douban.com/subject/1292969/,1957-12-20,56912
赛德克·巴莱(上)：太阳旗,8.9,中国台湾,https://movie.douban.com/subject/10450409/,2011-09-09,105440
赛德克·巴莱(下)：彩虹桥,8.9,中国台湾,https://movie.douban.com/subject/6393127/,2011-09-30,94426
大决战之辽沈战役,9.1,中国大陆,https://movie.douban.com/subject/1424552/,1991,29123
比利·林恩的中场战事,8.3,美国,https://movie.douban.com/subject/25983044/,2016-11-11,394403
乔乔的异想世界,8.3,美国,https://movie.douban.com/subject/30170546/,2020-07-31,346106
战争与和平,9.2,苏联,https://movie.douban.com/subject/1307067/,1966-03-14,14918
战舰波将金号,8.7,苏联,https://movie.douban.com/subject/1293492/,1925-12-24,31184
黑皮书,8.4,荷兰,https://movie.douban.com/subject/1858802/,2009-02-03,82634
高地战,8.5,韩国,https://movie.douban.com/subject/4328443/,2011-07-20,47971
桥,8.8,南斯拉夫,https://movie.douban.com/subject/1305697/,1969-07-14,23628
士兵之歌,9.1,苏联,https://movie.douban.com/subject/1295614/,1959-12-01,15632
安德烈·卢布廖夫,9.0,苏联,https://movie.douban.com/subject/1298248/,1971-12-24,17285
红海行动,8.2,中国大陆,https://movie.douban.com/subject/26861685/,2018-02-16,1052985
地道战,8.3,中国大陆,https://movie.douban.com/subject/3033864/,1965,69878
一九四二,8.2,中国大陆,https://movie.douban.com/subject/6011805/,2012-11-29,343462
无主之地,8.6,波黑,https://movie.douban.com/subject/1306303/,2001-05-12,32560
集结号,8.2,中国大陆,https://movie.douban.com/subject/1907464/,2007-12-20,271270
芬妮的旅程,8.5,法国,https://movie.douban.com/subject/26710657/,2016-05-18,41080
太极旗飘扬,8.3,韩国,https://movie.douban.com/subject/1304972/,2004-02-06,88791
战马,8.2,美国,https://movie.douban.com/subject/4206436/,2012-02-28,232584
秦时明月之一舞倾城,9.0,中国大陆,https://movie.douban.com/subject/4804209/,2010-03-25,8883
暴雨将至,8.6,马其顿,https://movie.douban.com/subject/1303036/,1994-09-01,29475
血战台儿庄,8.7,中国大陆,https://movie.douban.com/subject/1307201/,1986,13079
地雷战,8.1,中国大陆,https://movie.douban.com/subject/1464540/,1963,41144
收件人不详,8.3,韩国,https://movie.douban.com/subject/1305530/,2001-06-02,34104
野战排,8.2,美国,https://movie.douban.com/subject/1293396/,1986-12-19,45823
漫长的婚约,8.1,法国,https://movie.douban.com/subject/1292234/,2004-10-27,69572
桂河大桥,8.4,英国,https://movie.douban.com/subject/1294958/,1957-10-02,26353
孤独的幸存者,8.1,美国,https://movie.douban.com/subject/3836070/,2013-12-25,65736
我不是王毛,8.0,中国大陆,https://movie.douban.com/subject/25757187/,2016-03-11,73676
花落花开,8.5,法国,https://movie.douban.com/subject/3173635/,2008-09-07,21540
尤里西斯的凝视,9.0,希腊,https://movie.douban.com/subject/1294573/,1995-05-24,11696
日瓦戈医生,8.5,美国,https://movie.douban.com/subject/1389949/,1965-12-31,20750
沃伦,8.3,波兰,https://movie.douban.com/subject/26881114/,2016-09-23,30517
猎杀U-571,8.1,法国,https://movie.douban.com/subject/1293770/,2000-04-21,55899
死囚越狱,8.5,法国,https://movie.douban.com/subject/1303562/,1956-11-11,20122
爱国者,8.2,美国,https://movie.douban.com/subject/1293934/,2000-06-28,37119
虎！虎！虎！,8.3,日本,https://movie.douban.com/subject/1294562/,1970-09-23,28551
巴顿将军,8.2,美国,https://movie.douban.com/subject/1298308/,1970-02-04,36431
潘神的迷宫,7.9,西班牙,https://movie.douban.com/subject/1767042/,2006-10-11,242564
万湖会议,8.1,德国,https://movie.douban.com/subject/35769174/,2023-06-09,49966
斯巴达300勇士,7.9,美国,https://movie.douban.com/subject/1853176/,2006-12-09,179144
白色严冬,8.4,挪威,https://movie.douban.com/subject/6129462/,2012-03-09,21696
